menu_index,timestamp_utc,replay_id,team_id,opponent_id,player_id
0,2025-11-27 18:53:48 UTC,09R9YP8Q0V20,202YYQGUUC,UVYP0G2LG,202YYQGUUC
1,2025-11-27 18:51:30 UTC,09R9YP8LC8GQ,202YYQGUUC,8J2QPJPYY,202YYQGUUC
2,2025-11-27 18:47:16 UTC,09C9YYPRCJ9P,202YYQGUUC,8QV2C2RY9,202YYQGUUC
3,2025-11-24 17:04:03 UTC,09R9Y89VL9P0,202YYQGUUC,20Y8R9JLYP,202YYQGUUC
4,2025-11-24 17:00:31 UTC,09R9Y89V0URG,202YYQGUUC,VYJYCG09V,202YYQGUUC
5,2025-11-24 15:21:40 UTC,09R9Y898GVVJ,202YYQGUUC,VYJ9V90G0,202YYQGUUC
6,2025-11-24 15:19:29 UTC,09R9Y898L09L,202YYQGUUC,20LYC0RGUP,202YYQGUUC
7,2025-11-24 15:04:24 UTC,09R9Y890VCCR,202YYQGUUC,20RQPGCLGL,202YYQGUUC
8,2025-11-23 16:38:54 UTC,09R9Y2RJUJJY,202YYQGUUC,209UP08CPJ,202YYQGUUC
9,2025-11-23 16:36:04 UTC,09R9Y2RJQUGP,202YYQGUUC,20Y80JYCR2,202YYQGUUC
10,2025-11-23 16:34:35 UTC,09R9Y2RJYYYG,202YYQGUUC,VPL8Y2CL0,202YYQGUUC
11,2025-11-23 16:32:28 UTC,09R9Y2RJ2JVJ,202YYQGUUC,209V2CU2QC,202YYQGUUC
12,2025-11-23 16:30:48 UTC,09R9Y2RRUUUC,202YYQGUUC,209UL0R28L,202YYQGUUC
13,2025-11-23 16:27:47 UTC,09R9Y2RRQRCU,202YYQGUUC,209UR29RCR,202YYQGUUC
14,2025-11-23 15:34:28 UTC,09R9Y2R9989Y,202YYQGUUC,20G989RR8J,202YYQGUUC
15,2025-11-23 15:31:34 UTC,09R9Y2R8ULQV,202YYQGUUC,VL2QVYLV8,202YYQGUUC
16,2025-11-23 15:28:21 UTC,09R9Y2R8QP0Y,202YYQGUUC,20Y2C88JJ0,202YYQGUUC
17,2025-11-23 15:26:40 UTC,09R9Y2R8PGPP,202YYQGUUC,209UYG0QQ0,202YYQGUUC
18,2025-11-23 15:23:54 UTC,09R9Y2R8080J,202YYQGUUC,20G9P8Y2GL,202YYQGUUC
19,2025-11-23 15:20:30 UTC,09R9Y2R2GRGJ,202YYQGUUC,VPCJJJL80,202YYQGUUC
20,2025-11-23 15:17:54 UTC,09R9Y2R2PGPC,202YYQGUUC,209UQ2JYQG,202YYQGUUC
21,2025-11-23 15:14:34 UTC,09R9Y2R0VPGQ,202YYQGUUC,20U2V99VPR,202YYQGUUC
22,2025-11-23 15:13:09 UTC,09R9Y2R0C2VJ,202YYQGUUC,20G9PLCGJ0,202YYQGUUC
23,2025-11-23 15:10:40 UTC,09R9Y2R0Q8VC,202YYQGUUC,209UY0P2C0,202YYQGUUC
24,2025-11-23 15:07:47 UTC,09R9Y2R08RVV,202YYQGUUC,20G92J9CLJ,202YYQGUUC
26,2025-11-23 15:03:54 UTC,09R9Y2GVJGVQ,202YYQGUUC,20GY8LQUC2,202YYQGUUC
27,2025-11-23 14:58:14 UTC,09R9Y2GV2CJ8,202YYQGUUC,20G92QQ8JR,202YYQGUUC
28,2025-11-23 14:56:29 UTC,09R9Y2GUV208,202YYQGUUC,20G9YUCQ22,202YYQGUUC
29,2025-11-23 14:51:42 UTC,09R9Y2GUYGVQ,202YYQGUUC,20G9GCQJ2Y,202YYQGUUC
0,2025-11-12 18:43:01 UTC,08U9UQPYRQC9,202YYQGUUC,VGLYQRQ0P,202YYQGUUC
0,2025-11-27 18:40:01 UTC,002Y0YPYCJ8V,UVJ9Q2G8Q,VYPLL8C0Y,UVJ9Q2G8Q
1,2025-11-27 15:12:37 UTC,00CPUYR0U2G9,UVJ9Q2G8Q,CYL9JJ0JR,UVJ9Q2G8Q
2,2025-11-27 15:09:32 UTC,00CPUYR0QL9Y,UVJ9Q2G8Q,GJLRPLG89,UVJ9Q2G8Q
3,2025-11-26 14:27:42 UTC,00PY09PQPP9J,UVJ9Q2G8Q,ULQ2PRL2L,UVJ9Q2G8Q
4,2025-11-26 14:24:43 UTC,08GPQJYQQ999,UVJ9Q2G8Q,V00QGRJQ8,UVJ9Q2G8Q
5,2025-11-26 14:21:12 UTC,002Y0PQYJGCC,UVJ9Q2G8Q,V89GYRPQQ,UVJ9Q2G8Q
6,2025-11-26 14:19:00 UTC,0989V2PGGVPL,UVJ9Q2G8Q,20PLG0GQJP,UVJ9Q2G8Q
7,2025-11-26 14:09:32 UTC,08YPJ90PYYPC,UVJ9Q2G8Q,V2GVJQVCC,UVJ9Q2G8Q
8,2025-11-26 06:07:33 UTC,00CPUPCYJC02,UVJ9Q2G8Q,UR28RQQJP,UVJ9Q2G8Q
9,2025-11-26 05:59:56 UTC,00CPUPCYPQYG,UVJ9Q2G8Q,20PRCCG8YL,UVJ9Q2G8Q
10,2025-11-25 19:55:07 UTC,00CPUPQRRG0P,UVJ9Q2G8Q,209VQQ2V9J,UVJ9Q2G8Q
11,2025-11-25 19:51:15 UTC,09Q9CVUUQCVU,UVJ9Q2G8Q,VVRYJJ0PR,UVJ9Q2G8Q
12,2025-11-25 19:49:01 UTC,0909V88PPYY0,UVJ9Q2G8Q,20RRYLVPPJ,UVJ9Q2G8Q
13,2025-11-25 19:46:13 UTC,00CPUPQGR0QV,UVJ9Q2G8Q,UVRR8QP92,UVJ9Q2G8Q
14,2025-11-25 19:44:02 UTC,09Q9CVUCJ82Y,UVJ9Q2G8Q,20P2RPG8RC,UVJ9Q2G8Q
15,2025-11-25 19:41:45 UTC,00CPUPQG2JV2,UVJ9Q2G8Q,20Y8GPCJYU,UVJ9Q2G8Q
16,2025-11-25 18:37:11 UTC,00CPUPQ0GLPY,UVJ9Q2G8Q,VQ0RL00YC,UVJ9Q2G8Q
17,2025-11-24 13:35:37 UTC,00CPU9RQV2CU,UVJ9Q2G8Q,200G9JP9UL,UVJ9Q2G8Q
18,2025-11-24 13:30:19 UTC,00CPU9RQLQV9,UVJ9Q2G8Q,VYRJ8CPQU,UVJ9Q2G8Q
19,2025-11-24 13:27:38 UTC,00CPU9RQ99LV,UVJ9Q2G8Q,VQYR8PYCQ,UVJ9Q2G8Q
