tag,name,type,clanScore,members,requiredTrophies
#GU2G980R,! KingOF Dz ⚡,open,29064,10,0
#QC2LLJJQ,#®™,open,85350,50,4000
#G00QGY82,$العمالقة$,open,98935,50,9000
#GYQ0VYR2,(alone_sad),closed,4989,3,10000
#L28CVJQG,*KHAFDJI_DZ*,open,95847,50,5000
#GLLCQUGP,05city packM,inviteOnly,58821,16,0
#GLGQLJ9L,14 CR,inviteOnly,54556,21,0
#PLCVJ29V,19 Ess Dz 58,open,99039,50,8500
#QU8CLLPP,1s1,open,92117,50,8000
#GYJ0PV9R,26,open,3018,1,0
#GLV2RPCV,2FIT-TNESS,open,43016,11,0
#GLC8R0L9,400 team,open,31071,8,5000
#G9829GPG,500,inviteOnly,18566,5,0
#GCPC9LG8,5000,open,70457,45,3000
#R9LRUYU8,58 wilaya,open,100000,50,10000
#RQ9UJGPU,67,open,65620,47,6500
#RCQRQP8L,6777 so tufffff,open,3216,2,2300
#GYY2V8GG,83 g4_©©,open,3713,3,1000
#G09R8RJG,9k Before Waz,inviteOnly,27857,6,0
#G9GYG2C0,9ochi7a fc,inviteOnly,11334,4,0
#RQQ9GLPG,Abdafamily,closed,13983,4,0
#RYG8YJ2G,actionbaby,open,18044,6,0
#QJP9CRRV,ahh le cantine,open,17564,7,1000
#QUJGUJ0G,Akatsuki,open,90095,50,6000
#G2PLGU0L,alex,closed,946,1,300
#R9GVL9R2,ALG,open,97481,47,10000
#LLYYUP8U,ALG,open,96463,49,8000
#GYV9LLQ2,alg,open,93305,48,7500
#GYR828J9,ALG,open,30440,9,5000
#LVLC80QL,alger,open,100000,50,10000
#QLPJJGJG,ALGER,open,99928,50,10000
#GYLRQQUY,ALGER,open,98276,49,8000
#QLQV9R2Q,Alger,open,97111,49,7000
#99C2J8Q8,alger dz,open,99361,49,10000
#PGJJV2C2,Alger dz,open,90628,34,10000
#G8PYLGLQ,Algeria,open,94924,50,7000
#LRVUGQV9,Algeria,open,88358,33,9500
#29Q8LU8,Algeria 1,open,96902,50,6000
#YG8YGJ9U,Algeria 213,open,95582,50,7500
#22RRR2J,ALGERIA ELITE,open,96454,49,7500
#GPURY9P8,Algeria FC,inviteOnly,6395,4,2000
#908RQPPY,ALGERIA GHOST,inviteOnly,99346,50,10000
#GLR9YR2L,ALGERIA GLOBAL,open,98475,50,10000
#YU0LLLP8,ALGERIA GOLD,open,100000,50,10000
#YJ088RJ8,Algeria Gold,open,96992,42,9000
#GCCQJU09,Algeria power,inviteOnly,99381,49,9000
#PLUL00UV,ALGERIA RDR,open,98541,50,6000
#QR02QP8G,Algeria Team,inviteOnly,95540,46,10000
#PRYLGGL,ALGERIA الجزائر,open,99414,50,9000
#QV02RL9G,Algeria_Tempest,open,82838,32,8500
#R0VC2289,ALGERIAN BEASTS,inviteOnly,99995,50,10000
#G2C2QP29,Algerian Clan,open,92441,50,6000
#999VUPUP,Algerian Ghost™,open,99648,49,10000
#80RGYJQJ,algerian joker',open,97367,50,6000
#990GPYC8,Algerian Kings,open,95274,42,9000
#GYV029J0,Algerians,inviteOnly,95001,42,8500
#R2CP9JVL,ALGERIA❤️galaxy,open,99968,50,10000
#LRY9RJPR,Algerie,open,97253,42,10000
#8PPY8QRL,algerie cup,open,100000,50,10000
#GRCQQ220,algerie dz 2.0,open,99721,50,9500
#2LUL2UY,ALGERIE GUERRIA,open,99943,50,10000
#G9YQU9V8,Algerien chicke,inviteOnly,100000,50,10000
#RRVGJ929,Algérie royale,open,93879,50,7000
#RGP8C08C,Algérie か,open,96288,45,10000
#RQJJLVPU,Algérie1,inviteOnly,95002,49,0
#GVL9V8C0,algérien league,open,90169,39,7000
#GQJLUC90,ALG❤️❤️,open,968,2,0
#GY8QQ0RJ,all k i da,open,2465,2,0
#Y0UQYRPP,alliance 48,open,99692,50,10000
#G0UCUVY8,alone>-<,open,94706,49,8000
#RRJUV0CP,amour x,inviteOnly,5694,2,10000
#GYY8PRRU,anisboss,open,13782,5,2000
#GYRQG8P9,anti drbin trma,open,44159,12,7000
#QR9LYCYP,anwar no skill,open,100000,50,10000
#GQ8UJVVR,atartor averkan,open,96696,45,9500
#RRU0GYQ0,azerty,inviteOnly,1756,2,0
#GQYJCQ8J,B.T.D,open,89989,35,8000
#GLQJPLLQ,b1_BINAROS,inviteOnly,1945,2,300
#RQL288CG,Bande2tdc,inviteOnly,48047,16,0
#QGYVPQPL,BATNA Dz™,open,74864,20,10000
#GRRJUQLR,BeefyMeatDes,open,33394,13,2600
#CP0CV9,bejaia clan,inviteOnly,73254,20,8000
#R0YC2UU0,belle vue boys,inviteOnly,25963,10,0
#GPUYRPUL,Benne X Vio,open,39421,11,0
#RR28PRCU,besties,inviteOnly,13708,5,0
#GJQJUJCR,bicrav,inviteOnly,46265,14,0
#GQRCYU00,Biernot,open,12215,3,6000
#Q2Q8VCP,Black rock Dz,open,97037,48,7500
#8UQ228JV,black wolfs 16,open,95199,50,4600
#GY09PUJP,bloodhound,inviteOnly,31862,8,0
#G8LJYJGU,Bloodmoon Order,open,99524,50,10000
#QQ2GRQJQ,bomboclan,open,26378,11,0
#RU80CY9Y,bota,open,16614,7,0
#G9C2808L,bros,open,6780,2,5000
#R2RRYJV2,Bruh,open,7300,2,0
#GJC9L0JR,bruh1000,open,39383,13,5000
#GLRPCUQY,BRUNETIERE,inviteOnly,74686,29,0
#RU0RY802,brwita,inviteOnly,30824,10,0
#RVR2PL0L,BTS1D,inviteOnly,13310,4,0
#J08QU2C0,bz le mossad,inviteOnly,3450,2,0
#GV2J9VYL,bórdelmama,inviteOnly,12385,4,0
#QCGG0U2R,ca vient d’où,inviteOnly,44088,10,0
#QCYU9C9R,cesi,open,48417,13,7500
#QUYV2QPL,Cezayir-i Ortur,inviteOnly,25476,10,0
#QJUPJ2L0,Ch5chou5a,open,38865,11,0
#QVP0V99G,Chabiba,open,50933,15,5000
#QR0QC9C9,chaqueta,open,27122,8,0
#GJL2QP9U,chewaker,open,60059,17,8000
#GY9PJCYP,chihani_royale,open,36869,12,1300
#GQPPGQGJ,clach ak47,inviteOnly,22020,5,5000
#QY8CQGV0,Clan #QY8CQGV0,open,93374,43,7500
#RQVLLQRG,Clan #RQVLLQRG,open,41214,12,4600
#8P0U098U,clan alg 04,open,96713,50,5000
#J2JJJU99,Clan Benmenni,inviteOnly,1005,4,0
#J0QQVYG2,clan des dark,open,37164,9,7500
#R8PGGGYQ,Clan King,open,97760,48,8000
#GPVUV822,clash,inviteOnly,9581,4,300
#QJLRVLYL,clash royal og,inviteOnly,10263,6,0
#GLVVRJL9,Combatientes/dz,open,87794,50,0
#J2PCYLJY,COMBATTIVA'20,inviteOnly,24695,8,3000
#GY9U9G89,Constituition,open,6746,5,2600
#R22RQ28Q,Crepuscule,open,28480,9,6000
#R2U2988U,culub soli i pr,open,1767,2,4300
#RYRVC8L0,D-CLAN,open,90860,48,8000
