tag,name,type,clanScore,members,requiredTrophies
#RUR8YCU2,1234567gihutyvm,open,398,2,0
#RPQQ2Q20,6 7 mustard,closed,7625,3,0
#GPCYLGCR,67ers,open,23618,10,0
#G98U82CQ,Abtin,inviteOnly,3460,2,1000
#LLUULCJ2,Afrika,open,6912,3,0
#GYJL92VG,Barbarian hunt,open,3046,3,1000
#QUJCP2G2,belum tidur,inviteOnly,19300,6,0
#GYR0RUP2,bobobollo,open,2386,2,0
#G0GQGJY8,bolondok,closed,40028,10,300
#QGRVRRRV,Chiapanecos,open,25648,10,0
#RRQGUCVQ,Control,inviteOnly,11315,3,0
#G8LCG8LV,Corpus Spongios,inviteOnly,37040,10,1000
#QJP9R28R,Crazy Samoans,open,10294,4,0
#QLG9VUY8,da boys 7422,open,42483,18,2000
#G0GRUCQY,De Kroegbazen,open,38144,8,0
#RRY92YLY,death_trap,open,3984,2,0
#RQCJP8PJ,Defend Kaimuki,open,45698,11,0
#RYUPJPGL,dento,open,28257,10,0
#RV2J0UVC,Fort Willington,inviteOnly,26857,7,0
#QR2YQJQU,Goblin Guild,inviteOnly,13018,5,5000
#9RPQU0VG,House of Pain,inviteOnly,8044,2,0
#R809UVQ2,Islander Pride,open,3653,2,1000
#GQ2Y89Q9,KIRKland,open,54646,19,0
#GY2YVRQY,LAS VACASATORNO,open,2447,3,0
#QGJ9LVLR,LEAVEJOIN3459,open,3277,1,0
#G20UCJGG,lelumasters,inviteOnly,14248,5,300
#J0JUV2JR,lokeyskibidi,open,2105,2,0
#GVQ89RJG,Loki,inviteOnly,1732,2,0
#QVRG2LU9,mamas gang,open,66248,17,9000
#G8GY0RL0,matt67,open,13113,5,1000
#G9PY92JG,MCD,open,37067,13,0
#RLVY0PGL,Murchison Droat,open,4019,1,0
#G8UR9PYY,my van,open,11419,4,0
#G2V0J8UY,ninga go,inviteOnly,767,1,0
#QGG200GL,Perusion empire,closed,1513,2,300
#GRJ9C8RP,pessi,open,4604,2,0
#R209QV9U,prince,open,1841,2,600
#LPRQ9QLU,PsychedelicGuru,open,70535,20,2000
#GL2GPJUR,Ratsfield Flat,inviteOnly,59592,24,0
