tag,name,type,clanScore,members,requiredTrophies
#GPGGVYLC,(._.(,open,14311,5,0
#GUYQGUQ0,-271k,inviteOnly,26483,7,0
#J2G0GYLL,11 Б бротаны,open,13586,4,0
#G9PJ9CJR,1889,inviteOnly,29688,10,0
#RJ892Q8G,25U,open,80652,50,4000
#R280QVCC,27.09.21,closed,5547,2,10000
#G9L80QC0,2소대 はじめまして,open,27343,7,300
#G0GG8R9U,32 Webster,inviteOnly,53808,14,0
#GYR90229,444 ¥€,open,32938,8,4000
#GGJGY2RY,500CLUB,inviteOnly,93258,45,1000
#R2RJ8Q2Q,52사단,open,13739,4,0
#GQYVRCPR,67,inviteOnly,5000,1,0
#RVYP8GP0,67ism,open,7095,2,0
#G29022UP,6974,inviteOnly,35246,9,0
#GGGCPYVL,700k,open,26077,8,0
#9UJYQRRC,=_= DR. WHO =_=,inviteOnly,52552,15,1000
#G9GY2LUP,_____,inviteOnly,36575,12,0
#QYJL2YCY,AbundanceOThing,inviteOnly,38288,12,0
#G2JYJQ9G,Ag@rtha,inviteOnly,41249,15,0
#GPJ2QLCJ,Agarthaa,open,33623,8,0
#RG9QG8LG,Agarthans,inviteOnly,38097,11,0
#GY29VYC8,AGARTHiANS,open,82055,49,2000
#GLL898RP,Agarthians,inviteOnly,27194,7,0
#R2UPYV2R,Agarthå,open,8401,3,0
#R2VUQ8UU,Agatha official,open,4599,2,0
#J28LJVU8,Agharta,open,8670,2,7500
#QJ8JYLGU,Alcoholics,inviteOnly,8015,2,2300
#GPRUUJ80,Ale,inviteOnly,530,1,4600
#QC0V2U9Q,Antártica,open,97541,48,9000
#RJYCJQJR,appelsiini,open,18273,8,0
#GCVJVYP9,ba ba lin lin,open,6309,4,0
#J2YVULRQ,bajenle a pass,open,3951,3,0
#YCPRQ9GQ,bambini tardi,open,35734,13,0
#GJ0GP8VR,Bananen Clan,inviteOnly,41687,14,5000
#QYL0QJRQ,Battle of gods,inviteOnly,46675,10,5000
#G9JQPJJL,Beerus Johannus,open,4069,2,4600
#GY0929C9,BELLAKOS FC,open,18750,7,2000
#QJYJ2UPG,Berrys Penguins,inviteOnly,40222,9,6000
#QL8JQ9YG,bichiclan,closed,8359,2,0
#GJVCLLCC,BinBinsjuice,inviteOnly,17723,6,0
#RUQQ2VQV,blinbli,open,954,2,0
#G2U2PPY9,Blitzer Flitzer,inviteOnly,13519,6,0
#RPQ0V2GJ,bobxckshots,inviteOnly,49277,16,0
#QL8QR0Q9,Broman,inviteOnly,15115,6,0
#G92JQPV2,Bromo25,open,20753,14,1000
#GP9PQRPY,Bros Clan 67,inviteOnly,3796,1,0
#G80R0Y9P,budrel,inviteOnly,17019,6,0
#RG9L0CPQ,BuriBuri,open,35011,14,0
#GP2RQGGV,Burritos,inviteOnly,5600,4,0
#G9YQV2Q0,C.N.X,inviteOnly,528,1,0
#QCQ2CQQ8,Caca,inviteOnly,15110,5,0
