tag,name,type,clanScore,members,requiredTrophies
#J8YPRL,*Empire*,open,96844,50,7500
#G2LJVC8C,2x2 MULTIRAO,inviteOnly,76295,28,0
#RJLLJU9U,67??????,open,2265,3,0
#G2LP8QRQ,Aaaaa,open,11204,6,0
#G89PC20Y,abc,open,5015,3,3600
#GLYYVVJR,Abdul2007,open,175,1,300
#RU9QGJ9G,amigos ou inimi,closed,3671,2,0
#QRC8RJG0,AUA_Killerz,open,95060,45,8500
#RRU2UJJJ,barborbing,inviteOnly,29500,13,0
#GLVQJYVU,binini,open,1165,1,1000
#R88PVPVG,boxing.2pac,open,7939,5,0
#GYJ8GV99,C1poteLand,inviteOnly,2447,2,0
#GYQPGUGQ,Chino Hills,inviteOnly,1177,1,0
#GPRR2QGV,CLASH,inviteOnly,1075,2,300
#GV9C0UG8,coldpalmer,inviteOnly,47925,14,10000
#RUL8PYC0,daggoe jatoch,inviteOnly,6784,2,0
#RC8V9U08,Danajsi,open,4849,3,300
#GLG2P0CY,dark fantasy,inviteOnly,1949,2,2000
#GPP8UGUR,Dexter78,open,12439,6,0
#QU8GJYPY,ebk,open,29777,7,0
#R8GJU29Y,Ecbg❤️,open,53405,15,0
#GU9VLGPY,ehmmmm,open,6811,3,0
#RJG8LUJL,EssebaDio,inviteOnly,26404,6,0
#RV2GY0G2,fk negrotes,open,29432,7,8000
#R2PQQUP8,FLUXON444,open,2855,2,0
#RPQ2802L,G00NERS,inviteOnly,20170,5,0
#QC2JYVVC,goblino,open,99849,50,9000
#G90R2QUL,GOONSQUA,open,43131,11,0
#GLYYJJ2U,Happiest Divers,open,24610,8,0
#GLCGJRLG,hugyosok,inviteOnly,7678,2,0
#GPV0UP8Q,IRANIAN KING'S,closed,3415,1,2000
#GLR80828,ısmanlı,open,13017,5,0
#G0CUQCP0,KIT KAT KLUB,inviteOnly,33695,13,1000
#RJC8J2GL,KUSES,open,11452,3,3000
#QGQYQ8RG,Los doggs 2°CT,open,34246,9,10000
#G2VPG2UL,makakos,open,12939,5,1600
#GLGVVPLC,minigoblin,open,3296,1,0
#RPQJ2YLG,moshi,open,21617,8,300
#GYGPRG09,Ngesinparis,open,84036,45,4600
#GY09UQU2,nïïġæř,open,11426,4,0
#GQLC00GL,odzov gay,open,64452,24,0
#GYQYYPUP,os pastores,closed,5025,2,600
#RQC9PG89,pago fake,inviteOnly,61054,16,0
#G8RPGL2P,PancakeGang,open,73278,33,4600
#G8YQ229V,ProutasseLand,inviteOnly,36080,10,0
#9PQ88G8,Punani Crew,inviteOnly,24509,7,0
#GUQ0GYR0,Puteros,inviteOnly,26205,6,300
#RJJCRVL8,qwe,open,8088,2,1600
#QV90LGP9,Ranked Stack,open,23815,6,3000
#RJ20UCPG,russianękrüt,open,5986,2,4000
#G82PRJY8,sensimilia,inviteOnly,60769,17,0
#YQPY22CC,sgm bauwagen,open,89592,43,5000
#RG99YLUP,spunk bubble,inviteOnly,16871,6,0
#GLY9YUYP,sswarriorsaa,inviteOnly,26622,7,8000
#GYPRRU8Y,takuler,inviteOnly,11348,6,0
#RRUR0YJP,Tori,open,15606,4,5000
#RQJ8L8PL,treelets,open,3376,2,10000
#QRLGYRP0,Uruguayos/as,closed,8638,2,7500
#G98RQQJ0,valo,open,34269,11,1000
#RR0JC9CL,victor hondje,open,54732,15,0
#QLRRJUYR,woolwitch,open,97009,50,7500
#820QV089,Wry Rebels,inviteOnly,75150,27,0
#G9JVL0QP,ytw,inviteOnly,4162,4,3300
#LUYL9JRU,Ñęgrøtêš,inviteOnly,97594,46,9000
#Q9L8V2Q2,Убежище Хога,open,61558,18,9000
#GYL8Y9J0,ابو 6600,open,10644,3,0
#RUC9ULCJ,ازعيم,open,3466,3,300
#GUGLVU9V,البعينه الشامخه,open,15413,4,5000
#RJLLLYG2,الجبابرة,open,5596,3,0
#C9QRLQ,جيش معرة لنعمان,open,85903,35,6000
#RRUQQRJC,حاکم,closed,4238,2,0
#GCQ022VR,زعماء كلاش,open,20404,7,3000
#GQR9LJYQ,سامیار گنگ,closed,634,2,300
#R2L9L0CY,غيدا,open,4285,2,0
#R8GL2QUQ,فراس,inviteOnly,6853,3,0
#R880829R,قبليه الحلولو,open,3672,2,0
#RUPV9G2C,لا اله الا الله,open,27989,9,1000
#RV8LYCPV,مشعمل,open,12996,4,1000
#G08YRUQR,......,open,28291,6,0
#GQPP8P88,212 Heermann,open,89809,50,5000
#GCQ8GRJY,3guysalog+edwin,closed,56038,21,300
#GU9UG8G9,67clan,open,4439,3,2000
#G00VYCPY,8M,inviteOnly,31448,10,0
#Q8UCG0PU,a a a a a a a,open,82396,50,5000
#G08R9Q9V,A Malta,inviteOnly,37430,10,10000
#GRQY89VP,aa,open,31043,14,0
#29CQVYCV,AAA,open,71594,30,6000
#GGJJURP0,Adler,open,25140,13,0
#GUCJQGV9,africanos pipiz,open,18595,9,300
#U0RLCL,Al-Massri,open,64457,21,5000
#GQGC2JYC,alan 222,open,5105,4,0
#G9ULGJ0R,aliyaz,open,9595,3,0
#982C8JRP,Alkuj فرسان,open,23230,6,3000
#Q09R0LVR,Anime boys,open,58375,46,2000
#GP2QQURU,Anti-NlGGE,open,27455,16,0
#QV8C8GY2,AntiL,open,13056,10,0
#GPRQP9JP,arab pirates,open,19920,5,0
#L9L29J9,aruba,open,57909,46,0
#RPRGYC,Aruba Champions,open,77793,50,2000
#LRGY8LQG,Aruba Killerz,open,69791,47,0
#90CPGUY,Aruba Royale,inviteOnly,60505,20,1000
#G8PURUCQ,aruba_squirters,open,9890,5,0
#GR9JCQ,ArubaVikings,inviteOnly,61786,20,3600
#QVQPGYYG,AUA Killers,open,51628,17,0
#YYY8JL2U,AUA-Clashers,open,92575,49,4600
#LQ8G80V2,AuA_Boys,inviteOnly,96939,46,9000
#G2YJ8RQJ,Avenoir,inviteOnly,98801,48,10000
#GPPVJGG0,Awesome Saucers,inviteOnly,38238,11,0
#PV8LRRYL,AXS e-sport,inviteOnly,81615,43,0
#GRY0JJUL,b.n.a,open,82561,47,4300
#G9RRCR2V,Barcelona,open,57853,24,0
#GLVJGUUY,batman,open,31126,15,1000
#QYQQJRC8,Bella<3Gabriel,open,61620,30,0
#RGJVJY2G,BFTXX,open,65306,22,0
#QRJ2GPUQ,bingle,inviteOnly,60734,21,0
#LPGJ9YR0,Bizim ekip,open,43251,31,0
#R920U0GP,Bombengulasch,open,47049,29,5000
#Q0UPUP8G,boston bombers,open,85860,36,9000
#QVCLJG0L,CdG,open,45240,21,0
#G0RLQ8P2,chispi down,open,219,1,600
#RR2C0280,chopped,inviteOnly,33036,9,300
#RJRPVU0,Cierzo's sons,open,20263,8,1300
#G8JP9YCL,CLAM OF WAR,open,22926,7,0
#GYRVR89G,Clan #GYRVR89G,open,43715,18,0
#QCU8R8PP,Clan #QCU8R8PP,inviteOnly,69748,37,0
#QPGCU92G,Clan #QPGCU92G,inviteOnly,48232,16,0
#G9CJ0JLJ,clan homa,open,5423,5,0
#R2VQPJ0U,ClashOtClans2,inviteOnly,7846,2,7000
#209VVQQU,Clube Bienville,inviteOnly,22457,8,300
#YVYG9G99,cobra,open,41877,50,0
#YV8Y08U8,coc masters,open,58672,34,0
#GCUP8RY2,cool,open,393,2,0
#GRJR8RPJ,CR7,inviteOnly,11621,3,9500
#RUYJ2QC9,Cucu,open,4754,4,0
