tag,name,type,clanScore,members,requiredTrophies
#8GYPGGJU,! Swag Army !,open,99937,50,10000
#2JYG9QV9,!!Australia!!,open,99928,50,9500
#200PY0UY,#1,open,99543,50,10000
#G9JY2VC2,#1 JEWISH CLAN,open,98332,48,10000
#QG8YQ99V,#4fun,open,99901,50,10000
#QJRGRG0,#AUSReborn,open,99096,50,8000
#9JVRGRR8,#AUSTRALIA,open,88159,38,6000
#PVQPULP9,#Australia mate,open,98231,50,8000
#RJL8LUY,#POSAIDON,open,99852,50,9000
#2G8U2YG,#THE CLASHERS,open,97067,43,8500
#GLRLQRQ2,$_$,closed,1419,2,10000
#GCV0QQCL,$alvation Su!ts,open,86908,50,7000
#9P9YCC9,$TRUE BLUE$,open,90902,50,4000
#QRC9C0JY,"(0,0)",open,28192,12,0
#CL2GLUQ,*ALL STAR* AUS,open,99499,50,9500
#QUPJPQ9,*no clan do*,open,99890,50,10000
#GYPYV0CQ,0elixer,open,14733,8,0
#GL9V8UG2,1 inch wonder,inviteOnly,11509,4,0
#GRYLQQVV,10 guys 1 dwarf,open,99100,47,10000
#9YL8UJVQ,1000 moustaches,open,94755,50,5000
#LQU2LYCJ,104th,open,99257,50,10000
#RV29LQUL,11th of july,inviteOnly,6753,4,300
#G82R2RJ0,123567,open,70744,43,5500
#G0JJVU92,13%,open,90074,50,8000
#G2JC02CV,13BigBlackMen,open,99360,50,9500
#G0Y8UY0V,1423696,inviteOnly,7732,6,0
#2RG98URC,168,open,99513,50,9500
#GLV0Q2GY,1diot yute,open,97824,47,9500
#GG99C92G,1st War Platoon,open,96124,48,10000
#GL2CYYU0,2 easy,open,99652,50,10000
#GCPY2GVL,2 girls 1 giant,inviteOnly,26415,8,0
#GV9C2LPJ,2 golems 1 cup,open,94760,46,10000
#G88LJJJV,2 wheel idiots,open,76212,50,3600
#GCU28U9G,2.6 Mca,inviteOnly,52342,30,2000
#G9RRJQL8,2.6 Ops,inviteOnly,40144,10,300
#R2J288JJ,2.6PancakeCycle,open,5422,3,0
#RJQYLGL0,2025 Years 12,open,4949,4,0
#GYJUUGJP,23,inviteOnly,21330,9,0
#RUVR9RUQ,2324 members,open,1844,5,0
#QUUGG8,24 Beer Slayers,open,97421,50,8000
#QCQCVURV,24/7 Donations,inviteOnly,98390,50,6000
#Q222J8U2,25 Soldiers,open,97226,46,9000
#GV2GG0VV,2Good,inviteOnly,41395,14,0
#GQLYPY2Q,2Meke teke,open,30010,16,0
#G9GV88RP,2nd,inviteOnly,27753,10,7000
#GJR0CQGL,2unfair,open,15176,10,1300
#GRCJY2YY,2v2,open,93039,50,8000
#G0J8YQYP,3 Crowned ur gf,open,98407,50,10000
#YLC9VUVV,3 Crowns 3.0,open,99431,50,8500
#2QY98V9,3 Star Valley,open,98498,50,8000
#GLQQG8V9,31 ACU,inviteOnly,13903,4,0
#LGPY29YU,3621,open,91240,50,7000
#RLYULGCR,3ree7evMG,inviteOnly,24635,9,0
#QRULR2PV,4 star pirates,open,99771,50,9000
#2P0JLL,4.2.0 GAMERS,open,98015,50,7000
#G2Y9RUU9,404 Not Found,open,99942,50,10000
#GY2PV92C,47,open,97806,46,10000
#9Q0U290G,4Gold And Glory,open,98420,50,8000
#Q0V9C08G,4K Gaming,open,99872,50,10000
#QJJQ8999,4KTWHOYOUH4TE,open,92000,42,10000
#LG9CQJ8L,4nation,open,99561,50,10000
#QGL0Y9JP,4pointed circle,open,98371,50,8500
#GYUCC89G,4sum,inviteOnly,4614,2,0
