tag,name,type,clanScore,members,requiredTrophies
#9UUG2UU0,!OachKatzl!,open,99359,49,9500
#2P9JV0U,!Rot-Weiß-Rot!3,inviteOnly,96860,42,8000
#YV8YYL0Q,!Rot-Weiß-Rot!5,open,96738,50,7000
#Q8PC82CP,!TDW!,inviteOnly,98800,46,10000
#GVJJ2,!Österreich!,open,95477,49,5000
#U0UCGP,"""Austria""",open,95773,50,5500
#QPPQGLG,"""AUSTRIA""",open,95704,50,5500
#82L009LC,"""DerClan""",open,92825,50,4300
#RCJUQJ9,#Amazing Kings,open,96720,50,7000
#22RCL0R9,#Austria,open,98077,50,8000
#LP2QLGGP,#AUSTRIA,open,95570,50,7000
#2JQRG0U,#Austria#,open,99956,50,10000
#2QUV9PV,#AustriaArmy,open,98816,50,7000
#2YP8J8G,#AustrianArmy,open,99700,49,10000
#VGJL,#baumax,open,97477,43,9500
#8L9LJ0GU,#BLACK AUSTRIA,open,97861,50,8000
#C8QYC9J,#Black Dragon,open,93633,50,5000
#202PRV29,#ClashArmy,open,95157,50,5000
#822LJG9G,#ClashKings,open,99576,50,9000
#2CPVUR,#ClashOn,closed,97723,43,10000
#YUP08UQR,#Hashtags,open,97050,44,7500
#RPGQ28C,#kleinundfein,open,96681,42,7500
#82JQVVQQ,#Liebe Freunde,open,99924,50,10000
#890YRGV,#ProGame,open,96800,50,7000
#P9UPJ99J,#Royal Austria,open,97803,50,7000
#2LLV22P,#royale Austria,open,92295,50,6000
#28LRPC2P,#royale zocker,open,95002,47,7500
#90CGC0CC,#woodquaters,open,95804,41,10000
#29LPCQ8G,#österreich,open,99804,50,10000
#PVVGPP8Y,#Österreich,open,97662,50,5000
#9R9LGC8R,#Österreich,open,96754,42,9000
#L889LU2J,$MxG$,open,99364,50,7500
#GYQR9JYL,('_'),open,1204,1,2000
#8Y08J80,-!BANANA!-,open,97557,50,6000
#20YGPY20,--AWTN--,open,92518,45,5000
#GP8VYCGV,-=[€ntenhauseN],inviteOnly,9304,5,0
#8JU98Q0,-ZOCKER-ELITE,open,97487,50,8000
#GPGC0Q00,..-..,open,2918,2,0
#LQUYYQJC,.austria.,open,94295,39,7500
#RQYQCP98,0block_Demons,open,24856,11,0
#G0PLGQ0J,1. FC Thunder,open,95712,44,8000
#PVYPC82,100% Nature,open,99823,50,9500
#90Q20PQ,100% Österreich,open,98899,47,8500
#YV28GQYV,100%Österreich2,open,99488,49,9500
#GJUP8YJR,100er Nuggets,open,64903,21,2000
#LJJGVQUJ,1110,open,99684,50,9500
#GVPQ8C2L,1210,open,13095,3,0
#QC2GVYQL,133 Memba,open,100000,50,10000
#PUJLVGGL,146 Vienna,open,98540,50,8500
#RQRPYJJ9,1899GrünWeiß,open,82085,34,6000
#8LGV9V,1A,open,93629,49,5500
#RYCV9PVJ,1AFELC,inviteOnly,32048,10,0
#QLG8RVJY,1AHWII,open,94133,48,9000
#GQLCC80L,1BHITS,open,81951,42,7500
#RQ9GJ0CQ,1BHME,inviteOnly,51232,17,0
#L99280YL,1BL,inviteOnly,13413,8,1300
#GQUJUL0Y,1CHIT,open,87045,46,7500
#RGQPQLUV,2.BauPi Zug,open,57026,17,0
#YV088JP8,24 hours,open,94194,50,5000
