tag,name,type,clanScore,members,requiredTrophies
#QU28Q0C9,#KILLER#.klan.,open,92340,50,6500
#R0G9UY20,*S*V*A*Y*A*K*,open,88050,50,4000
#CQJR2QP,-M1Rac!e-,open,98476,50,8000
#J20R0Q08,.31.,closed,9048,5,0
#GY0JJ8R8,1234567890000,open,12321,7,0
#G9UURUQC,3-1,open,65075,33,1000
#GQJL0LCJ,317,inviteOnly,27518,8,0
#GLC2UP9L,31Zencileri,open,6547,4,0
#GUJCVVQ9,4 lü,inviteOnly,17666,7,2000
#RYRQRPJY,4RCE,open,94249,49,6500
#GYQYCPLP,4wizard,open,7250,2,0
#RJPUGJRV,5252,inviteOnly,19995,6,0
#GYY8PRR2,721.22,open,37382,14,1000
#GLURPGR2,722 a,open,18364,8,300
#J0VC8VV9,8Ateám,open,666,1,2000
#RYJP8CJC,9 лицей,open,88249,45,6000
#RLPRVL9P,<AVENGERS>,open,80647,32,5000
#RJQCRGVU,a graça é o não,inviteOnly,26583,10,0
#GV9CC0UQ,A.B.T.D.M,open,20508,6,5000
#GQ2P2UL0,A.F.R.O.,inviteOnly,25272,9,1000
#QVGGCUVR,abc_jack,closed,14412,3,7000
#GL9YJ2C9,adhdhdhxh,open,13043,4,0
#R8Y8GCGC,AE TEAM,open,14861,6,2000
#R0G28LRC,AGDAML002,open,2490,3,0
#QVGYJL9P,AKATSUKi,open,80589,36,5000
#RR2CJL2C,Akuma no Kutsuu,open,88214,47,4000
#GYY8QYG9,Allahsizl@r,open,14965,5,0
#QU9CJY9G,Alliance,open,90539,38,7000
#G2J9JCPY,arg los monos,open,67551,35,600
#RJJ99LGJ,ASOİU,inviteOnly,17326,5,0
#J0U0UR90,AVİASİYA,inviteOnly,17050,5,2000
#GYR8J9YR,Ay Yıldız,open,4868,4,0
#GYRUUVJY,ayseloss,inviteOnly,531,1,0
#9LU8CRVQ,AzBaku,open,96955,43,9500
#QUVYRJVP,Aze,open,99345,49,9500
#QRCRR82V,aze,inviteOnly,97690,44,9500
#QUP8GYL8,AZE,open,93521,40,8500
#G29U02C9,AZE,open,90072,50,7000
#GYQ2LLU8,AZE,open,4535,2,2600
#2CJUU9GU,AZE BakU,open,90797,44,8000
#QGCQCQLJ,AZE CLASH,open,99283,50,10000
#RL0VGGRY,AZE CLASH,open,88393,49,9000
#QUU9UU0L,aze editors,inviteOnly,23912,7,0
#9G920UUL,AzE Elite,open,99313,48,10000
#GGL9L2C0,AZE legend.2,open,91534,49,7500
#G0L88YGG,AZE Legends,open,99664,49,10000
#GPVL8R02,AZE NO1,open,12162,9,1000
#8VGPLLUP,AZE QARABAQ,open,94121,50,5000
#QJUU988V,AZE QARABAĞ,open,100000,50,10000
#RYJUG2G2,AZE Royale,open,94502,50,7000
#R8J2J09G,Aze team,open,98108,50,7500
#Q8J8GYC9,AZE TEAM,open,95019,50,7500
#GPGQ8JRU,AZE TEAM,open,74351,48,7000
#LQVYCQQU,AzE TeaM 0502,open,96783,50,8000
#L9CJ0002,AZE WARRİORS 2,open,97457,50,9000
#GLGG9R2J,Aze Wolf,open,99248,49,10000
#GQ000RQC,AZE YOUNG’s,open,37724,13,0
#Y2ULGPJP,AZE.Baku,open,95078,50,3000
#Q9LRR0JC,AZE.TEAM,inviteOnly,24749,9,8000
#GCUY0RU0,AZE_CLUB,open,9975,4,0
#LVQV8UYR,AzE_TüRk,open,97147,43,9000
#89CGUYVJ,AZE_Warriors™,open,94043,42,10000
#RUVRRLUY,AzeHUB,inviteOnly,28759,11,5000
#QUQ2PPQV,AZEİMPERYA,inviteOnly,829,2,0
#GLLR2CCU,AzeLegend RB,open,90721,48,6000
#QYRQPP2U,Azerbaijan,open,100000,50,10000
#L9CLVLYV,Azerbaijan,inviteOnly,99853,50,10000
#GGCV2LP,Azerbaijan,open,99105,50,10000
#Q89CRRR9,AZERBAIJAN,open,98135,49,8500
#GQRQP090,Azerbaijan,open,96533,49,8000
#Q9GUGVQ2,Azerbaijan,open,96419,50,7000
#28VY00QG,AZERBAIJAN,open,96348,42,10000
#PYGYV8VJ,AZERBAIJAN,open,96173,48,7500
#UG0Q8RV,Azerbaijan,open,95242,41,7500
#82QVUG9R,Azerbaijan,open,95207,46,6000
#P0R8YY8,Azerbaijan,open,94519,50,5500
#RLPJ80CY,Azerbaijan,open,92510,41,9000
#92VYUCV9,AZERBAIJAN,open,92451,37,9500
#RP9YR2RG,Azerbaijan,open,89464,50,7000
#GYRUG0GR,Azerbaijan,open,88209,38,4000
#LPLG2C82,Azerbaijan,open,87531,35,8000
#RU99JGRC,AZERBAIJAN,open,38733,14,2000
#GJ09LJGY,azerbaijan,inviteOnly,12188,3,6000
#GQP80J0V,Azerbaijan,open,6710,4,0
#LR0YGCLY,Azerbaijan,closed,4819,3,0
#G9JCVGRP,AZERBAİJAN,open,3420,3,0
#J22CUPUL,Azerbaijan clan,open,2015,2,1000
#GYYCCY90,AZERBAIJAN WAR,open,92761,36,9000
#88JL89VR,Azerbaijan™ ||,open,99861,50,10000
#LG8C8VL2,AZERBAYCAN,open,100000,50,10000
#GPLPRJJG,AZERBAYCAN,open,100000,50,10000
#QQJ0RPJ2,AZERBAYCAN,open,99991,50,10000
#2UGC9JL,AZERBAYCAN,closed,99861,50,10000
#GQCU09VQ,AZERBAYCAN,open,99018,50,8500
#GLQYL9JU,Azerbaycan,open,98095,49,8500
#8PYVLC80,AzerBaycaN,open,97953,50,7500
#YUGPQJJL,AZERBAYCAN,open,97515,50,8000
#L0YPVGY,AZERBAYCAN,open,96017,45,9000
#L0J88L,Azerbaycan,open,95879,41,8500
#992U2VRC,Azerbaycan,open,95725,45,8000
#GJ9QULQ8,Azerbaycan,open,95374,50,6000
#YRRLYYU8,Azerbaycan,open,94069,50,6000
#8PP8RQC,Azerbaycan,open,92531,49,7000
#GP99YC,Azerbaycan,open,92073,50,3300
#GGG9RC2Y,AZERBAYCAN,open,91115,44,6500
#YVR0RR0G,AZERBAYCAN,open,90353,50,5000
#GGPVR2CP,AZERBAYCAN,open,89830,50,5000
