tag,name,type,clanScore,members,requiredTrophies
#JQ8JU2Y,""" BD HEROES""",open,97158,50,7000
#29GU9UV,"""FNF BD""",open,96992,50,7000
#QRUUY2VG,#CR Før Fün,open,98663,50,7500
#LV0J92PR,#My Kingdom F,open,98012,48,9000
#GL9YRJCU,*Incredible*,open,98424,45,9500
#LGPQ20,1 Bangladesh,inviteOnly,91840,36,8500
#YQUGQ0VL,1074,open,93050,50,6000
#G29VYJ8Q,15 NO,open,95291,50,9000
#YVJQJY88,1971,open,93302,50,6000
#GV98URC2,1n-only-Chempho,inviteOnly,1782,3,0
#2YC2890R,221B,open,95362,47,7000
#QYC2CGJV,24,open,44889,21,0
#P29JYLR2,404 eRrOr BD,open,98706,46,9500
#GP0VJ9UU,53xx000,inviteOnly,9464,5,0
#G0R28VVL,9/11,open,94167,50,9000
#RQJ99Y08,A BG Clan,open,93614,50,5000
#RGQLG2UJ,Abuhani BD,open,80645,46,5000
#G929QVLY,Aerial SPIRITS™,open,96255,49,7000
#R89VJRCR,Afonso,open,734,1,0
#Q0V2LQR2,aghdum baghdum2,open,98588,48,9000
#QCLR08GG,AH,open,96300,50,8000
#R9QLYLP9,Ahmed Bros,inviteOnly,91670,50,0
#GU9VQQY2,Akatsuki,open,36180,10,0
#PJG2CL2Y,AMI AMAR MOTO,open,96870,46,9000
#GYRV8UR9,Amici di Kebab,open,43752,10,0
#9JGY08PR,Amra Vai Vai,open,99189,49,10000
#JYR82QY,ANGRY GAMER,open,99279,50,8500
#QPU8LRUP,Anime,open,100000,50,10000
#R0V82VR9,anondobazar,inviteOnly,8795,3,0
#QV9Q0YG0,Arena Of Rex,open,99255,50,9000
#R0J0PY99,ArnbSrkr,inviteOnly,3663,2,2000
#GPCU8JJP,AS ACES,open,21480,7,0
#G8JGJQUU,aso r jaw,open,18655,10,2000
#GQ2GL9LL,AUTISM TROOP,open,2050,2,0
#QQL2QQ82,Avengers,open,97682,50,8000
#J2YPYJ28,Avengers BB,open,15942,5,0
#QJ89CU20,Awami League,open,92632,49,5000
#RLVJ22V0,AYVAS3X,closed,28989,7,0
#LGQGGQLR,Bad Guyz,open,94076,50,6500
#LUV92LYG,Badge Of Army,open,97930,44,8500
#8289UJC0,Badge Of Bro'S,open,98769,47,9000
#QLY2JGQQ,Badge Of Dragon,open,99637,49,10000
#Y8G09Y22,Badge Of Friend,open,96709,50,7000
#QQ8JUY8L,Badge Of Honour,open,100000,50,10000
#LP28GVQ2,Badge Of Kings,open,99026,50,8500
#Q99YUPYJ,Badge Of Legend,open,99515,50,9500
#LUJV8YYC,Badge Of Rio,open,85088,45,6000
#Y2JVJVC9,Badge Of Rise,open,97644,47,8000
#2YPP0Y0,Bangla Hunters,open,93200,37,9500
#9CVP0G9R,BanglA RazzO,open,98564,50,9000
