tag,name,type,clanScore,members,requiredTrophies
#8J08QGLG,!Don Padrino2!,open,97350,50,7500
#PC9C2YGJ,!ROYALE!,open,96509,40,9000
#8PPQGUL,"""Le Potager""",inviteOnly,93159,41,3000
#G8LU2UVL,"""Royale Family""",open,91573,35,8500
#29JL0Y9,# Gangsta #,open,93583,49,6000
#QUQ9GYUJ,#1Belgium,open,99989,50,10000
#JYLPC,#belgium#,open,99992,50,10000
#2YCJVCL9,#Brigade Canine,open,90529,49,10000
#9QY2QVGP,#Fw$#,open,93136,47,5500
#Q0YC8V9R,#GeerinckKR,open,94305,49,8000
#L9C2YJQL,#KeLaWin,open,97521,42,10000
#YVL80LLC,#SemFlo,open,96786,49,7500
#9G9GCUY8,#WeAreBelgium,open,99359,50,10000
#QR90UCUQ,'tVloams belang,open,98385,50,8500
#2CLRYV,-=BE KINGS=-,open,98271,50,7500
#LCQYGJJC,-VLAAMSE LEEUW-,open,96957,47,8500
#QJ9GGVP2,-ZaPi,open,97900,43,10000
#GUJCR8UJ,-Zapi 2,open,98332,50,9500
#GYVRVULU,.......,open,6754,5,0
#82PRCJYJ,..GV..,open,27179,9,1000
#GPPQRC98,0207,inviteOnly,2150,3,0
#R8Y09L2L,1 million beers,open,99262,50,9500
#GU08G0PL,1.PL,inviteOnly,65813,21,0
#CUQ0GQ8,10 op 10,open,97497,50,7500
#LV99GPPY,100%belges,open,90276,50,4000
#GGLCRCY2,10k rush,open,2164,3,300
#RGGUQJPG,12%,open,74687,35,5000
#RY29VCCY,13bm,open,97114,49,8000
#GPL9JYCP,1495 Prime,inviteOnly,52272,15,3000
#GUUYYL8G,15 juillet 2025,open,16372,6,1000
#G9R2PQ89,165 SSMW,inviteOnly,92152,50,0
#G2QGPU8U,17e Bunt,inviteOnly,86914,45,0
#QY9Q0G2Y,1hiterh,open,80227,27,7500
#R9GVQJGL,1v1 Robin,open,35861,16,0
#GLUY2YYP,1v1 tryhard,open,98216,48,10000
#20QG0JJ,2 koppel tetten,open,95279,50,5000
#RC8P9209,22 SKIBIDI 22,inviteOnly,65901,26,0
#GYRJCRGQ,27SALAUUDS,open,50810,17,0
#L8LLLYVR,2830,open,93369,45,8500
#YVJURQ2C,2b best,open,98497,47,9500
#QJGCYCL2,2n klasje,open,99703,50,9500
#Q2QPCQUJ,2V2,open,78692,34,7000
#G8U82U29,3 mousquetaires,open,79262,36,8000
#GRG09CY9,3 ème legia,inviteOnly,59455,33,0
#R2JQCYGP,31/08 A+H,open,5161,3,0
#PQ2800PG,34,open,96952,50,5500
#CCY2URU,3j best,open,69988,22,7000
#YPPYVG,3ème siège,open,93142,49,4000
#GPGCQRRR,4 coinsdumonde,open,87781,50,2000
#GJGV99L2,4/402-5 LOUV,inviteOnly,6936,2,0
#G828R2PV,45_debza,open,89203,44,10000
#RR20JPL0,4ever,inviteOnly,3798,2,0
#PPP8LLJQ,4h20,open,94648,49,6500
#GGV2PLP0,4NTW3RP,open,98630,47,8500
#G008GLV8,4QEM,open,74067,50,3000
#RYCUJ22C,4re3,open,35122,12,0
#202JVCL,4rroW,open,90311,50,4000
#YC08GG,4SCA,open,95497,50,5500
#LG0YLGY2,4TQ,open,98482,47,9000
#R2VJGUGY,4TQEM,open,31615,16,0
#GGQVQJRQ,5300,open,55547,20,3000
#GY8LJGQ9,5D,inviteOnly,38345,16,0
