tag,name,type,clanScore,members,requiredTrophies
#PLUQL90U,benis,inviteOnly,94423,48,0
#GGPG2PQJ,Birramoretti,open,18879,5,300
#GRV2C2VR,bote(namos),inviteOnly,26905,11,0
#QG9L8R9R,Bovine Supreme,inviteOnly,18396,6,0
#GG2GUJG8,BRESS'BAND,open,39429,9,0
#P02LLVRY,chaboonians,inviteOnly,95426,50,7000
#R2UCLCR2,Clan #R2UCLCR2,inviteOnly,81966,34,5000
#GV0LG89V,CMM,inviteOnly,62283,28,1600
#RQYRVGRP,Dababies,inviteOnly,47513,12,0
#R28QL28P,DEFVILL,open,13217,4,10000
#RY9YJJCR,die konstis,inviteOnly,77946,28,8000
#QLJU0VJY,easy to kidnap,open,69911,27,0
#G2P08Y0Q,GAY RAINBOW,open,19451,5,1300
#QPRVVGQ9,gustyyyy,inviteOnly,49891,11,0
#GPPGG92L,I AM YAG,inviteOnly,43168,11,2000
#GYJ92QVG,Insano-_-,open,858,1,300
#J0QV0YQC,les BG,inviteOnly,48978,13,1000
#GYCQ0208,los bros,inviteOnly,8857,2,7000
#G8P20V02,los españoles e,open,22861,8,3000
#RVJ0Q9LL,los pros [hack],open,3484,3,600
#G0V99PYY,MKGTO,inviteOnly,3894,1,0
#G2VUQUG9,os símios,inviteOnly,24888,8,3000
#G28CL8J9,papucho,open,7463,4,0
#J2YCRGPV,paunaxota,open,10914,3,3000
#GU02QV28,rosso 67 non,open,8251,3,1000
#G0JV9UPG,Seborréia,inviteOnly,6315,2,600
#Q2YUV8PU,SUPER TEAM,open,5007,2,0
#RL9GL0VY,this you,open,66100,20,0
#QV8P8Y0C,trem,inviteOnly,8606,3,1000
#R2992GVR,Tres mosquetero,inviteOnly,11918,3,0
#R29U2JCG,tropa do 3,open,4148,3,0
#YUY8JJPL,TÜRkLER ölmez,open,8399,2,9000
#R0YQ2P0L,VERB,inviteOnly,4054,2,300
#Q29J99U9,Vivate_17,open,8614,5,5000
#RCLPU8PC,XZ_DANZIN,open,27611,10,2000
#RQ99G92Y,2v2,open,65869,20,0
#RPRVVUGV,75,inviteOnly,36111,12,0
#GRJRLP99,AZAIRUS P'25,open,46754,24,0
#QUQJ09RL,bandalen,open,15923,16,0
#Q99PP8GG,Bande de chiens,open,71812,37,0
#GLQ2LLRU,BanditaStarFn,inviteOnly,58852,29,0
#G2G2J8,BDA High Grade,open,60982,32,0
#G09J202G,bermudian boyz,open,53802,39,0
#L229RU8L,BERMY BANDITS,inviteOnly,84908,37,6000
#GY99P8JJ,Bermy Clan,open,3933,2,0
#Q0PU9VPL,Blue killers,open,27995,14,1000
#G80QPG82,booger eaters,open,62158,26,0
#QVUVJUUV,BOOTYSLAPPERS,open,34132,17,0
#GRUPJCJJ,Boris Crew,open,81372,43,6000
#GQR22GCP,br,open,12517,7,0
#GPCL9UUP,C.V.L.F.,open,3798,3,600
#GRVY0JJ8,caca,inviteOnly,47292,26,0
#LP0Y8LVG,CB,open,53962,24,3600
#RVQJ088R,Coca Cola,inviteOnly,59385,21,0
#GURQJ9L2,da boiz,open,33490,17,0
#GYRLYY8V,Dark Rose,open,33704,15,1000
#R2P0CQUY,DavidAnnan,open,79474,38,0
#GURCU299,Devils Isle,open,59260,19,5000
#G9RPC2GP,DODOLI,inviteOnly,5744,3,0
#20CG2J8,Drunk Islanders,open,76522,49,0
#GGGLYP2G,Dubai Theodora,open,91960,50,0
#LG0G9Q80,Dubs Only,open,66615,27,0
#L0CRQ9JL,Duro y Tupido.,open,9007,3,6000
#G8RCYQ29,Dégomme tout,open,8787,3,0
#LJPPLUYU,EL BLOQUE,open,18692,10,0
#GLUVQU2L,Evobus GmbH,open,49326,14,0
#2RPPCG,Fearless_Gaming,open,40636,16,0
#QRQR92U9,FTN,open,91824,46,0
#G0JYVVUQ,Gamblers Unite,open,34870,12,0
#QLR8YVGR,gayto,closed,37388,17,4000
#GLYPY0LU,GGG,inviteOnly,3054,1,1000
#R08RQRQY,goblins,inviteOnly,10173,7,0
#GVGRG9YJ,good luck,inviteOnly,7588,3,3000
#PRJ28VJ0,gugana,inviteOnly,80668,47,2600
#QJY2Q9YC,Hermanos M&M,inviteOnly,3029,5,0
#QL2PLQP2,Hijos De BENIJU,open,49239,30,300
#Q89GGP9C,hipposarebetter,open,61813,32,0
#G2QVYQ22,hoboerectus,inviteOnly,64793,22,0
#R89GPVP9,HoT_Girls,open,36723,9,6500
#2P82CR2U,juegagerman,open,31448,32,1000
#G2JU9VPU,just get better,open,86582,34,6500
#QJ98GYUQ,jville groomers,inviteOnly,85677,47,0
#GJYGP22G,kaverit,closed,4186,7,0
#QVGR0GCG,KentAveAnglers,open,48679,23,0
#GCYCUVVP,la masturband4,closed,25291,10,0
#QR9PRCJY,LecherosGang,inviteOnly,88458,47,10000
#GCU9J2VR,legg Sy,inviteOnly,18557,7,0
#G08QQ9R8,liam is Gay,open,51752,15,5000
#R222GCY8,Los inocente,inviteOnly,15385,6,0
#GQU02JGU,Mikey D’s D,open,84856,44,0
#QVQQLVQC,mollet pelaos,open,58980,18,6000
#QQJJCC8R,money Muchers,open,68874,34,0
#G929Y89U,Monkeys69,open,29643,9,0
#QG8JP0LY,muie vica,open,71771,43,0
#LYRR00GL,México,open,14600,9,2300
#LR0Y222L,NobialiOffl,open,17444,8,300
#GGQ099JY,ODPHUTOS,inviteOnly,49030,14,0
#RC2UCQ0Y,os guri da otto,inviteOnly,18263,7,1000
#GQYPUJR0,Os Jack,open,56114,19,0
#G8LC0822,Os Primatas,inviteOnly,80068,37,3000
#QVRQJCGJ,OUPS-_Gang,open,56938,21,2000
#RCYPCGY2,ozi,open,50683,18,6000
#QVVR2UQG,paulinee.vrb,open,56113,20,0
#GPUJCLQR,peps,open,65347,19,4600
#RJRC0UQR,perturbados ¿,open,19872,11,0
#GJQV8U89,Physics Clan,open,57962,32,0
#G9YJQYQC,Pingolas Masto,open,29542,15,0
#LPPLPPYY,PolloCampero,open,69996,36,2300
#YP9V9JLC,poopscoop,open,26742,14,2000
#Q0902V9V,Premium Family,open,46125,34,0
#G22LYQC8,profeta emme,open,42680,12,0
#GVGQ8LQP,RAJ-Khy,open,11049,4,1000
#G2GUUQ0G,Rick maranza,open,28265,7,1000
#R2RGUPLR,RIUGA,open,7695,4,600
#LU89GU8C,SABONES,inviteOnly,12505,5,0
#QV8CP29Q,SAMC,open,14256,3,0
#RCPQRVJQ,se que sabe,inviteOnly,6546,3,0
#J0PRPRLR,siks seven,inviteOnly,8768,4,0
#GY080L0J,siu pepe,open,6331,5,0
#G99PCULP,skibidi sigma c,inviteOnly,6845,3,0
#RCCQJCPQ,socrateswho,inviteOnly,938,3,0
#QJCCQQLY,ST WORK,open,60140,29,0
#PRJP2029,STAFAVAH,open,62408,20,1000
#GLU0LGCC,STEEZYBOYS,open,21728,11,1000
#GRVVRLCG,Storytime,inviteOnly,52954,17,300
#GJ98C9UC,Stremeleag,inviteOnly,34969,10,0
#RY0J2CUL,SumBermBies,open,41295,10,0
#QU2R0V9Y,sunion,inviteOnly,73837,26,0
#P0YPQ0QQ,Suprememe,open,37089,15,3000
#R8PYY9RP,SWAG_42,open,42778,19,0
#RG2RQ09U,SweetBabyGeez,inviteOnly,14563,5,0
#G8R22LL0,TaahadPettiford,inviteOnly,49041,15,0
#QYUJQG0C,tamales34,open,40255,17,0
#RULGU8VV,team nica,open,5728,6,0
#GYVUU2Q0,The Bombers,inviteOnly,9794,3,0
#GQGGGJR2,THE KONZTOL,inviteOnly,17362,6,0
#QLG0P0P8,themandem,open,81600,37,5000
#GJ8CLJP0,Tiêm tuoi,open,8965,4,0
#LQRRUYQP,TNS,open,60427,24,0
#GYY0U8P9,totokromo,open,11111,4,0
#G8GR99RC,técnica 3,open,22188,12,0
#QQYRYJU8,Ubuzzy Diamonds,open,21657,13,0
#L2L9VQC9,v@gnias,inviteOnly,63178,23,1000
#GGUJPG08,WA,open,74102,49,0
#GUPC89P9,warwick bears,open,49611,28,0
#QJC99VYP,what the grif?,open,58305,32,3600
#GC2V2Y8G,Zbořil Stolek,inviteOnly,30488,11,0
#QL898CQ0,Zims house,open,33665,14,0
#L8VG82JG,Zona Gaming,open,82073,45,3600
#2JPV99G0,Драконы,open,65594,50,1000
#QCG9PL9P,Золотые Рупаса,inviteOnly,52622,18,300
#GYLJYYCV,Семья Витали,open,15696,8,0
#RCQYQGYC,יהונתן מורדכי,open,4713,3,1600
#QYJLRURP,افلاطون,open,43698,20,600
#G2L9UQQY,الفسوه الكونيه,open,15753,9,1000
#QURRR0CL,برو,open,34726,17,0
#G89U2RU0,خفن های کوچه ۱۹,open,23522,24,0
#R90V0YYU,⚜️овнеры⚜️,open,86157,47,7000
#GLG89RG0,たいち大好き,inviteOnly,57024,18,0
#QQP02PJR,叫爸爸才能進,open,89413,49,0
#QCGG0PPC,마크뚱,inviteOnly,91218,49,5500
#GP9UP9RL,야르,open,19062,6,10000
#G92VU00J,지우뱃살맛없어,open,64426,27,0
#GQUCUQY0,진하와 친구들,open,91095,47,300
#G8LRY089,31the poster,open,5372,6,0
#YJRPYQ28,40tena septima,open,39500,23,0
#L2Q92GR,Alkarrinhos,open,39890,17,6500
#YUR80RC9,BO,open,21874,39,300
#QCVPQ2LJ,Cam Bam,open,29825,14,0
#G2Q2L0LQ,Goblin Gobblers,open,25212,7,0
#Y0CCGPGR,IEJ bball,inviteOnly,38598,20,0
#QJPRLPJV,Kas Adamlar!,open,33813,11,2000
#RJ9L99V0,LOS MP,inviteOnly,3508,4,0
#LUC0GCPC,los prooos,open,12092,7,0
#LYL8UP,munch-attack,open,24065,16,0
#QLL28YRJ,Red Drew,open,49373,23,0
#PQ0PCVL2,SPX,open,47611,25,0
#L0PJ9UJJ,SUSke,open,20042,12,0
#RQ0VC8UR,W26,open,37260,11,0
#8PYGCCU,we are tangkhul,open,29402,35,600
#LR09VLV2,нарики2222,open,32719,13,7000
#QVVYY9VV,С.В.О,open,43238,18,600
#QRP8YG0P,اوفر زق,inviteOnly,36941,19,1000
#L92ULPLL,阿弟聯盟,open,27184,17,0
#R09RC822,静かに。ここは静寂なクリスタル,open,49494,16,5000
