tag,name,type,clanScore,members,requiredTrophies
#RPGULQY8,5v5.EZ,inviteOnly,46992,13,300
#R08JRQG9,67 gang,inviteOnly,8299,3,3000
#R80C2PVL,Aamutähti,inviteOnly,14438,4,2000
#J0YRR8PY,BBD Enjoyers,open,14703,4,6000
#QG828P9G,Bukkii¡¡,open,23907,5,4000
#GYQPUJ9Y,clan de lait,inviteOnly,76553,29,0
#GC2ULYC2,Clã #GC2ULYC2,open,80951,47,300
#28PVGLR8,Druk Iron Fist,open,90504,50,5000
#GYGCGG9G,ebeni,inviteOnly,5071,3,0
#G0Y22CQJ,Gamblin Machine,open,22410,6,300
#GCP2RVLR,GB colono,inviteOnly,22401,6,8000
#GGRYCLQC,Homensafetivos,inviteOnly,26678,10,0
#G82U28UV,Imperio perrón,inviteOnly,50057,16,0
#R0098002,inesqueciveis,inviteOnly,4379,5,0
#QCYCJQ8G,JuancriKabron,inviteOnly,31920,9,0
#RR8UPYPJ,Larisinhus,inviteOnly,51667,12,1600
#GPYR9CJP,LarmaXOven,open,4800,2,0
#GQLVG9PR,legend of poo,inviteOnly,42660,14,0
#GLP8CR9Q,Los boleros,inviteOnly,17261,4,0
#QV299CU8,los voids,open,1635,1,0
#RL88G0JR,Madison SPA,open,26692,10,0
#R09PJ9Y0,Mega Bitorneira,inviteOnly,11808,9,0
#QJG0JY2L,meu p,open,41231,12,0
#G28CCRJ0,MUSG,open,24364,7,1000
#G9G9RCLU,os guerreiros,inviteOnly,6724,2,0
#GLYV89JU,OsPikadeMel,inviteOnly,11325,4,0
#J2P8CUP2,pisyn,inviteOnly,2960,2,3000
#QV8URQ0,PLAYA NATION,open,98043,49,10000
#Q2CLY88Y,pushdestroller,inviteOnly,3697,2,0
#GLRG9028,RCPEMYENEMIES,closed,7404,2,6000
#RJJ8U0UV,REINO CLOVER,inviteOnly,1283,2,0
#GUYJCU02,ring de macacos,inviteOnly,9579,4,0
#G0VJ0JQJ,schwarzer regen,open,78991,36,0
#RL000JJ0,SIDERO,open,53727,16,600
#RCYL9002,Vai devagar pai,open,20466,7,0
#GYLLP2J8,ze amores,open,28308,10,4000
#G8Y9R2VV,zesty club,open,33293,12,0
#G2G0PV09,пещера бабы иры,open,51016,17,3000
#GL88CCLR,Сос,inviteOnly,7901,4,1000
#G2RJVV0J,хог райдер,inviteOnly,7583,5,0
#GLU2PP28,暇人,open,11826,3,7000
#YC8C9G8C,( ͡° ͜ʖ ͡°),open,26450,8,3000
#GJJ09PUQ,25/aço,inviteOnly,45652,16,0
#LQVGVV92,2PEKKABLE,open,86293,41,9000
#GQPV290J,3afw,inviteOnly,45039,13,8000
#RGY20U2Q,3°H,inviteOnly,23107,9,0
#RRCJCJC0,67,open,8063,3,1000
#G8PGU28U,A-N-R-L,open,12576,3,0
#GY89L80L,ANTISYSTEM.__,inviteOnly,3221,3,0
#GJUJVJJJ,Beira Rio 06,open,37759,21,0
#LCP88VY8,Bender is mid,open,56405,50,0
#GY02LRUQ,BHUTAN,open,69621,50,3000
#PPYJYQ2J,BHUTAN,open,60520,50,0
#YYQL22LJ,Bialers' Felter,open,83118,50,0
#QPQ0VYQQ,Big Gomases,open,54468,18,3000
#RLJJJL20,Bolaytainttaint,open,72560,36,0
#G90L09CV,boycetas,inviteOnly,28114,11,0
#LJ2RUGG9,BRASIL,open,31561,19,0
#R9J82YR0,BUCS,open,96622,44,8500
#QYQVR9JY,buh,inviteOnly,24379,10,0
#RYCGLLQQ,CAMERA PRIVE,inviteOnly,33153,12,0
#GPVRJP08,campo de arriba,inviteOnly,20529,6,0
#G8VYJ88P,CasataPizzomaso,closed,45925,12,0
#GG9J9898,CFC do clash,inviteOnly,34992,14,0
#QG8L8CJ8,Clan #QG8L8CJ8,open,51840,42,0
#L0Y0LU8G,Clan:  #L0Y0LU8G,open,91494,41,10000
#G8PRL08G,clash,open,10600,7,0
#G2LRLURU,Cláudios,open,28004,9,1000
#GPPYUCP0,clã do mizadas,open,13224,5,3000
#GQPQGCPC,cmn,closed,42182,13,0
#QCVPY88V,collage life,inviteOnly,88758,50,0
#G00YGCJ0,Cu Cux Clan,open,62103,25,4000
#RPUJGUCJ,cuecas,inviteOnly,46121,17,0
#QCURRG99,De EdgeMasters,open,58817,33,0
#YJUVR0PY,Deodorante24,open,76592,50,0
#2J08GP9C,DON,open,48194,50,0
#GYJ8VC8P,double ganger,open,12055,3,5000
#8YQ8GG,Druk Gaarudra,inviteOnly,89393,36,9000
#GQ8Y8CQC,Drukpas,open,13863,6,0
#GQLQPY00,Du Wesh,open,11095,3,2000
#RU8Q29GJ,EACH ROYALE,closed,58722,17,0
#RV9RYUGG,EEJBA 2,open,28444,12,0
#QYRVJJV9,FacGolemDeMana,open,77167,43,0
#GP8J9YUR,FINITO,inviteOnly,20483,7,0
#Q8YYJJGC,flessibile,open,13772,5,300
#RC8C8QUQ,Ganza,inviteOnly,35357,17,0
#GPG0RRV0,Gedu_gunda’s,inviteOnly,37086,23,0
#RRY9898C,globins verdes,open,6960,4,0
#GGJR09R8,Grãos Smash,inviteOnly,22759,14,600
#L0VQGPQG,Gurizudos ✌,open,20797,22,0
#GQULJ0YY,Gøøneřsš,open,34518,14,0
#R2RYYGJ8,HAMBA ALLAH,open,5871,5,0
#GJVUQ0G9,hate megaknight,open,48409,22,0
#G2RQCULR,İhtiyaçYokOtele,inviteOnly,9188,4,0
#R0GQQCVY,iiie,open,3052,3,300
#RUG2PGC9,Jotâfäbi,inviteOnly,38683,17,0
#QQ2JQU8J,KALLA,open,56865,50,0
#QL2J8YYQ,Koboldfass 13,open,43540,15,0
#G88R02GC,koolkidsklan,open,26681,11,5000
#GLPRY9CY,krutieperci,open,18797,5,4000
#R9J9LPCR,La Chinchubanda,open,49278,19,0
#QCYVJYJ8,la kipphouse,open,33040,9,5000
#RQ2LR09Q,la pandilla tvi,open,13749,4,0
#2LJYC8RC,Last Legend,open,67721,46,0
#GJYCCVUL,Leite crú,inviteOnly,21897,7,0
#RJJU8RLL,Lobitos y lince,open,31011,10,4300
#GQCVRRU2,lolZzz gang,open,20937,7,300
#RPVVJG9P,los laris god,inviteOnly,51525,23,0
#YVGLCY90,los mopriss,open,69136,43,0
#G909L9RL,m 0 e lesters,inviteOnly,41912,13,0
#GLQRP9UU,MACAQUITOS,open,7012,4,0
#GQ22L8JG,MANGO,open,33125,18,0
#QUPVJ2Q8,Mifyews,open,63644,48,0
#RP2R9P0U,Mrs fish,inviteOnly,51005,26,1000
#GLL90V82,NaughtyGang,open,6718,3,0
#Q9V9R9R8,niglius,open,79699,50,0
#RC9YLCPQ,Ora del bono,open,16010,6,0
#G99GVQGR,Oral Clashers,inviteOnly,19403,5,0
#RQ0QP82U,os otarios,inviteOnly,6201,3,0
#G9C290R2,overlord,open,38877,17,0
#PCL8V9Q8,p p p p p p p,open,25078,26,400
#G8QCPUV0,paiEfilhos,open,28166,8,2600
#QY8RC2YR,Panes del cole2,open,57687,29,10000
#RJG2PRLY,PAPU PAPU,open,62199,32,0
#QUY2YPRL,patrykrojewski,open,69701,44,0
#L0P009Y8,peru Xd,open,80956,32,7000
#RRUG8V2P,poli city,open,39196,17,0
#QJCLY2CC,Prestiżowe kupy,open,65296,50,0
#QPJVRYCV,PupkiZupki,open,23525,9,2600
#QQVY8QY0,pureautism,inviteOnly,43007,19,0
#GRUG9J0V,Rage quitters,inviteOnly,6337,3,1600
#L2GJCYG2,roldano way,open,67704,34,0
#GU9VCPVG,sakkadendjurigt,inviteOnly,36616,9,0
#R080JUJ2,schlaboriert,inviteOnly,13366,6,0
#Y8CY8880,Schwulenbusen,open,50919,21,0
#Q80LPQJL,SingleDesperate,open,74730,50,0
#GRQVPQUU,Sneaky Golem,inviteOnly,40973,10,0
#RPY9YPG9,sportske nade,inviteOnly,42880,14,0
#P9UVPLRG,sr. muscular,open,89291,50,3000
#J00CUGVJ,tatasahur,open,17066,14,0
#GV9Y9Y02,The Duces,open,75909,47,1000
#RYPCJV,Thunder,open,45707,26,0
#QVGVUQRU,tropa do seu,open,44589,16,1000
#LV89GP8L,uchiha..™,inviteOnly,35741,25,1000
#J0YVU92L,us guri do cdv,inviteOnly,9915,6,0
#G8P2VVUC,vilanovilla,inviteOnly,27049,10,0
#LQR200LR,Wati-Team,inviteOnly,40855,14,0
#QVY8J0JP,WE KAPE RIDS,open,66890,42,0
#RQYQYPGG,what the john,inviteOnly,33312,13,0
#208PJ8G,Xtreme Clashers,inviteOnly,81979,38,600
#QC28P8QJ,yami,open,8501,3,1600
#99Y80PYG,ŤHĖ ĐÂRK HÖRĐÈ,open,83313,50,5000
#GVC2PRG0,валар баебе,open,13554,4,2300
#RQV80GYC,волар бебе,open,15160,6,0
#GLUPCY8G,мовзолей,open,66227,49,1000
#QQ0J0YQL,пендис,open,4376,3,0
#PUUU8980,ЩЕКОЛДА,inviteOnly,38982,13,5500
#JP9Y0V,カメハウス,open,69512,46,1000
#28YPPCPV,Bht royale,open,44994,49,1000
#PPC90JJ9,Buena Pisa,open,22074,8,0
#QQCUR28C,CRASH CLASH,open,55305,50,0
#LG99V8G8,Ethan’s Barbers,open,30624,38,0
#G8RPPULJ,GENTE AMABLE :),open,9997,7,1000
#G2GRLCRP,GHG,inviteOnly,21834,9,0
#GGPUCLLR,Los Pitagoricos,open,28378,7,0
#QVPRRCLG,oda 2,open,45718,14,0
#LYYPQG22,Porchetta,open,25135,15,0
#89Y282V9,royal hunter,open,68267,50,300
#GPGRVYG2,The bhutan pros,open,33060,50,0
#QVRV88UU,Toy chikito 2.0,inviteOnly,11156,5,0
#QPVLQL90,баба витя,open,3509,4,300
#QPPQRJCU,⚔️Toñi Squad⚔️,open,51910,27,1600
