tag,name,type,clanScore,members,requiredTrophies
#RYGLRGG8,clan per amiche,inviteOnly,91614,42,0
#8UVJ0CV0,DIO PROVOLETTA,open,36905,15,0
#RG8GQYJ8,hvufdvb,inviteOnly,12725,4,0
#RUYPJLPG,KürbisDaniel,open,13422,4,2600
#Q2J88CJJ,MasovnaSicia,open,82529,31,8000
#GLJU9QJ2,Mini pekka,open,746,2,0
#RGLU29UQ,No Club needed,closed,10145,4,10000
#QCLL8J8Q,PandaPower,inviteOnly,86105,31,9500
#GP200G0C,thomas stordito,inviteOnly,22620,5,0
#LVCL2V80,UMU swim&dive,inviteOnly,85703,38,5000
#929RJLLU,Ńo Clan,inviteOnly,98080,46,10000
#GCULJRQV,1945,open,45060,19,3000
#GRJJC9LP,amphe,inviteOnly,19984,16,0
#GP9CC9R9,ANTI BOBO VERSE,open,18403,9,0
#Y2U0PQV2,BBN,open,50747,26,4000
#YQLJV80J,beepis4,open,55721,28,0
#QCQ0UQVC,BMG YANITED,open,34501,12,0
#QYVLCQYG,Brexit Specials,open,90556,50,0
#GRQQUPUU,Bums,open,82422,40,0
#G0LC9R9U,Burbzdoom,open,12130,7,0
#RQPYG2C0,Cancros Club,open,89821,45,0
#QYV9CCQ9,clanna,closed,8059,4,0
#R0LVYLLV,cocacola y pan,open,9954,6,0
#R8CGLJ82,Cooper Pooper,open,89408,47,7000
#QQUQRULQ,davide,open,44213,20,300
#G8CR9JCQ,doublethink,open,65351,28,0
#RQJQ8LUR,four musketeers,open,39490,13,0
#G0CPYQL0,frisör,open,42968,25,3000
#QRYGGCQ8,Guacamole Gang,open,46024,16,0
#GYUUGQR9,kalervo kummola,open,42900,17,0
#RGQP8GVR,kallen klaani,open,43608,26,0
#G0CVLP9C,liimaimppailiat,open,62911,26,0
#QLL08928,Los No-Serios,closed,14864,6,9000
#RQVJYJUV,los slashers,open,31847,19,300
#LC8YVR0J,mhs double,inviteOnly,77405,42,0
#LG8VJ90J,Napkin Likers,inviteOnly,65998,31,0
#G8VGL0QJ,NDHS,inviteOnly,64614,19,0
#QQ82Y98V,Oblivion,open,91365,49,0
#9VL922GL,PuffPuffPass,inviteOnly,66638,39,5000
#R2LPCCJU,raghunandan,open,77160,37,0
#QULCLC08,Sam steele fc,inviteOnly,64083,26,0
#LVR2UP9G,sealedfate,open,27077,10,6000
#QG92UJV8,SETANuoret,open,27061,10,0
#YVQLUCVY,The Better Clan,inviteOnly,46229,20,0
#G0Y9Y8Q0,The Free Amigos,open,35133,16,0
#Q2UY992Y,TimeGate,inviteOnly,46421,45,0
#RRUJ0U88,Tuuli,open,41496,9,10000
#QVJGC8CG,youmama,inviteOnly,47830,11,0
#2QVRUYQY,أخوة للأبد,closed,54728,13,10000
#GGQ0CLRY,ميكي موسا,open,35795,14,0
#GGUPJU0L,대 동 규,open,59080,21,3000
#LJV8GC0R,배호클럽,inviteOnly,68836,45,0
#L8CPU080,아잉아잉,open,88866,49,0
#GGCQV9G8,지우,inviteOnly,64137,24,300
#GCJ0P,Casual Clashers,closed,52066,30,600
#GRJ8J8L9,Cineplanet Clan,open,24242,10,0
#LRJQUJQU,GOOD GAMES,open,68564,50,0
#QYPJCVYU,IRISH WARRIORS,open,29264,25,1300
#9QCLY2J8,JohnnyTest,inviteOnly,26585,10,5000
#2P2LR9RY,Kïngs Union ⚔️,open,64230,43,300
#2CJ222RR,U U U U U,open,64538,49,2000
#QJ09QLPY,vammapää,inviteOnly,37935,14,0
