tag,name,type,clanScore,members,requiredTrophies
#J0CGR829,._.,inviteOnly,7302,2,0
#RLJVR2QQ,about to bust,open,32070,8,0
#QGLUU28Y,Arod Archers,inviteOnly,47581,12,300
#GYGJCRLG,AUTISMOLANDIA,inviteOnly,58489,21,0
#RQ2VPRGC,Bag of Vi**ins,open,52599,15,0
#GPL0URPJ,BBL2004,inviteOnly,6324,2,0
#GPY8V2GG,Beerbeza,open,20114,5,0
#G2L9GVCG,BERSH E-SPORTS,open,61400,19,10000
#QJ0Q88CR,beton,inviteOnly,96239,50,0
#G92Y02Q8,blecua teton,open,33770,8,0
#G9V9VPYG,BLODMONK!S7,open,14268,8,600
#LV98RJ09,Brentford,open,4456,4,1000
#R8LPV2RJ,casual kings,closed,3173,1,4600
#LUPUVVGC,catboys propaga,inviteOnly,63915,24,0
#R0G8LU0V,Clash Kings,open,84130,50,0
#Q8G2G2RR,Cream Supreme,open,94571,45,7500
#GR9QU09P,CRYOSTASIS,open,100000,50,10000
#G200R2CC,Die Bongkrieger,open,98839,50,8500
#Q282U9C0,Duo#2,inviteOnly,21211,6,2000
#GL02C82L,ETSIAE,inviteOnly,24810,6,0
#GCQRPQRJ,gibby for life,inviteOnly,20068,8,0
#QUPCPUYJ,Golem BOOM,open,95004,47,9000
#RR0VQYVC,Goon Clan,inviteOnly,42248,10,5000
#RQ2V280P,Guatemaya,closed,96242,44,9000
#GY2LGLYV,he he he haw,inviteOnly,63897,23,0
#Q2CUULVQ,Jakakal,inviteOnly,11770,5,4300
#G0QL8V8C,jeffreys island,inviteOnly,50920,19,4000
#G2JJPRUJ,Jobcenter,open,31004,7,0
#G8Q820J8,Keynes FC,open,33709,12,0
#J02UJVQG,Kit Kat Klub,inviteOnly,11279,4,0
#RR2CGV8U,klash kf klans,inviteOnly,51905,25,0
#RQY9U00,Königsrekruten,inviteOnly,93157,47,0
#R0YUGCQG,lahlööli Beats,inviteOnly,44444,15,0
#QVVV0CCV,LAje,open,51497,20,0
#RGJRPUYV,LEC (aura),inviteOnly,15193,5,4000
#QY09PVPP,Les Prédateurs,open,31431,9,0
#GCG9RPCC,los miones gang,inviteOnly,4383,2,1000
#GUL22V8C,Los pibar2,inviteOnly,8680,4,0
#J29CP89V,Lustmolche,open,10409,4,0
#QULQLVJC,Manshine,open,56901,19,0
#R0Y9Q2Y9,master5ive,open,8311,2,0
#GU8JLRJR,mattilamsa,closed,18365,4,0
#RJY90QPL,maya b,open,30501,9,1000
#QRCPVR8J,Mega Kneers™,inviteOnly,51719,16,0
#GRJ8RUL8,Melos melos,inviteOnly,64103,23,0
#RJ00R0V9,mini p.e.k.a,inviteOnly,25433,12,0
#9QRRVJQL,Moist Mimis,inviteOnly,99330,50,0
#RLC02QR0,monkeh clan,closed,3747,4,10000
#PCGVUPVJ,Morte a Skiè,inviteOnly,84528,33,4000
#Q2YV2YC2,Nargiles,open,43068,12,0
#GJ2PPRV8,onlyclans,closed,7108,4,0
#2V8QP920,OWL ROYALE,open,6076,2,1000
#GU9LC8UQ,PACHI CLAN,closed,36153,11,1000
#GPCPLGVG,pinto estourado,open,1692,2,0
#GYPJQ9LJ,pitdos,inviteOnly,6950,3,0
#Q08JG808,Pollo Frito,open,98380,50,9000
#PYPY8PGG,pro starostniki,open,13937,3,0
#LRLVCCRL,Raging Barbs2,open,96309,49,7000
#R02V08QY,solihull sigmas,inviteOnly,9795,6,0
#J2JVC990,supercel<3kids,closed,8314,2,0
#G2P2R209,TAP-Royale,inviteOnly,60146,23,0
#RRGPUPRY,the big boys,inviteOnly,7070,5,1300
#G28C88LQ,ttden basanlar,open,23220,6,0
#GP2LULRV,Undead Brothers,open,57820,36,300
#QUUJR298,UNEMPLOYED,inviteOnly,63815,29,0
#R0PU0JVR,Virjenes,open,25955,9,0
#G8PCPGL0,VIVA SAN BIAGIO,open,12873,3,0
#YRJ2JPPR,where banana,inviteOnly,85363,34,0
#RJVV0CJ9,XCIHH,open,18309,10,0
#QPP0VPCR,ßattyßois,open,97102,49,4000
#GYJ9GJGG,Легион ФикФап,inviteOnly,36637,10,0
#YJLUVUCU,❤LOVE❤,open,89028,49,5000
#GPJ9PPP9,ㅇㅇ(121.169),open,71210,22,0
#QYG8Q8C2,三重県のゴミ箱兼肥溜め,inviteOnly,97691,49,0
#Q89CVVGY,已戰勝疫情,open,94574,50,0
#RVRJUVLY,松屋平川,inviteOnly,19803,6,0
#GYGP2UV8,#ABASCALVOLARA!,inviteOnly,69697,36,0
#QYUPJ0YV,$&EZ$¥LIXO&$سنن,open,89813,48,0
#YVCUY0YR,1.A gejčki,inviteOnly,22223,10,0
#R9QUGPP2,10+ inches,open,77721,50,0
#G8VY0CJQ,2.6,inviteOnly,51144,37,0
#R9JGLJUV,2Ralph 2B0hner,open,39778,11,0
#GQVC8JP8,2v2 withtheboys,open,60372,25,0
#G8PGP888,355A Goons,open,24174,8,0
#GL9V2JVJ,401-tekkers,inviteOnly,7009,4,0
#QU289GPP,5 grote bams,open,39231,11,0
#GC8VG2YP,505EdgeLords,open,29161,10,0
#RG8R98UC,6767676767,open,36097,12,0
#GQ8UQGVP,9876,closed,35536,21,0
#GR0JVLL8,9a edi edition,inviteOnly,44377,19,0
#G9LPR0L9,__,inviteOnly,56517,17,0
#R8U8RR98,a gang of gobli,open,36440,12,600
#G0ULGPYC,A ja duzego,closed,16739,4,300
#G20LCYVV,Afk clan,inviteOnly,24192,9,2600
#GR28JQLY,Albino Neegurz,open,81408,46,4000
#GVLUQ8YR,ALMYRA,inviteOnly,18681,5,4000
#QULRCGUV,alphas..strike!,inviteOnly,94443,50,0
#R8GQJGQC,Amed Diyarbakır,open,51821,35,6000
#QJQCG80G,Amigos de Rauw,open,36946,11,0
#GPJRPUCJ,arkadaşların gü,open,10413,8,600
#GL00R2GJ,as-BEST-os,inviteOnly,69030,30,0
#L9G08CQY,atoclan,inviteOnly,92360,49,0
#QVPUCLJV,aéeeeeeeee,open,39018,16,0
#RRY80UVQ,BABEES,inviteOnly,39903,11,10000
#QUPR20VV,Bacci,open,11487,4,0
#RQUU2QJV,Badem Pınarı,inviteOnly,25437,8,0
#QLU9LV8G,balcker barbari,inviteOnly,42851,15,300
#G9L8PYLP,ball blaster729,inviteOnly,10495,5,0
#G8CR0LVV,Ballern FC 2018,inviteOnly,29926,8,300
#G29R2UUG,BALLRIGH,inviteOnly,28228,17,1000
#QYYY88CG,bambusudos,inviteOnly,56620,22,0
#YJRGUJLG,bananamans,open,47458,14,5000
#Y8P0VLVP,barn i källarn,open,68507,30,0
#GJRVLUG9,Bataturk,open,49346,13,0
#RGLLYYCG,BBC consumers,inviteOnly,56793,30,0
#RQCPLCYV,bdn,inviteOnly,71182,30,0
#QGQVJ9PL,BeeEwwTea,inviteOnly,50549,20,6000
#P8L9PU0J,Benchod,open,71214,23,2000
#G0QU2UP0,Beta Date-A Guy,open,59583,21,0
#R9GVGYJ8,BIG BLACK MEN,inviteOnly,56897,24,0
#L929J9V2,Big Gamers,inviteOnly,49486,17,3000
#LQPUGRGU,BigMen,inviteOnly,73251,30,0
#QVPVYVQC,Billys Bro V2,inviteOnly,69956,28,0
#G80LYC8Y,black sabzi,open,34044,12,0
#QJQ8UVY8,BLM,open,44760,17,0
#QJ8RPLLC,BODO DAN SANTAI,inviteOnly,56240,24,300
#GQJ8GLPY,BOTB,open,82311,38,0
#Q9CPPJQJ,Breedable Boys,open,68678,21,0
#QYLC8LQG,BrexitBall,inviteOnly,87723,48,0
#GRYYPJVQ,brkot pederot,open,95498,50,10000
#GURYYVQJ,buarf,inviteOnly,59078,21,0
#LL2PQ2U0,Bubatz Clan,inviteOnly,48592,17,0
#LYV98GCR,Bussens WC,open,56539,18,0
#GQ0J9VCR,Cactus Empire,open,24375,15,3000
#QQQ0YYP8,calviño14,inviteOnly,71329,31,0
#QVRPR890,Cart Pie,open,45258,20,0
#RP0G0G2L,Casa Jack,inviteOnly,46007,19,0
#G2PCYYYY,cementerio 48,open,31531,16,0
#YGYQYLR9,CEOS of Sydney,inviteOnly,58923,29,0
#LR00JRV0,CFK,open,57583,47,0
#GUPCYYRC,Check my clan,inviteOnly,26548,8,0
#G9RLCP82,ChenchoLaloLola,open,75817,50,0
#G28UP989,chicken nuggets,open,59278,26,0
#RRRPPVGP,Chopped Charlie,open,50940,22,0
#QC2298PL,ChronicP4nlis,open,46231,15,4000
#QU80V82L,Clan,inviteOnly,72997,39,0
#22QCQ9Y0,Clan  #22QCQ9Y0,inviteOnly,76665,35,9500
#9U2R882J,Clan #9U2R882J,open,95525,48,0
#G82J88PY,Clan #G82J88PY,open,60601,37,0
#G8Y220LL,Clan #G8Y220LL,open,9752,9,0
#L8LG8JUP,Clan #L8LG8JUP,open,79531,43,0
#L9LURCLU,Clan #L9LURCLU,open,40765,32,0
#LC99UJP9,Clan #LC99UJP9,open,85670,49,1000
#LV0LQLVU,Clan #LV0LQLVU,open,96450,46,5500
#QG8QVQUR,Clan #QG8QVQUR,inviteOnly,24865,9,0
#QL88LV22,Clan #QL88LV22,open,96460,50,0
#QVPGGC9C,Clan #QVPGGC9C,inviteOnly,12062,4,5000
#RGGRG0LP,Clan #RGGRG0LP,open,56501,19,0
#RYVC828C,Clan #RYVC828C,open,71957,38,0
#YR028GCQ,Clan #YR028GCQ,inviteOnly,79822,40,0
#LRCGLJU8,Clash Crusaders,inviteOnly,89983,49,0
#R9J02C29,clash goonyale,open,13225,4,0
#R0LGP2PQ,Clash nich guhr,open,10367,3,0
#GV0UGGPJ,clash of evil,open,22098,7,0
#GL2GJV2J,Clash of people,open,44335,28,0
#GCGUPJ2J,ClashRoyal,inviteOnly,21656,15,0
#RGUJ2LPP,College25,inviteOnly,49707,21,0
