tag,name,type,clanScore,members,requiredTrophies
#8PQY9VCP,#bulgarian army,open,98486,50,7000
#Y82U90L0,#The Bulgarian,open,97406,50,7000
#9VP980R,-BULGARIA-,open,99641,50,9000
#G9GQJC9C,07.07.2024,closed,8075,2,0
#Q889P2GU,12 D POWER,open,89832,43,8000
#GLPR92C0,1312,inviteOnly,14280,3,3000
#990P9UYU,1337 BG ARMY,open,99505,50,10000
#R02RRUC9,1505 OBORISHTE,closed,98877,47,9500
#G800QGQQ,16 momci,open,92465,48,8000
#QPVJG9R0,1919,open,96913,49,9500
#QJV88CUG,1948,open,96741,50,8000
#GQ02UPJU,2-ри взвод,inviteOnly,6431,2,0
#G0CYQJLU,20 SUPER HOT,open,99096,50,10000
#GCVGJVL9,23b studentski,open,17039,5,1000
#QQJQLG9C,299teamruse,open,80244,27,8000
#RQGPCUJY,2w2ico,open,72973,22,7500
#2PV80P8Q,3 Crown Pushers,open,99814,50,10000
#QYU0QQG9,3 март 1878,open,100000,50,10000
#GG0GLU8J,4 по бел,open,98572,48,9000
#G2J9YLCQ,420,inviteOnly,90260,39,8000
#QLCUYP99,4aprazmobilite,open,96092,50,6000
#G0Y90PQR,4ibura6ka,inviteOnly,21080,8,0
#YGPG0UGU,50 BG Knights,open,99280,50,8500
#8YP9RPUY,50 Bulgarians 2,open,76476,50,1000
#LGCC0CYU,50 estrellas✨,open,94835,48,6000
#R90G289C,6 коефициент,open,39442,10,4000
#RR9UP2QY,67,open,3259,3,0
#LJJPJCY,681,inviteOnly,75183,28,8000
#890LVYV0,681 l Аспарух,open,99659,50,9000
#PQYRUCGG,681 Национал БГ,open,92685,50,5000
#GYU0UVUJ,6ta¥Peshterata,open,12324,3,0
#GL8R8L92,6е хулигани,open,39823,14,0
#G0LG8GVY,7777,open,14816,6,10000
#J0JP8GCL,78-битки,inviteOnly,18742,6,0
#LRPGRC02,8 kur,open,99404,50,9500
#J0LRYGCU,8A Bo4ko Elite,open,46096,23,0
#RP9Q09L0,8bng,open,97301,49,8500
#G08QQQJL,8V,open,88417,50,6500
#GVR0YYJU,8vv,open,20788,8,0
#GPYVQ9GV,8в смг,inviteOnly,16854,6,0
#RJ8PJY9P,911,open,10501,4,2000
#GLG2JVQY,_fyp4e_,inviteOnly,99210,49,9500
#2RJP0G9L,Absolut,inviteOnly,99923,50,8500
#PURURQVC,AGARTA,open,12078,6,0
#GRVVUV2U,AIMBAT,open,98064,49,9000
#QJGY82RC,ajdhj,open,83533,49,4000
#G9J0JPLR,Aksii is enough,open,93179,49,8000
#QV88G88J,Alcohol1ci,open,60995,17,7000
#RGUCPQY8,ALESSIA TI AMO,open,3216,3,0
#GU00YYUL,AlexaGPower,inviteOnly,8310,2,0
#RJ2VGL92,Alfa К. К. Ю.,open,8936,2,2000
#RC2PY8UY,Alkoholici dge,open,93957,50,7000
#R2YLLYR0,alkoholiki,open,5415,2,3000
#90282JYV,AllForOne,closed,96436,44,9000
#8P0PG8U9,ALS-Bulgaria,open,96546,50,6000
#99JCV0,Amazing VN,open,91109,37,10000
#QVVC8Y0Q,amfeti v sf,open,6612,2,0
#LQL28UL2,Ani's army BG,open,100000,50,10000
#J2LR8UR8,ANTI THUG LIFE,open,92171,36,10000
#QJUPYCYP,Anton Mafia,open,97617,49,7500
#RC2RL2Q8,ARELEKABATAL,inviteOnly,58306,18,5000
#2VJG8J8,Arena BG,inviteOnly,99521,49,10000
#QGPRC9PU,ARENA BG 2,open,99973,50,10000
#GYPL90VQ,Ariiskite n€gri,open,9777,2,300
#LV98R0U0,ARKA SOKAKLAR,inviteOnly,25161,8,0
#RPY0RCG0,ARMAGANCI,open,75729,29,3000
#908JC2CV,ARROW,open,97587,42,10000
#QVPG0YJ2,AspectGod Fans!,open,98922,50,10000
#89J22J8C,Assassins BG,open,99995,50,10000
#QYR8YVV8,AutismusMax,closed,17182,5,2600
#QUU2QJYG,Aytos Royal,inviteOnly,15831,5,0
#PRVC0JY,B.G.,open,96986,50,8000
#GUQ09CG0,Balkan Royal,open,95811,48,8000
#G8VYC8GY,Banditite.od,open,36820,9,8000
#2R2LQ8G0,BATTLE LORDS,open,99600,49,10000
#2YYYUR0V,BattleBoy,open,82192,49,2000
#QV0J2CR9,beer and chill,open,42929,10,6000
#GUVJRUR8,Benkofskata maf,open,82931,41,4300
#8PRRC22L,Bernandito,open,97409,50,8500
#QR29CPQR,BEST BULGARIA,open,97597,50,7000
#LCVC20C9,bezzabrAny,open,92024,48,7500
#8CC822R,BG,inviteOnly,99905,50,10000
#28G9R2VG,BG,open,95252,50,6000
#YUJRLLLP,BG,open,54902,15,4600
#2Y202L2L,BG Army,open,99876,50,10000
#PCRY9R2G,BG Army,open,98172,44,9500
#9VJPPRU9,Bg army,open,97549,50,9000
#8G8CRP8L,BG ARMY,open,94781,50,5000
#8Q0GUP8V,BG Army,open,89564,50,5500
#2LC8JVJ,BG Assassin's,open,92865,50,6000
#89R28YPG,bg bg bg bg,open,96510,50,5000
#QURP92JR,BG BG BG BG PRO,open,98716,50,8500
#LY0C2G,BG BOX,open,98487,50,8000
#2RG089VP,BG BROTHERS,open,96901,50,5000
#2QV20PYP,BG CHAMPIONS,open,100000,50,10000
#9UVQGY80,BG CHAMPIONS,open,99532,50,10000
#8RU8C2R,BG Champions,open,95127,50,7000
#22Q0VGUP,BG clan,inviteOnly,90779,38,7000
#QV8CVGQ8,BG clan,open,77245,50,3000
#R0P0Y9PL,BG CLAN,inviteOnly,1415,2,0
#G8989VVY,BG Demons,open,83008,50,5000
#80GL2Y82,BG DEVILS,open,91486,50,6500
#8829Y290,BG domination,inviteOnly,99736,50,8000
#2VGCVPY8,BG Dragons,open,97011,43,9000
#QVLCLJLY,BG Elite,open,97042,48,9000
#QVRVCQQ8,BG EMERALD 1,open,98448,50,8500
#G8U9YG8G,BG Empire,open,72454,48,4000
#YJCQVC9P,BG ESTRELLAS,open,93467,50,1000
#PGQRL8R0,BG Friends 1,open,91415,48,6000
#P9CYQ90P,BG GAMERS,open,84792,46,4600
#9PCQCPC2,BG GamersS,open,95478,50,5000
#8GVVU09R,BG GAMMARS,open,98144,50,7000
#Q2888R0V,bg gang,open,99342,50,9000
#9QCGCQG8,BG I NightStorm,open,93787,50,4000
#8LRRP8VC,BG Kings,open,98608,50,8000
#GP2L2QUV,BG Kings,open,34851,8,7000
#J2G8PVC,bg legends,open,96015,50,6000
#RG98UVLC,BG MAFIA,open,23696,9,1300
#2LULU882,BG MAG,open,99714,50,9000
#20GQLPUC,bg master,open,89876,50,4600
#809U8LUL,BG Masters,open,99706,50,10000
#YUL8UGY,BG masters,open,93922,50,5500
#8GPVG2P9,bg masters,open,92266,50,7000
#L9V8LVR9,Bg masters,open,90187,40,9000
#8VLQJJPU,BG MASTERS,open,68565,24,2000
#2YLQ9YUP,BG Masters VT,open,96727,50,7500
