tag,name,type,clanScore,members,requiredTrophies
#Y80JJ92Y,237 team,inviteOnly,98665,46,8000
#RU89Q892,501st legion,closed,8733,3,1000
#GL82GQU9,BASSAM TELI,open,15508,8,0
#QVLCLLGG,BUBENCI,open,22265,10,10000
#GY8GULLG,bug boy,inviteOnly,1254,2,0
#GRCR2QJR,C11Estelle,closed,56404,21,1000
#R8PQUPJP,cactus,open,54854,18,0
#GYQURC0G,chococlan,open,24054,6,0
#GJ0URPLP,Clan  #GJ0URPLP,inviteOnly,53264,17,0
#R898J8UP,DOASÃO,closed,1229,2,0
#GY0CJQJU,dozatii,inviteOnly,67287,23,3000
#GLGG8VUY,Krew Krew,inviteOnly,9782,2,0
#QQPQGR98,la donkishoot,open,98831,48,9000
#GR88VUG2,labandedufond,inviteOnly,29649,11,0
#GL90YJV8,le 3e reich,open,32753,11,0
#RUQU99L8,Les bestttt,inviteOnly,30713,8,0
#G0YU0V29,lo de sancho,inviteOnly,51789,15,600
#G9G9LCL0,Los Goblins,open,44373,14,0
#RV8QVJPL,Misticos,open,41596,14,0
#GQ9JPU2Y,negro,inviteOnly,66388,24,300
#G9JJYVLU,outépapaouté,open,21093,10,0
#RU9QLYGJ,volta pra mim,inviteOnly,11385,3,1300
#YLLCJ29U,wougaloupiqua,open,95927,47,9000
#QY2YPYQG,zoo,inviteOnly,11560,4,0
#8QLU20J0,+237 cm,open,87198,50,4000
#G90QQUUU,237,open,51233,20,3000
#LUU9JLRC,237 otakus,open,89568,37,8500
#P92PCRR0,237™War Machine,open,87144,50,4000
#G9R0QPLP,3 Bianchi 1 Ner,closed,17669,4,7500
#Q92U8L8P,3 inches,open,74622,45,1000
#QRG9L8Y0,5IM08,open,70184,27,0
#RYURL2YR,Akatsuki,open,29190,9,0
#QJVGY9PQ,ale ale gsi ale,inviteOnly,52591,17,0
#QJQ99PCU,ANAYA,open,81469,49,3600
#GJ9UQ8V8,Arena of gamers,open,79326,50,0
#PLGY9J0,BALI-SQUAD,inviteOnly,55510,15,10000
#Q9CPC00P,balonmanopetrer,inviteOnly,64031,33,0
#G022CJJU,bapple type shi,inviteOnly,16773,4,1300
#8CLL0CL9,Be Stobon,inviteOnly,98603,46,10000
#QPUCQUPC,BE STOBON 3,open,97859,50,5600
#GQQGQJ0R,Bordo Bereli +,open,10867,4,0
#QC2JPGPV,brazzer,open,36298,14,0
#RY8LGVCP,Brigade 132,open,27602,10,0
#GYQ2PJ29,brows,inviteOnly,315,1,300
#G8RU0UUV,brr3,inviteOnly,32250,8,300
#RL8GRQ2C,burek!,open,52637,23,0
#YPUUCJVG,CamerCrucher,open,21403,7,0
#R9G29CYR,Cameron&Seguins,inviteOnly,96923,50,0
#9VG8P0LR,Cameroon,open,93288,50,2600
#YQPY2G8Y,Cameroun,open,88095,33,7500
#98JJ8JU0,Cameroun,open,67463,50,200
#LQ8R22GP,Cameroun N1,inviteOnly,97868,44,10000
#QQLGYGYC,CAMEROUN N1.D2,open,98068,49,8500
#GCL2J9CG,Cameroun N2,open,92087,48,7000
#GYGY8JG8,chien passam,open,40856,15,0
#G82RJQC9,Clan #G82RJQC9,open,85814,50,0
#Q9R0QQGV,Clan #Q9R0QQGV,open,53416,47,0
#YVU0UCVG,Clan #YVU0UCVG,inviteOnly,86229,42,0
#L00YLYJP,Clash King,open,85512,49,0
#G9YYJRR2,classe 02 1A,open,50492,23,0
#G8YRU9CV,COAJOMULCOPOWER,open,61751,25,300
#G9808YLU,Comprendu,open,8476,6,0
#GRY99G2L,da_WinneR,open,17588,8,0
#P28U2V9,Djupdjup clash,open,73603,24,3000
#LPGJPQ9C,dydou clan,open,61214,46,0
#QV0V82YV,Elites,open,44933,13,3000
#Q8C9UPRQ,emanuel,inviteOnly,64384,22,0
#QR2VQUQ9,ENZOLAMAFIA,open,73664,30,0
#R9VPR9J9,EZ WIN T NUL,open,16794,5,0
#2YY9RLVC,GGT,open,91492,47,4000
#QJJLLRUY,Ghost unit,inviteOnly,97947,47,10000
#RR0C82RR,goon,closed,14110,8,0
#YGU0YYCV,Groupe 2 Gaming,open,72097,26,5500
#GP9JP29G,gustambitos,open,25164,17,0
#QG2PG0CV,heroes of dead,open,28458,13,1000
#RL8G28U8,hoop,open,61600,26,0
#RU2UU2U8,i TOPOLINI,open,18484,17,0
#QVQ9C8CY,immortalwarrior,open,60904,19,5000
#GL9YQ89Q,Jdizzles,open,49749,19,600
#G280PJRR,Jerk Circle,open,51949,40,0
#RYJC0LLU,Kalte Ziegen ❄️,open,24167,5,4600
#LJP80R02,Kamdjin Royal,open,29640,17,0
#QRLVUQQP,kamer AC,open,90623,50,0
#L98CGP82,kasso kolompo,inviteOnly,53242,17,5000
#G9GQQ8LJ,Kharlen_War,open,42757,16,0
#QPC9UP09,Klan:  #QPC9UP09,inviteOnly,13742,5,300
#R080GRPQ,Knight Shadow,closed,46256,10,7500
#GPCYQQUY,KURDİSTAN,open,25641,10,0
#QQQG9LG9,LE ZENITH,open,55664,18,4000
#GQVLVYR8,Le_FN,open,39279,15,0
#GCPPVRLC,Les fans d’Auré,open,50427,16,0
#LJUCGUGU,les puceaux,open,43065,49,0
#QLQQCRU9,LilBokeron,open,61789,35,0
#G0C2UVVV,los chanos y pi,inviteOnly,53861,19,3300
#QGUVPVQR,los insanos 2,inviteOnly,18404,7,0
#GJVJRRY9,los mecha,closed,42423,17,9000
#G0JVPPJP,los parchí⛏️,open,66447,27,4000
#R2G2GYVJ,Los tiernos,open,39990,10,9000
#GYL0RCCP,love❤️curve,inviteOnly,16114,4,0
#GQUV0CU9,lpb,open,81707,50,0
#GVPQ922P,Léviathan,inviteOnly,75209,48,0
#RPLG2YQY,merlizzle,inviteOnly,54533,17,0
#G0RC8P82,minipeca0,open,6935,4,0
#GPYR00P9,NOVA 7.7,open,88402,48,5000
#G89Q2J80,Num Clash Tuff,open,22614,6,0
#LGY800RR,OG Club,open,62455,27,5000
#G88GUVVG,OK GARMIN,open,43115,15,0
#P8YGLUPC,orange justice,open,34404,21,0
#GR9Q08YG,pksjs,inviteOnly,83294,44,0
#QJY22Y0J,PUISSANCE 237,inviteOnly,95997,43,10000
#G2LQ2Q2Q,puissance 237,open,80164,50,1300
#QR0CLJCV,PVP_INSANO_FC,open,77419,47,300
#RP98LVUJ,Ra_c_p_ist 100%,open,39430,11,0
#G999PCYY,Ragnarok #237☯,open,86983,50,2000
#GJVCCPJL,Raw raw,inviteOnly,16293,5,0
#G2CGVYRY,Real Cabinets,inviteOnly,62704,19,0
#RR2GUQ22,rychardy,open,61877,21,0
#P29YYVG2,Skarwers Pro,open,51658,25,300
#G2P0LCRR,smeggybakebeans,open,37965,24,300
#RJ2QJCPJ,stroke squad,open,42114,16,1000
#QCR02GPL,SUPER IDOLE,open,65526,24,6000
#LG8Q0LLV,Team 7,open,44115,13,0
#GRVRPV8P,team empanada,open,62468,35,0
#LUU02CGY,The Sea Men,open,15702,9,0
#G9QCV08G,tonktas,open,23915,6,4000
#GCUQL8UL,Ultimate 237,inviteOnly,83009,29,9000
#R0J8C28J,Un Café,open,94385,49,5000
#GYQLYQQG,warrior Zone,open,29752,8,3000
#QG9LRR99,Warrios 237,open,44463,14,2600
#G82JCV99,We Got Lucky,open,14993,5,0
#Q280QPR9,WW237,open,89334,48,4600
#2GUUR8LC,xtrust-one,inviteOnly,90509,36,9000
#QCR2L0JG,Yubo,open,41206,19,0
#GCJLU9QL,Тути,open,35683,10,0
#L0VGRL89,クラン #L0VGRL89,open,56982,26,1000
#R8V9Q2,-=KMER=-,inviteOnly,59169,18,6000
#Q0UVCRQG,237FC,open,59432,50,300
#QVCJGYRV,6 lovro 7 nos 8,open,8602,13,0
#Y08RVR2J,ASD,open,33693,32,0
