tag,name,type,clanScore,members,requiredTrophies
#GLQJCQRV,100%JESUS,closed,6773,5,10000
#QVULCRJG,25° do PIX,inviteOnly,42650,12,0
#GYVUU02G,7c,inviteOnly,17360,8,0
#LJ9RYCLL,Alone in Tokyo,closed,15649,5,0
#GCPVLCYJ,Ax Nation,inviteOnly,21138,7,7000
#GP0J9GPP,Baddies,open,98974,50,8000
#QQCC8R8V,BANDO DOS CV's,open,97027,50,8000
#LVQURRCJ,besties,inviteOnly,5532,4,0
#G90PL9QC,BLACK_SCYTHE,open,9585,6,0
#QUVYYRL2,borren clash,open,91346,48,3000
#G289UU2V,cabo verde,inviteOnly,95136,44,8000
#2YLJL2LY,CABO VERDE,open,94500,41,8000
#QCUQL9P0,cabo verde fora,inviteOnly,96258,48,10000
#RV2C8UP0,Canduas,inviteOnly,18803,5,0
#J2YJGG0V,Caps Gang,open,4280,1,5000
#R2RPPGPG,Clean Her Feet,inviteOnly,2951,2,2000
#QCUVUQRV,danilo gulizia,open,45202,13,2000
#GUCPJQUC,DINAMEROS S.L.R,inviteOnly,12938,4,0
#RV2R2VYL,duck,open,8210,4,0
#GLLY2PP2,Eletro naval,inviteOnly,37932,11,300
#GYGCGPLP,Fc etta nera,open,15077,4,0
#G8G888QL,femboysblack,open,14711,6,0
#GLLGPY80,Forcafrique,open,59158,23,0
#GJCUQVPG,Fuego ardiente,open,2179,2,0
#YYRVRYY8,Game of Throne,inviteOnly,99596,49,10000
#GQ22YUUY,Humildade,open,99198,49,9000
#QUY9VPU0,IPPO ELICA,inviteOnly,6431,2,10000
#RU9GQPG8,jefferson,open,1798,4,0
#GJLJQJ0R,kace.tudos,open,92203,50,9000
#RGY82YCL,Katadja boys,open,2819,2,300
#GYGCGYRG,Lokidawn,open,45504,13,0
#RCVG98LV,Los del g,inviteOnly,25107,7,0
#GGU0999Y,los trabitas,closed,22138,5,10000
#GY0P9LVV,los tralalaleri,open,23527,9,0
#GJP0RL20,lostralaleros,inviteOnly,66092,25,2000
#GY2RRUVJ,made cv,open,9025,4,1000
#GLU9LCP2,McBoss,open,89653,50,3000
#GLYLRRGC,money team,open,5580,2,0
#QU802CCP,MONKEYS,inviteOnly,6999,3,300
#J02G9QYP,NexoraSL,open,5195,3,0
#G80U028L,NO/SKILL,open,92798,40,6500
#RJ2UVLCU,Os Sacanas,inviteOnly,46089,18,0
#QL2LPJPG,Pakais,inviteOnly,15763,10,0
#RP8C8PVU,Rapeipas,inviteOnly,80158,33,7000
#R28QC2RP,Rua7,inviteOnly,13737,4,0
#RCJQYRPQ,Sypkie Marki,inviteOnly,8224,3,600
#GC8LYGR9,TDC,open,26596,12,0
#RPRYP9LY,Telmos FC,open,2028,1,0
#J20CJR98,Tipo py,open,375,1,300
#J2QPCGRR,tropa robesvald,open,378,1,0
#J2QJPG9Q,tylerthecreator,open,3766,2,0
#RYCGY88V,x4,inviteOnly,96528,48,8000
#L88QP99Y,АхчингУсик,inviteOnly,23066,6,4000
#GYY82C8V,ТЯ2,inviteOnly,25188,12,0
#G8YJGLP8,ЭТО FR,inviteOnly,10035,3,1600
#QVGCGJYQ,ぉゔぇよう,open,41891,12,10000
#Y2VQRLQG,$CV Players$ ®,open,42300,28,3000
#GY9YPJYG,10°D,inviteOnly,8550,7,0
#GQLYRVLQ,2 2,open,41865,15,0
#GU2CR02C,2pa2,open,15873,5,0
#QLLCGRJG,4600-ACDM,open,72502,46,2300
#R2GQV9L2,777,inviteOnly,15824,4,0
#G0JLV0J8,Abacates,open,32035,16,0
#QJRCGUCR,Akatsuki CV,inviteOnly,45973,10,8000
#PJ2JQ9VG,amigo,open,343,1,2600
#G8YJJJU2,ARMANI,open,37132,20,0
#R0VVRJLV,ASISBD,open,32547,20,300
#G9V2VGQ0,Bambu,open,36165,27,0
#G9V29UJR,Black Mafia,open,65002,29,3000
#G88PQUQP,BOA VISTA,open,90483,49,5000
#LV08VU8G,Broskies,open,52524,43,0
#L8JJ9Y9G,cabo verde,open,87121,50,5000
#QRVU9CVC,CaboVerde,open,39261,18,0
#QY2J8RG2,CAT i,inviteOnly,49556,16,0
#J0JVJUPY,CB,closed,16557,8,0
#GGYG2RCR,chateaubriand,open,75414,47,0
#RC8QQPCL,chichaychino,inviteOnly,115,1,1600
#LPR088PY,Clan  #LPR088PY,inviteOnly,59888,17,0
#LPV22UV0,Clan of light,open,59751,50,1300
#QLGJQC08,clan top,closed,21889,5,0
