tag,name,type,clanScore,members,requiredTrophies
#G9QG8U2R,anti watonas,open,16357,8,5000
#R2JRGJUQ,AS LA CAVEA,open,46426,13,0
#GUPLG2V8,Bad Boys,open,669,2,0
#G0YUPV2U,bafbekkers,inviteOnly,85394,33,0
#GYUVJYG2,BARCELONA REAL,open,5547,2,2000
#G80L20R8,corneta,open,55371,16,0
#PPJRUCCJ,DARK ROSE,inviteOnly,78502,25,2600
#RCPPQRPQ,I mostri,open,3301,2,600
#LU82CJU8,i tonti,open,93130,44,8000
#GYRYYLLV,Iași,inviteOnly,4176,2,0
#GY2CLUUC,IceOlatoR,open,9911,3,0
#L0UC9202,Körperentspannu,inviteOnly,92458,46,0
#GYYQUPGP,L'oeuf,open,87777,48,1000
#GGUCVL2Q,LIPOSAN Router,inviteOnly,17248,4,0
#RJCL0G2P,Mihmandarlar,open,12327,4,0
#GGYPC0JJ,orion.kelly,open,94336,50,0
#G2PJGJL2,parcososo,inviteOnly,26989,8,0
#RLYY2UJC,Paul Skinback,open,43101,14,0
#G89LRQUV,ruspe,inviteOnly,35300,10,0
#R8P0V928,Splash Clan,open,29943,9,3000
#R0QU00VV,StarGlazers,open,54281,18,0
#QU00GL8V,Thyrsusstraße,open,96396,50,4000
#QJVR8GJ8,YOGAMATALİ,inviteOnly,15586,4,0
#GYP2JJLY,Черняев,open,3266,1,3300
#RUUYYP9Q,㋿㍻,open,10000,2,5000
#G80CRGYQ,強化合宿,inviteOnly,13519,3,10000
#LVPQ22LL,다크 펄,inviteOnly,15121,4,0
#GJ088YPJ,최새우재바보,open,18223,4,10000
#LRYPJ00Q,1 mm,open,92837,50,300
#QVLVY9LV,10А,open,57521,26,9000
#QRCQRUJU,73健M,open,12511,5,0
#PCV80JPY,A NASTY DREAM,open,76176,25,9000
#QUYJPCPC,aimep3,open,68710,48,0
#QQYYUQ2U,Alpha Wolves 69,open,55142,16,5000
#G00QJJVJ,Aquis Plaza,open,25667,13,0
#LJVJU29Y,AYAR DENTAL,inviteOnly,77568,36,2000
#QCJGL0PJ,Bandero,open,59589,50,300
#9P89P0UU,Barakanofreaks,open,39761,13,1000
#RQL8RYPG,BDClub,open,82615,39,6000
#G0VYV00Y,BEBRA GROUP,open,35953,12,0
#QU99UVYY,Bergamo,inviteOnly,46538,17,5000
#RGQ920CC,blackAHAJl,open,16057,5,5500
#RULGG2QC,BlackMambo,open,11002,3,0
#G2GQGCPR,Bon Boys,open,65279,30,2600
#Q2LPGQV0,bïshe,open,86200,35,8000
#QUV20V8C,CiaoKareem,inviteOnly,54100,16,0
#LVRJ2CP2,Clan #LVRJ2CP2,open,44243,23,1000
#GRL2C0UQ,Corona clan,inviteOnly,51486,20,0
#GU2P99RU,divos do mal,open,49295,18,0
#RG2U2U8C,Don’t STOP,open,81964,44,6000
#GG2Q8YRQ,el pro,inviteOnly,6313,4,0
#R89GPRYP,eLasta eSports,inviteOnly,36071,12,600
#QUJQG82Y,EroMes,open,76150,32,5000
#G820G280,ert,inviteOnly,1609,2,0
#RQUVVYQV,FC aura farmers,open,61277,48,0
#G2YP8202,fc rappers,open,20542,10,1000
#GPV2RRPP,Garipskn,inviteOnly,27773,7,0
#RY0VQUQL,gli omofobi,open,70503,48,0
#YJLLYR2Q,Golf mit Freund,open,70703,48,0
#G0V9PGR0,hamza012,open,22065,8,4000
#PGUC8UYV,hiepske,open,10062,6,400
#Q9V8R20U,ineclan,open,12529,4,0
#GYGYY8QJ,jakeys clan,open,61056,44,3000
#LGCRG2YG,jill is an op,open,57471,46,0
#GR9Y209U,jjma fan club,open,61261,21,10000
#QQL09UP9,Klaani:  #QQL09UP9,inviteOnly,66755,24,0
#RL9Q8URG,Kool Koox Klub,inviteOnly,26767,11,0
#GYV28Y22,KU_SEAGUllS,open,10509,3,5000
#GR2RGPCJ,kvortev,open,28984,20,0
#R2QGY2G8,La Cachondera,inviteOnly,27839,11,10000
#QVQP09JV,LesGoMuscu,inviteOnly,10273,5,0
#GPG2LGR8,los simios,inviteOnly,12525,3,1000
#RGCRGJ2R,louviamo,inviteOnly,10524,10,0
#LL98PR8V,LUCHINO,open,68942,28,0
#RQCC9C0Y,mia cantinfla,inviteOnly,32567,12,0
#L8UCRY80,Napolinfiamm3,open,8555,3,3000
#YVJVGJLV,packein(istan),inviteOnly,70465,35,0
#G2YJLPQV,papo flinston,open,81957,30,4600
#GLCRP2VV,plantenbakker,open,26716,7,3000
#GQ8U80QR,Politie bureau,inviteOnly,45149,16,1000
#YLP8RV00,PossBros,open,27154,8,0
#LU9PP92Y,R1S1,open,83835,43,0
#GC0LGVYC,Rattleheads,open,11201,7,0
#QJQCY0CC,Re:ＭＪＣ,inviteOnly,32793,7,0
#GJC9YU0R,revientanos,open,20926,7,0
#QJPPRY28,salsa epicante,inviteOnly,31396,12,0
#Y8R2UPQY,Segelscheuer ev,open,53342,36,0
#QJ80CRGR,sghere boy gang,inviteOnly,73850,28,1000
#R2RVU2YJ,sgsg,open,12750,9,0
#R0PQV0Q2,Supervised Stud,inviteOnly,27775,10,0
#LPJYP8C0,Tavile,inviteOnly,33658,13,0
#GU2GRGP2,TrapHouse,open,83851,43,0
#R2C9JGJ,United Empires,open,50675,22,0
#LPPGVGC0,varkensvlees,open,1855,5,0
#LYG9Q882,weiner butt,open,48365,31,0
#QV0L98PR,Yulee,open,65285,25,0
#29099C2R,Yuuudemanneuh,open,16037,6,0
#Q9RC9P2Q,Zort,inviteOnly,10052,3,0
#QCVJ988R,ZSNR1,open,40282,12,10000
#R9G9Y8C2,буличка,open,46014,17,10000
#QYVPJYCL,ВИКТОР ВРУМА,inviteOnly,27987,12,0
#QJGGUJP8,гремлины,inviteOnly,66317,26,0
#QU9QP9YU,йоберибасараба,open,82690,46,0
#PYLRRVJR,Клан:  #PYLRRVJR,open,32047,15,8000
#QLP0QQ88,Клан:  #QLP0QQ88,open,35733,12,6500
#YLL8G8QQ,Клан:  #YLL8G8QQ,inviteOnly,35872,10,0
#QCL0QQ90,Можайка 333,open,62696,20,7500
#Q8PGCRPV,моржок соса,closed,83967,35,7500
#QV8VQ9QR,пени ещкере,open,33840,13,0
#RG29GJP2,Петуксы,open,40927,12,4000
#RJPV8Q2Q,пивлпшки,closed,12330,3,0
#LURU2J0L,попуск,open,46987,20,0
#RYC090CU,РАША,inviteOnly,50693,19,0
#GY00UU0U,хохлi,open,24975,10,300
#QY0UJ92Y,おいしいにぼし,open,47582,19,0
#LCVJJQVR,ばなな,open,76282,33,9000
#L28JQC8L,みんとがむ,inviteOnly,33598,9,0
#L09C82RL,もみもみ,inviteOnly,40108,9,0
#QYJVPR0R,アナーにー,open,36134,13,0
#GUP2PGJL,エナメルフル勃K,open,36042,13,0
#G2RGR9CP,ジャングルGYM,open,14972,5,0
#GYPC28LC,小松,open,27770,8,0
#PJ82GCJL,山椒味噌七味,open,28035,9,3600
#RUYVPUQU,日本国万歳,inviteOnly,50162,13,0
#LLCGCGLP,과천외고 1-5,open,35663,11,600
#QVCCQJL2,도선고1짱모임,open,61887,22,0
#GYYY9R8Y,알파메일,closed,64142,29,10000
#RQPVJ988,종달새 랜드,inviteOnly,9976,4,10000
#R2V2L0UY,형일초1짱무리,closed,46192,14,10000
#J0QULV0U,Aruba’s Clan,open,4650,4,600
#QJV8VYR2,Clan:  #QJV8VYR2,open,30365,12,600
#GYQJV8L2,Friendly cran,inviteOnly,30075,10,1000
#GVJU0VR9,kerrycapija,closed,38309,15,10000
#R2QPYUYY,LENYA GAY,open,20066,6,2300
#QJQJPGQJ,Truce,open,16009,14,0
#GC9PPQYC,ZZZZZZ,open,32408,12,2000
#R8LL080Q,КАЖ,inviteOnly,38873,22,0
#G2G9LGY0,‘98 Bulls,open,39607,14,0
#QYV9LYJQ,あぜ,open,32603,8,0
#LGJ088GU,うん、ち,open,33265,18,0
#QRLG00C8,にっぱーつ,open,22691,11,0
#QP0L9Y9V,中上くっさー,inviteOnly,42154,17,9000
