tag,name,type,clanScore,members,requiredTrophies
#G2RPYQVP,'-',inviteOnly,6237,2,0
#GU0YV98V,ahk,open,38817,10,4000
#G9YL0GQR,ajubXgap,inviteOnly,9624,4,0
#QUQQULVJ,AlergicoAlJamon,inviteOnly,31059,9,0
#GP8QJL0R,Alkapone,open,35004,10,0
#GVC0QG80,BIG LEAGUES,inviteOnly,33143,10,0
#G2PYLCP8,Cazzuti,inviteOnly,53602,18,0
#GCU0JVVR,Clan  #GCU0JVVR,closed,41316,10,0
#RRGP2GYV,Clan #RRGP2GYV,inviteOnly,46392,10,0
#QCGYCC82,de gota en gota,open,92617,40,6500
#G88CRPRV,doña papo,open,52579,14,0
#GV209GVR,ESTIC fART,inviteOnly,8207,4,0
#LQPVQQC0,FC ivre,open,97509,50,7000
#QVY98U2L,goon,open,98440,49,9500
#RVGQG0PY,Graveyard,inviteOnly,14717,6,0
#GGVV22QC,Herejes de ciu,closed,86883,43,0
#9PQY900Y,LA ARMADA,open,98731,49,9500
#QJJQ9GJ8,La Svolta,inviteOnly,98022,50,0
#GYLCL9PR,losinges,inviteOnly,15396,5,600
#G2R92CJL,Manu Royale,inviteOnly,48139,13,0
#G9RPYYVL,Mostazeros RYR,open,6809,3,300
#GV8VJJGL,MOUCHOS RC,open,24191,6,0
#RGQQ0CUG,ok garmin,inviteOnly,31893,9,0
#RJJV0QY0,ora/culos,inviteOnly,2771,2,0
#GC2CPJY2,pupusucio,open,32062,17,300
#QGQGYPQ2,sechs sieben,open,96319,50,0
#GLGU0CQU,sneakyclan,open,66411,23,0
#QVGL0LYJ,uriel,open,2272,2,300
#G0LVLL8P,URSS,inviteOnly,10603,3,0
#RR89YY2J,VIVA ESPAÑA,closed,2458,2,0
#L8C0CCJU,Ça krepite,open,8948,2,6000
#LL0PJYYV,駐車場から2分まで,inviteOnly,20852,5,3000
#G9L2LUJJ,黄色いクロックス,inviteOnly,15000,3,10000
#QRP8U8U9,56360bR1cKs,inviteOnly,74149,38,0
#LUVCVUR8,@0011,open,48197,19,0
#R2QQ8RJ8,A A A A,open,60811,50,300
#RP8VP0PP,A. MARI INEPTO,open,79351,38,0
#QV080090,Abusados FC,inviteOnly,34674,11,0
#YQ0CC0YU,AUGE eSports,inviteOnly,83697,45,0
#GU2U220Y,baby frogs,inviteOnly,24631,9,2000
#QV99JPPU,Baserri,open,36365,10,5000
#LU0UUUR0,Benitez,open,67627,47,0
#GR9YCV2U,Billy,open,71511,42,0
#RQPJ2RP8,Bomboclat,open,28066,8,4000
#G9VQYGVG,Bridoux clan’s,inviteOnly,18222,7,600
#G8LRPY08,bueno bois,open,25206,14,3600
#LJLGQLPR,Calvos,open,54469,15,7000
#GPC82RCV,CANARIAS LIBRE,open,64140,28,0
#28GGCLR,ceuta,closed,43407,12,5000
#GPC8G882,chat turbate,open,70843,27,0
#GQQUPGGV,Clan  #GQQUPGGV,inviteOnly,84609,43,0
#QCQ9R2PR,Clan  #QCQ9R2PR,open,43196,12,0
#QCP000QY,Clan:  #QCP000QY,open,27818,15,0
#G9RGCV89,cristalimpiales,open,73291,38,0
#J2GYQVCJ,cuvak fc,open,5419,4,1300
#GYPP8GR2,CUYSA,open,39690,16,0
#GPJGJL0J,davids clan,open,36127,18,1000
#QCL8V9VL,El consejo,open,35233,10,2600
#G90QG8UR,el patín de mi,open,51395,34,0
#G9G9R0UU,Extrema derecha,open,94390,49,7000
#LY2LLLUV,fachangrl,open,68001,29,2300
#GGJ8PPYG,Futa Nutt King,open,64620,19,5000
#R2CLGL2U,Gabaclash,open,94168,48,7500
#QJ8L82UU,GubGub’s Groove,open,53548,15,6000
#GG28299Y,Herrarna,open,12433,4,2000
#GPRLR0QV,hi man thy,open,17333,5,1000
#RLG9UGY0,Hicksville Aces,open,19051,11,0
#RUUYL80Y,Informaticacas,inviteOnly,35095,11,0
#GJ80C29L,joseadores,open,15212,5,300
#QQUU8P89,Kuk i rompe,open,16771,11,0
#QJCYC08V,latín kings,inviteOnly,34869,13,0
#QYY2UP8U,Leeeeo e Gasaao,open,84701,50,0
#LJLQQUU8,Les Daddyves,open,30530,15,0
#QVR0VQUY,les gays,open,58993,29,0
#RL0CPC9C,lilbusters,open,93941,49,8000
#Q2L8QQR2,LogBaiterS⚡,open,50396,20,0
#G980LU0U,los afganos,inviteOnly,29809,12,2000
#RCLLJ8JV,Los Anticonos,open,66130,24,0
#QVL2J8Y9,Los Hieleros,open,92074,50,0
#GJPRJ0LU,Los Sexs,inviteOnly,14171,9,0
#RGJ08RJJ,Los Wikinein,inviteOnly,21817,6,0
#YU0VJ0JQ,MAMONES,open,56231,21,6000
#GUG0JR2Y,meno bravo,open,3256,3,300
#Q8R9LQGQ,Mickey mouse,open,71373,27,5000
#QUVG0VV8,Miss Mawy,open,31715,8,300
#P9CYJRQ,Mister Sun,open,66921,44,0
#RG2CRQY9,MT2,open,55713,18,5000
#QCYJLVR0,Navy⚓ México ©®,open,64987,23,9000
#G9VRY8YQ,PEDALES,open,77490,42,5000
#RJJLVVVU,PierUlysJose,open,57147,22,0
#L8R8Y8QC,PontoZoo&Others,inviteOnly,13725,5,2000
#G2J828CU,psoeneta,inviteOnly,44000,12,0
#RGQG2VQ0,RECALITYY,open,78497,43,0
#GJQ800LC,RedSkull y fans,open,54863,25,0
#LRQ0RRL0,Shmucks,open,41865,15,0
#QUQP9RY2,Single men,open,92705,50,2000
#QGUP2U02,SlaimuPosting,open,76004,44,300
#YV90RP8Y,taco bell,open,31984,22,300
#G20LR00J,TheBests,open,31655,16,0
#RRVLVYR8,Thecoolkids,inviteOnly,53646,30,0
#RG00U2Y9,trigal8a,open,27406,16,0
#LR9U8YP9,Uwu Kitten,open,82784,49,0
#PJ2U2JJ8,VERIFICAOS BRRR,open,50184,42,0
#QUJ2U8JG,YE,open,93506,50,2600
#GCCJUYV8,you suck,open,69875,38,0
#LRV29G8R,100% Humildá,open,46262,19,0
#QC999228,chaps,inviteOnly,71290,36,600
#LJ82PQRV,chinoisslayer,open,15397,8,0
#L9YPLJVP,Coolpepsi,open,37094,20,0
#LJPRYUVP,españa,open,35159,46,0
#GRCVJJU0,Guatemalacousin,open,34625,11,7000
#QLR8VGCC,LA REAL VUELTA,open,17694,7,0
#YUUR9G9L,matajaris,open,16676,5,2300
#QG9GCPG2,Os metrinhos xx,inviteOnly,28963,10,3300
