tag,name,type,clanScore,members,requiredTrophies
#QY08Q2LY,#碧蓝航线,open,95695,50,5000
#G90GP2PY,#阳光城市︱上︱海,open,92158,50,6000
#R0GJCRPL,#阳光城市︱上︱海,open,77692,50,0
#QVQU2GCJ,#阳光城市︱上︱海,open,68610,33,0
#Q2CGRCPG,#阳光城市︱临沧,open,78661,50,0
#GLQ92VVP,#阳光城市︱乌鲁木齐,open,86554,50,0
#QCPR2JG2,#阳光城市︱保定,open,82918,50,5000
#GLLUY8JQ,#阳光城市︱克拉玛依,open,81276,50,0
#QQPR80YG,#阳光城市︱南昌,open,25805,50,0
#G9Y228UJ,#阳光城市︱南昌,open,10476,50,0
#Q2992URJ,#阳光城市︱吐鲁番,open,83495,50,0
#GLQ989U8,#阳光城市︱哈密,open,83254,50,0
#Q29UQQRJ,#阳光城市︱大连,open,92229,50,4000
#G9C0RPPY,#阳光城市︱天津,open,8781,50,600
#QQGL9RLP,#阳光城市︱廣州,open,84311,50,0
#QQ0VGYQP,#阳光城市︱廣州,open,79869,46,0
#GLLQG0PC,#阳光城市︱德州,open,85992,48,4000
#QQ0VQ29P,#阳光城市︱成都,open,83281,36,5000
#QGV2889Y,#阳光城市︱成都,open,74538,50,0
#QVUYP88G,#阳光城市︱石家庄,open,40749,50,600
#R90C0U28,#阳光城市︱首︱都,open,79705,50,0
#GGUYYQQY,#阳光城市︱鹰潭,open,16645,42,0
#RCGJJR9C,#阳光城市︱龙南,open,73238,50,0
#GVPC0CLP,$玄武朱雀$,inviteOnly,10000,2,6000
#G0YJCU0U,.m,open,97609,50,8500
#PPQLQGQ8,0-3选手汇集地,open,99849,50,9000
#GVUGPYP9,100%,open,98264,50,6000
#QC9RJ0QJ,10000000,inviteOnly,6414,4,0
#RPQLU80J,101010,open,31578,8,0
#P0VCUJUG,107战营,open,92999,50,7000
#RP9CRJPG,110分部,open,98007,49,7000
#GPLYV8CY,1400 / 999,inviteOnly,5102,2,0
#9J02QQC8,18cm,open,99817,50,9500
#GVCQJ9LP,1948Royale,inviteOnly,24437,10,0
#G2PVGGCL,330,open,70170,21,8000
#2QPQ2YGL,50 君临★世纪,open,91724,49,5000
#GJV089JG,50KiNgs⚜️白銀帝國,open,86839,35,7000
#GGRYYVGG,6IQMONKIS,inviteOnly,90868,49,3300
#9G0Y8J90,80.90【群英汇】,open,99641,50,10000
#GJJRJUR,80.90【集中赢】,open,98156,50,5000
#GY9PC2L0,81537 快乐的松子儿,closed,30107,7,0
#YV02QLV0,81537 给你幸福,open,94758,50,7500
#G0LG9P82,81537二月,open,97063,46,10000
#RL2GYU0R,81537十二月,open,96578,50,7500
#YGCRJ0P,81537战斗,open,98844,49,10000
#YY0RLRCG,81537枫桦,open,99400,48,10000
#Q9PUG22P,863,open,99352,50,7500
#8YGRV2PV,8号公寓@_@,open,92348,50,2000
#GJ9V8PV2,=============D,open,64328,20,9000
#8VPV0CV,acgwolf.com狼窝,open,89443,50,1000
#RR00PULY,adrian,open,75090,36,3000
#GUC9UQL2,AIGLE,inviteOnly,13468,7,300
#RLJ2QLVY,Ambrose's bros,inviteOnly,47673,13,0
#GLLJUCCV,amogus,open,1919,2,0
#RRPL98V,Amora,open,98881,50,5000
#QYJ22CLU,Amoy,open,98209,50,6000
#GQPVR82Q,An oil tanker,open,99110,50,8000
#QQLJC2QY,Andy大大的部落,open,96723,50,3300
#QY829YGY,Aries✨的秘密小屋,open,97353,50,6500
#GPUVLYJQ,Atheling,open,34506,8,3000
#GVCQCR22,ATHENA I 提瓦特大陸,open,88166,50,0
#R80UVCUP,Atlantis,open,38656,17,0
#G0GGLJJ2,AW动物世界,open,87528,50,0
#2LC9J8C8,A集团军 司令部,open,18044,7,3000
#GGPCRC0L,baini’s company,inviteOnly,35095,10,0
#R2JRVL9L,BaynosBikerBoys,inviteOnly,35683,8,0
#G8CJ8QJL,BBALL Gamers,inviteOnly,12195,3,0
#GRYGJCLC,BBFL,open,11532,4,0
#GYYJ28RY,bebewland,open,18866,4,6000
#8LCCJP,BEIJING CHINA,closed,98220,47,7500
#QL0GY9UG,Beluga,open,92151,41,10000
#Q8R889LU,BGYKSR,open,99348,49,10000
#GLGY2ULJ,big 3 n austin,inviteOnly,18286,4,0
#G8J2J0RJ,Biggest,open,3964,2,0
#QRYVQJLV,bilibili南瓜之神_,open,800,1,0
#RGG0QQY0,Bing chilling,open,31834,9,1000
