tag,name,type,clanScore,members,requiredTrophies
#9YLULV99,!!!AMIGUITOS¡¡¡,open,99516,49,9000
#QYV2JQQG,!!DREAM!!,open,49094,11,8000
#G2R0YLV8,!!los Fuikity!!,open,35154,11,4000
#G8Y202LR,!VERSO RP!,open,90508,50,7000
#QLQGVG0Y,"""(COLUNION)""⚡",open,92763,50,7000
#8V2JQCL,"""Colsanap""",open,98200,44,10000
#RY0UUR98,"""Zenin Academy""",open,84619,50,6000
#9R98L0P2,#AlwaysQueruHP,open,97090,50,8000
#LLYY2JRG,#Col Colombia©,open,100000,50,10000
#VQ2PURL,#COLOMBIA#,open,97674,50,8000
#QRRQP2YG,#HouseOfDragons,open,99886,50,10000
#QGRGU80U,#ModoDiablo,open,98540,50,8000
#L00YL0G8,#NoALaReforma,open,98022,50,8000
#8YJC89V0,#TeamCuadra,open,100000,50,10000
#P08Y2JUQ,#VamosColombia…,open,99292,50,8000
#LPLQVCJV,#WJ eSports,inviteOnly,99691,49,10000
#2PRGRUCL,$ money $,open,99574,50,9000
#G88Q2L22,$uper troles,inviteOnly,82102,30,5000
#GYJQGLYQ,(SOLO_COLOMBIA),open,36809,19,0
#QRJRY982,+57 BOGOTAAA,open,99424,50,9000
#GLLU9YRG,+57 clan colomb,open,876,2,600
#G0PCPR2L,+57 World,open,99658,50,10000
#QJJC2LL9,+57╏ Col-Sport,open,98485,50,8000
#PJ8U0LGV,"-""SVAM""- Team",open,99965,50,10000
#Q0R8CCPJ,---,open,97589,50,8000
#G92Q8VU8,-150 cm,open,96949,50,8000
#QRVYPLY2,-All Star-,open,99299,50,9000
#G2J220P8,-CDLM-,open,39265,10,6000
#LJGJCJQC,-KopassuS-,open,97653,50,7000
#GQ2C8GYQ,-LOS ILUMINATI-,open,99189,50,9500
#P08RVULP,-Star Alliance-,open,18108,4,5500
#Y02UPRP8,...,open,82840,50,5000
#RV2ULPG0,...,inviteOnly,4389,2,0
#QC28P029,./SOLO RANK\.,open,99463,50,9000
#G9QRUCCP,018 COMUNITY,open,80337,50,1300
#Q9J9YQ02,04ㅤCOLㅤ 06 S,open,91389,50,6000
#GLCYL922,10-4,open,88237,41,10000
#YLRQPJYU,100% anonimus,open,99446,50,10000
#L8JCRL22,100% COLOMBIANO,open,99494,49,10000
#PUCPLY90,100% COLOMBIANO,closed,99005,47,9000
#G80VVYUJ,100%colombia,inviteOnly,100000,50,10000
#GL0RV9QJ,100%Colombia 2™,open,98102,50,8000
#988RR8G,100%COLOMBIANO,open,93288,37,10000
#GPCVLU9U,1004,open,98244,50,8000
#QG2RRQYY,100K 2.0,open,98756,50,8000
#GC8G8L2C,1101primer,open,69091,42,2000
#GLCVP8V9,111,inviteOnly,3847,4,0
#QRRPV9JL,11A,open,95575,50,7000
#G2U8C2GU,2 pa 2,inviteOnly,15381,5,0
#GUGYYYQP,2 pa 2 sin rop,open,91096,49,7500
#LUVY8QJU,2.,open,98517,50,8500
#22LRP0R,2016,open,96196,49,10000
#RGVC8V9C,2CNTficos Datos,open,93396,48,8000
#QQLYPVGQ,2pa1intercalado,closed,6434,2,5600
#GL29Q0QR,2pa2,inviteOnly,9090,2,0
#QPRLGL28,3-0,open,98203,47,10000
#G08QVC99,300 de cilantro,open,96638,49,8000
#9R889VL2,300+,open,99224,50,9000
#QUYVQ8VJ,3145944 gestión,inviteOnly,47027,11,4000
#QU09LY9R,384,inviteOnly,57549,15,0
#G09PGGLR,3CM,open,91749,47,7000
#LJCGCC90,4.20,open,100000,50,10000
#QLJUYJL9,4.20PGLO,open,96892,50,7000
#GYGUVCY8,420,open,4762,3,0
#GJQR9L9R,420 WED,open,96621,50,7500
#G99P0UPV,420!,open,92944,50,7000
#QVGVVJRJ,4:20,open,99670,50,10000
#QVRUC9RC,4k Salchichón,open,92727,50,7000
#RQYGY2VP,5-9,inviteOnly,3848,5,0
#GQ0RY8U0,50 STARS COL,inviteOnly,98940,47,10000
#20JG2CR,500 de Pan...,open,97508,50,8000
#RGV998QV,5Peso,inviteOnly,8057,2,0
#GYGY9JUQ,6-1 GOAT,inviteOnly,4879,3,0
#GJR2JYU0,601 SANTOTO,closed,3890,3,2000
#G9URLCJY,66,open,11975,3,6500
#GPQ2VYCV,67,closed,16603,5,1600
#G299VJ08,6ABC,inviteOnly,91790,43,7500
#J2QYUQRY,6B clan bonice,open,9186,5,600
#LQ0J2080,6IX 9INE M3X1C0,closed,5673,2,8000
#R82RCUC9,6to A ♥️,inviteOnly,1283,2,0
#G90898RY,6º,inviteOnly,10196,5,0
#GYU0R8YC,7-05 Jt,closed,13985,6,0
#GJ80PCJY,7-1,inviteOnly,4465,3,0
#RY2URU90,7-33　모,open,86218,50,5000
#RJYRLLL0,701,inviteOnly,30143,12,1000
#RJ9UGQV8,701 abuela,inviteOnly,21895,9,2300
#GPR9RGLG,713,inviteOnly,10226,6,1600
#GPJ2QU00,7A™•~,open,6491,3,0
#GYYVYJL0,"7F,SPORT",closed,349,1,1000
#R0J0RJVV,7X4,open,90860,50,7000
#GCLP0UUP,7° grado,inviteOnly,13150,7,0
#GPYU2VYG,801,inviteOnly,30643,10,9000
#J02UL2GR,804 CRC™★,open,38123,23,2000
#G8Q90JUL,9 c,open,99201,50,8000
#GL928C0C,9-2 el peor,inviteOnly,14037,7,0
#RYJ2VVL8,9-A juliana,closed,2763,3,0
#GR0ULGUC,902,open,89148,36,9000
#YYCVQ8QC,911,open,94941,44,7000
#G9C0CL8P,9:1,open,37414,12,4000
#QURJGPPJ,9a,open,99183,50,9000
#9YVQVLCC,:D los craks,open,98837,50,8000
#R0JQ2PUL,<3,closed,9196,3,0
#QRRULQ0V,@ Colombia @,open,99882,50,10000
#R8P9CGQR,@majochavs,open,3017,2,2000
#RVYVLUVQ,@yosti,inviteOnly,9176,4,0
#GGG898YL,[COP]SINALOA,open,84708,38,7500
#LG8PUQ82,[CTB-MEMBERS],open,97188,50,8500
#GQPR2VC2,_Explorer_,closed,14103,6,0
#LJLRLQ92,A A A,open,97728,50,8000
#GLLQ2P0R,a bueno bro,open,8463,3,6500
#R2R202V2,A MAFIA 2,open,99872,50,10000
#QQR8VRUL,A R A B A S T A,open,96310,48,7500
#GU0YJC9L,A y D,open,5686,3,1000
#GC9QGYV9,A-S,inviteOnly,8886,2,7500
#GLG8GCYL,A-z...,inviteOnly,2072,2,300
#G8P9LC2J,A.M.A Sport,inviteOnly,63919,24,0
#GJ2RL280,a.m.p,inviteOnly,12841,4,1000
#QQGG2RUR,A3P,open,99123,50,9000
#GP0Y0GU2,Abeljajajajajaj,open,88474,33,9000
#RR2L0P8L,Abraham eloyo,open,8399,7,1000
#G9P80PC9,Abydos,open,7853,2,5000
#GRYQ20L0,ABYSS LIGHT,open,7803,4,0
