tag,name,type,clanScore,members,requiredTrophies
#GVUYCJJR,brazoquiños,open,36766,12,300
#GLUCJP8C,COMO SEA,closed,5229,4,4000
#GC8V0QGP,Cupcake,open,15717,4,0
#GPPL2Q2P,D.V,open,6402,3,1000
#LGC8PVGC,EKC,open,6383,2,6000
#GPQ8CQRR,Greeat fc,inviteOnly,30603,9,0
#GQ90CCQP,Los toñeros,open,18950,6,0
#RQV8PPRY,SLY CHAMPION,open,44146,11,0
#RR2G2JUC,solo niñas,open,1634,3,0
#GQGUC88C,Son’s of kamar,closed,10685,5,0
#RJ22Q8UC,Stock fighters,open,34161,19,0
#82JYPJPJ,the legnd,open,4534,2,3000
#RY9YL2QL,tonperelezgeg,inviteOnly,56517,17,0
#G2ULYJU0,WestMor,open,22558,7,0
#G92GR98G,スパーキー使ってるやつはビビリ,closed,48089,13,6000
#RPVQGP0R,1T5,inviteOnly,46908,18,0
#RQPCY08R,akatsuki,open,10494,5,0
#QJLPPL28,amigos,open,63941,26,1600
#RQJQJULG,badaboum,open,22776,7,0
#QUUQULR0,berkinin amici,open,44630,16,1300
#QQYYGVGQ,BLACKLER,open,77188,32,5000
#G2PQY902,calyspo,open,24467,6,0
#GLP8YGLG,clan 7777,open,83705,48,0
#PRL8U229,dark gibbon,open,64085,24,5000
#QV2Q2G2J,el casino 77,open,22136,8,0
#RPG0QUGU,full hagra,open,5516,5,0
#GCC99980,galacticos,open,21941,6,4600
#RRRCRYJR,get la buche,open,4437,2,8000
#L90YQ9CU,HAMIDOUUU,open,74907,39,4000
#GV28Y0Y2,LA DZERIE,closed,6636,4,0
#GP80Q2,lebanon united,inviteOnly,37055,8,7000
#GJ2UUGPQ,Los aña boys,open,56580,25,2300
#GGCYJQV8,LOS CMB,open,85532,50,0
#GYQY0VLG,Los mas guapos,open,26711,8,0
#GRCRJ0GC,LOS PAPUs,inviteOnly,16626,7,0
#QCUVJRLC,MA CRETIEN,open,23542,7,0
#GGQ9CR28,Midoryyyyygaoka,inviteOnly,86290,43,0
#GU280RPY,nfu,inviteOnly,25819,7,0
#QV2GLUQR,over 5 gng,open,75824,28,0
#YYY0CLRU,PACHULIS ONLY,open,96356,50,2000
#QCLPQ90R,palls,inviteOnly,81733,33,0
#Q98PPUUG,pidgin56,inviteOnly,9295,4,300
#GJ28GQGV,pink worm famiy,open,9727,8,0
#GV0LV090,piwolover,open,8895,6,0
#QGPJUQRP,RISE TEAM,open,26103,9,600
#G9Y8P8QQ,School of Hort,open,28608,8,0
#GUUY9YLY,TelloFC,open,12722,9,0
#820UYC2R,TheGiantMurs,open,9648,5,1000
#RQCQLRCJ,TravasRoyale,inviteOnly,66735,25,0
#GCLQ88VV,Try harders,open,23152,12,0
#PRV8Q929,سلاحف النينجا,inviteOnly,48215,17,0
#QQ9UQYUY,きんた,inviteOnly,72821,33,0
#LCJ8C0CL,clashkiller,open,55654,36,0
#QUC8Y0PR,EiDD - Pyrolist,open,28667,11,0
#LQ9LUQYY,Havana,open,54957,41,0
#QCRRCGL9,KöfteciYusuf,open,25379,11,2000
#QYG0PPGR,los ricos,open,50461,32,0
#GJ0VPUVP,скебобовоз,open,5689,6,0
#LURUJP9R,大阪大学クラロワサークル,open,69845,44,0
