tag,name,type,clanScore,members,requiredTrophies
#LPLRYUQU,"""Gallo Pinto""",open,99670,50,9500
#C02J2G,"""SOMBRA NEGRA """,inviteOnly,97246,42,9500
#GURVR8GR,"""TEAM CEDI""",open,95231,46,8000
#GQLVVY9Q,#BENIJUGAMER,open,96838,50,5000
#GLRY0RR2,#COSTA”R|CA#,open,17106,9,300
#2QC0RURP,#INFINITY_CR,open,98395,49,10000
#G20CQP2U,#Mini_Grifos,inviteOnly,99925,50,10000
#Q8LR2GQR,#TICOS DE ELITE,open,94082,50,5500
#YJL8CPU2,$ Costa Rica $,open,99445,50,9000
#LL8YCPJ9,$ DARK FIRE $,open,96676,50,8500
#P9V08GQG,((.TUANIZ.)),open,71819,24,5000
#P9U82LG0,***SPEACH***,open,98650,50,8500
#GG9LVCQ2,*•black mafia•*,open,91884,50,7000
#QUJ2VVJR,+506 costa rica,open,97372,50,8500
#G28GCPRC,+506 CR,open,97987,50,8500
#LG92V02J,+506 FIGHTER,open,98148,50,7000
#G2U02PUY,+506 TICOS,open,89056,50,4000
#RCY0QVJ8,+506 Tops Crew,open,22002,7,3600
#QYCYR9UL,+506 vicio,open,86820,50,4300
#G2UR9C8J,+506 Worldwide,open,93810,50,8000
#8VUQ9PUR,-COSTA RICA-,open,99532,50,10000
#RCL2CURP,10-1 LJA,open,28132,7,4600
#RLQR9YRG,10-3,inviteOnly,83621,49,7000
#QVVVVCYU,10-5,open,34240,8,4000
#RLCGQLQG,10-6,open,91781,50,6000
#GLU9YVLV,10/04/23,closed,8071,2,0
#LLCJP0Q2,100% TICO,open,91608,47,4300
#Q80Y8Q8,100% tico ||,open,95159,50,6000
#G2Q9CU,100% Ticos,open,98915,50,7500
#22LYLC0R,24/7,open,97099,50,7500
#G92Q2YGL,24/7CR,open,77286,50,2000
#LVYPCPP0,25BLACK³¹ Fire¾,open,98436,49,8000
#GY0PQ80R,2v2,open,96890,50,9000
#G2VJUYYR,2v2,inviteOnly,2104,1,6000
#R2QCVG88,325,inviteOnly,9177,2,0
#RJJULJVG,3H CR,closed,12057,4,0
#G2R2QUCP,3MSobreElCerro,open,87125,49,7000
#LL99YCVQ,"4,4 por siempre",open,97856,50,6500
#RQ9020CP,420,open,95548,49,9500
#J2P0C0RR,420 SDG,open,7038,3,0
#GC9QRPVC,444,inviteOnly,5751,4,0
#LY8LQL2U,490,inviteOnly,96350,48,7000
#RULGVPRY,494_OFICIAL_,inviteOnly,68019,19,3300
#G2RJY0UU,4Gatos,inviteOnly,47274,14,3000
#PLGPGJ,50 guerreros,open,94906,39,9000
#G0Q80QQU,50 LEYENDAS #3,open,71588,27,10000
#QVQG00CR,50 leyendas CR,open,98682,50,9500
#9RGYL9GJ,50 TICOS,open,80920,27,8000
#Q2QCRLGJ,506 CR,open,99969,50,10000
#LCGQCV2V,506 CR,open,99605,50,10000
#G0JVULY0,506 CR 2,open,93454,50,7500
#LPUUURYR,506 en la casa,open,72885,50,0
#GV00GV92,6-2,open,5518,3,0
#GCLU9LC2,6-4RMM2025,inviteOnly,2073,2,300
#QJVUUG8J,60.0GT,inviteOnly,88684,32,10000
#QQYRUVYU,60GT,open,99767,50,9000
#R0QVPQGJ,67,open,6802,3,1000
#GJLCVLVL,7-1,open,8846,4,2000
#G0LGPGYR,7-2,open,74892,50,1300
#GGLRV8RL,7-2 CR,open,94043,50,8000
#QJ98UJ0V,7-5,closed,25702,7,0
#Q8V98LQQ,7-F,open,96432,48,8500
#QRY2UYG9,777,open,98013,50,7000
#R0YVLRPG,8-1,inviteOnly,20377,9,300
#GVVPQLCY,8-2 Clahs,open,5080,3,0
#GLGGCYLG,8-3,open,18478,7,2600
#R8LQRCCL,8-8,open,75772,29,7500
#RQYJLL08,9-1 mega league,inviteOnly,20762,8,1000
#L9Q0J9U9,99% ticos,open,98144,44,10000
#GC99YY90,9na Santa Tere,inviteOnly,38446,13,0
#LPL29VCP,<3,open,90407,45,5000
#G8RJP09L,<3,inviteOnly,10567,5,1600
#GLUGYQC8,@#,open,954,1,1000
#R0U82U2J,@CR MARUCHAN,open,10270,7,0
#QCRG88JJ,\\\MALVADOS///,inviteOnly,7448,2,4000
#22P2CRL,A Kchete CR 2,open,88198,32,9000
#RVPQ8CCQ,A.F,open,55847,23,0
#GUCJVVJQ,AAI,inviteOnly,20892,7,0
#RU9ULQCP,Abogatitos,open,84248,50,1600
#QGCYCVV8,abuela de Bran,closed,16087,6,0
#GYGVVRVC,AC_CR_ elite,open,5475,2,3000
#GQCV89P8,Adicto a ella,open,68315,21,7000
#RGQCGP2Y,adictos,open,17647,8,600
#CGGP2V,AeternaeGloriae,open,97833,50,8000
#L9JU8YRQ,AG-CLASH,open,99626,50,9000
#80Y2L2JR,AKATSUKE,open,90815,50,4000
#PY29YLR9,AKATSUKI 506,open,98616,50,7000
#9GRVY2JL,Aku Aku,open,39244,11,4000
#QJY8JGP0,Alajuela City,open,95631,50,7000
#GG0YCY2L,ALAJUELITA UNDE,open,94051,50,6000
#GU2L0LY0,ale el grande,open,9501,5,0
#GCRRQJP8,Alex y Edrian,inviteOnly,3491,2,4300
#QJUL0YGP,alianza chavito,open,90796,50,6000
#RLLG82PY,Alianza CR,inviteOnly,93981,41,8500
#90LYGVY8,Aliens TM,open,90806,50,4000
#GLCP9RCJ,aliss royale,open,38343,13,0
#PVCQUP92,Alitas de Pollo,open,91249,50,2300
#QCR0R0QC,Alonso femboy,open,90668,50,1600
#G0G2CRL0,Alto Coco,open,88210,49,7000
#280YP9CG,altura CR,open,69463,27,2600
#QYP9JVR2,AlukarTeam,inviteOnly,15642,5,0
#QV89288U,Alwayzsidewayz,inviteOnly,13507,4,10000
#G09UCURC,Amatista CR❤️,inviteOnly,80507,28,8000
#2CYR2CV,American xPro,open,97300,50,7000
#R8GQL2UQ,Amigos,open,88204,45,6000
#R2LP2V9R,amigos,open,4999,3,0
#88090YCU,AMIGOS CR,open,97011,50,6000
#LCUVY0GQ,Amigos Ticos,open,87760,50,3000
#R02Q0VLQ,Amigos777,inviteOnly,14626,4,0
#RCCC2LY9,AMIGOSROJALE,open,13540,12,0
#G28J8R8Y,amor mío,inviteOnly,5270,2,0
#R2GV8G0L,AMY.chico Lele,open,12506,6,0
#GYR22YYR,ANBU Hunters,open,5585,2,2000
#QUQCVVQJ,ANDROMEDA,open,97677,50,9000
#G99R2929,Angeles caídos,open,9257,6,4000
#RQYUPLLG,Angie y Tilín,inviteOnly,9517,4,0
#GVPLPYL2,AnJo,closed,7382,2,0
#RJYVU92Y,Anti Nicas,inviteOnly,75444,34,7000
#G0YJPP8R,Apestozosctp,inviteOnly,96227,48,0
#G9020P8Y,APM TERMINALS,open,84984,40,5000
#GUQV8PVL,Apolo cr,open,97251,50,7500
#R20YC2QG,Appe Juice,open,7432,4,0
#GLC2PR8Y,Aquel nap ZzzzZ,closed,6055,7,0
#RJPYUUJJ,AR OFICIAL.,inviteOnly,4219,4,0
#L2LLQ2LP,Arcanos,open,89157,50,6000
#G8P2R0JG,ARENA. CR,inviteOnly,95499,40,5000
#2QGGRR2,ArenaCR,inviteOnly,100000,50,10000
#QUC2UVYR,arnoldo el crac,closed,74319,24,0
#QG0JUPYU,arrozconsiempre,open,85709,50,3000
#RC82Q02G,as 7-3,open,20779,13,0
#RV2CGCUU,Asalta Abuelas,inviteOnly,18780,6,0
#RUYC8VP0,Asesinos,open,11442,7,0
#JQULPQ0,Asesinos CR,open,94491,50,5000
#LYRGRLQ9,Asociación Doof,open,84076,50,3300
#RQR0Q9VR,Asquerosas,inviteOnly,10876,7,0
#Q9Q2P9JJ,ASSASINS_Cr,open,98896,50,9000
#2YCJGVLV,Assassins CR,open,100000,50,10000
#LGGUL2Q0,assassins CR,open,96487,50,4000
#G2UVG82,Assassins CR C1,open,98953,50,7500
#PQGY2PY2,AtacaYEscondete,open,35868,10,2000
#G8CUVGUU,ATO LIR,open,79967,39,3600
#GCYYVLVP,Attack《》♤,inviteOnly,4134,2,0
#R0RYYJ9Q,AUGE ₹,open,56092,16,5000
#RCY2RY9L,AURA CR,inviteOnly,8968,3,1300
#QVYLY292,AUTEN-TICOS CR,open,91618,50,5000
#RCQ8PCLJ,Autisters,inviteOnly,33742,14,0
#GURGC9J9,Autralelistas10,inviteOnly,49601,22,0
#GVCRRJJR,Avengers CR,open,13111,3,4000
#JVUQRL,AvengersCR,open,99941,50,10000
#YV8VCCLG,Ay caballo,open,98334,50,8500
#Q2CVGP02,Ayer2,inviteOnly,55491,24,0
#VG9LU9L,Azucarero,open,96078,47,6500
#G0UQ8GJG,azulitos,open,60088,17,6000
#QPCGGVV8,aña,open,74406,50,2000
#GCV8JVV2,aña,inviteOnly,14209,6,2000
#RVGJRU8U,B+A,closed,5377,2,0
#R0R8JYCP,Baby Feos,inviteOnly,5651,2,0
#GJU28GJY,Babylon City,open,97814,50,8000
#G8YQRVLL,Backyardigans,inviteOnly,37247,11,5000
#GV8VU9QY,Bajamar,open,3664,4,300
#RLCGYPQ0,bald leyends,open,50448,30,2000
#GL0UGR82,Baldío,open,11928,8,0
#GLYQPJ8V,Ballestero CR,open,6607,5,0
#G2PUGJ8G,bananeiros,open,10995,5,2300
#QLUJ2RYG,bananos,open,83934,42,5000
#QVJYU9Y0,Bananos,open,32824,14,7000
#QYYQ8CCY,Bananos fc,open,45480,14,4000
#GPJUVRG0,Barahona,open,91523,50,6000
#RLLC0RLU,BARBAROS CR,open,79032,47,4000
