tag,name,type,clanScore,members,requiredTrophies
#R2PYPQYV,Cocktails,inviteOnly,2789,2,10000
#L8UGU2YR,Dutch Heroes,open,98464,50,7500
#J0CVPUUQ,Favela do muro,open,20655,6,3000
#GYPCQ9PC,Hebelkomitee,open,34552,8,7000
#G2R9R0PU,Isla Royale,inviteOnly,92274,48,3300
#GLGUVVRQ,ITS time,open,35041,11,0
#LR2G0VRG,kami,inviteOnly,15792,7,0
#GP0GYLQ2,lodz,open,47726,13,0
#G2V8JCCJ,LosPous Insanos,inviteOnly,1836,2,0
#R0QR2LUP,M3T4L B0¥,inviteOnly,37894,13,0
#GJQ9QLUL,Obi-wan Hojlund,open,22877,8,0
#R028LVLV,roddy,open,8364,3,2600
#QJGU0YRY,SunRise,inviteOnly,34634,8,3000
#GPC22CPP,Tadeito_tuUwU,open,2763,2,0
#G2UUJQ0Q,Teemu Pukki,open,3933,2,1000
#RQQUQJLC,the masters,open,98268,50,7000
#GCRCR2JU,wutangclan,inviteOnly,9506,4,0
#G98VCGUQ,YTK~CLAN,open,3302,2,0
#QJLLCQ8L,おだりん,open,13420,3,7000
#GY8C8289,077 BR,open,18156,8,2300
#GCLCJLCQ,4I-4A,open,22680,7,2000
#Y2YL9809,A Vara,inviteOnly,56055,25,4000
#G2RCPU8R,alexschors,inviteOnly,34810,17,0
#YV0LCQCU,Andrés Leal FC,inviteOnly,81715,30,8500
#L8JYCRVR,Atétermos7000,open,34825,14,7000
#299CQVJP,AvToRiTeT,open,76978,43,3000
#YCC9QLLQ,babys,inviteOnly,75989,31,4000
#L28CU0VJ,Baum Laumi 3.0,open,69806,30,3300
#G2GCQRLY,bibo2,open,17849,24,0
#GCR99LC8,big scientist,open,32135,8,4000
#G8000C2V,BNLR,open,8305,4,2000
#RYCGGPGU,bsz waldkirch,open,41213,21,0
#LLVR8JCV,bucolo,inviteOnly,90435,47,0
#QUQ8Y9QL,carlos ta mrk,open,74031,39,1000
#LGC80JU9,CatoVonBosch,open,97738,49,6500
#QU9VL8LU,chapuboys,open,39998,27,0
#LCC89Q8V,CHIBICREW,inviteOnly,50633,21,5000
#R9RVPVQC,Clan #R9RVPVQC,open,66349,21,4300
#RJ802J28,CLAN TC,open,87353,42,6500
#QVGGJGGG,clannabis,open,88977,33,7500
#YVLQGCJ0,CURACAO HOMIES,open,76811,45,5500
#PJV2UPRG,Curacao legends,open,51669,47,0
#80CV2VQ,CURACAO MADNESS,inviteOnly,89430,35,8000
#L08YLGCC,Electra,open,79455,41,0
#LYCCCL00,Elite,open,84419,47,4000
#RVQRG8GL,furia CBTis199,open,47541,14,1000
#PPQRQ8VC,Harrapatzak,open,68684,42,3000
#GRYRPR8J,HOROZ FK,open,17790,5,0
#RCQGU0U0,i goat,open,15382,9,0
#LRYPCVLC,i strunz,open,56155,23,0
#G2QG2829,IL CLAAN,open,76883,34,7000
#Q9J0PVLV,INDIAN FAM SQA,open,72371,40,3000
#G9Q098RV,İSLAM EVLATLARI,open,84021,36,7000
#R98PRQ8Y,ITS,inviteOnly,61458,28,0
#RV0CV2CG,les cousins,open,11562,5,0
#QLPJLRUL,les vrais,open,78646,46,0
#R2CVUJUY,LOS CAUSA Z,open,8916,2,0
#RP90P8U9,losvairos,open,16888,6,0
#PQJ8QGL9,LVCE,open,57316,36,1000
#L8P0C8CC,mamados,open,14490,5,0
#G2CUJYQL,mariku,open,14801,7,0
#R82LL82G,melon,open,18704,13,300
#GPVLVY90,MESSIRVE,closed,16656,11,0
#QJV0P20U,moini,inviteOnly,33634,9,0
#GQLYRRG8,Negrastian,open,22237,9,0
#Q2G8VJ8V,Nekkas,inviteOnly,48733,16,5500
#G8LCVP8U,No ot tonight,open,23530,17,0
#LCCJ8VCU,peekas,open,89572,49,3000
#GUV80URG,Pepe siu,open,59896,34,0
#QP920LLC,Piltrafillas,open,55308,27,0
#QVPR9QVY,piticlin FC,open,38900,14,0
#QQQPLG0Y,rauzito,open,85400,44,5000
#GGCGQ9UR,renzitos,inviteOnly,94426,43,0
#L00VURVJ,SacraCoronaUtd,inviteOnly,82738,40,2300
#G8YR80YP,SALU Y LIBERTA,open,59670,25,3000
#RG99LRCJ,SneakyLarries,open,32843,12,0
#LGQGU0VC,SNM,open,31244,21,0
#GJU0C8UG,superjayjay2012,open,7902,9,0
#GJU9PYP0,SuperWarriors,open,18028,7,0
#G2J2QY2C,tankers,closed,60390,25,0
#RP000QL,Team Cold,inviteOnly,61322,36,2300
#20PVJRPC,The Collectors,open,89576,47,5000
#G2PVLVPG,THS,open,74043,28,0
#QG2R0CV9,Top•clan,open,25872,13,0
#RPYYPYYC,Vuelaabuelitas,inviteOnly,28503,14,0
#GY8002L9,war wabbits,open,89098,50,0
#R080YJUU,är mammen,inviteOnly,25769,9,0
#GLLJ09GQ,ñam ñam,inviteOnly,68391,24,300
#G2982LUG,Καλάνδρα,open,39924,13,10000
#QC80GJUY,こうたくさすぎ〜,open,60199,19,0
#G0RJVJR8,GBG,open,26992,9,2000
#GQRR920J,labregos fc,inviteOnly,19553,7,0
#RY0V808U,marlon,open,22161,11,0
#LRQPQ0QY,vatayiyas,open,60550,32,300
#QCVL0LRJ,Yt Halkman cr,open,31302,11,300
#R92YGQCG,まるやまるやま,open,19908,10,0
