tag,name,type,clanScore,members,requiredTrophies
#8Y20UYC9,#Error#DK#,open,92696,50,3300
#L0PRG2GP,#TheBestBoys,open,90063,34,9000
#Y2QRC89P,*****Ræven*****,inviteOnly,99352,48,10000
#QQ9CLCU,*Valhalla*,open,91760,50,5000
#RCUVC9Q8,1 U,inviteOnly,37310,10,0
#RYU2CQJC,1.P,inviteOnly,28136,10,0
#GVVGYPLL,1.P,inviteOnly,3715,2,300
#RPVRYP2P,1.zkattezvindel,inviteOnly,54338,16,0
#QPVG2P0G,1v1 migditdyr,open,91179,45,8500
#QU9LPPCJ,2.G,inviteOnly,59110,20,0
#R99GPUV9,2.shababs,open,32750,7,4600
#QJYPUCLG,2.WhatTheSigma?,inviteOnly,39372,11,0
#YUUPJPRC,2610 giants,open,94952,48,8000
#GLJUPJRU,5.B,inviteOnly,4687,4,0
#R0PPV0J2,5.b gutterne,inviteOnly,12133,6,0
#RCLP2URL,6 årgang,inviteOnly,12842,6,0
#RYRYGUYU,6-7 Clanen,inviteOnly,94049,48,7000
#GRV9CPYC,6.a,open,2057,2,0
#GY20YRGC,6.B,inviteOnly,14838,6,0
#GYCRL2GV,6.Y Kvik,closed,6083,3,0
#R0J00282,67 hogs,open,7529,2,5000
#GY8L28LV,6K clan,inviteOnly,4944,5,0
#GC0CCJ8L,7.X 67,inviteOnly,26579,12,0
#RLJV8RYG,7KLASSE,inviteOnly,26313,14,0
#GP8UGUC2,:),open,14515,8,0
#G0LVYGQG,[Dk] Monkey’s,inviteOnly,96036,47,7500
#GYCGJQ89,A C E,inviteOnly,5424,3,0
#GQQYQ9JG,A ON Top,inviteOnly,506,1,3300
#GYLVUQVJ,AAif,inviteOnly,3181,2,300
#28R0C902,Aarhus,open,99447,50,9000
#QQU20U,Aarhus CW,inviteOnly,74637,27,6000
#G99YGGRR,AASS 24 årgang,open,22816,7,0
#RRJJ2VLC,Aau U=IR,open,48208,19,0
#J0CR9QGC,abcd spulle,inviteOnly,2495,3,0
#GGP0PCYR,abe sutt5r,open,32127,11,0
#RJQC8UV9,Adolph snitler,inviteOnly,5415,4,0
#GYCVYQQV,Afdeling A,open,8524,2,7000
#G09P2RC0,Ahmeds Basement,open,95999,50,8500
#GQVJYL90,airmadras,inviteOnly,8864,4,0
#22Y8GQV8,Aktive danskere,open,96984,50,6000
#G99JJ8YC,Aleck og Astrid,closed,6176,2,0
#RCJRPURJ,Alex og far,open,16671,12,0
#GPQU8GJP,Alkymisterne,inviteOnly,6802,2,0
#JVLG09,Amager,open,93277,50,5000
#YCPLQY82,amatør clanen,open,87422,36,7000
#G2LLUGLU,among_us228,open,11663,6,1000
#RGJV9V02,amz,inviteOnly,52582,24,0
#G8U9LPGR,anton små børn,open,17973,5,0
#9LCV8C,Arken DK,inviteOnly,51829,14,0
#GPVV8PLL,Arsenalforlife,inviteOnly,3934,2,0
#G90VQGLJ,ASYLUM,open,41563,15,0
#UC9C2J9,Atlas,open,83717,50,2300
#RQ8LU8UL,Aurahøj,open,26741,10,0
#GLJP992V,avf gosts,open,11327,3,4000
#2RUUC2U,Bad Company,open,99908,50,10000
#LJUGRVP2,Balance™️,open,39780,10,7000
#RL0PURQL,BARCA DK,open,99871,50,10000
#QRUPRG09,BARE FORDI,open,99776,50,10000
#GYLJ8Q2C,Battle wolves,inviteOnly,4914,4,0
#R2LP0CGL,bdn,open,5950,2,0
#GGGQ82GL,BeanEaters,open,7692,2,4000
#RCLLUUGC,Beowulf's Feet,inviteOnly,4118,2,300
#GL0QYVC9,Berserker evo?,inviteOnly,22503,9,0
#R29R2Q2U,Bibel MC,inviteOnly,36280,12,0
#RCV08V8U,BIG BIRDS,open,18961,6,6000
#G8U28PRR,Bingoberlingo,open,4862,2,1000
#GJUPVQPL,Biotek,inviteOnly,40711,14,0
#LQJYJCVY,Bjørnebanden,open,93588,50,4600
#GYGLYQRY,BMH,closed,7085,2,0
#GPQP90GG,Bob,open,10798,5,3000
#RYVP988R,bob clan,inviteOnly,8604,4,0
#J0VG8CGP,BOB Danmark,open,12270,4,2600
#GC982JPG,Bomboclaat,open,6054,3,0
#R0JR8UUQ,bonnerbreath,open,5436,2,0
#GYUURLGL,boysne,open,16209,6,3000
#J028RPU0,BRSNJ Simons 25,open,40362,12,0
#R2QJYQU9,bubbi bjørn,open,48832,17,0
#QUG80UYV,Bubbi Clanen,open,99979,50,10000
#RCPG2YLJ,bullerbabserne,inviteOnly,5624,3,0
#8QL888R,buuk,open,92250,50,4000
#PP0Q88UQ,BØNNER,open,98064,50,7000
#QCJLGV0C,bøsserne,open,91809,50,0
#G0RLJUQJ,BØSSERNE DK,open,87738,50,6500
#GR0GJJR9,c går m. ble,open,21096,8,1000
#G88RVY20,Cart Goblins,inviteOnly,95281,47,0
#LC9CRRUV,Champs Of DK,open,97149,50,8000
#GU298PJ2,Chills,open,13234,7,3000
#R2P8PY8L,christiannice1,inviteOnly,48966,15,0
#Q0PYL0QG,Clan #Q0PYL0QG,open,99917,50,10000
#QLUPLP0Q,Clan #QLUPLP0Q,open,98751,50,9000
#GLRGYGRL,clan B,closed,6030,2,0
#G8VUJLUY,CLAN BANAN,open,11377,3,4600
#89CCRUYQ,Clan of Dose,inviteOnly,14033,4,0
#Q2VL2CGR,Clash Cabin,open,98893,50,8000
#PUYGC20,clash danish,open,94746,50,7000
#G9GVJU2U,clash gang,open,2589,3,1000
#GLVLP8QL,clash kings,open,8093,7,300
#28U0L2CP,Clash Loyale DK,open,100000,50,10000
#LJ0QGGL8,CLASH LOYALE JR,open,99990,50,10000
#G2CQQURV,CLASH NØRDER,open,91034,40,8000
#RRVR8V8Y,Clash of clans,inviteOnly,3254,3,1300
#YVL29PVL,Clashdanish War,open,99477,50,9500
#8PC8V8JQ,Clashizzle 2.0,open,99548,50,9000
#RP82U8VP,ClashKongerne,open,97995,50,9000
#GJ9VYQP9,CMD,inviteOnly,19399,6,0
#RRUGVCUQ,ColdStoneClan,open,2887,3,0
#QVC09J09,Coney,open,98346,50,7500
#R8YJC0YL,Conquerors,open,91813,40,6000
#YJGRYQRJ,coool,inviteOnly,12235,4,0
#G2UJJPGP,copengaygen,open,86525,44,5000
#9Y8GRG,CPH Royals,open,98563,50,8000
#GYLCGCVR,Crazy Company,open,97390,45,8000
#PJJCLL,Cult of Sofus,open,95397,50,6000
#G8P9GR9P,Daims gng,open,6519,2,0
#RPGG2,Danevang CR,inviteOnly,64857,23,0
#QCJJ,danish,open,97146,50,7000
#28C0P9PQ,Danish 4ever,open,99447,50,8500
#R2RVQJ2Y,danish 4ever,open,95683,50,8000
#9GY8VV,Danish Allstars,open,99813,50,9500
#PJ0UGC0,Danish Bacon,open,85331,50,1300
#29LLR9GR,Danish Danger,open,97149,43,8500
#8PRGQL00,Danish Delight,open,99980,50,10000
#G00G28PJ,Danish Dominion,open,95536,44,9000
#R90GQ92G,Danish Dudes,open,99690,49,10000
#GYRJQ2C2,Danish Dynamite,open,83043,27,7000
#RJGRPL99,Danish Elite,open,3706,1,7000
#GG22GRJ9,Danish Elites,open,99164,50,8000
#8CUJL000,Danish Elite™,open,99989,50,10000
#PQGG9G9,Danish Empire I,open,92057,49,4300
#L29920YR,Danish Fighters,open,99001,50,8000
#GGG2QQUP,Danish Frogmen,open,99627,49,9500
