tag,name,type,clanScore,members,requiredTrophies
#GJJCPYRP,206 strokers,inviteOnly,43481,11,3600
#RJ8R9GC9,3 union place,open,10554,4,0
#QVP0PR8Y,ARTICHOKEES,open,7910,2,0
#R2UUVQG8,aslanlar,open,9291,3,1000
#QLV0RVYC,BASQ,inviteOnly,96455,46,0
#G00YYV92,BIG BOZO’s,open,14343,4,8000
#G9022VRC,big men,open,61355,26,0
#GQJLQ09V,Bigger Ballers,open,97204,45,8500
#RQVGQJLU,Bo0TY BaNDITS,open,25711,6,0
#J2LLCPL9,bokları bağla,inviteOnly,15385,4,0
#GVJPJUR2,Boomy Zoomy,open,7605,3,0
#GG90CRUG,BTS gpn sartene,inviteOnly,63681,23,0
#GQLC90PQ,CerretoOmo,open,21589,6,5000
#Q89QL9L0,Chiraq Demons,inviteOnly,98526,46,9000
#YY90YCVC,Clan,open,73781,24,6500
#RCGLRJQL,Clan,inviteOnly,21215,6,0
#G82V2YL2,Clan #G82V2YL2,open,57672,19,0
#GP0CLU02,Clan:  #GP0CLU02,inviteOnly,83174,29,8000
#LYV82QP8,Clan:  #LYV82QP8,inviteOnly,82469,33,5000
#RLJVRG08,clãxuana,open,53772,19,0
#GLCQVRPU,crl q isso,open,19379,5,3000
#R28J80J9,dikes,open,4323,2,0
#G8880PUV,Dominant clan,open,32759,15,0
#GV9QJL0G,Exeter Gig soc,open,21884,5,0
#RGGGGGL8,G00NTOPIA,open,66122,22,1000
#LRCYLPJC,Giant PeePoo,open,66836,23,3000
#QRUJL00L,glooksfoo,open,65811,24,0
#GC0VQC82,GoblinGangsters,inviteOnly,72823,29,0
#QU222Y2Y,Goonion,open,83724,34,5000
#LU0Q2CRR,Hooplah Wilson,open,24325,7,3000
#GVV20YC0,Ih8 Jannitcraig,open,16108,4,0
#GYV08LLV,jerk circle,open,5342,5,0
#RVULULL8,JohnsonAdjacent,inviteOnly,30846,8,0
#G2VGG2QC,Josh cheeks,open,56251,20,0
#GYQUUJCQ,Le Sheitan,open,26844,7,0
#G9J2UCC0,Misfit Toys,open,89733,50,1300
#R2LRUCJJ,Mule Dik Mafia,open,42985,11,0
#RCU0UGU0,Nati Boys,open,8992,3,4000
#QVUQGQ9C,NotDoinIt,open,56395,17,0
#G8Q8YUGJ,pakistanfan42,inviteOnly,61049,28,0
#GG2GL2CC,Pink Flamingos,inviteOnly,39287,12,0
#R8Y09UGG,ppsugga,open,30447,10,1000
#RVP82LR0,PRIME,open,10187,3,0
#G902Y0UQ,Puff Puff Pass,inviteOnly,16892,4,0
#QC289UGR,Rammy’ World,open,29010,8,0
#G980R8C9,sigma,inviteOnly,51406,16,0
#R0VJ0VUL,smiling friends,closed,6481,3,0
#GUGR0PR0,sonk,inviteOnly,61476,19,0
#GU9LYGQC,Spread Em Wide,open,26505,10,3000
#GC80QCPJ,The Goblins,inviteOnly,8104,2,0
#GRL2RV8P,THE WAR,open,12576,4,0
#QVP2C220,togurts 2.0,open,97717,50,7500
#GQ8CCY9V,twins fifa,open,86537,50,2000
#GYVV9RC9,uncs,closed,11592,3,10000
#GY28JGGY,WE❤️G00NING,inviteOnly,55346,17,0
#G9CCG8UL,willy,open,7258,3,0
#Y9PQJ0CR,19357,inviteOnly,51827,22,0
#9020Q9QC,3 CROWN SAVAGES,inviteOnly,76122,29,0
#R2YVR9R8,3 musketeers,open,18591,16,0
#GUJVCJ0U,338 Drillas,inviteOnly,74279,28,0
#QGPC0YRV,425,inviteOnly,86423,46,0
#L9RJY0P0,4PF,inviteOnly,78683,39,600
#RV2LVY02,666,open,3093,2,0
#YGCLCPCJ,AASH,inviteOnly,77369,31,9000
#PL2LJJC9,abstinent dads,open,97169,50,7000
#RCJY2RPG,ALA,inviteOnly,23504,10,0
#GPUGJ288,alkot3,open,73419,23,0
#GJL9LGVR,AM multiservice,inviteOnly,38773,11,4000
#QY0JY098,anime hub,open,76108,38,0
#GYP2LLYJ,B6 Bandits,inviteOnly,10206,4,0
#GC20CQPJ,baka blast,open,43263,18,600
#GC98VJCG,Baller Central,inviteOnly,21381,7,0
#QUUY2QUL,beatmybih4L,inviteOnly,68540,31,0
#RRY8QQJ9,bebechat,inviteOnly,17034,5,0
#QU0PPC2U,bifolchi,inviteOnly,93638,48,0
#QL02880V,Big Tony’s Pies,inviteOnly,82485,47,0
#QVPQ88QG,black black red,open,47844,14,0
#QL0GRJGG,BOBBYS CLASH,inviteOnly,27725,9,0
#QVLG9Q00,Bolas Bolso,open,56888,20,8000
#GQUCPG9R,bookertboys,open,86920,36,9000
#YQPY0V8Q,Bot,closed,72693,26,300
#LGPUUCVV,BOX.PVP.DJ,open,40006,18,4000
#R9VYYGRC,bruhthas,open,31397,11,5000
#QVYPG282,bussdownraquon,open,96586,48,10000
#R22J2LJR,carlo = femboy,open,19730,8,0
#RYR0YR22,carroll,open,87081,38,300
#QPUU2CYG,castaways,open,32435,17,0
#G89LP0UQ,Celestials,open,20270,6,0
#RRU82YPQ,chickemcbiscuit,open,50053,13,5500
#GYPJP0VJ,CHIQUIBAI,open,27677,13,0
#R9GJ2C8G,cigány zsombor,open,48107,16,0
#QVP0Y092,clan,closed,25843,6,10000
#G92YYUQL,Clan #G92YYUQL,open,81124,39,300
#YLG88UYC,Clan #YLG88UYC,open,42090,40,0
#YPQPCRG8,Clan #YPQPCRG8,open,75314,36,7000
#G8QQPRYV,Clan:  #G8QQPRYV,inviteOnly,54844,15,0
#YJ8JGR2Q,ClanOfMillie,open,45878,37,0
#L9RGRQ8Q,claquélab!t€,open,31580,10,0
#LY889PUG,clash Djibouti,open,83848,42,5000
#G0LY2GUR,CMS Boys,open,58863,28,0
#R0P9PYPC,Coat Factory,inviteOnly,25121,9,0
#RJVC929J,concertam nerde,open,36870,14,3000
#G02UVQUC,cr muddys,open,43114,17,0
#GGPVJQPG,crim binkle,inviteOnly,41796,14,0
#G20YULPG,Cs Zommies,open,42872,12,0
#QVVJ98CU,Danajewsaregood,open,95243,50,6000
#RJRUU9CL,Deck Unknown,inviteOnly,875,3,0
#G0CYU2VR,DempseyDominion,open,50968,22,0
#QP88J9YL,DeyDey sus,closed,56672,36,2000
#QGVLG2PY,Die Lurchiehood,open,22033,7,0
#QVRR8YCP,Dima Defenders,open,32582,12,0
#QCUYCY9C,Dio vane,open,57088,33,600
#QQ8JU22P,Djib A.R.M.E,inviteOnly,85350,42,3300
#GRV00UYV,Djiboujistanais,inviteOnly,67383,44,0
#GUY0QVVG,djiboujistanais,open,300,1,0
#GQ2RPLRC,Djibouti,open,66435,21,5000
#R8PL9V9Q,Doah Distance,inviteOnly,36419,16,0
#QQ0GQLCC,E L I T E,open,80703,49,3000
#QLJ2J2YJ,El Clan de Cam,open,82143,50,0
#G0YRRGRJ,El Spastico,inviteOnly,82090,35,300
#LJ8JUC9P,endless onions,open,83350,49,1000
#Q9QV208Q,ESEPE,inviteOnly,27752,7,0
#QUUCPC0V,Falcons,open,88700,50,0
#QYLVY9GJ,fatro,inviteOnly,73195,28,3000
#YVU8U09C,faze joe,inviteOnly,54267,22,0
#GQQQ22Q8,fc saut6sson,open,47823,25,1000
#RGLGGCVQ,Flaka Munt Goon,inviteOnly,40023,19,0
#QUVUV0PP,floridsdorf,inviteOnly,54633,27,0
#QVC2RYY0,free realestate,open,58200,24,3000
#G08YRC2P,Furosemid,inviteOnly,17068,5,0
#QC8CQLVV,Futsal Vasto,open,48653,20,0
#QG2JPJRG,G3,open,47979,17,0
#RQRC89U2,Galaxy,inviteOnly,43798,15,0
#G22RVQCU,gart monkey,open,61837,26,0
#LLV08CLP,GaZe,open,73644,30,5500
#G88U9LYR,Geeky Members,inviteOnly,59094,20,7500
#RQCL9QQY,GG O PON,open,82827,49,0
#QYL9UU0P,GHS BOYS,closed,74295,29,6500
#GCG82GQ9,Goblin Jynxzi,open,31013,12,0
#QVGU8YPJ,Golden G00NERS,open,59588,21,2300
#P2RYVRQU,Golem,inviteOnly,71439,26,7000
#G2QQPJUJ,goliath,open,73720,35,0
#G8VCCQPG,grahamsdadsclan,inviteOnly,69869,32,1000
#QVVLL8VY,GrahamVeinySnag,inviteOnly,53443,22,0
#GRLL89RL,GreysnArchEnemy,open,55382,22,0
#QCPYPJRU,grormlans,inviteOnly,47070,18,0
#G2JLPUCG,gurt yo,inviteOnly,22106,6,5000
#LYL9R8GJ,H.T.E.A.101,open,80455,50,300
#QCQUGYG2,HairyToesV2,open,48664,15,4300
#RQ0GG0UL,helloworld,inviteOnly,63226,23,0
#YR9UJ229,Hog Rider,open,84505,48,0
#Q2JR8C9V,Honeypie,inviteOnly,89733,43,0
#LY9U82P0,HumanTraffic,open,47342,18,0
#QCY8Y9LU,ibn-i kağan,inviteOnly,85720,41,1000
#LYGPPQLG,ightseeya,inviteOnly,89714,45,0
#G8RYGPJL,indias finest,open,86214,48,5000
#G2Q0U2QP,InvestInNutsck,open,48588,22,0
#R2PC88PR,jannit craig,inviteOnly,95895,50,300
#QQYGGV9C,jay stink,open,73777,32,0
#GU28J28V,JCRUFC,inviteOnly,65034,19,0
#G90C9VJC,JevinGyat,inviteOnly,23575,10,0
#YVGJUJR8,Joes Momma,open,56493,34,0
#2VVUUUG8,Jorson,open,32625,18,0
#R2C0P9CU,k ouuuuuuu,open,54145,21,0
#GVPJYJJR,Kappa Oozma,inviteOnly,67287,22,0
#G02L8G9Q,Karasu inci,open,10041,5,2300
#RL228L9L,Keepn it classy,inviteOnly,95985,50,7000
#PQJCLPRG,Khoja Perfect,open,61118,33,0
#LY99JGCR,Klash Kash Klan,open,14921,5,1000
#GYCG8P9J,knightshockey67,open,10318,11,0
#RP8Y88CQ,Kokorıch,open,48120,14,0
#LJYCCQ9Y,kool klash kids,open,24337,12,0
#G8QJQJ2R,Kraankenhøg,open,89157,40,9000
#L29Y8YVL,Kule Bekçisi,open,18786,6,1000
#G0PVYYL0,köskösler,inviteOnly,7241,3,0
#G089RVUY,lecheur kiffeur,open,20551,9,0
#LVUJRJUC,LEE,inviteOnly,43476,31,600
#LJU2928V,les démolisseur,open,51780,50,0
#QUJ0C8L0,Les gazeur juif,open,1091,5,0
#RLL20CGL,lets get sendy,open,44897,13,300
#PR8RU9RR,LOL SHUSH TIRED,inviteOnly,62833,27,2600
#PPJCR2G2,Lookout 2.0,open,85519,50,0
#RQUJ9UR0,los insanos FC,open,42909,19,1600
#PPQJL8GY,los retrasos,inviteOnly,88757,48,0
#G2U8UC2U,los tralalerito,open,50343,16,0
#QG8PJ0L9,LosGatos,open,76367,27,4000
#RYC0CCGC,LTB,inviteOnly,49945,18,0
#Q8YU0Q,MACK KLAN,inviteOnly,88194,49,6000
#PUVVJQL0,MadLads,inviteOnly,59075,35,0
#LJ8JU0C0,Mann XC,open,45293,33,0
#QUPUC0LG,MasterBaiters,open,85113,41,7500
#YUUR800G,Matts Clan,open,88630,45,9000
#RRLCP9L9,mayo milkers,open,30186,11,300
#G8GYYPJQ,meow woof 67,open,29484,15,0
#G280LL9C,mickzwangerplss,open,81563,39,0
#RU0QU0CP,Mighty Minors,inviteOnly,43121,15,0
#G0PQ2Q0L,Minor Control,inviteOnly,48892,16,0
#RLGGVJUP,Miskom,open,46654,13,0
#G299920R,Miyagi-Do,open,74269,44,0
#QU2U2JJV,Moe’s Pub,open,2585,1,0
#QQGJPG92,mrcobble is ok,inviteOnly,32973,12,0
#L0VYYUCC,N 306,closed,43708,13,10000
#GQRJRGYQ,nahsclash,open,84344,48,0
#QRYVLLL2,Nikka club,open,52741,18,4000
#GPY2LLU2,Nisi Afroditis,open,47402,20,0
#LGP00PRC,nosejobs,inviteOnly,62353,26,0
#QGUGY8J9,not ryans clan,open,88410,47,0
#QYU2JQY8,nouveau gaulois,open,43714,17,0
#LY0QUL88,Nut’linTribe,inviteOnly,22252,8,1000
#QVV8PCU2,NXRMALITY,inviteOnly,9555,6,1000
#LQVG00QY,oK bOomEr,closed,21529,5,0
#Q08V0QV2,one pump chumps,closed,17291,5,0
#QU2QQYQ9,ORHANINKEDİCİK,open,50527,16,2000
#GY82L9QC,Osballerss,inviteOnly,33368,11,5500
#QUJ9G289,Parkview clashh,open,62038,30,1000
#GV89GYLL,Pastaya OtuRaN,inviteOnly,29096,13,0
#R2CY8R8L,Pastrami,inviteOnly,21006,7,1300
#P9Q0UPJV,Pepperidge Farm,open,78356,37,4000
#R2PGQGY9,peta rap,open,79382,45,5000
#LP2R0VC8,Phi Raiders,inviteOnly,84129,40,0
#GYJLCPU9,PhiKappaSkulls,inviteOnly,43774,14,0
#RUU8JLY2,Picklenation,open,21083,15,10000
#G2QPC9PR,Pimpingtons,open,67691,25,0
#LVJLLC0Y,Pizza Buns,closed,62054,22,5000
#988YJPUG,PoopSmiths 2.0,inviteOnly,66707,24,0
#9VCVGV82,PP CLAN,open,91971,48,3000
#RG990LYP,Presidential,open,7855,3,0
#QVUV09V8,Priory,open,73633,49,2000
#G90QVPRC,prout,open,23510,5,0
#RJY9UV0U,PurrungaSquad,open,36718,33,0
#QVLYC9JQ,Q Duong,inviteOnly,68858,27,0
#RY882LPV,Queen Swagers,inviteOnly,11202,4,2300
#QY0RR92P,Ram Ranch,inviteOnly,40151,20,0
