tag,name,type,clanScore,members,requiredTrophies
#R0V88PCC,caktrma,open,12010,3,0
#LCY99VC8,daycomic,open,22070,6,600
#G89GLYPJ,Dominics,open,34583,16,5000
#GGQLR2LU,mango cruid,inviteOnly,38142,14,0
#GU2GYCV8,rd,closed,3734,2,600
#J0CRY92V,RealG4Life⚜️,open,318,1,0
#G2UQV0R9,しるばーゆにこーん,open,13871,5,0
#G0JJR0P2,67club,open,7363,10,0
#QLG9PJLY,<3,open,9600,4,0
#RJPGYPR9,adrain explain,open,14663,4,0
#L2LYRUJQ,Andi Goldberger,open,82124,49,600
#LPG8CR98,Band Clan,inviteOnly,41072,25,0
#G29809VY,BB7,open,34918,18,0
#G8LC2QUJ,Brussel sprouts,open,32495,50,0
#G82P9900,ClankerCycle,open,91638,49,0
#LCQPQCCL,Elite,open,60276,35,4000
#QVJRGRGV,exos homies,inviteOnly,45713,17,0
#RY2V200G,fart,inviteOnly,58262,27,0
#GULPJYCL,Gandons,open,71339,36,3300
#GJ929J82,griffin,open,5563,3,0
#GLCRUGUY,im gooey,open,33768,19,0
#R8V0V99G,kılan,open,18271,6,6500
#GU9VVU90,Leonardo peru,open,18778,6,0
#GP82V8LJ,los bros,open,3708,3,300
#Q90Q92G8,Los Guru,open,15923,5,600
#QJJJQ82G,max_KKR_jood,open,74370,26,10000
#GJUCUQQU,More Speed,open,14134,5,300
#QQRR8Y2P,Nica RD,open,36561,24,0
#RUR0LVJ2,papusss,inviteOnly,1018,4,0
#R0G8VG0L,ranciel,open,882,2,0
#R9CJYLR9,RLMT,open,34085,8,4000
#GVY2J0YU,SIGUE VIVO,open,60757,24,0
#22J9QVRU,smokers only,open,81088,36,0
#QGVY2LRL,Team WA ✅,open,74040,27,7000
#Y8P888,The NeXuS,inviteOnly,91637,49,5000
#QJ0J288V,wood tuggers,open,44961,17,0
#GVJ0RGCP,YGR,inviteOnly,53033,18,0
#GR20JCQQ,Баль,open,10157,4,0
#GULCUPR2,лабораторну и т,open,16518,8,9000
#P2L8PPGC,мы из рощино,open,23675,10,600
#G0VGRGRJ,בית,open,20799,8,0
#G8VGY0P2,Akatsuki,open,19418,7,300
#GGU2GGUJ,Clashaholics767,open,26763,8,0
#LRGCLCG8,italiani,open,14256,31,0
#QQL8YGU2,los panas,inviteOnly,35080,14,0
#QV9L00Y9,PARSELLER,open,32521,15,0
#LGUQLLYV,redimi2,open,23149,22,1000
#GGL2PR2P,studio ij,open,45009,16,4000
#PYUYUVLG,T34M C4C0N3S,open,21493,14,0
#GGVGGVCY,yoyoyo,open,42095,20,0
