tag,name,type,clanScore,members,requiredTrophies
#QLLCPYRJ,! Áliados 503 !,closed,98693,50,2000
#Q9YGCRP9,!ALIADOS!503,inviteOnly,99392,50,10000
#L9RCJQ8U,""" NO MERCY """,open,94887,50,5000
#29R0GLJL,"""BERSERKER""",open,99584,50,10000
#QG29GQQ8,"""The Olimpo""",open,98541,49,8500
#QQGGYUCL,#503#,open,72814,20,7000
#RQJ02Q8P,#carteleros Cs,open,1300,1,1000
#82UGQPUY,#Rambo_xY_2000,open,91782,50,1000
#9RYC9JGG,$$BlackDevils$$,open,85890,50,4000
#RLU9Y8LJ,$FinosSñores$,open,90883,50,5000
#Q0QCLRCG,%El destructor%,open,87959,33,10000
#PQP988UL,&EQ HOLCIM&,open,86735,50,2000
#QQ288U8J,(Geo's fans),open,96719,50,3000
#YRJJGVLR,(TG)™TOP_G∆M£R™,open,97472,49,9000
#G00Y8PYJ,* COLUMBIA SV *,open,86640,46,5000
#20Y0J8,*FURIA SV*,inviteOnly,100000,50,10000
#L9CU0JY0,+503,open,84693,50,3000
#LPYCURG9,+503 JR,closed,99482,50,10000
#R2L980R8,+503-SV,open,5617,10,0
#GLY8UUPJ,-_-...,open,2056,1,0
#8CUY228L,-Killer Boys-,open,99874,50,10000
#QY9R80V0,. los mejores.,open,99634,50,9500
#QVR0UQG2,. los mejores.2,open,98752,50,7500
#QC9PCLG0,..WINTERFELL..,open,97911,47,10000
#G9980RVJ,.los amig@s.,open,99518,49,10000
#Q22UGJPY,.Z12VERDE.,closed,88442,35,9000
#QGVUL8JL,1-General_⁵⁰³,open,93672,49,7000
#PJG8JU02,100% los magos,open,87475,50,3000
#GQQ8VPUP,1234Garcia,open,436,4,0
#GYP8GGL9,178,open,25846,7,0
#LJYUVYYL,1GA,open,93971,50,8000
#GPVRYVU2,"1° general ""A""",open,25625,10,7000
#QG8YU9RC,1°ABG,open,83795,47,3000
#2QRPLUJ,2 q' 3,open,91190,45,6000
#LVJYLU9L,2 salvadoreños,open,99368,50,8000
#RQRJ02CU,2011,open,46885,21,2000
#QVQGULGL,2025 SV,open,95648,50,7000
#LYC8URJU,2i,open,93071,49,5000
#QQ9QC9RG,2NBA_ALS.018,open,93993,48,5000
#YRGL9GCV,2NOV20,closed,85194,38,9000
#G90JLC2U,2p2,open,93338,50,6500
#GY0VRRV9,2° ingeniería,open,95495,50,4600
#PG98C2UL,3 REVUELTAS 1 ☕,open,99679,50,9500
#GLR8GLPQ,3 tecnico 2026,open,42905,19,3000
#L088CP9R,30122019,inviteOnly,46361,10,4000
#GPU99P2V,420,open,9723,3,2000
#QJ0GGQGG,50 ELITE 503 SV,inviteOnly,99993,50,10000
#LL29VG8G,50 espartanos 2,inviteOnly,53878,12,10000
#YVRR2P2V,50 Kings SV™,open,99961,50,10000
#89LUPVRQ,50 Knights Sv,open,99727,50,10000
#QY8GPP8U,50 legendarios,open,98131,50,8000
#G0R092YQ,50 SPIDERS,inviteOnly,99228,48,10000
#RL2GJ9L8,50 ZOMBIES,open,23833,11,0
#GQGY89YR,50+1 y Pamperos,closed,73347,33,2300
#PR2GJLVL,503,open,99594,50,8000
#RJ2C2G0,503,open,98951,50,8000
#PLVLPQC0,503,open,98516,48,10000
#G88CG98C,503,open,95085,50,5000
#Q8UY0LVQ,503,open,94494,50,3600
#GYJCV9VP,503,open,8158,3,0
#PL2JVJ2C,503 Battle ES,open,66794,19,9500
#QGQ98QQP,503 el mejor,open,95444,50,0
#QYCGVLLY,503 EL SALVADOR,open,99569,50,10000
#YL2JVR9,503 EL SALVADOR,open,98850,50,8000
#GPJJ2YYP,503 EL SALVADOR,open,92844,50,3000
#QL29G2GY,503 el salvador,open,86283,30,10000
#QL99LV2V,503 el salvadór,open,99119,50,8500
#L2008JU2,503 en la casa,closed,79555,29,1000
#P2C9C0R,503 ESA,open,32010,7,3000
#Q28PYPU0,503 GANG❤️,open,95557,50,7500
#280P2028,503 GROUP ELIT,closed,33495,11,5500
#RLYU0QUJ,503 Leyendas,open,98427,50,8000
#QQJC89JG,503 Malechos,open,98460,50,8000
#G0P8QGQ9,503 salvadoreño,open,98720,50,10000
#9CVJQCLR,503 ser mejores,open,93164,50,4000
#G8URP80V,503 SV,inviteOnly,11090,6,0
#QRUY92JU,503 SVL PRO,open,99886,50,10000
#J2PUQQYQ,503 wanacos,open,7602,7,0
#QG2RQQVR,503 x100pre,open,99575,50,10000
#QGY8000G,"503,El salvador",open,99452,50,8500
#QCQLYPV2,"503,EL SALVADOR",open,98280,47,9000
#LVUQ2900,503/ESA/Sv,open,99866,50,10000
#2VVPYRYY,503shulton\.../,open,75568,49,2000
#QLVU8GLV,503◆De mentes♤■,open,97766,50,8500
#GYQP0YJ9,7 PECADOS,open,88471,48,10000
#RQYVPY0Q,8 MILE ||,open,96209,50,6500
#PG29JL9Y,9 :v,inviteOnly,83736,37,5000
#GJJQQGYP,:v,inviteOnly,77082,33,8000
#LULLUUC2,<Los.503>,inviteOnly,85946,31,8000
#GLLJ8U08,^W^ISEKAI^W^,open,22672,5,6000
#GQ9QL9UY,A. Nacional,open,43807,17,3000
#QVPP2CGR,A.C Milan1899,open,89218,50,3600
#RLYUL89G,ABOGADOS FC,closed,95565,46,9000
#GJUPL0JP,Acajutla,open,93460,50,6000
#R9VLCJJV,ACKNOWLEDGE ME,open,93297,50,1000
#QUPRLP8R,Acrux,inviteOnly,6388,2,0
#GPUUUYYQ,ADGCT,inviteOnly,46968,13,7000
#R2J9QPLL,ADR,open,5417,5,0
#YV2PQP8Y,aemg,open,16312,4,5000
#RRJVVULL,afredito,closed,1807,2,0
#GVG2R2JU,AG- SQUAD,open,17620,4,6000
#90U2VQQL,Ahuachacity503,open,85790,50,0
#G089G2VC,Ahuachapán-city,open,99709,50,10000
#QQP0Q0P9,aigachu,open,39372,12,0
#RG8GC9P8,AJG,open,7497,3,3300
#9V8CYP9J,AK47 BOYS,open,97856,46,9000
