tag,name,type,clanScore,members,requiredTrophies
#RJ0GCQG8,BABYSAMU,inviteOnly,981,2,0
#GLPC092R,BOLKE,open,9837,4,1300
#GLGJJQQP,CBFC,open,12284,4,2000
#QG20PGCL,Down To Gurth,inviteOnly,79622,29,1600
#RRU8LPGY,garrymegiripula,open,5341,4,0
#GURV0C2J,Hatecamugas,open,21526,5,5000
#G2C80JGV,Kuschelecke,inviteOnly,67013,25,0
#GLQG2JJP,LA FRANCE AU FR,open,5758,3,1000
#Q8VP8V02,LaFrodoLeague,open,96686,50,0
#R029VRLL,los matabuelita,open,50583,19,0
#RVPU0LJC,perezos,closed,6167,2,0
#QV2JYLJR,pnapnip,open,61119,17,7000
#GJCCQYQU,pvt4/pvt4e,inviteOnly,8631,3,0
#R8L8JQ9V,simon y angy,closed,3757,2,10000
#G2090VCQ,TEAM QUESILLO,closed,50572,13,0
#LYPU0VCV,ʟᴏs ᴍᴀᴄᴇᴛᴀs,open,84303,31,8500
#GUL2CY2U,مناقيل,open,50032,24,0
#GRPQ9GCR,addOSCAR,open,23669,7,0
#QV8UGCV9,ballz dep,inviteOnly,35976,10,0
#LCVCRUJ2,Birdie Boizzz,open,6610,6,0
#GR0UGRR8,Califat Cordòva,open,84444,48,4300
#G8U0RC98,CAP,open,5382,4,0
#QV8RCR9L,chancy finks,open,16866,4,0
#GPV2YY9Y,clash bois,inviteOnly,63406,26,0
#RYYUPQ2G,Comelones,open,15219,4,0
#GQ92CL92,cute goats,open,39737,15,0
#QUQJYYLU,da fries,inviteOnly,50319,23,2000
#QQVQGG9Y,Der Toffel,open,82896,50,0
#GJYUP0CV,DoYouWantOil,open,77842,36,0
#G2R9PY00,evilclashroyale,inviteOnly,50884,16,0
#QUU9V0RJ,Farma tarro,inviteOnly,64037,19,0
#G90UUQRG,fathomless,open,21769,11,0
#QCLQYGRL,Guerreros Yanká,open,63851,23,10000
#G8C8G2YU,hdhe,inviteOnly,8402,4,1000
#RGQGLGCL,jgf,open,32449,10,4300
#GULG0RRV,La papu alianza,open,46514,25,0
#PV00JPUC,Linkse Ratten,open,37923,11,2600
#GCCVCJLR,los brosss,open,6751,3,0
#RGLYL8Y8,los grinchardos,open,33530,10,4000
#G0R0VR0Q,LOS INSANOS,open,90623,48,6000
#L9LUY9GP,los pros,open,16119,5,2300
#G9C2JJVQ,losmaspitufos,inviteOnly,14634,5,300
#QPUCJRYU,m. goriva,open,71137,49,0
#QV9G2YCR,maminin ayagi,inviteOnly,52469,23,0
#LCRPQYYY,Mighty Minors,open,88131,50,0
#RR9909YG,modulo 4toA,open,28843,7,0
#QQ0LPQPY,nerf rocket,open,54477,22,1300
#GVC0YURR,odeiobrancopret,inviteOnly,37184,13,0
#RYPCLUVY,Pyromanene,open,20355,9,1000
#Q8L8V2U2,rolling stoned,open,74726,32,5000
#RRVLV90U,Saltys Crew,open,46979,26,0
#RUQY92YU,Simios 13,open,23349,9,300
#GPY82L9L,sinav12,open,21604,16,10000
#8JGC08L9,Superchupa,open,89377,42,3600
#QR2RG2LU,Team Pig,open,33961,10,5000
#G2QC98Y2,The Boogaloos,open,22413,16,1000
#QYU8YQUQ,Tug and rub,open,77132,37,0
#RP009Q9Y,Yakub’s Cave,open,11973,5,10000
#G8QPJR2P,YupiLandia mish,open,58267,31,1600
#QCCYJVV8,Журавль империя,inviteOnly,37152,18,1000
#Q9RYRVYP,ウンテルデンリンデン,open,83163,48,0
#GPR8G2JR,조태은과 친구들,inviteOnly,43552,11,0
#G899JVJY,1AFET,open,16893,9,0
#G22U2UY2,clan D'trans,open,22118,7,0
#28LQCPG,Death to Phil,inviteOnly,21147,12,0
#R9QPL2GG,marsica igor89,open,20000,7,7000
#QPUGP0U9,nifetas,inviteOnly,28324,11,0
#RL9Y9JQU,nugget+burger,open,79588,50,0
#GRLR8UQG,poop1234,open,6371,8,0
