tag,name,type,clanScore,members,requiredTrophies
#RGY2YL0J,alajuelitsepara,closed,7872,2,0
#GY8LJ0GV,BBL,open,67312,23,7000
#G2YR80GR,Belen Pison,open,6256,2,0
#L2822JJR,CluBombYF,inviteOnly,11258,3,1600
#RQVV8LUR,Deepwoken,open,89204,49,7000
#QUPRY9J0,Defected,closed,10000,2,10000
#G8J0G2L0,Final Rager,open,98201,50,9000
#RV2UJGGC,Pisoe,inviteOnly,4540,3,0
#GLR0LUP8,Placentemus,open,97529,50,3600
#GCJV82JJ,vitoriosa,inviteOnly,466,2,0
#GYJJ8V02,we are the noob,open,1625,3,300
#GY2VCRLL,Alavus,open,5393,4,0
#LJP2QY90,bell’ostiaa,open,79124,50,0
#GJQQ8URY,Clan #GJQQ8URY,open,70222,21,6000
#LLQP2VR0,Clan #LLQP2VR0,open,64669,33,2000
#Y002L09C,Dangleballer,open,41360,21,0
#GPVRRJ0J,de grasmaaiers,open,77898,47,0
#QGRGPVLC,Deutsche JUGEND,open,16028,6,300
#Q2P8PGUL,efficient kids,open,73088,36,10000
#PC8PY0U8,Enraged Islam,open,65703,37,300
#GQLQG9CC,GAINA SQUAD,inviteOnly,58541,26,1000
#GURJPL8C,Graçik's Men,open,7192,5,0
#GGRR8YQR,green aura gods,inviteOnly,42601,11,2000
#GJLUJVGC,Grilovačka2,open,41330,22,1000
#GRRP29VY,Habesha Central,open,80829,48,0
#GCQ8VUJJ,il riciclaggio,open,66264,20,0
#GUVCP8U8,kibab gods,open,26614,11,0
#YY2U09QY,Luigi Village,open,84208,34,9000
#G0QJVV0P,luiz…,open,10389,4,0
#LPG9Y0YL,mi dios perez,open,55230,22,5000
#2LVV0Y8Y,MLG Steakhouse,open,43304,22,0
#QLLL2CPQ,monkies,inviteOnly,59025,20,0
#QPGL9QUL,pelo proporcion,open,23062,8,0
#QYVYYLQL,sigma nation,inviteOnly,96474,49,0
#QYVRRUUL,SorrisoNikeFC,open,34242,9,2000
#LCRR2U0L,Tomsippklein,open,32369,14,0
#QCGQJVPP,vinao,open,90812,49,5000
#R0CV2UL0,zaza warriors,open,56647,15,5000
#R0JQUGVP,Клан:  #R0JQUGVP,closed,69086,35,10000
#G9PC0P2Q,くりーむぶりゅーれ,inviteOnly,71533,24,0
#Q2JJVVUU,Dangeon ಠ_ಠ,open,32789,14,0
#YC02YVPG,Kaka,open,14487,19,0
#QG8R9U0C,Penyafort,inviteOnly,36176,15,1600
#G90VC829,Top 1%,inviteOnly,17125,7,0
#L9QCUGVY,Çeviren,inviteOnly,27214,11,0
#GLYR9YU9,تراکتور,open,9916,13,0
