tag,name,type,clanScore,members,requiredTrophies
#8LLJVC08,#Estonia,open,98266,50,7500
#R28J99J8,14 respekt,open,47117,14,0
#RQ2RLYL9,420,open,8330,2,1600
#GRLLG0GR,67 meistrid,open,28084,13,4000
#22R2PUQQ,[EST]Team,inviteOnly,94900,39,10000
#G9JYG0RP,A M O R I,open,41367,26,2300
#QRJL8LYP,Ahvinoku,open,98615,50,9500
#22QJU28,ainult eesti,open,91378,48,4000
#PRQ9VJG,ALL-STARS,open,99777,50,8500
#GRYYCVYR,Anderisüda,open,35815,12,0
#G8RG0RLR,AntiRass,open,96635,50,9000
#G0QLQRU8,armenia grill,inviteOnly,77283,29,5000
#PRVJQQGJ,Autojuhid,open,97424,43,10000
#G2YL0P09,babaTM,closed,9148,2,10000
#LC8C9J9G,Bally's,open,96181,48,9000
#LJPJ0Q0L,Battle Pass,open,99316,50,9500
#G09P0VPG,BC Pedekad,open,81357,48,5000
#QCJUJ8V8,BobTimm,open,92251,50,6000
#Q9VJP28R,bulgaariajoodik,open,94552,46,8000
#GRPVCQYV,BULKPOISID,open,96874,46,8500
#GJ29CUGY,Cabbage inc.,open,9376,4,1000
#R2PLQPGQ,Clan #R2PLQPGQ,open,92433,50,3300
#GGVCG2RG,CLAN EMEX,open,26972,10,3000
#G802JPPL,Dalbajobud,open,15048,4,3000
#GJGUU8UU,dasap team,open,18182,6,0
#QURYUJ9C,Eagles EE,open,97431,49,9000
#R22V8LU0,ebatavalised,inviteOnly,1346,2,0
#L98QYQ90,Eesti,open,98697,49,9000
#29V8Y2J,Eesti,inviteOnly,95416,47,6000
#CUUV2L,EESTI,open,95175,50,7500
#2R9QPYJC,Eesti,open,91110,39,6000
#PPCQLUGY,EESTI,open,1526,2,0
#9UVYJL2Y,eesti apelsin,open,93345,46,7000
#Q8VGR8PL,Eesti clash,open,89533,50,5500
#Q02RYVCQ,Eesti e-Sport,open,99933,50,9500
#G2QC0R89,EEsti kotkad,open,77271,50,3000
#VVYJ8LG,Eesti Leegion,open,91498,49,4000
#VQQL9U2,eesti parimad,open,94070,41,8000
#QJYJL0UC,eesti peded,open,93057,48,6500
#Q8G2UUPC,Eesti Poisid,open,94988,50,7000
#YQJRGCQL,Eesti prints,open,90426,50,5000
#20P9JVR,Eesti royal,open,94310,50,3600
#RLYLV8JR,Eesti2.0,open,77972,50,5000
#R8PC2LUU,EestiLeiud,inviteOnly,100000,50,10000
#R2GLPJGJ,Eestlased,open,4563,2,0
#RV28YPVJ,eestlased,open,3220,2,4000
#GPY8U8LQ,Eestlased,open,2713,8,0
#U8QGLJP,Elite Estonia,open,99906,50,9500
#QY0VCQ9C,ELITE TARTU™,open,100000,50,10000
#GQ88C0J9,Emir 5/B,open,849,2,7500
#QVG9PP8V,ergo clan,open,78180,50,3000
#LGU0CCP8,Erki maja,inviteOnly,93559,50,8000
#G02GRLJV,EST Vikings,open,71333,50,3300
#GC9UV898,ESTONIA,open,82270,50,4000
#RJVJ2C0P,ESTONIA,inviteOnly,2969,3,1000
#LLQCJGY,Estonia for you,open,99117,49,9500
#GC0GYVQG,Estonia Gaming,open,97283,48,9000
#GQLYP28R,Estonia Masters,open,53643,18,3000
