tag,name,type,clanScore,members,requiredTrophies
#R0CC0JCU,ArcherQueenPics,inviteOnly,7764,2,0
#GQ2CU2LQ,big news,open,2281,3,0
#G00LUY9U,Clan  #G00LUY9U,open,65235,23,6000
#QUC9RLUG,cosy4xy,inviteOnly,58864,31,4600
#J2GURGJR,DI,open,1448,2,0
#G0PY02QV,GoodFellas FC,closed,61638,22,4000
#J2LLRCQG,HETA,open,10193,3,0
#QLVPYGUJ,insanitos,open,27201,8,3000
#G2RCJJLP,IShootSquirrels,open,14208,4,0
#G80GQJLG,judios de magia,open,31659,12,300
#R22090LP,la bomba,closed,735,2,300
#Q82CCL2U,los maestro,open,53599,15,8000
#G8QRVVRJ,manchester utd,open,27672,10,0
#GY88UU2C,Me and Dwarfs,open,12168,10,0
#GVR0Y2U8,nhh,inviteOnly,31059,10,0
#QYUPJ2V2,Peace,open,52185,14,6500
#QVUR8LPY,saramambixe,inviteOnly,50877,15,5000
#QLCPUULJ,SCHMECKIT,inviteOnly,17117,4,0
#GGU09C0G,STX,inviteOnly,4862,2,0
#R2JPYGVP,The Seat,inviteOnly,95213,49,600
#QRCVR90U,Thou Wimnels,inviteOnly,41993,10,6000
#G0JYQ9UV,WhatTheSmeg,inviteOnly,59284,23,0
#G8QLY2CJ,ときめきクラブ,inviteOnly,9869,2,0
#G28PLUYG,3.Pibes.Sin.Fut,open,40076,11,5500
#G08QJCPU,743 evergreen,open,24511,9,3000
#Y9JPCJLG,Akatsuki,open,41314,37,0
#RPQ8G0UQ,allahsevenler,inviteOnly,49676,17,0
#GCPY8JGY,angelitoxdmx,open,28668,7,0
#G8Q9JJQU,ANTIPAPINAsZZ,open,92560,50,6000
#GPLYVRPG,AntiSergios,open,37304,13,0
#QR9PJYRG,ATR ARMY,open,17712,5,1300
#QU0UGY9J,Autistas.com,closed,52896,17,10000
#LYLGCP8R,Baby Dragons,open,31798,16,0
#RG8LQRC9,BBC,open,43584,15,0
#GY20UJUV,Bizcochitos fc,open,92818,49,7000
#GRLU0QRQ,bravo platoon 2,open,74350,37,0
#RLC2JLVG,brbr patapin,open,35334,19,1000
#GCL008JV,bryn,open,59538,19,0
#QUR9P80G,cholilanca,open,42951,17,0
#Q9L2U8QR,Clan #Q9L2U8QR,open,67395,39,0
#YY9V8Q0G,Clan #YY9V8Q0G,inviteOnly,92401,50,0
#Q82R2LLP,Die Nixen,open,86519,50,0
#QVRVQ882,Dracarys,open,47999,29,0
#GJVYLRVQ,duo,inviteOnly,5858,3,0
#J8RYPRJ,el redondo,open,91274,50,0
#RCJ2JQJG,ep16 street,open,40121,23,0
#QR9RUYUR,Famila tiner,open,31345,8,0
#G029Q00P,FR3AKY G00NERS,open,31619,10,0
#Q0V9R9P0,General Peron,closed,84808,35,0
#QY09U2VV,Gooby Goobers,open,47432,22,9000
#RYVUY892,goonsquad,open,77112,48,0
#GJQ8JG2G,hey jerkoff,inviteOnly,44151,15,0
#RUUUQVG2,hiii,open,16750,12,600
#QJJLQLY8,hog rider,inviteOnly,35985,16,0
#LU882GQU,Hololive China,inviteOnly,49370,15,0
#QRPJR9QY,icebear,inviteOnly,37284,16,0
#GJQ8P0RC,italia,open,94568,49,7500
#LRR8J0V8,jordi,open,88606,50,7000
#QUP9RPYL,keke,closed,19023,7,0
#LR8JR00L,Kerrigang,inviteOnly,34340,15,0
#2JL28GV,Kosher Pork,inviteOnly,75041,34,4600
#LC0LR80P,la loloneta,open,72952,36,0
