tag,name,type,clanScore,members,requiredTrophies
#RV2VPGVR,!FINLAND!,open,91079,42,7000
#9PYQGJYU,#FIN-Power,open,99527,50,7500
#R2GQ0C,#FINLAND#,inviteOnly,99383,49,9000
#LYLV9V,#finnish clan,open,99020,50,8000
#2PUUPPQQ,#Laajalahti,open,95078,49,6500
#8JCPU2,#roadtohell,open,91231,50,3600
#29PPRUGC,#Rock'N'Fn'Roll,open,95028,50,5000
#GJJYVLC8,#Suomalaiset069,open,32958,13,5000
#20PYPR82,#Suomi100v,open,99988,50,10000
#8VJVP2C,#SuomiBEST#,open,96827,50,7000
#8C0RUYLV,#SuomiBois,open,95254,50,5000
#Y880PGYC,(FINLAND),open,14736,4,5000
#2PURLPPQ,**Lepokoti**,inviteOnly,59711,16,4300
#2JYU2Q0,*Suomileijona*,open,95820,49,5000
#2P2JVQG2,+358 K-18,inviteOnly,99573,50,7500
#Y9LGUPG8,-Finland-,inviteOnly,99898,50,10000
#QUJC0QV8,123 saunaan,open,88178,46,8000
#RR2Q8J20,1OTB,inviteOnly,95914,50,7000
#LP8YGRQ8,21F,open,95482,50,7500
#P2UUY0Q,24h Alepa,open,99261,50,9000
#GU029R0P,25AutoB,inviteOnly,59122,23,0
#R0RCP0PU,2KTPTRI,open,96722,47,8000
#GYYCGJQ2,2v2,open,85482,36,7000
#2G8R0P8,3 Tornia,open,87321,31,8000
#G99RCP8Q,3.6 10 Inches,inviteOnly,20019,7,0
#PPLCUC2V,3D Suomalaiset,open,98414,48,8000
#GYGQRY29,3KOOTA,open,16257,4,4000
#G29G2JYR,494 topshottazz,open,96291,49,7000
#GYY88CR8,505,open,94128,48,5000
#GRCJCPUG,57230,open,92611,50,5000
#G02UYCLR,6-7 mustardBlud,open,93945,45,7500
#J0VY0Q8Y,67,open,5203,3,1600
#GLYPL80C,67 goblins,open,11644,4,2300
#G0LYYLYQ,6IX9INE,open,5478,2,0
#QJLPUQJU,90 krakers,inviteOnly,12462,6,0
#LLU2RGLL,:catjam:,open,95554,46,9000
#GJLLCRP0,[FIN]Pekkapapat,open,91748,44,7000
#8JGLLQ,[FIN]Toxic,open,93978,50,4000
#QYC2JRCP,^_^,open,8097,3,600
#RJYQ0VG0,_suomi gäng_,open,1987,2,1000
#L9JQJQC9,A-ryhmä,open,98855,48,9500
#G8LPYVRL,AALTOBIZ,inviteOnly,97325,50,7000
#GRJ9Q2V,Aamulintu,open,99371,50,8500
#QLPYP0Q0,Aamunkoite,open,65183,17,6000
#YUR0RP8P,Aamutähti,inviteOnly,100000,50,10000
#RGUJG9RG,aaro on goblin,inviteOnly,5772,2,0
#GCRGG0J,Aateliset,open,95199,50,7000
#QUQR9GJR,Ace Sugarr,open,86263,46,7000
#QVRYQLGJ,ActiveSuomi✅,open,88207,46,5000
#RG2RYPC0,Addiktit,open,31637,7,3000
#PGPV0RR,adultsfinland,open,99298,50,8000
#QJGRJVL8,ahdistelijat,inviteOnly,96846,47,8500
#GY8UQ2RJ,ahjokadunkebab,open,27992,8,5000
#GYPGU8UR,Ahneat Hiidet,open,97557,50,8000
#GYY99RP9,AINCRAD,open,36948,11,1000
#RG8LJU8V,AitoRasse Perhe,open,100000,50,10000
#PCV208QY,Ajokoirat,inviteOnly,94010,41,8500
#GC9JCG2V,akankkurit,closed,7655,2,2000
#QGQPPG90,AKE HONOR,open,88095,37,9500
#2PG90RJG,Aki Palsanmäki,open,99075,50,8500
#GPLRL9CQ,AKS,open,29209,7,6000
#2QPY0R,aktiivi suomi 2,inviteOnly,99695,50,7000
#8P8RLU9U,aktiivi suomi 3,inviteOnly,96606,44,5000
#9VQVR8YV,Aktiivisetpojat,open,98534,46,10000
#RVP09GU0,al1uz verse,inviteOnly,96074,41,9000
#RJ2PJUUV,Alambakuthe,inviteOnly,18341,5,0
#J2RJ9LUG,Alias-klaani,open,56455,14,8500
#8008YL8,Alikonsulit,open,92707,50,5000
#LGLY8P,Amatöörit OY,inviteOnly,71972,20,0
#R098LUQY,Ammarit,inviteOnly,41206,11,0
#RL98GJ02,Anarcy,open,96357,50,8000
#VVU0CP9,AnkkaLinna,open,98840,50,6500
#G0R2G0L8,Antin penaali,open,50239,13,5000
#J2YPQ0Y9,Anuntin Ritarit,open,18566,5,0
#R98LUYLU,använder,open,12471,7,0
#QJ0GP9LV,Apina Plantaasi,open,94144,49,8500
#RGJRLV2L,ApinaLauma,open,35588,8,7000
#2VG0JQ,Apinaorkesteri,open,16555,8,800
#2Y90UYYL,APINAT,open,100000,50,10000
#RJ0JQ2VQ,Apinat,open,31046,13,0
#9CRU22,Apocalypse,open,85051,47,2300
#GQCQYPCU,Appelsiini,open,98378,47,9500
#Y0YR90,ARCTIC,open,97056,50,4000
#99PYQ8GU,Arctic Warriors,open,99843,50,9500
#88UPG9,ArcticForce FIN,inviteOnly,99894,50,10000
#9UQYJQCV,Aristokratia II,open,99941,50,10000
#G2QQ9JQC,Arkyve V8,open,80059,40,7000
#GPUR2JUQ,Articla,open,90373,48,4000
#9YLL9P,ASEMASOTA,open,93264,50,4300
#G0CRRGPJ,Asiaton klaan,open,100000,50,10000
#28L08Q82,aska papinat,open,77945,49,0
#GUJUUCU0,ATH,inviteOnly,27273,7,4600
#RGUV2GJ8,Autismi Kuoppa,open,58258,18,6000
#22QG90CG,Autokoulu,open,99300,50,8000
#GPGL2Y8Q,AUTOMEKANIK,open,18148,6,2300
#GYY0C2V8,ba.,open,29689,10,3300
#Q2P2GLRV,Bad boys,open,98661,47,10000
#UL9YPQ,Bad Eagles,open,92212,49,5000
#R00LVLL8,BAD TO THE BONE,open,11485,4,1000
#GJ29G8PR,Badcakes,open,16976,7,1600
#GL98QUUL,BAKA,open,5656,2,0
#LGGYLPYU,Bambu,open,92063,39,3300
#QYP9RRQY,banaanit,open,92194,50,6000
#LVGRPGP2,bananaslayers,open,93333,43,9000
#90GL2Q,Banhammer,open,98001,49,7500
#GYLG0QUJ,barbaarit,open,4108,4,0
#GV9Y0CRY,Bataatti Bomber,open,47247,16,6000
#G0C00VG9,Bengay,open,25596,7,7000
#RJLRYJ2J,Benjoclub,open,100000,50,10000
#QC0RQG2J,Berälän Bertsat,open,94699,48,8000
#GY8CCGY8,best friend's,inviteOnly,19890,10,0
#9P9PLRGU,Best in finland,open,99446,49,9000
#QPPVY9YU,Betoni pojat,open,96508,42,9000
