tag,name,type,clanScore,members,requiredTrophies
#RC80GGYJ,broken sogma,inviteOnly,62246,19,8000
#QYLJUL8V,Caraille laqué,inviteOnly,90103,49,0
#G2UQ08YQ,DieDickstenEier,open,43742,15,2000
#G298C8CQ,genekos cpp7,open,94233,47,8000
#VGQ29YJ,ghostrider973,open,99592,50,8500
#2QLVURY0,Guerriers 973,open,98014,50,7000
#GYC2VCLP,les autistes,inviteOnly,1318,2,0
#R2G288L8,les gazouillis,open,29865,10,10000
#R0RJLLP0,Los Gallos FC,inviteOnly,18390,5,1600
#QJR2VR0J,MUGIWARA,open,94456,49,8000
#G9GQGR98,Pou C.P. Clan,open,49605,17,0
#Q2YLLJCP,team sweet 973,inviteOnly,40306,9,0
#GQC0UYYU,th,closed,8632,4,0
#GG0UR28Y,WE star 973,open,94266,47,8000
#RYQGPCR0,ZOZ GANG,open,91184,40,8000
#JGV09QV,-Pendragon974-,open,58596,48,600
#LR2V90Y,0==[TN55===>,open,76751,50,0
#Q0QJPYPQ,1pliketoi,open,46354,46,0
#2PUYVVG9,500 clash,open,94221,50,5000
#QJYL9LCJ,7KM KING,open,43192,50,0
#LPJYUYRV,92,open,45765,15,5000
#GGPRCG0P,973,open,9431,4,1000
#YRR8QQ20,973 Cayenne,inviteOnly,54045,14,9000
#LQ8PJCUU,973 empire,open,90857,50,6000
#LLP8PCUY,973 FAMILY,open,77453,50,3300
#PGQVRG2,97310NEGGAHAYA,open,52757,27,4600
#URRLJVY,AKATSUKI,open,97501,47,9000
#Q9CV282U,amigos cr,open,74248,45,0
#LCLL2UV9,axidentbryan973,open,55426,23,1600
#G0GRQ98C,bagel basket,open,63021,36,0
#G8GJJQGU,Bat4Clan,open,59935,49,0
#G2PUQUQQ,BGBOY’Z CLUB973,open,93101,46,8000
#GQPVGVQP,Block#118,open,74302,47,2000
#G2RQ82L8,bolas de perro5,inviteOnly,35229,10,3000
#LCC9QJVU,CAYENNE973,open,29979,50,0
#88JY0VU0,drick boum,open,57071,50,0
#LP2Y2JJ0,fc chomeur,open,51026,44,300
#RVG9VUV9,flame central,inviteOnly,42367,12,0
#G029J22Q,G.Y.N,open,68947,37,0
#LG90CC2C,Guya GanG,open,74984,33,3000
#22CJ9VQ,Guyaliss 973,open,75478,50,3000
#Y92YYLJR,Guyane 973,inviteOnly,69078,41,2300
#G22L28YC,guyane jcs,open,20196,12,0
#YQLP8JYY,Guyane™,open,42390,13,5000
#RJLJRC0,guyaouf,inviteOnly,76093,38,0
#GG0VUPUR,javouhey,open,48119,50,300
#LRJUJ8UL,La Guyane Royal,open,90604,50,5000
#2JJ0QJJP,La tintinerie,open,72566,29,6000
#R8VLQ0QU,landry le proc,open,34507,14,0
#QYVG8CUL,Larivot51,open,67770,50,0
#YVU2YYYU,Le Gabon,open,85990,48,5000
#LQ2LYPLC,Les Besties,open,84352,50,5000
#LGVPL02Y,Les G3n3rauX,open,86053,47,7000
#RJY02LGC,les Guyanais,open,29066,12,1000
#LR9CLG2G,live life,inviteOnly,57420,46,0
#QV00L2L9,LovA,open,71948,50,1000
#L2QJYP2,matoury 973,open,75635,48,1600
#RG28YP0J,Munroes Men,open,16941,7,1000
#9L2UJVQU,No time,open,37597,14,4000
#QY9PRCGV,Opsurg,inviteOnly,52568,28,0
#2LL0YVQ9,PaB DeV TsooB,inviteOnly,67453,38,4000
#RG88YLC9,PDR,open,42793,17,0
#R0Q8J8V2,phénixguyane973,open,71350,34,8000
#G0CYJ29Y,RACING MONTEROS,open,24231,11,0
#9YVPQL00,RENAISSANCE™️,open,53450,17,2000
#QL8YU2V2,Royale fans,inviteOnly,65022,30,0
#Y0QYQG02,Salvation,open,40385,12,5000
#LGRLJUG0,sauce pois,open,44507,19,0
#QU28J92Q,Sépulcre,open,70822,45,3000
#GVG2PRR,Tales & Family☆,open,89749,50,2000
#QPVC9Q29,Team SHEESH,inviteOnly,36068,15,8500
#LPCCYCUQ,Tetraplégique,open,56927,35,0
#282QJ0JY,The Mad_973,inviteOnly,56122,21,4600
#LLGCP9U0,TILIN XD,open,54735,47,1600
#LPLRQLVL,Totem clan,open,83129,50,4000
#QJLY220J,trek,inviteOnly,6649,3,300
#GG8RJPJP,Yoyisauriogod,inviteOnly,80327,50,0
#RQYQRRVU,´FC TiJeune,open,53966,22,0
#RUJP9UL8,………………,open,30232,9,2000
#QUVL022J,4eB 973,open,34919,50,0
#GY92LY2P,b13,inviteOnly,22271,11,0
#89QUQC2,DSA973family,inviteOnly,56927,34,4000
#JQRGYQ,Flexxguyane,inviteOnly,22205,14,0
#PVUV2CQ0,guyane,open,34390,50,0
#LGUPGULR,LES GUYANAIS,open,32999,49,0
#GGYV899U,miss tere,closed,21604,8,7000
#QC9GYU0J,moun,open,32903,20,0
#8QUVQJYL,royal clans,open,9683,9,0
#20G289L,ROYALE Du 973,open,43571,29,2600
#LLG89RRJ,Snob_Studio,open,33717,20,300
