tag,name,type,clanScore,members,requiredTrophies
#YRJ0G8C,#TBH_Clan,inviteOnly,81603,32,2000
#GVJYUU08,12K,inviteOnly,17976,8,0
#GG0J2J2U,20cm+,open,13159,3,1000
#R8LLJG9V,987,open,2923,2,0
#G9R9QU0L,always n 4ever,closed,6615,2,10000
#G08GLYVV,AntiCringe,inviteOnly,71065,23,5000
#R2JR80CQ,Black dragon,inviteOnly,4731,2,0
#GQPL8QU2,cha’alo,inviteOnly,7213,3,3300
#GRU2V8QR,CJNG,open,25775,8,0
#QCQ8UJPU,Clan:  #QCQ8UJPU,open,95829,49,8000
#QVVQ90YP,CUICUIC,inviteOnly,10626,3,6500
#QJQPUV8P,From Tahiti,open,94926,48,8000
#RV00UJ8G,GOAT_M10,inviteOnly,36782,9,0
#GPGURCLG,HAWK MUAH,inviteOnly,95707,43,10000
#GLG092UY,Hibis,inviteOnly,18224,8,1000
#J2R0URRC,KYTINAH,open,3170,3,1000
#8JV8YGLL,la tr!bu MaoH!,open,93874,50,2300
#GYUUULL9,Les Peka Royaux,open,5890,2,3300
#R2CVQUVG,LES SEGPA,inviteOnly,1575,2,0
#GJ0R08RY,MANUÏA,open,7910,2,4300
#G92Y98G0,neuil,inviteOnly,28047,10,0
#Y2L0V0VG,Nova I Tahiti,inviteOnly,99653,50,7000
#9VCR80CG,Nova l Sunset,inviteOnly,92738,40,8000
#GLG8QGYJ,paraha’ata ma,open,35616,11,0
#LQUPUJL8,RaiateAssassin,open,90776,47,3000
#QLJUR8JY,Saw Declan,open,4506,2,0
#G9V9LQ2J,ShadowHex,closed,10479,4,0
#RYPGP9PG,siprapau,inviteOnly,66023,21,1000
#QLP800LV,SoZed,closed,17612,4,0
#C0UJ2UC,Tahiti,open,98953,50,7500
#LJPRQRRG,TAHITI 987,open,93504,50,0
#GULGYLPQ,TAHITIAN ARMY,open,97363,50,5500
#P098Q2U,tikitoa,open,86825,45,7000
#RJGC2QG0,Yo4ever,open,10370,4,0
#RV9GR22P,ğọłmőñɗėțąĥìṭī,open,6879,3,0
#QR9Y9RY9,ポ~CLANS,open,2665,2,600
#LG0JR8QC,#pizzafritta,open,47835,20,0
#PVY0V8J2,#POSSESSIF,open,56305,50,0
#RQCL0CR9,$MHN$,inviteOnly,47112,15,1000
#G99CC2YV,10 ano,inviteOnly,42785,13,0
#GCL0P8UV,520 ride,inviteOnly,8103,6,2000
#RQRVY0UY,79,inviteOnly,47556,17,0
#LPJYQLG9,987,open,61896,49,0
#QPC8J0JJ,987,inviteOnly,56217,28,4000
#QCCJUQJP,987Dreamliner,open,28433,25,0
#LYJ0PRYU,ACC,open,98511,48,9000
#RLPQQ8U9,AMS987TAHITI,open,46471,23,0
#GYUPU0GR,ARACHEUR,open,65690,43,3000
#YC2LL0YU,army,open,69295,50,0
#GGPJRGGL,AtChAtChAwA!,open,13150,4,300
#YLGGVVL8,BB CHOUX,open,61043,23,300
#QG2GJCU2,Bengala Desh,closed,36862,20,7000
#GRUQCQU2,BONJOUR,open,5485,4,300
#GP02LUCP,bot royal,open,38434,43,0
#R88V9RJC,Chai korn,open,29302,19,300
#L20RCU8J,Clan,open,74542,34,3000
#GUG8P2LJ,CLAN ONLINE,open,12044,7,300
#GJ2CQV28,cottage pickers,open,37082,14,300
#L2YLPLRC,crazyteam987,open,88101,50,0
#QV92UY9J,cssss,inviteOnly,79141,40,0
#Q9JCUUC8,c’est nous sah,open,48851,19,3000
#L2YV8RPQ,Dead clan,open,54958,23,0
#2Q0VRQY,DEF_FaMiLy_987,open,72892,49,1600
#G29ULLRY,DMN987,open,62126,28,0
#LYYGPQCC,EkP_667,open,57601,25,4000
#GL9GP99V,FDLS_CREW,open,15868,6,0
#RQQ8VRG0,fts,open,3539,1,0
#RC2GVVPL,GAUGUIN CREW,open,31763,17,0
#QVP8JGLY,HyCoS987,open,18467,6,3000
#GCP9QRVG,J1 Elite,open,15601,6,0
#G0QCCU8Q,Jbcnazawsze,open,44171,21,0
#GGLLJRQ9,KAKA,inviteOnly,30737,13,0
#QC9C800J,KANEA,open,64565,42,0
#GUCUPUUL,klan,open,15461,14,0
#R9YYPU9G,KRP Easport,open,47126,45,0
#G99VLUL2,Lawwpiii,open,7788,5,1000
#R2PJ9V8C,les Boss,open,3535,4,0
#GRP9C0PR,les caca de rfp,open,9743,12,0
#RYGPGGYP,les goats,inviteOnly,42809,21,0
#RYG92Q9G,Les survivants,open,43104,20,0
#G2G29L08,LesPotsdeTahiti,open,78105,41,3600
#LJQYUPGL,Local_First,open,68564,41,0
#LU0RRLG9,LQC Royale,inviteOnly,14685,7,0
#2RCGJ0,M2Fk clan,inviteOnly,74796,29,0
#P8UP0VY,Ma'o TAHITI,inviteOnly,42339,15,3300
#RCQY2200,Maitai !,open,17058,6,0
#GJLPYVJP,major Monde,open,43774,14,1000
#QCQLJ02R,MARMOUYET987,open,40103,14,5000
#28RL9J08,mlg51,open,48713,47,0
#GCV2Y2C9,mnk,open,58317,47,0
#QYL9RYRU,moa Tai Gang,open,19295,5,1600
#QRJL20GP,Moorea club❤️,open,85449,50,1000
#QQYYJ002,MouStaganG,open,51058,40,0
#QUC8UP9Q,MYSTIC,inviteOnly,56272,20,2000
#G22RR8QG,méga vague,open,56697,25,0
#RGL2LYPY,MøcLøve,open,31247,10,1000
#G0PY2RUU,N+h=coeur,open,9187,5,0
#G9QJ02VU,NaWaaK,open,24420,11,0
#QCVRQ8YY,NISHY987,open,56382,20,1000
#RJ9QUYCJ,NL,open,37175,13,3000
#LVPC0GR2,NOVA 987,open,94593,50,8000
#V0C8PG,Oire Taravana,open,65522,28,0
#GPGJ92RV,onemilia,open,35211,15,0
#LRVR2U0P,OnlyJah,open,92063,50,3000
#LRQVUP9J,ORA_NOA_JE_BEUG,open,67148,50,0
#GJQRPCU2,Otistes,inviteOnly,38559,15,0
#LJCGGQY0,P.M.S gangsta,open,58073,50,1000
#GQPYJU8R,paffman,open,24042,10,300
#9LYULVUC,panamacoquito,open,31091,14,2300
#GYJRCGJG,Pespi,open,28375,14,0
#GPULJLG0,pizarro,inviteOnly,34184,13,0
#LJRLG2VR,PLNGHOST,open,32869,15,0
#GYC0L8Q2,Polynesia Vibes,open,12102,4,0
#98QUG92V,PolynesianKings,open,63852,24,6500
#GCC8LRGL,pona,open,75344,50,3000
#QCL92GR8,poopysegs,open,85014,34,2600
#LY002YYC,Power Polynesia,open,58009,20,5500
#RJ8Y8VV9,PTADMH,inviteOnly,34424,9,0
#LGV8P82C,pølynesia K.O,inviteOnly,91653,47,0
#GQV9RPPC,Quantum phys,inviteOnly,46113,19,0
#J0VYYJPY,Rasking Clan,open,40286,13,0
#LGCLYVR2,ROTUI_TEAM,open,24797,50,0
#QJVPJRL9,shepa eeeeyyy,open,34657,14,0
#QVJ8YJ9Q,sous_glace,open,80667,48,0
#G90PC2L2,STAYCHILL,open,25490,12,0
#8QGLG2GU,STAYFOCUS 987,open,60978,49,1000
#QUQL20L9,Stoganjha,open,58076,24,0
#G98CCLYU,Stoueps,inviteOnly,41630,10,0
#LJ8YP82R,SublWorld,open,39222,32,1300
#QC8YRJC9,superboy,open,79001,50,0
#G99CY0LC,T A H I T I,open,63284,40,0
#QGJPPVJ,T!K!,inviteOnly,88891,47,8000
