tag,name,type,clanScore,members,requiredTrophies
#2JJJJ0JP,30/40대 직장인(성인),open,94574,38,7000
#GP22LQG2,Aidennt,open,54677,18,5000
#R98C9G9C,CA VA PETEEEEER,inviteOnly,10246,3,0
#G22VV20R,como lo yamo,open,92891,50,0
#RL8U0PCJ,cucei,closed,62252,22,0
#LG0QPGCY,DRAGON,inviteOnly,7055,2,10000
#RQ2G0UQ2,family medina,inviteOnly,29912,8,0
#G8C2PLG8,goblinnis,open,47362,14,0
#GRR2LL08,khmaokadaw,open,13216,4,0
#RUYJVVLC,kill of killer,inviteOnly,1665,2,0
#G9GQCJLP,LAKERS,open,60235,38,10000
#GPR9CV2R,les cookie,inviteOnly,1801,2,300
#QCJCY20L,les troudballes,open,44242,16,0
#LRP0JV9Q,Ndoss 241 royal,open,99239,48,10000
#G9L08VCL,Nöroşirurji,inviteOnly,37306,8,8000
#G29QLPLY,River Piangina,inviteOnly,25031,6,10000
#RV2PPQ22,tarakan 10x,inviteOnly,7860,4,300
#QVRUPY00,trade,inviteOnly,14589,6,0
#GPGQL8VG,UxUx Klan,open,11692,3,0
#GUJGUYG9,WE LOVE MAURO C,inviteOnly,4176,2,1000
#RCJUUPVL,YAMYAMLAR,inviteOnly,10796,4,0
#GRYLGRGL,грибной флекс,open,33931,20,5000
#GLUR8029,Мегагенг/141,open,8472,3,4000
#J2Y2JPPL,ОТЧЕМЫ,inviteOnly,1107,2,0
#R2JVUU0Y,СидимНеРыпаемся,open,36544,15,300
#GJVP89PV,ТАМЗАРСКИЕ,open,16095,5,0
#GPGRCRUL,بنات وشباب,open,4785,2,0
#GLJC8PUC,お魚天国（野菜の方が好きです）,inviteOnly,46799,12,0
#R8QV0YG0,새싹 유치장,inviteOnly,24579,7,0
#J2QPUUVQ,섹창범,closed,14370,5,10000
#G2C0YPJ9,아딱좋노,closed,12207,3,0
#QQ2CLCJ2,창원 중앙고,inviteOnly,38987,10,0
#Q2VCQRL8,05변녀조규현,inviteOnly,45607,21,0
#QCGVQY2G,570tenge,inviteOnly,27116,10,0
#QJC8J2QL,7home bouzouail,open,13457,5,0
#QJJCRCUR,9г завод,open,38546,14,3000
#RJ00J8GG,Adam bazinga,inviteOnly,34810,10,0
#RYPCUQY9,Aizarotz Herria,open,33813,11,0
#G99PY9R9,AMR E-SPORT 241,open,20104,6,0
#Q8V0YYPR,Analьnы1 debosh,open,38675,15,2000
#QCLRUYU0,ASDRUBALE,inviteOnly,85911,39,0
#GJJPRRY0,ausländer,open,23276,13,3300
#G29LJ9Y0,blackblow,open,43566,13,2600
#R9CLVC9Q,Boston Crab,open,61364,23,0
#G000QP0J,Bulto de graza,inviteOnly,69919,28,0
#QUPUQRQQ,BuzRoyale,open,74565,29,8000
#LY00G2,Castori Cionchi,closed,70197,38,0
#P8UVJR8,CHINA,open,63779,35,0
#QQRR0Q22,Chomage ROYAL,inviteOnly,46405,17,0
#QGUPYVQP,Clan,open,34870,13,0
#G0LYY292,Clan #G0LYY292,inviteOnly,74018,29,0
#QVQPC008,Clan #QVQPC008,inviteOnly,72554,29,0
#R2YCC2V0,Clan #R2YCC2V0,open,70093,49,0
#GLCLCUGR,Clash of racism,open,20930,6,0
#G9YRVV0U,coup de bambou,open,13048,4,0
#LGYJJUCQ,CP chômage,open,56393,38,0
#QVGV9VQ8,cr unit,open,80231,31,3300
#RQVUU08U,DK,open,37957,14,0
#RPQ9UQQP,DOKUMA TEXAS,inviteOnly,66945,31,3000
#R90URUP,Euskaldunak TOP,open,99074,50,7000
#R2VJPC8J,fearlessbs16,open,16931,11,0
#RQQJPJCQ,FemboyLovers,open,48366,15,8000
#LPGJQ2CU,Gabon Esports K,open,85144,38,2000
#G8C82LG2,giganti,open,9578,5,0
#QV0Y2YQP,GORA ETA PM,open,53761,17,0
#QP90CLQQ,GUEVARA MI HIJO,inviteOnly,81650,34,0
#GU0R8G00,hacettepe hs,open,82621,36,0
#QCLLYC9Q,Kurt Megro,open,81278,50,0
#R02028R8,kwuw99wjK,open,15580,4,3000
#RPGVVC8Y,latamiologie,inviteOnly,77104,31,0
#RV80GQJQ,Le poulet franc,open,26755,11,0
#LG2Y988U,Le Z,inviteOnly,58108,19,300
#GUV8QC9L,les cochons,open,32214,12,0
#8PGPVGQG,les titans,open,73607,48,2000
#LJ08U22V,LOS AISKOLARIZ,inviteOnly,53311,25,0
#G2G8VPYP,Los Gordos,open,14876,6,0
#GYLQQQVC,Los MAZAPÁNES,open,6315,4,600
#RLYPGJ8J,Lost Angeles,open,36264,18,0
#GLYG0CL0,mig pires,open,42510,13,0
#22YQ2UJV,Ndoss Royal,open,93383,50,3000
#LQ0VG9GU,Nik Zemmour,open,47279,50,0
#QRRQ2G9Y,OlgaClubDeFans,inviteOnly,18654,6,0
#R8JGL82J,ouarzazat,open,55065,19,0
#G9Q9J9RC,Owendo,open,20125,9,1000
#YJJVVCUL,PaguWdogWater,inviteOnly,67026,27,0
#J2QJJV0J,papois,open,9784,5,0
#QV2GG09Y,petit delire,open,21728,6,0
#G8QJPJP8,Polska,open,25543,24,0
#Q0RLG9Y0,President Sjaak,open,38631,12,300
#QUU98ULP,raclo land,open,20159,9,0
#G9CRR82U,Real,open,80880,42,0
#QGCVU0RJ,SAFE&SOUND,open,33685,10,5000
#GRGL9U99,school ig,inviteOnly,61858,44,0
#RGCY90C2,seal a brainrot,open,3424,3,0
#QVGPGVYJ,shabatshalom,open,69096,29,0
#GYJ9J9G0,sussy Bakas,inviteOnly,8008,3,0
#RRCPRV8V,tasty crousty,inviteOnly,10463,6,0
#G22P09Q8,team,inviteOnly,8497,4,0
#GYR089P2,team mamou,open,62237,34,600
#GPY8G9GR,The meganights,open,5741,6,300
#V2CLV2L,TimeWinners,open,49160,50,0
#QUGJCQUQ,TQD,inviteOnly,93731,48,0
#GCVL082Y,trisautist,inviteOnly,14820,9,0
#GLUCJ2QR,tropa do vô,open,1295,3,0
#QV2RGRY0,un clach,open,80254,47,3000
#GQQC8RP0,xangito,open,20107,7,0
#LR0UYUY9,XERECUTECO,open,26049,12,5000
#G2JP08PC,ñigã,open,33848,15,0
#G0P90LVJ,кукояка,open,65036,32,0
#R0J00UUU,мандарины турбо,inviteOnly,611,1,600
#QUGL20GR,ПАТАУ,inviteOnly,31858,8,0
#LVRJPGL2,Семья,open,50811,20,300
#QJG8RYJU,けいくん,open,55597,14,0
#QCJ9J0UG,たいまん,open,18820,4,0
#CPY9L0,九紋龍搖旗啦,inviteOnly,62702,19,8000
#Q998LJ2U,無限大な夢の後の何もない世の中,inviteOnly,52324,19,0
#G0UUURYP,경북대학교 지리교육과,open,54017,17,3000
#Q8RRLVQL,국가 승월배당금당,inviteOnly,61727,32,10000
#QCJ8LPCQ,귀요미클랜,open,8360,3,0
#QPRG9R88,나는야나쁜보이,open,49108,23,0
#GPCCPUV2,노구,closed,12407,3,300
#QJJ2CU2U,뉴트리아의 똥구멍은 나의 것,closed,74282,34,0
#QULUC9YU,대현이 아들래미,open,45407,13,0
#R9VQJY2L,도도새,open,65363,34,0
