tag,name,type,clanScore,members,requiredTrophies
#J2Y80C09,$$$,inviteOnly,8644,2,0
#GC8VPLL0,124,open,6526,3,0
#QCQJJLPV,2 NCO,inviteOnly,49582,17,0
#RQ28U90J,Anti Desporto,inviteOnly,18986,5,5000
#RQ898RCJ,c clih clan,inviteOnly,9822,4,5000
#GJUVJ8C8,Clanarinasi,inviteOnly,35662,9,6500
#GCCGCJUU,megi’s castle,inviteOnly,27235,8,0
#GU2R8LCG,puro pro,inviteOnly,4835,3,0
#GJU9LUG9,sgfc,inviteOnly,46962,16,0
#QJYGJUVJ,Sziszegosszisz,inviteOnly,17643,4,6000
#J0CPR9RV,teticulit0s,inviteOnly,9591,2,6000
#QUUY90C2,The tummat,open,27001,8,1300
#R8GQR0PP,zelenscki_bot,inviteOnly,8618,2,3000
#GY02RUP8,莱奥工业,inviteOnly,99079,50,0
#QJ0L2CUL,雞雞可以抓，內內不能抓,open,88872,50,3000
#RCQJRVVU,기정,open,16760,6,0
#GQQ9VCPJ,노무현 클럽,open,2515,1,0
#GYJV0LCC,식청피하기,open,16900,5,0
#G9QJYJYJ,원양시티,inviteOnly,37225,8,0
#GRGQG0UL,정둘민둘,open,8700,3,0
#J2L8R02G,클래시방구,inviteOnly,20203,8,0
#QCCPJL89,클랜 #QCCPJL89,closed,27569,11,0
#Q98GLG2Y,235WARRIOR235,inviteOnly,60931,21,0
#GUULU88P,2v2,open,28853,9,5000
#Q09JJP0R,aoside,closed,34162,8,10000
#QPQCVJUV,Bear Kingdom,inviteOnly,81194,47,1000
#GPLCJ290,benito tribu,inviteOnly,10338,5,0
#GGVJ2Q22,cf덕육,open,61140,32,0
#RY0L0JLV,chungus possums,open,60969,26,0
#G0UPG9PC,cwele,inviteOnly,51576,28,0
#QV00CVRR,Do-Do-,closed,17301,6,0
#GV8RUJY9,event,open,10340,5,1000
#QUYUQRRG,evil 1bitwaffle,open,26815,7,0
#QLG9VQYJ,gambianplayas,open,9716,3,0
#QCRCUGG9,GonДоniy glaз,open,42408,17,2000
#G0JCY8RQ,grimace2,inviteOnly,25424,10,0
#GCJG0JG2,gsr,open,21528,8,0
#RC9CGQRP,I SOCI,open,37648,10,0
#PVPYCCUP,kaliffens crib,open,92707,45,3000
#L0822C88,Klaani:  #L0822C88,open,57757,47,0
#GR9LRQ29,ku churto,open,15435,6,0
#Q8V8ULGG,KUSH KILLERS,open,5806,7,0
#L2LRJ9CU,Lakaienhorde,open,78979,49,600
#QPQ9282L,Les Simplets,inviteOnly,45764,26,0
#QC0RYJ8R,Les Zouaves,inviteOnly,57170,18,0
#G92UCY0L,Looksmaxing,inviteOnly,65791,45,0
#QUVCJ0LQ,Los Pajaros,open,49630,18,8000
#G8U0U0GP,LOS TIERRADORES,open,44946,18,1000
#LYRURGCG,pal sotano,open,90989,50,3300
#GY2YRYG2,pouletto gang,open,23453,7,0
#QV9P9JJU,queer track,open,87836,50,0
#QR8PLQU8,Randys wipe,open,77000,48,0
#GLQ8LQUL,renovoados,open,12880,9,300
#RLRU8YY2,seco gang,inviteOnly,40366,13,0
#G0PCV9PJ,Smeglodon,open,57438,20,0
#YJ00LL92,TEAM ANDROJOSO,open,66970,35,0
#GJJ9GY2G,tennis sussex,inviteOnly,11037,5,0
#QVCGJR92,Tuviejaentanga,open,47479,32,0
#QJ9JVPLL,быдло,open,70600,27,2000
#R9YQ8L28,луковые колечки,open,35438,13,0
#RRU2J9LG,坝坝,inviteOnly,4735,3,300
#PQPLJ92L,我滴爸媽問部落名字可以放多長？,open,83161,32,4000
#RLPQPQ02,결덩이,inviteOnly,46342,15,300
#R2JU8RJV,고자의 무서움,open,9840,3,0
#QPRRPGPV,미더덕's Studio,inviteOnly,34212,46,0
#GUGY0QR2,샬레의 고문교사,inviteOnly,10445,3,0
#QUCR288U,제라오라,open,24656,15,0
#GY880Y8V,진똥2,open,50493,19,0
#GRLQYL2P,클랜 #GRLQYL2P,inviteOnly,89044,41,10000
#QVLRQ99R,Balasima Fc,open,33618,18,0
#RGQ0LYQR,FETOLLAH,inviteOnly,35337,12,0
#G0CQ9Y0G,Geo 2,inviteOnly,49115,25,0
#G98LJR89,NOOPDAWGS,inviteOnly,42934,15,0
#QVLRPQPJ,thecooluncs,open,6163,11,0
#LQPQUGU2,ümidi men,open,31351,12,1300
#QG9U99VG,超甲組,open,23018,12,0
#QV8RQ28R,노르텔,open,27248,8,0
#QVQ8CP9Y,이민제식 운영,open,60568,30,0
