tag,name,type,clanScore,members,requiredTrophies
#2JGRLG0J,(GEORGIA),open,98422,49,8500
#2QR0L89P,*R*A*N*,open,82261,27,10000
#8CVYQU,+CRUSADERS+,open,91689,50,5500
#QC2V2YC9,-Geo- Warrior,open,97800,49,8000
#RLPR0CUY,.....,open,82960,50,4000
#G8GQRVUL,........,inviteOnly,11080,3,0
#Y2GJLQ8U,...GEO-WAR...,open,97141,41,9000
#QUQ8CRR0,000000,open,95812,50,8000
#R9880JQG,1%,open,99767,50,10000
#QRVV9JL0,112 GISMENT,open,87846,50,5000
#Q9UP2JUR,1121,open,63413,20,4000
#RGR8R8UL,21,open,88075,50,2600
#GY2CUQP8,222,open,17893,5,5000
#QJLCPJUL,2v2,open,90404,41,7500
#P9289RQ9,300 ARAGVELI,open,100000,50,10000
#RPYLG2QG,300 ARAGVELI,open,99959,50,10000
#GYU09LRQ,373 bijoba,closed,2781,1,3000
#GUQRPGGY,403ubani,open,66248,35,3000
#RYPGJ2R0,404 Royale,open,85016,35,10000
#LRPUV2RC,42 GEORGIA,open,99662,50,9500
#GV288Q2Y,515,open,57996,18,6000
#YVJL8QL9,64,open,64998,21,4600
#GQGLJ8PL,67 GUYS W GIRL,closed,2623,3,0
#GV29CUVY,7 Clan,open,71724,49,2000
#QVJ2QVGQ,7GEORGIA7,open,87519,36,8000
#LQPG9VY0,7kaca,open,97983,45,10000
#GP8Y9QGG,8-a umushevrebi,inviteOnly,17858,10,0
#QLGPQGU9,9 dzma,open,95367,50,0
#R9JVYGUP,9 E Clan,open,30915,14,3000
#GY09JVGP,9-e,inviteOnly,28887,14,0
#Q8VCCCVR,9a kingdom,open,97571,43,9500
#GJ2G8UC9,9G QURDEBI✴️,inviteOnly,42974,17,0
#GV9998Q2,:)),inviteOnly,12483,4,1000
#YY9VRGY0,[GE]Gods,open,98636,49,8500
#LULYLG8G,[INTELIGENCIA],open,82462,42,6000
#RQLR8URL,_rider_,inviteOnly,8325,4,600
#QY9Q89GU,Abiturientebi,open,98492,46,10000
#QVG0RJ9R,Agara ara Gori,open,96108,50,8000
#R0LLCV8Q,akopas siri,inviteOnly,2170,1,0
#Q0JUQQC8,AKUNA MATATA,open,94847,40,10000
#2R2VJVR9,"alliance""nova""",inviteOnly,100000,50,10000
#G80CUVQ8,ALPHA_EMPIRE,open,97366,50,9000
#L82290CP,Amaterasu,inviteOnly,100000,50,10000
#QVPYGQQ8,AMSTERDAM,open,96069,50,8000
#G020RGJ2,ARAGVELEBI,open,88900,50,5000
#GUCR2VPU,ARAGVELEBI,open,67811,45,5000
#QJL0VQ28,arbo777,inviteOnly,50014,15,8000
#Q8CY22UQ,ARGONAVTEBI,open,99740,50,9000
#RYQYUPL0,Arrow,inviteOnly,10849,4,1000
#QC8Y2JLY,avchalis parki,open,85078,50,6000
#GP99YPV0,Avtoritet,open,96806,43,9000
#L2GLCPQV,ayliozi,open,94755,49,8000
#QRUCJYPJ,Babulikebi,open,95088,42,8500
#GL2JYYJU,bad boys,inviteOnly,7836,5,0
#G9QLVUPV,bamboo guys,open,3560,1,1000
#GL2RCU0Q,basota,open,26078,10,1600
#QLPP9JRR,BAVARIA,open,96901,50,8500
#L8RPJ8V8,beru,open,79243,49,600
#GGLUGRJ8,Best clan 2.0,inviteOnly,48673,16,2000
#GGRPP09Q,BEST IN GEORGIA,open,98361,46,9000
#U92UJ28,bichoba,open,88577,46,6000
#GCY0LVVQ,BICHOBA,open,48799,17,3000
#QRUQRY22,bijoba,open,72194,38,4000
#QVLR0PG9,black,open,92644,48,8500
#G8JU2U9R,blatnoi udar,open,93283,45,9000
#GP29VCPL,blatnoitbilisi,inviteOnly,45678,13,6000
#GVGY8LRJ,bondoniumi,inviteOnly,11492,4,0
#GRJ2LPUJ,BozebisJinaze,open,78889,31,8500
#GYLQ002L,BRIGADA X,inviteOnly,16779,4,0
#G00YVQ0P,Broebi,open,80644,50,6000
#G002CQUR,BROS,open,56504,14,4300
#GYY0YJ9L,BROTHERHOOD,open,18704,5,4000
#QC8QJYJL,BROTHERS,open,82913,34,8000
#G8JC22U2,BTM street N1,open,90730,49,8000
#QJVL00YU,Bu9,inviteOnly,99700,49,10000
#RGJ2UG8G,Buccaneers,open,5656,2,10000
#GY0PU28L,C.S.L.J,open,1105,1,0
#Y2PUJLQY,caucasian clan,open,99237,50,9000
#QVJUG9VJ,Cecilions Domai,inviteOnly,13411,5,0
#QV2U80P9,CHAOBIS MGLEBI,open,90239,49,7000
#GPU9U89G,cheeseburgeri,inviteOnly,13363,4,1600
#QRGVQUYU,chester2,open,90218,39,6000
#RUU8U988,Chikeens,open,3540,2,0
#GPJY922J,chill clan,inviteOnly,7363,4,300
#RG02P89J,chven<3,open,24291,8,2000
#RLYRJCU8,Clan #RLYRJCU8,inviteOnly,38038,13,0
