tag,name,type,clanScore,members,requiredTrophies
#R2U89GGV,"""__""",open,9775,5,2000
#RGCCJP8J,#L #M,closed,1934,2,0
#GYCJ0RUC,$chwanzLurch,open,21170,11,0
#RQCY8C90,-Kaci-,inviteOnly,6721,2,0
#QRGGC8QV,-SaarStark-,open,99791,50,10000
#GYR28PLQ,...,inviteOnly,5238,3,0
#QLQ0JUC8,.•ꙮByJꙮ•.,closed,10254,3,6000
#QV9QGQ8P,02.04Forever,closed,13672,10,0
#RRRYG0RG,1019 pt. 2,open,4589,1,8500
#J22GRP0G,104kkbsa7bis,inviteOnly,13813,5,0
#R0CGPL0R,10k um fuffi,inviteOnly,4782,2,0
#GU2VQC00,11ELIE,inviteOnly,12153,5,0
#RRPVQR9V,1234657,open,7774,8,0
#R0VVQJVJ,123VORBEI,closed,6470,2,300
#G9J8J2GP,17gang,inviteOnly,4271,2,0
#GLQYUC2J,187,open,7349,4,2000
#G9Y22YLG,1939,inviteOnly,13041,4,1000
#R0CULJLQ,2 idioten,inviteOnly,12192,3,0
#G228PCGC,224,closed,5585,2,10000
#G2QURUP9,28 Black,closed,9712,2,0
#GYL9CGLJ,2er Wi××e,open,11420,6,1000
#GP8JULQJ,2FLY4U,inviteOnly,8884,3,0
#RV829YC9,2vs2 Tournament,inviteOnly,2446,1,0
#GY008RGQ,3 + 1/2 german,open,4855,2,0
#G8928PLJ,30cm Lörres,closed,5794,4,0
#GCQPCYPR,317er,inviteOnly,4324,4,0
#PUVVVPRU,33Gradichsterbe,open,69493,20,6000
#GL2RQ08L,352erTrap,open,35532,12,3600
#28LRY0VG,385rabizier,open,82350,30,10000
#GCYCJV99,39-45,open,4607,3,1000
#R22JV0J0,3CrownsOnly,open,28262,10,0
#R2P0QUU0,3th Reich,open,934,2,0
#GQRLYYUG,4 ausm pott,open,6572,2,0
#GY9YUG8Q,4 Gewinnt,inviteOnly,8761,2,8000
#GP0URJPP,4 Menschis,inviteOnly,20633,6,0
#R8G0CP92,4 Musketiere,open,18127,4,0
#GLJ9J2UC,40brate,open,4634,6,0
#G8G99LJP,415,inviteOnly,2100,2,0
#GYJLU8RC,428,open,3350,2,0
#GCV2YU9Y,444,inviteOnly,10801,3,0
#PLQRCLQP,47er,inviteOnly,11790,4,0
#PGCRY0LQ,4KartingFamiliy,inviteOnly,25314,8,0
#GQ9QPYJP,50 Hausordnunge,open,8630,5,0
#GPQJJG0J,5001cirt,inviteOnly,4994,2,0
#GJJJ0P92,50Gramm,inviteOnly,11061,4,300
#GGGR9Q0G,520,closed,28295,9,0
#GPQYC0V9,53bonnnihtparis,open,12261,4,5000
#R02GPVG8,5A,inviteOnly,6163,6,0
#R28290QC,5IVE 7EVEN,inviteOnly,5308,2,0
#GUVYGUR8,6 7 Clan,open,8137,2,5000
#GJJY8LRQ,67,inviteOnly,19618,5,0
#RC2VQJJP,67,open,11667,5,3000
#GPCG80GL,67,open,11411,10,0
#RUUG9RCL,67,open,2104,2,1000
#G80YPGP2,67 Goonies,inviteOnly,3787,3,0
#GCGJ8JCG,67-Clasher,open,15171,9,0
#R8PCP8J0,67Cafeteria,inviteOnly,13879,6,0
#G9L92RPL,67SP,inviteOnly,2955,2,0
#GYUYJJPY,69,inviteOnly,11635,4,0
#GLY9URRL,6b Ötzkis,open,24918,20,0
#GQ0LPYPU,6c,open,3342,2,1000
#G98YCLV2,6GA,inviteOnly,1786,2,0
#J0LL0YVL,6rund6icherun6,open,10174,5,1300
#GLR0L2CY,713 • Gringotts,open,24330,12,0
#RY9JYC9Q,77,open,12631,4,4000
#GPQ8YVY8,7A BEST,open,9621,8,1000
#G2GRVR0Q,88,open,5463,3,0
#G22U20G9,886967 LM,closed,2480,2,0
#R0U2Q9VL,8888,open,43029,19,1000
#GYCVRJ9R,8k+,open,1433,1,7500
#Q2G0Q8VU,911,open,24680,7,7000
#G909UVJL,999Gang,inviteOnly,21123,6,0
#R29QV8QU,9B,inviteOnly,27171,10,0
#GUR9Y999,9C,inviteOnly,25003,7,0
#GULVU2UC,9D,inviteOnly,56255,25,300
#LVJP9J22,;.;,inviteOnly,49446,20,0
#GLQV9YU9,=_^~^_=,inviteOnly,5597,2,0
#R2R0L09V,>Otto,inviteOnly,32132,15,0
#GJ2JPG80,[Underdog],inviteOnly,3964,1,0
#Y8UVCR0G,_OZ_,inviteOnly,20265,8,0
#GLQJQGUQ,A-C,open,14116,6,300
#J0JCQPCC,A.H,open,3581,3,0
#GG9LVPUJ,A.L.D.A,open,53256,18,4000
#GY9CJ2RQ,Ab nach Berlin,open,20366,6,0
#J2YLJLQY,abcdefg,open,436,2,0
#G8909PVJ,Abelschorle,open,10759,4,2600
#G8VYLYVC,Abi Royale,inviteOnly,61197,16,0
#GYJ9P029,Abitur (Egoist),inviteOnly,30477,7,0
#GURRQVV8,ABSNT,inviteOnly,19135,6,0
#GLQ0VYYJ,abu durana,closed,10719,4,9000
#GRGGL2Y0,Abuhabu gang,inviteOnly,3503,2,0
#G8PYQ0VQ,AbuHunters,inviteOnly,44972,11,0
#RGGV9QL9,Abyss Of Void,inviteOnly,6565,3,2000
#GVGVG909,Ace,open,16003,4,5000
#GP20UULV,achterbahn,open,11686,3,2300
#G8L2V29P,AcNiemalsNüchte,inviteOnly,28627,8,0
#RRLRP9GR,Adonia T30,inviteOnly,2649,2,0
#GCPPPCL0,ADS,inviteOnly,4000,5,0
#R2J0R8CU,AEGIS,open,3987,3,0
#GGRURR88,AfC,open,48052,16,3000
#GYVQJ9RC,Afd,open,7543,4,2300
#GL20G292,afd 1,inviteOnly,2118,2,0
#GYL929LL,affenbande,open,3268,3,600
#GQLP99Q9,AFM,inviteOnly,57090,21,10000
#GYYR0QR9,AFTER-ATZEN☆☆☆,inviteOnly,344,1,9500
#GQ0QLVC2,agencia simia,inviteOnly,7404,3,0
#GQ28QYGP,Aggressiv Dino,open,9261,5,300
