tag,name,type,clanScore,members,requiredTrophies
#RV2YVLYY,:) (Sin Danel),inviteOnly,23414,6,300
#GLCVYQPU,David Suriton,open,98150,50,9500
#89LY8GJ,Granada,open,97241,50,5500
#GJCPGY8U,I.E.S Alfaguara,open,71333,36,4000
#QVY8RLVV,J & G,inviteOnly,5476,2,0
#QVCUL9YQ,LaFranight,open,95643,46,8500
#GU2UCRUL,Leste,open,3320,2,600
#GPPYYRV8,Los Empires,open,23016,12,0
#R9R8LRVC,MALVIVIENDO,closed,5731,2,10000
#GL8V8L02,sbren,inviteOnly,24097,6,0
#RGJVQCUQ,Гремлены 2.0,open,7347,2,0
#RLL8CGVU,6IXX-LA-MDG,open,27710,10,0
#92PLYLQ0,chana forever,open,57135,17,10000
#G0GPGLGY,Cheezburger Lab,inviteOnly,16033,5,0
#PYR209UY,Granada,closed,73147,40,0
#8RP2L2U,izaviejeros,open,32850,12,1300
#RLL2U2GC,Los guerreros,inviteOnly,53411,19,2000
#RGCY9UQG,LOS PAPALOTAS ;,open,35248,13,0
#V8QY2Q2,Los Royales,open,87349,38,4000
#G09QU0QL,noa,inviteOnly,62485,23,5000
#G9RU2R0P,Oid mortales ✨️,open,18741,11,0
#QGRGG99V,panecillo,open,51558,48,600
#QYJLUPGY,pul negr,inviteOnly,32765,12,0
#GJJ880YU,que si santi qu,open,42190,14,0
#QRUQP82Q,sesamsquad,open,54956,18,2300
#QVYRG0CL,Sigma_Attitude,open,76279,46,0
#QUP02RQY,speed4g’s,open,88324,50,0
#QC02V99Y,Zsti Gliwice,open,67598,32,4000
#Q98LYJQL,고아단속반,open,92610,50,5500
#L8GYUQYL,규민짱,open,27588,19,0
#RJLJLV0V,운지무현,open,15342,10,0
#2QR0GU2L,Lechuzoboys,open,60978,40,3000
#2GLJQ9GL,losclatafunes,inviteOnly,38181,10,0
#GV98Y0J2,on brenda 実区,inviteOnly,22029,7,0
#QQG2PJLG,Pólvora y Turbo,open,14428,10,0
#QC888VUR,ＡＫＡＴＳＵＫＩＳ ☁,open,36685,27,0
