tag,name,type,clanScore,members,requiredTrophies
#GU0UVR8L,7288,open,5440,2,4000
#G2RL0VCP,akajajaka,open,90695,44,7500
#9GYGC8L9,ALPHA GP,open,100000,50,10000
#J2R8RVRL,Amical,inviteOnly,23562,7,0
#RY8Y2UGU,AREA GP 2,inviteOnly,99686,49,10000
#YL2Y989Y,Area Gp™,inviteOnly,100000,50,10000
#GYJR9U8R,Barbecue,open,30216,10,4000
#RGJ9CY0L,bat yop la,open,26910,13,0
#RJL8PLYC,Bomboclaaaaaaat,open,47779,13,7500
#R22VR8V2,botinok,open,604,1,0
#QVU8J0GU,champion,closed,7118,2,4600
#GYRGJU0C,club,open,2721,2,600
#QCYVUQ,Clé à molette,open,93490,50,4000
#GY900YYU,conalovers,open,1709,1,0
#LGR999R0,DSO,inviteOnly,92744,43,9000
#RJPCC2YJ,Foufou,open,71362,33,5000
#LLR828LR,French toast,open,81732,28,8000
#GGLQRCRG,G.L.P UNITED II,open,92735,49,7500
#GCGUCURV,G.L.P UNITED™️,open,99400,48,10000
#RCU002CU,GaYeLqUeMeGaNe,open,8517,3,10000
#GCVPQ0VY,Gencool,open,27723,10,0
#GJU9QJPJ,get the**** out,open,86480,45,7500
#GL9GPC2R,Golden_ Coco,open,17254,10,0
#GLPPUJJ0,gotogang,open,1743,2,0
#GQVRLYLG,Guada_971,open,29563,6,8500
#P9J9JP9V,GUADELOUPE,open,95076,50,6000
#RUVVQ0G8,gwada boys,inviteOnly,11113,4,0
#R2RJV9PR,GWADA ROYAL,open,5381,2,3000
#G9RP8CGY,Gwada9711,open,87241,50,6000
#QV80992G,JUDALAKOU,inviteOnly,47711,15,4000
#8YJLRJJV,Ka Spirit War,open,97891,45,9000
#RY2G80CU,Kaws,open,91146,45,8500
#CCGPPPP,kriminel squad,open,98106,50,7500
#QRCCJ8P0,kunamamaow,open,29148,7,4000
#QC0LRCRL,lala ice,open,12148,4,0
#GYQJQ2YJ,les fafa. 12,open,79498,38,4000
#CLPRPV,Les TucHe,open,99100,47,10000
#RLJPYL09,LIA102,open,62026,26,0
#QYCRJQC0,lol,open,51137,14,1000
#GJ0PQU8R,LolliLobotomy,inviteOnly,12725,3,0
#R8L880L8,los Bro,open,2192,3,300
#R92LUCCP,los chispas,open,41060,9,0
#G2PL8RU0,los crousos,open,97343,50,9000
#G00PVRRL,LOS GELATOS,inviteOnly,50187,21,1000
#R0RR2VRL,LS☆ZAR☆971,open,18109,4,5000
#G90G0CQG,MAISON BLANCHE,inviteOnly,6815,2,0
#R2PLLYQ2,mvt 971,open,8103,3,0
#2JPGGGY8,N.S.R,open,98460,50,7000
#RRPUGGYG,NO CAP☆RpR,open,52300,12,9000
#GL9VQQVR,ok.,closed,3328,2,0
#GC89GGRC,ONE PIECE,inviteOnly,16795,4,5000
#GQGJC8L8,opps fc,open,88251,50,6000
#LVQ0Y0L,P.C.B,open,89184,45,3000
#GYL2YJP2,palazlı sercan,open,6439,2,8000
#RVQ200PG,Petit cochon,open,51168,16,0
#RYCL0GL0,PIX,inviteOnly,3694,2,0
#GPRGP202,prime allah,open,26946,8,0
#R0GGPG8G,psyko le goat,open,5806,2,0
#G9QR2CRJ,rip_ops,open,5383,2,600
#GLYQPUVU,SAID PUPSIK,open,21999,8,0
#GLJCG0LV,TACOS,open,7365,3,0
#LR2U8J89,team bebra,open,36635,12,3000
#RUCU08VU,TEAM BLK,open,7082,3,2000
#G9VR02JV,Vieux-fort,open,38845,10,5000
#GPGV0U2R,yoko971,open,19311,7,0
#GPGV8J9L,Zero gravity,open,70246,22,3000
#R8Y2UR,île 971,open,99067,50,9500
#GLL09VPP,легенды 127 екб,open,7634,3,300
#GCR0QVRP,пуки каки,inviteOnly,42968,14,600
#G2LRP2L8,хранителисемени,open,6895,2,0
#GVJ8G2RJ,Чача,inviteOnly,60432,26,0
#GLY0YULL,ガンに吹雪,open,6883,3,5000
#R2Q0GVJQ,닼사엔터,inviteOnly,6990,4,0
#GP29PCU0,#booster,open,66068,39,5000
#RRRJGJ,*SPARTAN-971,open,77299,45,2000
#GG28JR2P,11block,open,45375,46,0
#Q9GRVJYY,1PEKKAble971,open,45121,42,1000
#GYUVYJY9,1학년11반부반장탄핵회,open,79668,40,0
#Q8RGJVJ0,2lrsqd,open,61841,48,300
#QJ0UVQJR,2nd6,open,46564,49,0
#G2292JL9,500,open,49610,19,3000
#29CJVLJ,971,open,80551,49,0
#2QLQU2UJ,971SquadKiller,open,95012,49,7500
#GUG9QQCG,97z,open,58471,24,4000
#RGGVCJL2,97❌,open,18058,5,5000
#G9R00YCG,Aboubacar,open,40715,23,0
#Q8R0QRYQ,Alexande,open,51818,37,2000
#Q8QLLRL8,AlphaGP,open,58732,50,0
#RL9LRGJY,ANTİ DALTONLAR,open,61179,21,0
#2QJURUUP,Antilles Royale,inviteOnly,37231,11,3200
#QLRUVCUC,AntiZeby971,open,68074,37,3000
#GCYLCCYC,Area Gp 3™,open,79053,43,1000
#Q0LL0CJJ,Arthur,open,65604,48,600
#LRPQJGJY,assasin97x,open,48587,17,8500
#QRRJRPPQ,Bambula,open,30763,11,0
#L0VYQ0Q0,BattDouce,open,63120,50,0
#G9JPUQQ0,BCN CITY,open,29137,10,4000
#Q2URCQ0V,BeReZKi,open,31547,11,10000
#LYRVJY8J,Betcoin,open,80532,35,6000
#LCCLLR2G,blabla,open,32561,42,0
#G0GURY2J,black Team,open,82221,43,8000
#2J0RC8G,Black thugs 971,inviteOnly,4988,4,2000
#RGJQPUG2,Blinky,open,21376,10,2000
#L90PRJ2Q,block 971,open,40283,28,0
#L0CG2G99,Bmao Guadeloupe,open,88354,50,4300
#LLQU0VUR,BMN 971,open,95822,50,9000
#YCYU0L8P,boomboclat,open,79162,50,2600
#P0QVUL,BOPE,open,78616,33,5500
#YQVGVC89,Boss Gwada,open,73355,50,2600
#QQ0C89LQ,bts ndrc,open,27166,15,0
#QJPVVVQG,caca boudin,open,37544,28,0
#QGJ8P8YV,cayou,open,62189,50,0
#GY9VUCGL,CDL,open,44699,18,1000
#GP2Q2R9Y,cenxo,open,55687,25,0
#QRY0U2UL,Choonchers,inviteOnly,70684,34,6000
#GYGJGVG2,CHT180,open,13754,6,0
#8GRQ00J,clan gwada,open,80034,49,4300
#LUJC8LJP,CLAN royale,open,74960,50,3000
#GRC8UUQ8,Clan:  #GRC8UUQ8,open,67596,48,0
#R9LYYQQL,Clash Gwada,open,46573,50,0
#LGJYUYJ2,CmS,open,27044,19,300
#G90JPQQU,Comp shadow,open,19480,5,5000
#G28RQYUC,Counia fc,open,55476,37,0
#LG9PP2RL,del97320,open,42655,15,0
#LGRJCL02,DETERTEAM,open,91784,36,10000
#PC8Y88Y,DIAMOND,inviteOnly,28988,10,0
#G8VP920C,Dégustation,closed,48387,16,0
#GCPVU988,EbuCehilFedaisi,open,8017,3,5000
#QUUQG9JP,eeeerrutr,open,55138,17,3000
#GPCYY9LC,El Bozo Mafia,open,65788,37,0
#GY9LUU88,Eve pgm<3,open,56576,49,0
#GGJP2JVU,fc Dog,open,16800,6,0
#GPUUL80Y,Fc stc,open,82356,50,0
#PG2QR2GP,FCC SQUAD,open,80887,48,4300
#9ULJG2P8,foufousquad,open,38566,11,2600
#GPUJ0V0L,frickjon,open,84583,38,0
#Q890RR0Y,fruit de pain,inviteOnly,10796,4,0
#LCY2QQG0,Gang971,open,91447,50,5000
#QPV29P00,Grande queue,open,90630,50,5000
#RPC0UUPY,Green FN,inviteOnly,11305,3,0
#QL9PURV9,greystone gang,open,43977,20,0
#QG298JG,GUADELOUPE,open,51413,50,0
#PR2J0YC9,GUADELOUPE,open,46248,37,0
#P9P9YLQ2,Guadeloupe,open,41257,49,0
#G9Y8R92G,Guadeloupe AD,open,54726,49,0
#Y88JCL8Q,gwada,open,40938,21,1000
#GY0VVGJP,gwada alt,open,10414,11,0
#GVL90UYL,GWADA BOY,open,29931,50,0
#JRGJV82,Gwada Gwada,open,95835,50,4600
#QPVG9VU0,Gwadafires,open,82254,49,3000
#YR9888CJ,Gwadaking,open,70246,50,1000
