tag,name,type,clanScore,members,requiredTrophies
#RG999URU,11CCP,inviteOnly,43977,18,0
#G9JLLCGG,AZTECH,open,47854,18,0
#G9C09VCY,Clan #G9C09VCY,open,92169,49,6000
#GRP8L9CJ,Clan #GRP8L9CJ,open,90912,44,9500
#GJLLRPG2,eeeee,inviteOnly,8697,7,0
#QVJRQR8Y,Itigie,open,12163,3,1600
#G0LL0UP2,Labubus,open,46031,12,9500
#G9YQ0Q2G,los locos,open,33032,8,4000
#QLV229C2,monkeyyyyyy,inviteOnly,91767,46,0
#G09LR9YP,street racing,open,6692,5,0
#LGCJVY,Ü 30,open,97487,50,4000
#R08VPYLC,세화여중8공주방,open,17887,4,5000
#RJ99C2UY,#1 guernsey,open,55923,34,0
#LYG98P8Q,1.7 pump cycle,open,92789,48,6500
#G8QRLRUL,6_7,inviteOnly,31152,19,0
#Q2908RYC,Angeles de Milo,open,64538,31,0
#LRR8G2PY,Ankaramooraales,inviteOnly,76446,24,7000
#GUYYY8LJ,balls to the wa,open,41174,16,0
#RU0VY2R9,banjo,inviteOnly,17710,7,0
#RPLLGJU9,Clan #RPLLGJU9,open,30762,19,0
#QVGPC088,CoolKids,open,51868,22,3000
#QY0PC8JR,digga,open,82593,46,0
#L00G0YUY,Dio Gaetanoh,inviteOnly,94382,46,0
#QUQ0YCLR,duncan donuts,open,89969,46,0
#R22RQ2P2,fat ginger,open,45931,22,2000
#Q2UPPL0G,feminists FC,open,69363,26,0
#R922QV0L,FTN squad,inviteOnly,36071,9,0
#QJR02GQ9,Fumble,open,73054,43,0
#GRCY9L9C,Gabriela Sisca,inviteOnly,73683,29,0
#GQ9JVPVY,Gashers,open,86884,44,0
#GY0C888C,Grisciano,open,31433,18,0
#QJGJ9YJG,Gsy best island,open,50206,19,0
#R0P0GPL2,GSY PANCAKES,open,15058,5,0
#G000Q00Q,GSY420,inviteOnly,27683,11,600
#9JRCVU0L,Guernsey Gang,open,90457,47,3000
#QVQYVPQU,guernsey gang,open,16190,18,0
#2YRCJPG,Guernsey Kings,open,92752,50,5000
#GLQCP8Q2,GY1,inviteOnly,75849,33,0
#GRYGU0QP,hairless boys,open,21539,8,6000
#GRGLPGRR,haters of black,open,69033,47,0
#G2VRYPP9,Jausikrieger,open,39366,11,0
#R0UQQJ08,los viciados,open,5344,3,0
#RU2VCLR2,MarisolsMinions,inviteOnly,41801,17,0
#GY92PVYC,MasterBader,inviteOnly,49574,15,0
#G0RQ08PP,mekka pekkas,open,51686,23,2000
#QUUCYCYL,Mewaholics,open,37209,10,0
#QCQQ8CQY,N*****,closed,81608,36,0
#QCGCQLGU,Nykabols,open,80921,50,5500
#GYCU82PV,OPAOPA,open,22446,12,0
#G02922RL,os. irmão,open,4730,5,0
#QVRQLGR8,poopy swimies,open,18775,10,0
#G2CCC9L0,ProPipe,open,32798,15,0
#Q2P0VUP8,Scorpions,inviteOnly,66178,29,8000
#GQCPUCQV,ShiverBxner,inviteOnly,20411,6,0
#GYLU2RPY,skibidi mongers,open,78806,46,3000
#G2UC82G2,super ñemas,open,45731,13,5500
#LL22LLVV,Touman,open,64561,31,300
#RQQG2VCY,truck,open,37535,12,0
#L29L0QG9,wagwagon,inviteOnly,41928,23,0
#Q90YRLQG,にわとりのたまご,inviteOnly,62398,27,1000
#GCRLUQ8Q,忍岡中学校最高,open,45648,10,8000
#G09PU0CL,설욱진,inviteOnly,81613,42,0
#RRV0PG0R,평내고 갤러리,open,29032,6,5000
#QV29LR0G,gsy bummers,inviteOnly,39514,27,1000
#RQ0PPJ8Q,ima cumaholic,open,28554,10,0
#LRY8Y9GR,Mad Wins,open,51254,16,0
#LQP8U080,robizza,inviteOnly,40248,18,0
#R0RC8J02,sigmas,open,42805,17,0
#G929LUVL,the lads,inviteOnly,7995,7,1000
#QU8G00L0,The Round Table,inviteOnly,41604,14,300
#G0RU02U9,Top Tarts,open,26266,14,0
#G0C2Y8PC,이나나단,open,16941,7,0
#GQR0R9VG,이승엽 경질기원,inviteOnly,42803,18,0
