tag,name,type,clanScore,members,requiredTrophies
#YCQR0LGG,BLACK PEARL,open,33349,8,2000
#L9JC2LUJ,Canadian Maple,open,94422,45,6500
#Q0JRRY0C,Good Knights,open,89190,50,7000
#Q09Y0PRP,La colline,open,94740,48,5000
#G89L2Y08,MLB > Clash,open,47057,14,1000
#QYR9YPJG,nonces,open,11323,3,5000
#RV00P0JY,Nymph Royale,inviteOnly,45709,16,0
#G88YCRUL,S.M.T,inviteOnly,50103,13,0
#G9UJ9JLG,SK CLAN,open,3315,2,1300
#L9JLPVLP,112獨一無二,inviteOnly,65046,32,3000
#RRJYYUJU,1331,inviteOnly,22983,9,0
#RJL9LQ2J,1CAV,open,21604,7,0
#G2C220Q2,6GT,open,74839,30,6000
#GGPR0P0Y,91 OSURARAKUYUR,inviteOnly,56475,19,0
#QC09PPVP,CHAMBEADORES,open,55785,16,7000
#G0C08R89,halveque44,open,75684,47,0
#G9RV0UQQ,Loa minis,inviteOnly,4798,5,1000
#GVPL0CJQ,los nubinis,open,4827,3,0
#Q9RGCUY8,Los pensantes,open,14187,6,300
#LUCU9UYC,LTU Perlas,open,65857,25,0
#G999C9YJ,Lupi Sigma baka,inviteOnly,23787,17,1000
#GYJYRU92,malmus,open,81010,46,0
#GJ2QRGVG,S7⚡️,inviteOnly,22070,5,4000
#QY2RRQ0V,sanitas 05-06,open,33907,18,0
#GGUUGLRC,TKACHAN,open,37689,11,0
#G8CUPPY8,Åsmans,inviteOnly,17016,4,300
#Q8PY8Y00,про,open,7876,4,0
#QUCQ0PRJ,הכי טובים בארץ,open,78929,40,3000
#P2ULL80G,봵됅쉙,inviteOnly,39302,11,9000
#LV2J092R,실력빨,open,69130,48,0
#RQC08UUY,현택밀크,open,34980,11,0
#RLC9U0VG,s s s s,closed,15024,38,0
#QGCQ90LP,Витя Пупкин 2,open,26300,14,600
#Q0098UUV,Путин из like,open,28552,14,600
