tag,name,type,clanScore,members,requiredTrophies
#GQ2YV9CP,"( ""̮ )୨✧ᐦ̤",open,17001,6,0
#QUVVCGY8,Chill,open,5296,2,0
#G9RRP000,Clashers Guyana,open,20000,4,10000
#RJRQC29U,elnix,inviteOnly,1198,2,1300
#8UJJQPCL,GUYANA CREW,open,95595,49,8000
#V2L2JQ,Guyane Evo,closed,85585,30,8000
#GYGGQ2GV,King 94z,open,889,2,4300
#RV9VVC9V,los raros,open,2851,3,0
#2G02RG00,MLG GUYANA,open,98859,50,9000
#8LYVCVGV,os cavaleiros,inviteOnly,4127,2,0
#GRQLPC2G,RealNigaz,open,33772,10,7000
#QC0VQ9CY,Yana plus,open,5081,2,2000
#GLPGYR0Y,Салфетка,open,22144,5,0
#GPQR8LLJ,돼전성,open,46802,11,3000
#QYLRULYG,092,open,43447,24,0
#RYYL0J00,2학년1반 김시준핑,open,53170,27,0
#G28GL0PU,788.,open,56131,36,1000
#9UPU2GG0,973 guyane,open,90369,50,0
#RUL8C2CP,ATREUS REDUX,inviteOnly,20000,4,0
#L9VQJJC9,Attaks,open,15429,11,600
#YVY2R8,Awaken Legendz,inviteOnly,92928,50,0
#GLY0LR22,Az Team NEW,open,89064,46,7500
#CV92JYC,BakaOfZyon,inviteOnly,78782,33,3600
#QJG92U0Y,bloubloublousuu,open,12077,7,0
#QCR8YLJQ,cewchieslayers,open,18946,6,1000
#820G8G9,Dontblushbaby,open,44287,49,0
#GYQ80PGP,DUI,open,4090,6,0
#GL0L0P8V,fam,open,3961,4,0
#RGGYQPYQ,fullyduncethugs,inviteOnly,7995,4,1000
#CUQ8R0J,GT Akatsuki,open,97693,50,9000
#2089PRY,Guyana United,open,84824,46,3000
#9C92PG8L,Guyane,open,24978,33,0
#8V2U2Q2V,guyane 973,open,47775,50,0
#Q8R208JG,Guyane Clash973,open,29037,9,3000
#98RV0UL,Guyanese crew,inviteOnly,91589,43,10000
#GQR088GU,haram in brecki,open,13661,11,0
#P90RR0Q8,HawtBax,open,49972,48,300
#YQ88L,Hyrule,open,90241,50,0
#GRRU98CJ,In the Dark,inviteOnly,15,1,0
#LV88YPYQ,Kryptic592,open,47071,38,0
#G2V8LV0J,labubu phonk bp,open,45103,23,0
#GGUQP2RC,Lall of Famers,inviteOnly,55334,17,0
#QC2P80PY,les gros juif,open,83009,48,0
#998RUJPQ,Les légionnaire,open,29931,14,0
#YVGV9YGJ,myweeweehurtz,open,31329,11,1600
#2PPU2YVY,N.E.R.D.S,open,97539,48,10000
#QP8LPPJC,NAC973,open,19997,7,0
#R9LQ88PC,NIKE NO AIR,inviteOnly,48442,15,0
#8LG8UG,Panic7,open,82096,44,5500
#RJ8PR88V,Shaggy LLC,open,22393,11,0
#LY2Y9GYY,ShakeDatShi,inviteOnly,38425,15,5000
#GPQ92R8L,shuparola,inviteOnly,15088,7,300
#GP9JP8GP,slimy pp,open,63228,25,7500
#G2UJC9R0,sneaky golem,open,58415,27,0
#YQR2JL2G,Torture Gang,open,28278,12,0
#220QLYV,V for Vendetta,open,57368,50,0
#LPC88C,Yan Clan,open,90460,45,7000
#G2LUG8GC,신병레인져스,inviteOnly,52877,26,0
#R8V9LRQY,제서겨털,open,6702,5,0
#R2U2QUCV,Clan #R2U2QUCV,open,17658,9,0
#YV98PCPY,clash rass,open,38744,19,0
#PCL28YV9,ESP,open,39617,22,3000
#LP0J9YQV,fuzzy pack,open,36071,20,3000
#LGCJPR09,GSK,open,12573,13,600
#YUV28QQP,Guyana Official,open,17768,24,0
#QLPRL0CJ,It_I_air,open,23662,13,0
#G208U08U,La fafa 973,open,27317,17,2300
#GQQCRJRP,pink shoes,open,46490,49,0
#Q80VQU2C,ultimate chicke,open,26389,37,0
#QUCP80LP,태용이시지인,open,65811,28,0
