tag,name,type,clanScore,members,requiredTrophies
#YY90LPLQ,#HK,open,96120,50,5000
#JP9GCUG,#HK兄弟幫,open,99407,50,7500
#99CJCVVY,#烏托會館,open,98566,50,7000
#89RU09GP,'專屬娛樂、,open,98118,50,7000
#PRVR9UCQ,*火星駐地球領事館*,open,98568,50,8000
#GYLPYJ,*火鳳列皇聯盟*,open,94434,50,4300
#CV8YLP,-=轉身射個AirBall=-,open,97164,50,4600
#PGQL8LJJ,10 Kings Intern,open,97619,49,7000
#8PVJYRCR,1234567890,open,94333,50,4600
#L2YJGV,1910,open,93992,50,5000
#QPP2JJ99,1C Clan,inviteOnly,16177,8,2000
#PJGGP0YP,1s ltpss,open,97419,50,8000
#2LG90LY9,1st Legend,open,98778,50,7000
#R29C02YV,247 Fitness,open,49965,14,0
#GG0JR8GJ,2P,inviteOnly,50283,22,0
#QJ9V2Y90,2v2,open,87117,50,7500
#L82PQGL,3A BuzzerBeater,open,95283,50,5500
#GLV08CLQ,3Mの135秒,open,15195,6,0
#PY0JCQ,51區,open,96874,50,5000
#Q2JURYJP,599G United,open,55998,23,5000
#GRYGV99,616快活谷,open,99746,50,10000
#G8PUUC9U,67,inviteOnly,82362,38,10000
#YGR98CL,689食史,open,94343,50,4000
#2PP2RQV,77隊,open,97009,50,5000
#QUVVJRYV,852 Hong Kong,open,95126,49,5000
#PURVL22,852 HongKonger,open,98082,50,6000
#G8UJ8QJU,8964,inviteOnly,68828,35,0
#Q98G9YCC,=== 香港天使墓園 ===,open,96095,50,7500
#2QL22L9C,[HKG]Teamwork,open,96895,50,5000
#RJ0R2JPQ,a few good man,open,92505,50,7000
#L8PR8RJ,aahk,open,94074,50,5000
#99QU0JP,aakkyy部落,open,96366,50,3000
#R8Q98GY2,Aay Gas Gooner,open,11178,3,0
#R0J0JUJQ,ABCEFS,inviteOnly,64190,20,10000
#20GGQY,ACE,open,97936,50,6500
#RRLJJ92R,Adrian的67 WOW醬,inviteOnly,51276,16,0
#G9Y29QL0,AF,open,90307,50,0
#LRGR00PP,Allied Empire,open,98081,46,8500
#YQQUJ8LL,All’s 3,inviteOnly,39576,16,0
#RGR0RRQJ,anna-lucia S.S.,open,85186,36,0
#RCRJ92R9,Anonymous,open,72611,21,7500
#Y0QGR0,Anonymous Fight,open,98864,50,7000
#R0QPGGQU,anson,open,86983,50,4600
#QJPV2RPR,Anson is ON99,open,94658,50,6000
#90J20QRY,Attack Heros,open,94416,42,7500
#2GYGVGL8,Awesome-HK,open,98071,50,4600
#G9CGLR0Q,BABEKINGDOM,open,88849,49,3000
#2PQGV9QP,BAD MINTON,open,96289,50,4000
#2CV8LLV,BanG BaNG BaNg,open,98143,50,6000
#GLY2JR80,Bateil mecatron,open,82377,38,5000
#LVLP8LYJ,BAZINGAA,inviteOnly,64204,22,0
#QJPULVRG,Bb boysa,inviteOnly,84597,37,4000
#222GYPG,Be Hong Konger,inviteOnly,89236,35,9500
#YVGUCJ2V,BE WATER,open,95310,48,5000
#8Q9GC82,BeMiracle,open,97227,50,6000
#QUU2VG,Best Of HK,open,96889,50,3000
#QV2U088C,BestattungenJ/A,inviteOnly,7157,2,3000
#2CJJV09V,BFB之家3會,open,90751,50,5500
#YR9G8L9V,Big Sheep,open,91071,50,4000
#R9PPP,BIGBOY Club,open,97529,50,5000
#G9GVU28Q,bio x1,inviteOnly,77342,34,0
#2GQ0CY,Biscuit Clan,open,96285,50,3600
#YJ0V2L,BlackGold,open,96808,50,5000
#GVJVLR8J,Blox fruit,open,93658,49,7500
#228C8QU,BNO1997,inviteOnly,6342,2,800
#R0JPL92R,Boarding House,open,43448,13,0
#9PLQ98PJ,Bomber HK,open,96484,50,5000
#GY2RL2G0,BrimstoneCare,inviteOnly,7236,3,0
#RUU9P089,bruh,open,10771,3,5000
#YPJRQVQ0,Captain-England,open,95415,50,5000
#QUCYY8R9,casual,open,81368,48,1000
#Q89289CV,ccchwc,inviteOnly,90851,43,8000
#G02URJQY,ccp and sl到此,inviteOnly,95781,48,9000
#G9VJRUC0,Channel C,inviteOnly,10863,5,3000
#Q8JVR8GG,CHB,open,87025,49,6000
#RQCUGLP9,Cheeseburgers,inviteOnly,30003,10,0
#8JQC9L,CITY UniteD,open,96311,50,4000
#9Y2JUR,CJs,open,98323,50,7500
#P28LUV8J,Clan #P28LUV8J,open,96616,50,6000
#Q2CY2URJ,Clan #Q2CY2URJ,open,95285,50,6000
#QURR9QCU,Clan #QURR9QCU,open,88151,49,5000
#Y02VGYPY,Clan #Y02VGYPY,open,98649,50,7500
#2JJ9JCU2,Clash it EASY,inviteOnly,99544,49,10000
#88P88J2,Clash on HK,open,96967,50,5500
#29Y8G0J2,CLP,open,96177,50,7000
#GYRPGV00,ConfuciusGoblin,inviteOnly,16528,4,0
#GQR029GC,CONSTANTINE2025,open,61311,33,0
#QVQUGGRL,Constipated Rat,inviteOnly,16960,7,0
#20VRVJC8,CR Fans HK,open,95744,50,5500
#GYPQ80QJ,cratus pdf,open,17711,5,1000
#2L99R9C0,Crazy HK,open,98971,50,7500
#CYJ2L,Crusade,open,88737,50,1600
#PY9PR822,CR小隊,inviteOnly,98926,50,8000
#LL8Y9UP0,CR特工小隊,open,99568,50,10000
#Q8P2P80V,CR特種小隊,open,98930,50,9500
#P8C2YU88,CR王者之劍,open,95909,50,4600
#LYCQRJU0,CR精英小隊,open,99278,49,10000
#Q88GLC22,css feminists,inviteOnly,93111,42,8000
#920VP28,D7 689 again :D,open,99020,48,10000
#V0QGJU,D7689軍圑 @ 香港 HK,open,96377,50,7000
#QLPPJL,D7雷聆狗,open,97639,50,6000
#GY898C0G,daabinlo,inviteOnly,4079,2,0
#LUR80,Dairy Farm,open,96104,50,4000
#28JPP2QY,Dead II,open,99271,50,10000
#R09R2L8G,Death Killer,open,91515,48,8000
#82UPVQGG,DeathWestern777,open,98311,50,7000
#Y9CYVJ,Defenders,open,95459,40,8000
#R0VQ2V90,Dh,open,22074,8,0
#RG8LCQYR,Dih Lords,open,81731,50,3000
#2V28Y9L,DnA,open,97201,45,9000
#2JGL0QQG,DnA legend,open,96952,47,7000
#CJ0220Q,DnA Saint,open,98734,50,7500
#GUG8JPVJ,E for Elite,inviteOnly,63669,22,0
#R22UYG0Q,el clan se clon,open,10447,4,1300
#G89G0VJ8,EMPIRE BYZANTIN,inviteOnly,18492,4,0
#2002CPGR,ERJ~hk 香港人既部落,open,95479,50,3300
#20JGPQ2C,ERO,open,94242,48,7000
#QL80VV2L,everyone power,inviteOnly,20507,6,1000
#8CQ2UC0L,Excuse 咪,open,95040,50,5000
#GLLGU2QV,Eye of Kimani,inviteOnly,2601,2,0
#8290VR28,F.X.x.K,open,95627,50,3000
#R2RC8GPC,fairwood寶龍路軍團,inviteOnly,16422,8,0
#2LRYJ20L,Fantasy奇幻團,open,95356,50,5000
#QQUJUY9U,Fart Clan!,open,94490,47,8000
#GRJGPPVQ,Fat B & Good B,open,96390,50,6000
#J099CPQP,FES,open,26032,6,6000
#PY9VLV8U,FFP大聯盟（總部）,open,98205,50,7000
#82U8QQVJ,FightingShadow,open,99483,50,9000
#CCYJU,FiJoYcE FoRcEs,open,98969,50,7000
#RJRCL0Y9,Football family,inviteOnly,38091,11,0
#YG099JU9,FreedomHk,open,99594,50,7500
#2YL2QQC2,funny 團,open,98494,50,7000
#Y2QVJJ,Gigalo 男公關,inviteOnly,90921,46,0
#9CJRURR,gojohotola,inviteOnly,9456,3,1400
#9CQ88G,Golden Brosis,open,97222,50,6500
#GRGPQVV2,Gordan,open,97110,50,10000
#QPPG20P,Happy fanmily,inviteOnly,91535,48,1000
#8LGLYQLG,Harmony land,open,96240,50,5000
#8RCCG2,hea is must,inviteOnly,98437,48,6500
#PPU0RV9R,Hea is Must 2,open,97539,50,6500
#G8VPP022,hecker,open,63710,26,2000
#GU8VCQYL,heheheha,open,22920,5,3000
#2JUVU2R9,hi all the,inviteOnly,82900,39,0
#2GQVV28,HK,inviteOnly,99743,50,9000
#8U0C2J,HK,open,99441,50,9000
#CV09CQJ,hk,open,98196,50,5000
#9JRRG8YR,HK 02,open,99631,50,10000
#2UGYYGC,HK about to **,open,97097,50,5000
#8GVP29QP,HK Avengers,open,94923,50,4600
#9QVUJ0J,HK Avengers 復仇者,open,97043,50,3000
#QCVPPVQJ,HK Best,inviteOnly,99669,50,9000
#RGRCLPV8,HK clash,open,93575,48,7500
#8899GY98,HK couples,inviteOnly,62241,16,4000
#GCYCRLYL,HK cr,open,100000,50,10000
#8RCPVJ,HK CR!,open,95226,50,5000
#2JP99LV0,HK DarkKnights,open,97173,50,5000
#Y8PV0RG,HK DnA,open,98858,50,8500
#98RPUQ00,HK Dominate,open,99893,50,10000
#9RRVQ9,Hk fighters,open,97774,50,8000
#L92GG2GJ,HK forever,open,94674,50,9000
#8LGJGU,HK Friend,open,95225,50,4000
#92GUYC9,HK Game House ⛄,open,97226,48,6500
#80RCLR,HK Golden,open,99343,50,8500
#9UP228R,hk group 1,open,97776,50,6500
#YUJGR,HK Hea,closed,98247,50,5000
#20C8Y090,HK Kabe,open,99919,50,9000
#G9PGV9V0,HK KING,open,70583,41,2000
#VRCU9Q9,Hk man,open,97333,50,6000
#LQ0L02PJ,HK Neutrino,open,83881,50,1600
#2JC9JRR,HK NIGHT CLUB,open,98682,50,5000
#LCJ8LP,HK PLAYERS,open,96320,50,5300
#P2QU2QP,HK power,open,99222,49,10000
#C0CC0V,HK Seven 香港 7,open,99525,49,10000
#QRG9002U,HK Style,inviteOnly,97220,45,9000
#GRJRLR,HK SURE WIN,open,98915,49,6000
#LVJYPLYL,HK warriors,open,98791,50,7000
#QCPQ0LLJ,HK ZERO,open,98069,49,8500
#QJUL0C,HK ZuriCh,open,95593,50,5000
#QPPVCYGG,HK 皇室Hea玩部落,open,98449,50,8000
#9J09RYJ8,HK 皇家特工,open,99989,50,10000
#PCCQU,HK-DIU,open,99675,50,8500
#80YY0UY,HK-DRUNK,open,96869,50,4000
#8LYJG28G,HK-Per9fect!,open,97532,50,9500
#99R89QR,HK-天下太平,open,98696,48,9000
#LLY9RG,HK.United,open,97333,47,8000
#P00L9UQP,HK2G,open,97373,50,8000
#L0Q8JC8J,HK852小隊,open,99700,50,6500
#9PU99C,hk888,open,93669,50,0
#PVLYU9G0,HK888,open,91112,50,1000
#9Q9QCCG9,HK@KY,inviteOnly,99091,48,10000
#PRCYLUQP,HK@KY 2,inviteOnly,98662,47,10000
#822JY20G,HK_AEFAE,open,97964,50,7000
#2PYPJJ90,HKCR圍威喂,open,98192,50,2300
#2899JV,hker,open,98954,49,10000
#22LRVYQP,HKer,open,94506,47,3000
#QCUQCC8,HKFamily#分團,open,93359,50,1300
#202PRLRQ,HKG 進擊的膠手,open,99413,50,8000
#90YJ2UCP,HKG!快樂coc,open,97150,50,5000
#890VP,HKG-Hong Kong,inviteOnly,90701,50,0
#GYPPC9J,HKG拜神不如拜仁,open,95211,50,6500
#20CQYL0,HKG青山醫院院友,open,98821,50,7000
#P0889R89,HKLND,open,91072,50,2600
#R0VJL2JP,HKMU,open,22135,8,0
#YUP2Y0RJ,HKpokemonreborn,open,98346,50,7500
#PL02J0Q2,HK互助委員會,open,97292,50,5000
#QV0YRYVQ,HK人,open,96458,50,7500
#QCGUUYC,HK同盟,open,93982,50,3600
#YGR00YL,HK晴空團,open,98239,50,3600
#LGUQQV8J,HK永恆胜利2,open,99808,50,10000
#P90U8C,Hk玩能源,inviteOnly,98441,47,10000
#V9922JL,HK瘋,open,99344,50,8000
#2092JUJV,HK皇室部落,inviteOnly,94170,40,6000
#2Y9JV8Y,HK維記,open,94466,50,3000
#28PV2LQ9,HK香港靚仔村,open,97761,50,7000
#GPCRVYU0,HLC THE BOYS,inviteOnly,22248,5,0
#GGCYY9Y8,HLClan,inviteOnly,55860,22,10000
#QUPR2CQV,hog bait,inviteOnly,69780,20,0
#R8CR0LQC,HOG RIDERS,open,11918,6,0
#G9JUJGRG,hog riders uwu,open,14328,4,10000
#82GQC0J9,hONG KONg,open,99259,50,8000
#2JCL2,HONG KONG,inviteOnly,97756,50,8000
#GLUGYR8U,Hong Kong,open,96328,50,8000
#VGU0RY,HONG KONG,open,96245,50,6000
#9UUQUY,Hong Kong,open,95999,50,2600
#9QPQ29R,hong kong,open,94883,50,0
