tag,name,type,clanScore,members,requiredTrophies
#Y88CC9LR,!#Hidden Side,open,95279,50,6500
#YQ29P9V9,"""$ündörgő gőte",open,98938,50,8500
#8U2QJPGG,# 4/A. #,open,85167,50,5000
#80GLR0YL,# HUNGARY #,open,94284,50,6000
#G2G20QLJ,#Amagyarclan,open,99994,50,10000
#8RUVJVR0,#ClashHUN,open,97233,50,8000
#G9QCC0UL,#csakaP,open,89466,50,5000
#QGV0GPQQ,#csakén,open,92985,50,7000
#8JC9GLRQ,#feláldozhatók,open,95676,45,8500
#8UQRUJ8U,#gamerek,closed,17645,7,0
#VQCRL0J,#HUN,open,98923,49,9000
#8RCCR8J0,#HUN#,open,99677,50,9500
#8QCGJLGJ,#Hungarian team,inviteOnly,99836,50,9000
#2G2V8YVG,#HungarianBlood,open,94188,50,5500
#YJC82UQL,#Hungary,open,99964,50,10000
#88Y9PP2V,#Hungary,open,97606,49,8000
#8VC9GJCV,#Hungary,open,97160,50,7000
#YQQL20U9,#HUNorWW#,open,93547,50,7000
#2GJP9YRG,#legendások,open,97783,50,7500
#L8CRUY0L,#MAGYAR hatalom,open,88858,49,6000
#9LCJYYGU,#magyarok,inviteOnly,100000,50,10000
#99RVU2UU,#magyarok,open,98804,50,8000
#Y08PCGJ2,#Magyarok,open,92751,50,7000
#8VLJPYPP,#MAGYAROK,open,91168,50,5000
#L280QY9Q,#magyarok#,open,91205,46,7000
#Y8UVRJCR,#TheForceGaming,open,99575,50,8500
#9RL0900V,#VADÁSZKÉPZŐ,open,94771,50,6000
#GLGLRCL9,$ton£rs,open,95462,49,8000
#GUP08P2U,& cicus,inviteOnly,2195,2,300
#LCJV9ULP,(:),open,88388,49,7000
#2VLGU8U,-Ak26-,inviteOnly,99963,50,10000
#LYY2JG0Y,-BILIBULA-,open,97777,48,8000
#QGVPVRUQ,-Sigma Males-,open,99607,50,10000
#QUQJQLL0,-Új magyarok-,open,95260,50,6000
#G0LVJJ82,1.9 stricihinto,open,16005,6,0
#GPJQVQ9Y,1/13 kiralyai,inviteOnly,51024,17,3600
#LQ8R9UUV,100 gecs,open,98252,48,9000
#GG0PGLRR,100% magyar,open,87234,49,5000
#2PYJV0,100HoldasPagony,open,98188,50,7500
#GG8QYJUC,109 Körlet,open,97148,50,5000
#RLQVVUVP,10e,inviteOnly,45859,12,0
#GUV2JGQ8,11.BBarbie,open,87502,49,4000
#RLP8RV8V,11C pollackvegy,open,29204,12,0
#RQL8PPCC,12.Century (1),open,50159,19,0
#G2R99ULJ,12b,inviteOnly,46631,17,0
#G2R2J890,13.Ker,open,87262,49,5500
#RRCQU8P0,1v1,open,10475,3,5000
#RLLJPRJ0,1v1 house,open,97884,50,9000
#22CCYGU,2016 Magyar Had,open,93641,50,5000
#LRCRCCLY,2021bfk,inviteOnly,75222,27,3000
#GGY9ULLC,203,open,90545,50,6500
#G20RP0LR,20d,inviteOnly,57705,19,0
#RQ8GGQJU,2D BanBan Clan,inviteOnly,23909,9,300
#YV2JLYU8,3 lábuák,open,92113,50,5500
#GVUY8UGR,3 lábúak,open,98447,49,10000
#LY0PV8VU,3500egypacsi,open,90232,48,8000
#2PQGVL0G,371Linie(HUN),open,85546,50,0
#QJLP9PQL,4 Here,open,90094,48,7000
#QUYU8299,407-es,inviteOnly,42900,16,0
#GY9JVP8V,413,open,13263,4,300
#QURJV9QC,4K kollégium,open,92139,46,7000
#QY22PYU9,4th Reich,open,13328,4,0
#GCRQ0V80,5. szint,inviteOnly,44241,11,0
#CLP2CUL,50 arrows,inviteOnly,98263,50,7000
#9GUPJC9Y,50 hadvezér/hun,open,92442,49,4600
#LQGRPCQ8,50 Headed Goats,open,96866,49,8000
#8L0RGVYQ,50 hUn betyár,inviteOnly,99855,50,9500
#G9JVJC2L,6 Familia,inviteOnly,14396,9,1000
#GLVLCJPQ,6.A kalasz suli,inviteOnly,10524,7,0
#GU8YLUJ8,6.b,open,17132,9,3000
#9YCVY9Q,6/a 12341234,inviteOnly,10460,4,0
#RRV9P29U,67,open,26813,9,0
#R0UPRUP2,67hun,open,76548,37,1000
#QL0CV2YY,69 69 78,open,83794,50,4000
#QJL9GQGR,69viragmilan,open,89976,49,8500
#J0JUL2C2,7.e zsidok,closed,45151,19,0
#Q8RQLQ2J,7/2 kettérak,open,92487,49,7000
#G2PJVYGP,7300,open,32432,12,1600
#QY9QL9UC,8 ker,open,97167,49,8000
#QV9CRVU9,8. Kerulet,inviteOnly,55711,26,0
#QQ2LYV0J,8.A Majmok,open,96461,46,9000
#GY8URUU2,8.e,inviteOnly,12038,6,0
#G0CG0JPG,88NHH4ever,inviteOnly,32880,7,0
#GYQ2JGL9,9.A Legjobbak,inviteOnly,33236,15,1000
#LPRV0YR9,9.AJTP,inviteOnly,48843,19,0
#GCP99808,9.B LKG,open,53977,22,4000
#QPG22QLG,9.B SZLG,open,92093,50,7000
#GU8GYLUQ,9.cigá,inviteOnly,48487,15,0
#G8JP2CLU,9.d CLAN,open,33608,17,0
#QC8LLGYL,9.H,open,94627,43,9000
#Q880UUR8,9.NY,open,87974,47,8000
#QGYGPL9L,9500,open,96507,47,7500
#GQLRQUL8,9c VPG,inviteOnly,42311,12,0
#GVYURRQL,9Hr,inviteOnly,33671,12,1300
#GRPUG9JV,9kny,inviteOnly,56783,23,0
#LPRPRYUP,:O,open,89848,50,5000
#9QY2GUR0,<SPARTAN-HUN>,open,85635,50,3300
#2YURP8G,[HUN] SMOKERS,open,93108,45,5000
#R80Y9J0Q,A Budai Elit,open,11096,4,1000
#L88Q282C,A béke szigete,open,96104,48,9000
#9LQVJ8GU,A csúcs,open,90832,35,8500
#G9V990C8,A fiuk,inviteOnly,41829,18,0
#8VLYLQCG,A GALAXIS ŐRZŐI,open,99648,50,9000
#2YGRU2GR,A Hungari.,open,99283,50,9000
#8208UP8Q,A hunok klánja,inviteOnly,93946,49,7000
#G98CP020,A hunok klánja,open,92546,50,3000
#GPQR29LQ,a kifli serege,open,9210,9,0
#LCPLGGU9,A Királyság,open,97966,50,8500
#RJ8GLC9C,A Kocsma Hősei,open,88031,50,6000
#Q809URLQ,A kurva anyád,open,99261,50,10000
#2UUCYUV2,A két ördög,open,93779,50,5000
#8QLQRYGY,A legkirályabak,open,99364,48,10000
#LLQ0G9L0,A legények,open,50814,22,4000
#GPU9RUVU,A magyar club,open,91225,38,9500
#G80VLYC0,A Magyar Goblin,open,72498,44,5000
#YL9QR0J0,A Magyar Noobok,open,92030,50,6500
#GLRRJCRG,A magyar pince,open,2406,1,4600
#8U02YU9L,A MAGYAR SEREG,open,95008,50,6000
#YUY0VQR2,A magyarok,open,98819,48,10000
#QG829RV0,A menő 8 oszt,inviteOnly,44232,17,0
#J0V90UG0,A Rend,open,1885,2,0
#CLJ00RV,A világok urai,open,87012,50,1600
#R9Q888VQ,A.A.A.,open,99491,49,9500
#8P2JCUGP,AAA Jegessmaci,open,99430,50,9500
#GC9RGRJ0,Aabsulute HUN,open,78139,50,6000
