tag,name,type,clanScore,members,requiredTrophies
#PQPRCRQJ,!!.M•J•K• ARMY',open,97446,50,7000
#28PUU00,""" DUNIA LAIN """,open,98987,48,10000
#GYY99080,""" TIM """,open,80597,50,5000
#9YQ8V20L,"""(MODAL NEKAD)""",open,99683,50,9000
#YC0GJCVJ,"""ACTIVE""",open,92772,47,7000
#PU29PU2Y,"""FLAFVADHOR""",open,66697,26,3000
#208VGRLJ,"""INDO CLANS""",open,97433,43,9500
#8YYQCGL,"""Indo Raya""",open,96459,50,6000
#9YVYLVYQ,"""KENDARI KEREN""",open,60095,15,9000
#9J92Q0L8,"""MASTER CLAN""",open,99812,50,8500
#QJVPR00U,"""persaudaraan3""",open,98960,50,8500
#QQLJQCGQ,"""PETAPA GOA""",open,88417,50,5500
#9LQ9GJYQ,"""SOLID TEAM""",open,98217,50,7500
#8CQ2QU20,"""Super"" clan",open,99963,50,10000
#RQRQGLY9,"""TOP WAR BATLE""",open,88682,50,5000
#QPVGCCLG,"""WAR KING STAR""",open,84732,50,5000
#U2PVGC2,#INDO NUSANTARA,open,96020,50,7500
#LGR2YYUG,#pukulcina,open,95669,50,7000
#9VYQPGJY,#SQUADGAMING,inviteOnly,14146,6,0
#GYQYPUY2,$Indo_zye$,open,3125,5,0
#GYY992YR,( ‘ 3 ‘ ),closed,6090,2,1000
#YY29Y9GL,* VINO FAMILY *,open,99268,50,8000
#9RGYQ8RU,*Game_Over*,open,89936,49,4600
#8JLVQ0RY,*KINGS ALTRAX*,open,96147,48,7000
#L2LPCYV2,*republikgamer*,open,96175,42,9000
#L2PPQG0L,+62 Good People,open,99036,50,10000
#PUY29990,+MoonLight+,open,98240,50,8000
#2LY9JQG,"-""A-C-E""-",open,92748,50,4600
#QQG8VVQU,-2 INDONESIA,open,97712,50,7000
#22QJLPPJ,-AFTERLINE-,open,89168,50,3000
#LYVL9QCJ,-AG£NT BABI-,open,97104,50,8000
#LY9988,-GARUDA-,open,98513,50,8500
#8GRUCPQG,-Indonesia-,open,99409,50,10000
#2QPJG90,-INDONESIA-,open,99355,50,10000
#R028GUUJ,-JMK-,open,3360,2,1000
#QGJQGL0G,-Strong Indo,open,94523,50,6500
#Y0PLQPJL,-Unity-,closed,29479,10,8000
#Q0RVLRUY,.... io,open,91510,50,6500
#RRULU9CP,.....,inviteOnly,7702,2,0
#RQ0Y9YCQ,00975,closed,2508,2,0
#GPJ8PVQP,1 MEI 2025,open,97760,48,8000
#GGRYR8L,100% Indonesia,open,95898,50,6500
#PJYCJP9Q,100DEGREES,open,95685,50,6000
#RURY0UYL,16787,open,409,1,300
#PRGPVPY9,17 agustus 1945,open,73723,20,10000
#G0P8U289,19+,open,99176,50,8000
#GU0QRJJ0,1NCREDIBLE,open,9421,5,1600
#Q828CRY8,1NDONES1A,open,98663,50,8000
#GCV8GR9V,2 nation x cr,open,13303,14,0
#GJLURRPL,2 VS 2,closed,12240,4,0
#R8GYVGLG,2 VS 2,inviteOnly,6294,3,0
#R2Q0JP0Q,25Amba,open,13436,8,0
#LYPQ2LRY,26.04.2021,open,8137,4,300
#G90GP00C,2Bug,open,82673,50,1000
#JLLR0R2,3 crowns wins,open,98312,50,9000
#P9JCLQY,34 to the end,open,20919,7,1600
#LU0VPGYC,3_ANGKA_6,open,96765,50,7500
#R9URR0QR,4.2o,open,76867,50,1000
#L2UYGVQP,49 Warriors,open,97439,50,8500
#GYP02RU8,4Blood Fire,open,13714,4,2000
#8YQPL0PY,4Play Indo 2,open,96412,50,6000
#QR02UC9U,50 Indo Knight,open,85570,31,8000
#GPV0YV2V,7-2 da goat,inviteOnly,8521,5,0
#G8ULYYYC,77Boys,inviteOnly,7318,4,1000
#GJCRPQ9G,7seas,open,82085,50,3000
#8L8QVPC,8 mata dewa,open,30000,6,5000
#GV98V8C,9 dewa,open,93861,50,4600
#G29L2QUC,9/11 PILOTS,open,93637,48,9000
#29Y0JP0,9dragon,open,96005,50,5500
#QLU99G20,:),inviteOnly,26804,7,0
#GYCGPCQY,:),inviteOnly,3304,2,0
#Y2G889QU,< INDO XXV| >,open,97623,47,9000
#2U20U80,<[ INDONESIA ]>,open,99904,50,9500
#VQGP2RU,[Garuda] Legacy,open,97277,50,7500
#VPRLGQ0,[Saint Heaven],open,4219,2,0
#2Y9CPRYQ,^master garuda^,open,70257,50,3000
#GUL09CL9,_Ber217aN_,open,93424,49,9000
#YGC0JPU8,A C K E R M A N,open,99883,50,10000
#GQGQVYVP,a.b.c.d str,inviteOnly,1517,3,300
#GYC9QY8P,A1.4 PRIDE,inviteOnly,12175,8,300
#8RUQ9UQ,a7x ciamis,inviteOnly,7413,2,1000
#R2R0LRLP,AAL PRIDE,open,98985,50,9000
#Q2LYL2UR,abal abal,open,78851,50,4300
#GYQ9V2LQ,ABBS Jaya,inviteOnly,12985,7,0
#GL2LUQLL,abi abi,open,13469,6,0
#R2LLGY9P,ABOT,inviteOnly,4873,5,0
#LP9202JQ,Abu Belva,inviteOnly,80985,32,5000
#GLRR8J0C,AccountingPrime,inviteOnly,2371,2,0
#QJQR9JR9,Ace Anthem 69,open,96836,50,9000
#QYGL98Y0,ACE EMPIRE,inviteOnly,12507,6,1600
#R22PJLG,Aceh,open,97699,49,8000
#RV98C8P9,Act-Royale,open,33490,13,0
#P8L80JL,ADNANIAN,closed,20954,6,7500
#G2V98LYG,Adoh,open,99083,48,10000
#P8R9JU29,ADVENTURE INDO,open,85039,30,9000
#R0JLP0CL,afeaan,inviteOnly,3570,2,600
#GPQ2Y0LQ,AgidKun,open,82453,50,5500
#GGR89UVV,AgitGayaBebas,inviteOnly,26784,12,0
#QGQQL88Q,AGOENGG,inviteOnly,93433,45,5000
#GYYPGVJ0,AH,inviteOnly,3290,2,0
#GUV988J,Ahok Team,open,94770,50,5000
#GLPR9JCQ,AIKAWA_SENJU,open,8251,4,600
#Q9V2VYPY,AJG,open,98242,50,8500
#G8LR9QY8,Akatsuki,open,93907,47,7000
#GJJVQ9VL,Akatsuki,inviteOnly,60639,36,1600
#G2LP88QV,AL MUHAJIRIN,open,97542,49,10000
#QCLJP8RR,Alaska,open,20195,9,1000
#QQRGL02C,ALBINOINDO,open,97048,50,8000
#222VP89Q,ALEF,open,91522,50,6000
#GPLPCPJR,ALEK JAYA IF,inviteOnly,25238,10,0
#G0UQ9JQ8,Alex Pandi,inviteOnly,92995,49,5000
#LUGRJPPQ,ALFA ROYALE,open,92762,50,6000
#PRLC892J,Alfa Squad,open,93157,50,6000
#PQYUL299,ALFABET,open,99007,50,8500
#Q2CVUYLG,ALFATIH,open,96376,42,9500
#GYU2C90C,ALI JAWA,closed,23227,8,0
#GQJ0UV88,ALK,inviteOnly,89541,44,8000
#28JVQV2,All Gamers,open,98841,50,9000
#80GV8Y0L,All Gamers 6,open,92090,50,7000
#P0GJ8U,All You Can Eat,open,93840,50,5000
#988VL2GU,Alpha stars,open,98476,47,8500
#PC9P0GLR,AL•SQUAD,open,89125,50,5500
#Q80CG9LL,Amadiketu,open,98470,50,8000
#G8PVQLUY,ambakukoh,inviteOnly,4747,3,0
