tag,name,type,clanScore,members,requiredTrophies
#LRVGRRJU,"""daRK Clan""",open,99023,50,10000
#PGQ929V2,# ابطال العراق#,open,95122,50,6000
#QUYCYY0Q,#smallbianchi,open,51853,17,0
#UG2R2UU,#تعبانين,open,96208,50,9000
#P808VRL9,#عراقين _للابد,inviteOnly,95378,43,3000
#YUL2C98J,#كلنا_العراق,open,98784,50,8000
#QPRV9J,$ IRaQ $,open,98461,50,0
#YV20JLV8,( مخابيل),open,74365,26,6500
#Y982UGQ0,(IRAQ_MAX),open,99327,48,10000
#QGJ8CLL0,-( PAPLO )-,inviteOnly,99700,49,10000
#RJVRCRG0,...,open,28949,20,0
#82QQCYRR,.ابطال العراق.,open,99916,50,10000
#LVG02P28,1 V 1,open,95677,50,7500
#J0GL2LGV,1basra,open,55521,21,8000
#GJR9CPJC,1K,inviteOnly,35176,11,0
#QUCCC2RV,1st KURD,open,98822,50,9500
#GYYR0LPL,1بصرة,open,15818,6,0
#QU8YUR08,2002,open,96254,50,6000
#QQV0RY8P,21 club,open,94819,50,8000
#QJGUQJUJ,25-10-2022,closed,93880,39,8000
#QR9RPJRC,313,open,99836,50,9000
#QP2R0JGL,313,open,96092,50,7000
#RYYLJYUY,313,open,90123,50,3000
#RPJ8CUUR,313,open,87260,40,3000
#QYVV8VV2,313ديـوانيـه,open,94769,50,5000
#R8VUV89Y,33mlrdyrodov,open,45814,18,3000
#RJPPCVJU,38 .,closed,6144,2,10000
#QVRYCG0C,3ahat,open,88254,50,6000
#2JUJP,3raqi Ana,open,95859,50,6000
#GYRY9C0G,3ula clan,open,19310,5,6000
#QPL9C8UY,4.2,inviteOnly,3751,2,0
#GV2GJJV8,400,open,99034,49,9500
#G2U08JYR,4Legends,open,99353,50,8500
#R8QUJLRY,5 hasarok,open,77173,50,0
#YC280202,50 iraqi kings,open,97416,48,8000
#8R2CYGC2,50 Kings,open,98680,48,9000
#GLJ9RJJR,55,open,98831,50,7000
#L9Q9C08C,69’s clan,open,86753,43,5500
#R2LQGUVJ,809m,open,9369,5,1000
#G99V2JR9,964,open,91285,50,6000
#G9PGPQ89,9D,open,99144,50,8000
#LJGQVCLU,:v xd,open,93720,46,5000
#LJQCPJY8,:العمالقه:,open,94793,50,7000
#RQYVUJGJ,:قمت الاصاطير:,open,77678,50,0
