tag,name,type,clanScore,members,requiredTrophies
#2PL8Q8U8,!!!!הקילרים!!!!,open,96908,50,7500
#LCV9G8JG,!Союз Еврейцев!,open,98469,50,8500
#RG0LL0C,"""<<Civil War>>""",open,97423,50,7000
#GPR02GYY,#IndonesiaGelap,open,9300,6,0
#VL0QULJ,#TheBestNoobs$3,open,99828,50,9500
#PPC8PVJ8,#theoldnoobs,inviteOnly,99708,50,10000
#YVJ8RLLU,#בהמות הירקון#,open,97845,50,9000
#P9Y08GRY,$ugar-Lov€rs,open,96307,50,7500
#2CVG8Q9J,-STRONG-,open,99868,50,10000
#RJ2UQVJ9,04,inviteOnly,19646,6,2000
#GP0LCURJ,12345678910,inviteOnly,11419,3,10000
#PUJ2LC0,157 squadron,open,98007,50,6000
#8Q2YL22V,17:40,open,99879,50,10000
#RQLYPYUQ,19cm,inviteOnly,32473,10,0
#QL0CG9Y2,1v1,inviteOnly,62557,24,1000
#RCV2RV22,2 and 1/2 men,inviteOnly,54519,14,0
#GR0YC88L,2 על 2,inviteOnly,44067,12,1000
#GGP22UCU,2.0,open,99406,50,9000
#QVRLVUGC,210,open,92796,50,0
#22QGQQV,2ch.mobi,open,99543,50,9000
#PUQVC0P9,2Cool4School,open,99115,50,9000
#88JG0RG,3 כתרים,open,98840,50,7500
#QRQ0JLU,300 спартанцев,open,94195,41,9000
#RJ8ULUQ,300israel,open,99942,50,10000
#GRQ2JUYV,311,open,99792,50,9500
#GCG8902U,379,open,73709,21,10000
#RQRJUUC8,3day,inviteOnly,43664,11,3000
#GYC2RQPJ,4 avenue JNR,open,19336,5,0
#G2RVUYVJ,4 gang,open,99688,49,10000
#RCQRLQJY,4-636,inviteOnly,19483,5,0
#2RCRPVQL,4.2.0 Juniors,open,99143,50,9000
#GU0YUV9V,41 cheese cubes,open,9138,2,5000
#Q0GPRCQ2,5 little monkey,open,98417,50,3000
#R09Q29JL,5 או באן הפסגה,open,52525,15,0
#G2GPU29Q,50 beasts,open,99920,50,10000
#2JLP8LGR,50 Champions,open,99952,50,10000
#L8QVCL8R,50 Ruthless ppl,open,99181,49,9000
#QJCVPQL9,50 ישראלים,open,99801,50,10000
#GY8QVVYU,5C,closed,19681,5,5000
#GVQGJCCC,67,open,82563,50,4600
#G9JJU0L8,67 labubice,open,48198,16,3000
#G9UVJGUY,67 ישראל,open,11264,4,3000
#G9PQ2PRJ,676767676767676,open,31384,11,0
#RJY0UG0R,67Jews,inviteOnly,20800,6,3300
#GCYL2UV8,67mason,inviteOnly,25466,9,2000
#G8V29R2J,696969,open,34897,12,0
#QPLCGJLG,7 lo dzikas,open,93658,41,9500
#RJ0VGQYP,8200dolphins,inviteOnly,7051,2,3300
#2CVUQJ2Q,888Royal,open,96773,50,7000
#2U2G9JRG,90'S LEGENDS,open,97402,50,7500
#R0CVPJUP,911 survivors,open,27775,8,1000
#2J08QV0Y,aba pagum 2,open,97624,50,4000
#LJ0CY0LQ,Ac3ndZ clan:),open,99988,50,10000
#G9R8J028,AD.Sidelândia,inviteOnly,31909,10,0
