tag,name,type,clanScore,members,requiredTrophies
#G2GPJ0LU,!?HUH?!,inviteOnly,17762,4,0
#GY8VVQC9,!PiediRozzi ᵔᴗᵔ,inviteOnly,72827,21,1000
#GP2LG8RY,#COMPATRIOTI,open,2570,2,0
#G9Y00LYC,#MILOISONFIRE,open,8489,4,0
#RQURJ9Q2,#mini P.E.K.K.A,inviteOnly,978,2,0
#GYQP90PV,#PLD,open,27678,7,7000
#GVLCPCUQ,$AUTOSALONE$,inviteOnly,17912,4,0
#GPQLVP2J,-Đ-,open,3425,2,0
#G9ULLR9P,..,open,11380,8,300
#GJ0C2VYP,...,closed,15255,6,7000
#G998220Y,.......,inviteOnly,9032,3,0
#GP09VQ8G,02043,open,6150,2,4000
#GCGV0VJC,1 °A LSS,inviteOnly,31226,11,1600
#GPCQYGY0,1*A,inviteOnly,5474,3,2000
#RQVL0YLJ,1.B,inviteOnly,17265,6,300
#QYJCLC2R,10042 capitale,inviteOnly,7243,2,0
#G0VV09JC,104 alba,inviteOnly,27261,7,0
#GG2CPPC2,104inside,inviteOnly,6435,2,0
#RG222YP2,12345,inviteOnly,7913,2,2300
#RG2QYUC2,1A,closed,1576,2,300
#GC2QJUU2,1A MARCHE,open,3902,7,0
#GCRQG900,1c,inviteOnly,20242,11,1000
#G9QLG00Y,1c castelvetro,inviteOnly,6533,3,2000
#J0J8YURG,1e sacchetto,open,5227,5,0
#GU9CGR8J,1F Ite,inviteOnly,31911,11,0
#GPV0RRYY,1gi,open,2420,1,4000
#GU0CJU20,1IA,inviteOnly,33728,13,300
#RJ92RQUJ,1L scuod,inviteOnly,13758,5,2300
#R2L0QCUY,1n,inviteOnly,3858,3,0
#QLU2Y9CJ,1Q la mejo,open,25631,8,0
#RVG8Q0Y9,1s i migliori,inviteOnly,12859,8,0
#GPYPLV9J,2013 GOD <3,inviteOnly,21623,11,0
#GPC092GG,20826,open,4224,3,0
#G8LG2JG0,21ncr0 sb0rr4t3,inviteOnly,29657,9,300
#GJLYYC0R,22,closed,1603,2,0
#GJC82P2Q,236451,closed,7378,2,3000
#LGLCVUJ9,24,inviteOnly,20340,5,0
#GCJQ99V9,2^A,inviteOnly,28505,10,0
#QCP0GYVR,2^E ZAVADA FIGO,open,99214,50,10000
#QLUYPGYP,2B ITT,inviteOnly,51038,14,10000
#RJQGGGUJ,2D ITT,inviteOnly,26928,8,300
#GPVPLCCV,2DI,inviteOnly,14102,4,1000
#R02882QJ,2Mediaofthebest,open,11002,6,2000
#GVYYC2RP,2vs2,closed,12790,4,0
#R29LG9L0,2vs2,inviteOnly,9595,4,0
#RV8UPV2J,2’F MARCONI,open,23790,6,7500
#RJPRQCUQ,2⁰ media,inviteOnly,5153,3,0
#QV0VP88C,3 E,inviteOnly,45624,13,300
#GL92CY2Q,30,inviteOnly,752,2,0
#99QRCQY,300 SPARTANI,open,99641,50,10000
#GQLJV8JC,33cl ichnusa nf,inviteOnly,8825,2,0
#GY8LQ9YL,3891181,inviteOnly,817,2,0
#GCJCVC8J,3AGR,inviteOnly,9063,3,0
#GLYUQGYG,3AL,open,16254,4,7000
#GRCCVYLV,3B MAT,inviteOnly,24659,8,0
#GQ0G22LY,3CMec,open,19476,7,2000
#R2RY2UYL,3D,closed,5082,3,0
#QPJUCYYU,3D-isabili,inviteOnly,21458,6,5000
#GRUJ28GC,3E,closed,14929,4,1000
#GPUU0J9P,3ª CAT,open,27004,7,7000
