tag,name,type,clanScore,members,requiredTrophies
#GP8RQGUV,African jews,open,97518,50,9000
#GYRV22U8,Boo,open,14862,5,0
#GYVGQR0Q,Bun,open,37169,11,10000
#G20UUVGC,Clan #G20UUVGC,closed,62041,19,7000
#LJRCYV,Elite Dragons,open,92841,45,8000
#RU9GCRVJ,For the pood,open,42221,13,0
#Q8LPVU92,Fr Nut,inviteOnly,32372,10,0
#QVCGY800,Gay Goblins,inviteOnly,38755,11,1600
#RY0CJQ9V,hog meat,open,65281,30,1000
#RQY29929,Jersey_Beans,open,15493,6,4000
#28VPGP8,jsybeans,open,96195,50,5000
#GRQGC2JV,marlu,inviteOnly,7108,2,2600
#RLP8Q0RL,Stang Gang,open,49304,16,0
#RRJVL9PQ,the nut cracker,open,1294,2,0
#GLLV89UV,TSUB,inviteOnly,31699,8,0
#G9RGQJPG,Vannino,inviteOnly,2329,1,1000
#9UCCPGP2,♠️ICH WILL♠️,open,26747,12,0
#Q0U22YGQ,딜넣는 도둑,inviteOnly,98603,48,10000
#GY0QRGVL,abcd,open,6885,2,3000
#GL8JLCRP,Auto Clanners,inviteOnly,43307,14,0
#G888RG80,bombaclat,open,37356,15,0
#G20Y02UV,bombocluts,open,8588,3,0
#Q2RRUU9C,Boozer Brigade,open,91004,46,7000
#GJYRVQ0R,Campbells Kids,open,52100,16,2000
#RC88L0VR,cats w skill,open,54161,13,5000
#RL8YUC2G,Centro america,open,18683,4,6000
#LLQUGJQ8,Channel Islands,open,46063,31,0
#QVLV9CU0,Chizza Bidz,open,82146,40,9000
#GVYPC2JC,ciupapimunano,open,28521,9,0
#G88V0LGP,Clan #G88V0LGP,open,60164,22,5000
#GVJCJYGC,ClonkRoyale,open,35535,10,0
#GYRLP9QJ,Cowy,open,14685,8,0
#QRQPG2LU,CSMLB,open,17488,20,0
#RJLC0LCV,d beaters,inviteOnly,27273,11,0
#8R9LG2G,Editors,open,82416,50,0
#PQPJ9YP9,Electrodome,open,84709,50,5000
#GCP8PJ9V,faze clan,open,11561,8,0
#GRG8Y2G2,FERROVIARIOS,open,17238,4,4000
#RCPCPQRY,fried bastards,open,17053,9,0
#GYUU0QPQ,Goslings,open,41381,13,0
#RQUVUV0C,Gray hairs,open,38385,15,5000
#Y828L9,Happy Giants,inviteOnly,10700,5,0
#G2QJPRPJ,Harrys Load,inviteOnly,35997,16,0
#G28PG8J9,hautlieu,open,79872,44,0
#QUCR2CY9,JERSEY,inviteOnly,88521,44,0
#GQ2RUJCG,Jersey Bombers,open,40257,23,0
#G999LP8V,Jersey Miners,open,86098,48,5000
#8JYRC20Y,Jersey Royales,open,75821,37,0
#P00YGRP9,jjkkoopp,inviteOnly,84187,48,0
#G2R8GP8L,join for bobux,open,80837,50,0
#QJ99RCYU,Jonebeams,open,23049,18,0
#8LL9GUJ,Just to play,open,72054,49,0
#G9RY8L92,K7 to Prem,open,48783,18,0
#Q0LGCR2Y,Kings unite,open,13062,3,1300
#G0U9GVCY,Kool Kids Krowd,open,69691,36,8500
#L2GRG0GC,kurts g4y,open,73688,37,0
#G9Y02JJU,Le rocquier CR,inviteOnly,50320,35,0
#YR8RRQPL,Lite Clan,open,68157,34,1000
#QLVY9G9V,mighty dun,inviteOnly,90894,49,0
#L9UU0V2J,moaners,open,25673,9,0
#QGQUJ809,monkey bois,open,11084,7,0
#G0YG9QUU,narn slayers,open,37540,20,0
#R222P80J,NEPTUNE HIGH,open,14011,10,0
#GJR02JLL,NJ clice boys,inviteOnly,44452,15,0
#QV89PC28,nonchalantz,open,32450,16,0
#RPJYV900,PACKGODNATION,open,80405,42,0
#G8V29Y8G,pancakes,open,17761,9,0
#LLYGGJY9,pekka power,open,43328,47,600
#LY0UP2RY,plebpleb,open,59165,31,5000
#QUJG0YG8,ROBBYS GIRLS,open,29086,20,0
#YPVR9VV,royale NJ,open,44416,19,0
#JG9QV,Rubber Sheets,open,62528,20,2000
#G29JC88P,rustyclash,open,49990,18,0
#QPRYL00U,salve bro,open,29144,20,0
#GQR8CR,Sling It,open,89117,50,5000
#YVRYP09Q,Southern Cotten,open,87379,50,0
#G9LJ8R8L,spunky hog,open,45681,15,0
#RCLVYLU8,suena stockgolm,open,20776,7,0
#GG8JRG8G,Sweet Mates,open,49093,18,0
#RQVJ09CQ,The Diddiards,open,48402,18,0
#G0GYUQVC,The glory of go,open,53262,42,0
#QGVR2J9J,the good boys,open,42586,17,0
#L8QYY802,The Klan,open,64369,48,0
#RQPVY9V2,The Melters,open,61360,35,1000
#PC8LPU2J,the munchies,inviteOnly,63612,25,0
#GPCGG0Y0,The rizzlers,inviteOnly,62836,27,0
#QRLQC0U9,the touchers,open,52222,16,0
#Y2VGCJ02,TheBasement,open,69653,39,0
#GV88LCYP,TigerNet?,open,21801,21,0
#G8800LP9,TROT Rockets,open,43606,13,0
#GUPC2G82,vegas hvac,inviteOnly,36636,10,1000
#RRLC2QQ8,vic,open,26162,12,0
#GGC29VQQ,Wee Wee,open,55250,49,0
#GLQUYRY0,wehatemonkeys2,open,47385,19,0
#G0U88V0J,Your Father,inviteOnly,62225,18,4000
#R0PJPPJP,айс гергерты,inviteOnly,11650,5,0
#Y09RUURY,Деревня клешеро,open,84882,45,5000
#GRJCP82L,클랜 #GRJCP82L,open,82105,48,0
#RLQ09Y0V,클랜 #RLQ09Y0V,open,41169,11,0
#LGL0ULCV,COC munchers,open,78201,45,0
#L8L2UGR9,gelosiinvidiosi,open,54271,46,0
#YVU909YP,juulgangV2,inviteOnly,70023,33,0
#Q2GRGLQ8,ma.dyk,open,67921,32,0
#LCCPV099,onlyclans,open,77802,39,4000
#GJUU8UVV,RoomTempIQ,open,19171,7,0
#GRPQY90U,The goat,inviteOnly,47737,18,0
#RR2YQG2Q,병진팸,open,17414,10,0
#QLQ899YQ,지훈이엉덩이,inviteOnly,58606,22,0
