tag,name,type,clanScore,members,requiredTrophies
#PRU982,#Flam OF War#,inviteOnly,99821,50,9000
#RGQC22LG,10,open,63652,20,7000
#PURGQ0VG,49 Lions,open,99934,50,10000
#RP8JQ8VJ,4U,open,99985,50,10000
#RLLPLPL0,6767,open,95126,49,7000
#G880CLLL,7 aktubar,open,99664,50,9000
#QGPP892G,7 October,open,92074,50,7000
#GJ8VG900,7arah,open,58615,30,6000
#QUL9CVY8,911.2007,open,87424,50,6000
#8C8JGGU,:( NAGA ):,open,98966,50,10000
#R299VU88,@ L D W W,open,82975,50,1000
#RP0GLGV8,A.H.L,open,94995,50,9000
#PYR2PLU,ab ga ar clan,open,36602,15,5000
#GQLPGCUP,abood235,inviteOnly,256,2,0
#GJGCRC2Y,abu esba3,inviteOnly,20818,6,0
#GQ0GVPG0,abueno,open,5192,2,1000
#GY9PC2LQ,adiga team,open,98994,49,9000
#RG2Q2L2P,afghan nation,inviteOnly,4690,3,0
#YCYVYR8P,Agent Pekka,open,99786,50,10000
#GPJ0QU0C,Ahmad,closed,2073,2,300
#YUPYJPRQ,AL-ASATER,open,95618,48,8000
#RRPPRG29,Al-karak United,open,86919,31,10000
#GYY82C8G,Al-karama,inviteOnly,37488,13,2000
#QRGVJ90Q,al3safer,open,98613,46,9500
#RCLLJV8U,al7arh,inviteOnly,20258,6,4000
#R2GPCRYV,al7shesh_tmam,inviteOnly,14071,4,0
#LVQ8G8YQ,alfuqaha,open,82632,47,4600
#2RC9G8,alkaabi,open,97438,50,6000
#G9UQ0JV8,ALrazi batch,inviteOnly,63374,20,0
#QCU0U0UC,Alrefai 515,open,1349,2,0
#GJ2U22R2,alsemoes,open,4233,5,0
#2YQQRVQ0,Amman,open,96837,50,6500
#8V2JV20,amman,open,92720,47,5500
#QRCY090,Amman Army HD,open,93554,50,6000
#PQYV2JP,Amman عمّان,open,93623,42,6500
#GL9VGYJU,Aqaba,open,95663,50,5000
#QJ2JUJLQ,Aqrabawii,open,97079,50,7000
#8VC8JLY0,Ar Leader,open,99756,50,9500
#Y2Y2Q29L,ARAB TITANIUM,open,98924,50,8000
#20LU2QJ0,Arab Titans,open,99832,50,9000
#QV2PR0V9,Arab Warriors,inviteOnly,100000,50,10000
#LC982JP9,ARAB WARRIORS,open,98501,50,9000
#VCY0QRG,Arabian Camp,open,96410,50,7000
#8GRV20VQ,army of azzam,open,99206,50,9500
#RJ2QU8VL,ASU,open,24746,9,1000
#GCJ9JVY2,awssss,inviteOnly,377,1,0
#G9U9JYJY,b8,open,9764,3,0
#QPGLPU9Q,backstreetboyz,inviteOnly,24792,8,0
#RQRCJJJ0,BANI GOON,closed,92540,44,7000
#GVGU0G28,batata,inviteOnly,26952,7,9500
#GJY0CPLG,BBC trends,open,91753,50,4300
#QJJV9JUQ,Best friends,open,99801,50,10000
#GPVY0RRJ,BigSausageEater,inviteOnly,23936,8,600
#RL9JCY9L,BL.twist party,open,40368,12,300
#GGRL0Y89,bla bla bla,inviteOnly,10417,3,300
#GC99YCJ0,black duck,open,46833,16,4000
#GR08LPLG,BLACK IRIS,inviteOnly,63866,18,5000
#RC9YYU9U,black swan's,open,99167,50,10000
#GPLV922R,black warriors,open,63613,20,9000
#GPVVJ0UV,Blk employees,open,45186,28,0
#QQJL9Q9U,Blue look,open,93524,50,6000
#LCLR88U0,brodas,open,82336,50,600
#GRCPPLRP,burger clan,open,13616,8,1600
#QUV9GVPY,C.R KING'S,closed,93352,44,6000
#GPYV8JVJ,Caelum,inviteOnly,1408,1,2000
#QVUVVPV9,calotat,open,96820,49,9000
#R8JJUP89,Champions Royal,open,100000,50,10000
#GLGJ8VJQ,Civiliador,inviteOnly,21772,6,0
#R8GCJ90R,Clan #R8GCJ90R,open,99074,50,10000
#GY000QQY,Clan alm7trmeen,open,18388,7,0
#R0928Q9C,clan name,open,88523,50,8000
#G9CGUGRQ,"CLASH IS HERE,",open,96055,44,8000
#QJV92QLC,CLASH ROYALE 94,open,95709,50,6500
#GVY9P2VJ,CLASH ROYALE 95,open,95054,50,5500
#QG8VJQG9,Clash Royale 96,open,96048,50,6000
#QYG0RQG0,CLASH ROYALE 98,open,100000,50,10000
#R8L2LC8C,Clash Stars,open,99167,50,8000
#QGPRQ9P9,CLASH UP,open,82032,31,7000
#R290GV20,Clashholic,open,77167,37,3000
#QRC0UQCJ,Code:Hemo,open,99476,50,10000
#RQ92GGQ8,coffee shop ☕️,open,96082,45,8500
#J09GGRQC,cousins ☠️☠️☠️,inviteOnly,7812,2,0
#GGPYGUQ2,CR I JORDAN,open,100000,50,10000
#QGP008RP,CRL,inviteOnly,11127,3,0
#R2QRCJ8G,CRL-JOR,open,92283,50,8000
#RYR9GPJG,Crystal Mountin,open,97462,48,10000
#LQ9J8CLP,Danger,open,99557,50,8500
#LUC80RQL,Dark kingdom,open,92118,45,6000
#GJCYPJ9G,Darkun,open,98699,50,10000
#QCRRP9P9,dawn madmen,open,98886,49,9000
#LRR8PQCC,Death Note,open,100000,50,10000
#GCL0G2CJ,Death Storm✨,open,98180,50,6000
#LGJYLL8R,Devious,open,98784,50,9000
#GRCVVYYG,don't cry,open,96000,48,8000
#R09YC9RG,DOOM JOR,open,98031,50,7000
#LGY0Q0UP,DRAGON,open,100000,50,10000
#G92LCG2Q,EL-CLAN,open,91266,45,5000
#LQ2J899C,ELEMENT,open,97869,49,8000
#GQ0LJGVU,Elixir Sea,open,98764,46,10000
#PP0VLYP9,Epic Royal,open,98732,50,8000
#GQQCUY2P,euro…,open,1086,2,600
#G2JGUJYP,Evo jordan,open,97720,49,8500
#R0GYCVRR,exevale,closed,5210,2,7000
#QVLLVLV2,fAst,open,92317,49,4000
#RYJ28P8Q,FCB :),inviteOnly,25352,9,0
#GP8G8U8Y,FreePali,open,23800,7,1300
