tag,name,type,clanScore,members,requiredTrophies
#82PVVY2,"""THIS IS KZ""",open,89005,50,4600
#LG900C2U,"""Л Е Г Е Н Д А""",open,99797,50,9500
#YU9CPYJV,#1 Kings ™,open,88896,50,6000
#RGYJ8U0V,#9 school,open,93502,46,8000
#2YYUQLJ2,#GOODTEAM,open,99808,50,10000
#LJQ09RR9,#Kz,open,64021,21,3300
#29YLC0PV,#Team eSports,inviteOnly,99138,48,10000
#YPUJJJCJ,#Боги войны,open,43059,9,9000
#GL9UQRPC,#немажет,inviteOnly,26485,8,0
#LCYL0PV,$ ANAKONDA $,open,99154,50,9000
#PV0JQ2LU,$LEGEON MASTERS,open,98426,50,9000
#9Y008CGP,$ВЕРСАЛЬ$,open,97131,50,7500
#LV0Y808P,'' ''БУЛАВА''!,open,99263,50,9000
#980QVYR8,'KINGS',open,90773,50,7000
#8LQGG0Y,(((ЧУЙСКИЕ))),open,83350,50,4300
#L088CJVV,(RDN.KZ)TEAMPRO,open,99768,50,9500
#PCPCQRYP,***Joker***,open,98460,50,8500
#8RJ0YGYQ,*7*Спартанцев*,open,98798,48,9500
#LQJ2P,*БелаяГвардия*,open,87037,50,5000
#YJ8VJ0Q8,*Тигры*,open,100000,50,10000
#PY8JLCVU,---КАЗАХИ---,open,84567,50,2000
#Q8JU98U,-6е3_п0нт08-,open,99985,50,10000
#GPJYJGVY,-KaZ-,open,78497,50,4600
#QQ0GPRUJ,-карусель-,open,89315,50,6000
#9LJYGYJP,-СПАРКИ-3,open,88698,50,5000
#G0V88LC9,".-""Net Idei""-.",open,96661,50,8000
#9QQJ0V2U,.::GANGSTER::.,open,98147,44,10000
#R88JG2PR,.cargo200,open,34427,16,1000
#VY9UQP2,.Groom.,open,90173,50,7000
#QURJCP2J,.ВЕЛИКИЙ ВОЙН.✊,open,86210,50,6000
#RL8JVPQR,00:01,open,64175,24,5000
#GYGJPLVU,010kst,open,98761,50,9000
#GPLLV8C0,017,open,98344,50,9000
#QC0LC2VQ,09region,open,95193,43,7500
#Q8VVC8QJ,0o17,open,83034,50,5000
#QLYRJ8GL,1-th Kazakhstan,open,99281,49,9000
#QLJVULYR,1.000.000$,open,97986,50,8000
#GVUUQ822,10 a class 112,open,29573,11,4000
#Q8GLQVUG,10 REGION,open,99740,50,9000
