tag,name,type,clanScore,members,requiredTrophies
#GG928LGU,#HaydeClan,open,99377,50,8500
#G9PR2YV9,+961,open,98086,50,9500
#LPV02QCP,+961 Kings,open,99961,50,10000
#RJ9YQVY8,1.9 knt,inviteOnly,16824,5,4000
#QLRVV2LP,100+IQ,open,98748,50,8000
#LUY28LCJ,313,open,98677,50,9000
#QRUY90L8,3arkni bl bina2,inviteOnly,55508,16,0
#G0UCC9UQ,3arsat ljabal,inviteOnly,96195,47,10000
#GLP82P9G,3ende 3id,open,93379,44,10000
#QCGURC89,4 musketeers,open,92620,42,8000
#G0RPCLLV,555,inviteOnly,90686,34,10000
#RUGJYVR8,7B ELITE,inviteOnly,13549,6,0
#GLP98GQ8,90s player's,inviteOnly,98548,49,10000
#LCYUC0P9,961,open,87048,50,3000
#GGQPCLJ,961 lebanese,open,94669,38,10000
#YRY9QVV9,961 Lebanese 2,open,96252,49,6000
#GUJP08C2,961+,open,77639,50,0
#RGGP289Q,961.leb,open,99070,48,10000
#G9G2GVRU,:3,inviteOnly,3097,2,0
#QUY0CU89,AB+,open,42060,10,7000
#9GR29VCV,abcdefghijklmno,open,83017,43,9000
#G0VJ8JY,abou leila,open,94362,47,7500
#P92UUY9G,abou lghadab&co,open,99354,50,6000
#PG9C9CJ,ABRA FORCE,inviteOnly,98948,47,10000
#2UPYUPP,AFWAJAMAL,open,95679,47,8000
#GPPVJQP2,Ahmad Bachir,open,41328,11,7000
#QUVJ080L,AIN EKRIN,open,85997,40,7500
#QL9Q9Y09,AKAZAKA,open,99820,50,10000
#GG0U0JP,Akkar Leb.1,open,98847,50,8000
#QPYR8YG9,Al Natour,open,98819,50,9000
#LGJ8QYYU,aot<<demon slay,inviteOnly,7833,3,0
#QRC2PL82,APEX,open,99976,50,10000
#2Q9YLLC,Apocalypse,open,98427,50,7500
#8JGYV29V,Argentina,open,97151,50,7500
#GPGY8VLU,arrow t—•ts,open,9279,4,0
#G0YPVYP0,Artemis,open,91636,50,8000
#R9LRVCLG,Ashta w Asal,inviteOnly,99425,50,10000
#QGV90LQY,Atomic Clan,open,99818,50,10000
#QY8RLPCQ,ATP,open,99342,48,10000
#GUCJYLUL,Autism metropol,inviteOnly,8648,4,0
#R8Q8V0J2,bad boy,open,6740,2,2600
#G2J2PLRJ,Barja Legends,open,90245,48,7000
#RGJPVPYP,bashar l asad,open,42606,17,4000
#GV8JPCY0,bast,inviteOnly,62651,17,9000
#G92CVJVJ,BAU,open,97415,50,7500
#RJ8R2LJL,bazawankeeee,open,41653,15,3000
#RRYJG0UC,Bek Shi,open,86722,50,6000
#G9RL0R9Q,Bersek CLS,open,87964,50,5000
#R2YLRG0R,Bersek CLS 2.O,open,10205,5,1000
#28GPV9YG,best clan,open,87119,50,5000
#R288YJPQ,BHS,open,3728,3,0
#R2LR9YJR,BKS s2s A,open,1150,2,0
#QL9292JL,Black dragons,inviteOnly,99105,49,10000
#QVYY82LG,BlackList,open,91297,47,9000
#2YQRG9J8,Blade,closed,87861,32,9000
#R002VLCC,bloody ice,open,73690,31,5000
#GJYR9RU0,bo hoda,open,76044,30,8500
#LQ0JVVQV,BOOMBASTIC 2,open,100000,50,10000
#RYUVVGU9,BORNO LEB,open,46465,12,9000
#QGJCU0J0,BOTS,open,100000,50,10000
#GLQ99V9V,brekskaramex,open,90217,48,8000
#8V2292G,brothers,open,96683,49,7500
#82PQ92U,burgerian king,open,91059,50,5500
#G299J8Y8,Calisthenics,inviteOnly,93091,45,9500
#G0CYLCLC,CaliUp,inviteOnly,95580,45,9000
#RR2R2YQJ,cannicule ohhh,inviteOnly,21973,6,3600
#G2JUPQ0R,Casino Du Liban,open,56962,16,10000
#GQ2G0R82,cedar storm,open,93960,41,9000
#G8CR829Q,Cedar Warriors,open,98153,47,9500
#G8YLLQ90,Cedars,open,90066,38,9000
#RQ29UYQU,CHABIBE,open,94528,49,9000
#RU00C0VJ,ChimpBobyAlexSo,inviteOnly,6841,2,0
#GCCLGPCG,chou lwadee,open,42434,12,5500
#R2RYP0YC,chouf clan,open,2043,2,4000
#2GVP9GCU,Clan #2GVP9GCU,inviteOnly,70853,20,4000
#G0GQLLVG,Clan #G0GQLLVG,open,89229,38,8000
#GPG2QQUC,Clan #GPG2QQUC,open,99952,50,10000
#RL0PG8UL,clash beasts,inviteOnly,25820,8,300
#GCG922UC,CLASH BROYLERSS,open,98600,50,9000
#GYGJQLJ0,Clash Mahayle,open,3047,4,1300
#RQURVYV9,CLASH ROYALE,open,4814,3,1000
#G20UURC2,CLASH(⁠☞LEB),open,99789,50,9000
#QRRL8PUP,CLASH.ROYALE.SH,open,90377,50,5500
#QV028J8J,CLASHERS.LB,inviteOnly,99421,50,8000
#GQPQJYR0,Clashops,open,99756,50,9000
#G8PLYCVP,CNAM 041,open,95439,44,8000
#R9G9R0Y8,CNG LEB™️,inviteOnly,99671,49,10000
#GPQ8C8GP,COBRAS,inviteOnly,57759,20,4000
#R0PJLRYQ,coloclero,open,27121,7,2000
#GLCLVU2G,come back,open,86953,38,5000
#QV2QCYQ2,commando l arez,open,91415,50,5000
#G2UQQCQ9,costume,open,87716,47,5500
#9C92PVJ,CouponsArabia,open,93287,49,5000
#R2PGLCCR,cousin’s,open,6098,4,0
#GLVVVR99,Cream Team,open,50111,13,7000
#LJ98899U,CROWN ARMY,open,92882,49,7500
#RP20LRCL,Cukur<••>,open,80686,31,5000
#RLQVPU8U,D . K.,open,93610,49,7500
#G08CLJCL,D2V,open,97900,43,9000
#LPJUC9LU,Dagang,open,94233,50,7000
#QL90PC80,DANGER ZONE,open,99647,50,10000
#2LLQ09J,dark eimpier,open,91984,50,7000
