tag,name,type,clanScore,members,requiredTrophies
#QV2P9JYJ,The Haliban,inviteOnly,90523,49,0
#R90QQUYG,???,open,19345,8,0
#LP2LJGGC,Asado Vegano,open,40997,20,0
#GCQ9QJQ9,big leagues,open,14995,5,0
#LPY8RR8C,c:,open,90883,50,0
#QJYP9RQR,dripp,open,67624,30,8000
#QU8GUQLC,GOKU SOLO,inviteOnly,54316,15,0
#LU2GY2QY,Hup Holland hup,open,51153,20,0
#G8LC9UP8,KTUG vafliai,inviteOnly,56924,24,0
#GL2P8R8J,les neils du 37,closed,8183,5,0
#RGGGL9JJ,LOS KBRASOS,inviteOnly,3813,2,300
#Q8VRQ02L,L’ekip,inviteOnly,17898,4,0
#QRYUCGYQ,nolimits.,open,55925,24,2000
#LV0VCRY2,QuadSquad,open,49226,19,4000
#PP0V8QJ9,Quit,open,95313,43,7500
#GUG8QR2P,r/snarkysnappy,open,18263,5,0
#RJG0Y0JJ,REDKOCKS,open,46776,13,0
#RY8LCRRG,schizophrenia,open,28493,10,0
#Y28URQ02,Shootas ‘20,open,85857,40,7000
#QCUQ90VP,Sputnik,inviteOnly,8647,4,0
#GP908R2L,Test,open,10346,3,0
#GJQ0JG9J,Tuttys Army,open,79080,35,8500
#QUCP9VRR,VfK Ouroboros,open,86645,41,2000
#GRPV0YVG,θχ,inviteOnly,91969,45,4000
#GPL9R8CR,ВАХТА ЯНАО,open,25243,7,0
#GYUQ28UL,欢迎光临,open,46420,20,9000
#GQQGUQVR,AKANZUKI,open,19212,7,2000
#GVLQLJPU,TÜRKİYE,open,14841,9,0
