tag,name,type,clanScore,members,requiredTrophies
#QRUUUQ0R,$*ليبيا*$,open,96668,41,9000
#QJQUV9RC,3slob عسلوب,open,26706,12,0
#G08YVVVP,Alsahl,closed,32888,8,0
#QRJLGQ2P,Anime lovers,open,98688,50,9500
#GCGLGG2C,ARAB LIGHT⚡,open,59689,21,0
#G9VJQVYY,Bad Goyims,open,38958,14,0
#G299UJVJ,Chernobyl,open,7479,4,300
#QYC9YR90,chiquibabys,inviteOnly,30901,7,3000
#GU00C0P8,Clashinkov,inviteOnly,44784,13,0
#QVCQ98R8,Couscous Crosso,inviteOnly,37869,9,0
#GYGGGYUR,dark moon ✨,inviteOnly,10240,4,0
#GLYUP2VG,EL JOKER LIBYA,open,5978,2,5000
#G2Y2RCRJ,elyas,open,4676,2,9000
#G2P2GGLJ,Flam Boys,open,2209,4,0
#QCCP0LY9,Fury,open,87526,31,9000
#GQYY9RCU,GANGSTA LIBYA �,open,96617,50,6000
#GYCJLLUJ,GLD Katanya,open,81871,34,5500
#QQ82YPLY,Goats LY⚡,open,99638,50,10000
#QVCJUUP9,Golden Shield,open,88857,50,3000
#YY02P2CQ,Infamous™,open,99838,50,7500
#QLV080PY,KING LIBYA,open,98815,50,7000
#L980CL0L,KING LIBYA,open,90917,45,6000
#Q0GQPRQY,Kings of war,open,97238,50,7000
#YGL0VJL8,Kings of War,open,96215,50,6000
#G0GPRLUU,kiru on biro,inviteOnly,68524,27,5000
#GL0Y9P8G,libya,open,99215,50,8500
#Q22LUQP0,Libya,open,98347,49,8500
#LCQ02PGQ,Libya,open,96797,40,10000
#Q0UYGV00,libya,open,96683,50,9000
#YCL29YGU,LIBYA,open,89533,50,7000
#QC88JGUR,libya clan,open,82514,30,8000
#Q8VRYULU,Libya force,open,99643,50,8500
#U988QU,LIBYA LEGENDs,open,99834,50,8000
#9V9L909Y,Libya Max,open,85855,45,4000
#GPG9LQ8G,LIBYA NUMBER 1,open,8393,4,0
#RGGYC0GR,Libya Prime,open,96865,50,7000
#8UY9Q0GL,Libya Pro☠,open,100000,50,10000
#GY02UJG8,LIBYA THE BEST,closed,5157,4,0
#QRQPU2RC,LIBYA TOP,open,96033,49,8000
#YPVPLVU9,LIBYA ليبيا,open,77755,35,8000
#LLQRY0LL,libyan area,open,99840,50,9000
#LGUPYPV8,Libyan Army,open,90914,39,8000
#QJC9G0JY,Libyan Brothers,open,92669,45,7000
#G0P90RJ8,Libyan killers,open,81211,31,5500
#Q2Y9Q0UG,Libyan Machines,open,98624,50,9000
#GLQRQJ9G,LY,open,38583,13,3300
#Y2G989L0,M4 LIBYA,open,96174,44,10000
#R2L0C8UR,Men being Men,open,18203,5,5000
#RRU8L2VJ,Mini-Pros,open,76898,39,0
#G0LCPLU2,monster,open,93620,47,8000
#89PRGGL8,Most Wanted,open,95367,49,3000
#GU0QQC9C,New Day,closed,90729,46,9000
#GG9829L8,nmrs 14z,open,73564,31,0
#Y0U002PR,Nova Ly,inviteOnly,98550,50,5500
#RJY2G2PG,potato brothers,closed,5561,3,1600
#GPJ9Y9YP,Raftel⭐,open,57592,16,0
#G2L9LR8L,RECRUITS,open,38408,11,5000
#LUJQ8988,RF,inviteOnly,99850,50,10000
#QYRPRCYY,streets of liby,open,97100,47,9000
#GJQY22UQ,suiiii,open,38480,18,0
#R0Y8C8V0,THE LIBYANS,open,18849,7,1000
