tag,name,type,clanScore,members,requiredTrophies
#GG280LRY,3echa,open,9484,3,0
#GQ8PJVPP,Chaos combo,open,24308,12,0
#GPQRGGJ2,cheese,inviteOnly,54633,24,2300
#RQG8G8RQ,crazy goobers,inviteOnly,84987,43,7000
#GUYRLCGC,DEPT.Ambatakum,open,19731,7,0
#L0GJLLRJ,E.L.A,closed,4746,2,7000
#QCYPRQLJ,EASY !!!!,inviteOnly,97160,49,8000
#GPJRVQ2Y,EvoPěkker,inviteOnly,15675,5,6000
#UVQRQRQ,FL Clan,open,92470,43,2000
#GYJJRUVV,gamaaru balhun,inviteOnly,1761,2,0
#R8Y0UCVY,Jerk4Kirk,open,13069,7,0
#RRV0882V,La Chotibanda,open,20609,11,0
#G2UYPR99,La rue la vraie,open,44637,10,5000
#QPUC0RRC,Larry Gang,open,89766,33,9000
#GRPP22CP,letz zgeg,open,36883,11,2000
#GLV898QY,Liechtenstein,open,99014,48,10000
#GRVPJ8J8,lil_fam,open,53765,14,0
#GCLP8GYP,M2C,inviteOnly,38751,10,0
#R09LQ9LC,mAFIA21,open,6989,4,0
#GPU9YJ2Q,real member,open,5502,2,300
#GVPC0L89,Sergiooooo!!,open,72111,29,5000
#GC9888CU,shamus and co.,closed,23318,7,0
#GGVQUL2G,Sid lover,inviteOnly,61013,19,0
#RR9CU2VJ,the beesknees,inviteOnly,61581,48,2600
#GYL8GUGV,TheStoneRook,inviteOnly,36871,12,0
#RRUR9JJJ,Турмсек,closed,5865,2,10000
#RPGCJ8YL,Чебупели,open,891,1,600
#GQL29QJG,スマホ壊れたからかえた,inviteOnly,23019,5,10000
#GYY2Y0VR,전연방공산당,inviteOnly,22827,7,0
#GYU8RPUY,10Илита Голубые,open,19444,6,0
#R28VY8VV,2 BP,inviteOnly,18541,6,0
#GQVQQ2VU,awesomesauce,open,25238,10,0
#QCYLPJJ2,bad apples,open,24408,34,0
#RULJQCLL,bayernklan,closed,40826,17,0
#G2GCQP0Y,BayHarbor Goons,open,75413,45,600
#GP989RPL,Betojiak,open,16214,6,0
#R2LJRQUQ,Bulldozer,inviteOnly,12402,4,0
#RYUV2PLG,COMPA DYNASTY,inviteOnly,15408,4,0
#R2QGCGVQ,connor and gui,open,7154,4,0
#YVUV2LUR,Cr abis,inviteOnly,82968,39,6000
#GV92YGRL,CR P,inviteOnly,74289,37,300
#GQYL29JV,desimator,open,27203,6,0
#G8G8R8GY,DRATT,open,92428,47,10000
#QYL2YPLL,ESPERTIDICALCIO,open,86822,43,1600
#8LCQ0CQ,FL Royale,open,97031,50,7000
#GR89LCY8,flachpfeiffen,open,64572,29,0
#LR9Y989G,gugulien,open,55749,20,1600
#YY9VYP,HOCK.li,open,87308,50,0
#Q2LUPVJL,Hog Cyclers,open,40295,15,4600
#2VGCY8GL,Hog Riders,open,19605,7,600
#Y2QURP0C,iron monkey,open,78128,36,0
#GC200Q9U,Left AirPod,closed,75370,33,5000
#QRC9CPCP,Level Up,open,53754,19,0
#L0C900Y8,LIECHTENSTEIN,open,93170,50,5000
#GUYU80CC,Lime Vodka,inviteOnly,18661,6,0
#Y2VRCC8L,lloretanna,open,75466,37,2000
#RY2GQ9VU,los chago’s,open,38044,10,0
#GVQJCG82,Los del punto,open,23171,8,0
#Q98YVQ8L,m2d,open,79744,37,5000
#GVULYVGG,marvin_650,open,47506,31,0
#GPGVGC0G,Mega Nut,open,10738,4,0
#G0QPR0PQ,MEZUN TAYFA,open,59289,22,0
#G2YU0L2G,MSP-LES100,inviteOnly,38455,9,0
#QJ80P982,Nightmares,inviteOnly,12009,7,0
#LVQLL9UP,OneWay,open,45733,13,0
#QGVU9YGV,Princess Simps,open,76117,34,2000
#QUQ9PJU2,RADIS,open,60792,20,300
#RL08J9J0,Schellenurslis,open,94860,45,8000
#G0J9R882,Sestre,open,30338,9,0
#2UR0YLJQ,Skelett Elite,open,81472,37,3000
#G9UPPQYP,Slag Clan,open,13429,5,0
#GPGPLVRC,slime,inviteOnly,24915,9,2000
#G0UCJGRL,Tamaimo,open,77311,29,10000
#RCL20L0Q,Te gané,inviteOnly,7383,3,0
#RJRUR02R,Team Fl,open,17886,13,0
#RYL9VVV0,TEAM TOYOL,inviteOnly,41349,16,0
#LVRYRP80,testie munchers,open,29075,18,0
#G98QP929,The Pizzaeaters,open,68484,32,2000
#R0CC0JUJ,the raging clan,open,82232,50,2000
#QVVCQRQR,Tinkel Land,open,35977,13,0
#QLGJGL8R,We hate prince,inviteOnly,30635,10,0
#Q90PCVUV,White inferno,inviteOnly,20062,5,0
#LQRL2YCY,xxswagxx,inviteOnly,81328,34,600
#R90G9PPL,Zipfelhaube,open,93617,46,8000
#GGYVVPC8,ZsłBestieGaming,open,45474,17,0
#8YUV2GU9,мы из РОЯЛА,open,11789,6,0
#RQR8VL02,Урок ОБЗР,open,43834,15,0
#RYQQ90UJ,색시게이,open,77120,36,0
#QJP0QC8L,808s @ lol,inviteOnly,16413,9,0
#G2PUGPV2,94FL,open,32430,9,0
#GV8VLY9P,adicto al nopor,open,11029,6,0
#G22GR02J,les CONS-potes,open,36131,13,1300
#LC8YYCQ0,xenovers,closed,25810,13,10000
