tag,name,type,clanScore,members,requiredTrophies
#G2JP0QGQ,Ambrose Army,closed,67646,22,600
#GPYPLQVC,evodio,inviteOnly,37850,10,0
#G8VCQ98Y,kdhhidho,open,19030,5,0
#PRYLVV,Labelle,open,93706,46,3000
#QY802UCU,Mariana,closed,3600,2,9000
#R0VGJYVU,nomás para amig,closed,2675,2,1000
#G82V80GP,pisones,inviteOnly,78004,33,0
#QUURYJ9J,pp,open,42194,17,0
#R2YPPY2Y,pqnochudosxd,closed,2615,1,0
#28CCUL0,T.J.B de Macau,open,97699,48,9000
#GG9C9GJ2,t1m666,open,7066,2,0
#GYRCP0YC,team mono oxaco,inviteOnly,1248,2,0
#GVP8QG82,The Menchos,open,879,1,1000
#RCU802RL,上堂打机,open,12406,3,5000
#80VV0LY,兄弟幫,open,99782,50,6000
#GPUU08Y2,威威起飛了,inviteOnly,38522,12,0
#YQ09L2CL,樂天派對,open,96662,49,0
#9LUVQY0Y,澳門CR,open,98451,50,5500
#2QJJUUV,澳門™聚,open,96605,49,5000
#9PU9J20C,澳門之神,open,93701,50,3000
#82G0P90,澳門人,inviteOnly,98429,49,6500
#9LCLYGQC,澳門報仇者聯盟,open,98284,50,6000
#2VJVVYCG,澳門業餘隊,open,98111,49,7500
#PU9QYG,澳門激戰部落,inviteOnly,97151,48,3000
#R929RVGR,澳門自衛隊,open,42026,11,6000
#LPRCQRUQ,澳門部落衝突小隊,open,95952,50,4000
#QY2VP890,羅德島,inviteOnly,23728,6,3000
#YGL2Y0VP,花滿天下,open,90078,50,2000
#PG9PC0LC,華人騎士團,open,89488,50,1000
#RYUJPR9,路環屋仔,open,94447,50,2000
#Q82G2Y9Q,鐵城,open,43737,13,600
#2J8UYR8,-Bad Seven-,inviteOnly,81478,35,7500
#R0PQVGPL,12 Goblins,open,47120,21,0
#G2YR2G0G,2Nuts,open,83814,50,2300
#GQRJ8VR9,69俱乐部,inviteOnly,55828,20,0
#9PRUGJ,@Gs_Warriors.,inviteOnly,49123,16,5000
#QUYC0JJ,A_A,open,58287,20,1000
#PYY2URU,AAA,open,81931,50,3000
#QULPYUY9,Abama,open,20541,9,1300
#GP2RYJQ9,adile,open,14240,9,0
#GYVL2VG2,ALI BABA,open,47279,21,0
#LUGC98UY,Amethyst,inviteOnly,46088,18,0
#QGCRL8R9,Balkan Hunters,open,74506,28,9000
#LR9QCJY2,Bamboo juice,open,33502,50,300
#R9GPQQY2,BLOODLINE,open,74560,32,3000
#QJQ28RGU,Bourg Normand,inviteOnly,82618,42,0
#RY2P8JP8,Chiki DSKTS,closed,62979,18,0
#G0RVC2VG,Clan Mango,inviteOnly,18223,7,0
#QV2Q89Y0,Clan:  #QV2Q89Y0,open,81963,40,4000
#82CJCQJ,coc俱樂部,open,66074,42,1200
#GY2PQPU9,Dead Eater,open,79323,50,0
#GPC8CYUU,eso tilin,open,66337,45,0
#LPQVUUL9,F6Aplha,open,46955,50,0
#90CQ8P,Fatal Motto,closed,81541,39,0
#222P8PUV,FC Barcelona,inviteOnly,47483,24,0
#98LJ8RP,Free,open,43156,15,3000
#G029VVCJ,galaktysi,open,38605,20,0
#QU0LYL0R,Goblin clan,open,71094,50,0
#2JV9QV9,hK Revolution,open,87234,50,3300
#GCYL2R2C,hog sliders,open,67330,26,5000
#QU0RJ8P8,i love maths,open,19192,6,0
#R8RP8GGU,idk,inviteOnly,64431,33,1000
#G8U2RGJ2,idkagudclanname,inviteOnly,62810,23,0
#CVVRQLL,INFRAMAN,open,47183,13,5000
#QJ9GCR8P,jap,inviteOnly,72978,35,5000
#GPQYVG2C,k505a298a13n41,open,14745,4,0
#YQV08LY,King～大家庭,open,97760,49,6000
#QU0JRVGR,les Brozer’s,open,43935,16,0
#G00LP8PP,lol,open,31604,16,0
#Q9VUQC9V,LOS PELOPONI,open,29975,21,300
#R2JR2GYP,LowTaperFade,open,95330,50,1000
#G9YPJQ8J,macau,inviteOnly,24776,11,0
#UYY9YQ,Macau club,open,95702,50,3600
#CJCGV9Q,Macau CR Clan,open,95067,48,5000
#9GQCLQC,macau war lords,open,97239,50,6000
#8G0CPUG0,MacauDream,inviteOnly,70321,25,5000
#9PV8Y9YG,MacauMostWanted,inviteOnly,73579,35,4000
#GL28PJ22,Master of clash,open,9779,6,1000
#QQCP9PVG,Miller pig,open,77324,50,0
#G9QVYPVY,MN,inviteOnly,60558,18,0
#GJQC2P0J,MOGAS CR,inviteOnly,77372,38,5000
#GQ8UVQPJ,NUGGET MUNCHERZ,closed,52354,22,9000
#G2JRV2QQ,Paradise,open,66386,29,4000
#GUQ0P8U8,PCC,open,92480,50,4000
#G8YULP8R,pitos gordos,open,39723,15,300
#QJV9JYGG,RED CYB,open,7036,4,0
#RLRQRJVC,RUB & STUFF,inviteOnly,87668,47,0
#G99VGQVJ,s2mle100lesh,inviteOnly,30221,8,0
#G2VLG0PU,STOP IT UNCLE,open,17066,9,0
#RUYGU8U2,TakeAChillPill,inviteOnly,28915,8,2300
#QC22URYR,The averages,open,33529,21,0
#9J00R9PV,TigeR-Team,inviteOnly,57810,18,0
#GYQV8RCY,together 2.0,open,93516,47,8500
#9VVUVPV8,Turtles 69,inviteOnly,95321,47,10000
#GYRV22C8,VİP MARAŞ,open,8176,3,0
#PV0GPYJU,Woolduping,open,34420,19,300
#RPU0GQ2R,żużel,open,37267,15,0
#G8Q0JRL8,لنرا,open,1316,3,300
#G9YC88P9,京城阳光∥香港,closed,48135,24,3000
#JPC9LVU,人若然忘記了愛,inviteOnly,32007,13,3000
#22UUURJ9,保龍一族K.V.S.J,inviteOnly,40716,14,5000
#GQ82GJ8Y,反寒聯盟,open,92968,50,0
#22C28YQ0,台灣伙伴,open,39623,23,0
#90Y8GVGP,哮天特工隊,open,79714,50,2000
#G9QCCL08,嗨嗨,inviteOnly,24181,6,0
#88U89L0,型男鎵明同學會,open,64583,23,9000
#QCC0JCCG,奪命化學團,inviteOnly,70681,26,1000
#PL8VPYU,存安堂,inviteOnly,81619,37,2000
#QL9GR99L,实力入侵国只因服,inviteOnly,42261,37,0
#2V88QGG,小動物們的日常,inviteOnly,40075,10,1000
#QCGP90QQ,岡元ラボ,inviteOnly,23042,9,0
#8GGVGU0,廢青聯盟,open,89193,49,1000
#LCLC9YL,彩色的............,open,91128,50,7500
