tag,name,type,clanScore,members,requiredTrophies
#PQ89YQG8,13. Légia,open,53565,17,0
#Q9RLP0CU,40s for shortys,open,4094,4,0
#G92CGQC2,67royale,inviteOnly,37908,10,0
#YGURY9JG,Akatsuki,open,62008,22,0
#R2CG9JGQ,Akatsuki,inviteOnly,8614,4,1000
#Y9RGL2LY,Alakaosy,inviteOnly,41979,11,2000
#GYRY0C9P,boulangerie,open,2713,2,0
#R2QVV02G,calm,open,10041,4,300
#GVY9VQC9,CAY,open,11666,6,1000
#R9Y8VJY,Dahalo Royale,open,98258,50,6500
#YC0Y8G,Delta Force,inviteOnly,6340,2,0
#GLYC802Y,Dog's do Mangue,inviteOnly,1816,2,0
#QRJ9UQLV,Eniola Omisakin,inviteOnly,44796,13,0
#PL0CPQC0,fortnat pro,open,40431,9,7500
#GLQG82Q,GASY,inviteOnly,97421,50,7000
#Y922Q22R,GASY LÉGENDAIRE,inviteOnly,46298,28,0
#G2UP09V8,gays from gres,open,26479,7,0
#RJVGYJ0R,holis,inviteOnly,6318,2,10000
#QV90G2PV,Irmãodade,open,31028,8,0
#QQQRPVYP,ISM gang,inviteOnly,50485,16,0
#G9800RCL,ISM ROYALE,inviteOnly,5646,2,0
#GVRUGPGC,Job Dodgers,open,45768,13,0
#G0RGLQ08,Kamikaze,open,36159,9,2000
#G9JL2998,KOSTKA_PICO,open,5730,3,0
#RY02CC20,Kotschniffler,inviteOnly,11913,4,0
#G00QQUGV,La bêtise,inviteOnly,11861,3,0
#GJU2U2CU,La Famiglia,open,21062,6,0
#GPQ22V8R,Les Héliotropes,inviteOnly,38608,11,0
#GLCRLJG0,los bros 2,open,5530,2,4000
#LRU2PJV0,Mada Clash,inviteOnly,97033,50,8500
#QCR0LGGL,Madagascar,open,54728,19,7000
#LRQVQGVU,maurice is epic,open,42339,15,0
#G920992Q,MAZANA,inviteOnly,6484,4,0
#RPG92QQY,megszderszerzdt,open,9691,3,0
#GLVR8RYR,miao miao,open,6767,5,0
#RLRP2GPY,mignon,open,12270,3,0
#QPCR909Q,Nannami,open,99899,50,10000
#GPV8LVQ2,nataliapelona,closed,5074,2,0
#GUYJJCRP,ospicafina,inviteOnly,9678,4,0
#G8VUQVQQ,primeroprepa,open,35820,10,0
#RC0228CP,pusisdestroyerr,open,41031,14,0
#R2PUVQR9,RAGE™️,inviteOnly,78061,31,6000
#99VJ0Y8P,rakflOtte,open,98764,49,9000
#GU00QRP9,REAL JORMUSKAT,inviteOnly,35626,12,1000
#RURY0RJJ,reprobados UG,open,42670,12,0
#G0RCUJ9R,Rey Julian,closed,38378,11,0
#GPPVP289,Shadow,inviteOnly,9319,7,600
#GLQQYUPL,stasiaisfat,inviteOnly,7300,2,3000
#GPG2PCVJ,SyE,open,7329,2,0
#G02G0L2P,Symmetrica,open,44765,14,0
#G0J8P0YQ,Tay be,open,11077,4,0
#RV900QQJ,TEAM,inviteOnly,1009,2,1000
#Q9GP9UP2,Terdsworth,closed,53687,14,10000
#GCPPCL80,the aut|sm,open,16125,6,0
#R9P9GRCG,Tigers Elit,open,10000,2,0
#QCJ0LJ2P,tropa do gordão,open,33757,11,0
#QV8QR9LC,UPIICSMASH,inviteOnly,54842,15,0
#G0PQU99V,willy warriors,open,71539,49,5000
#GL2CR0JU,zizou122,open,27816,10,0
#G2YJV0GQ,ZRXBOING,inviteOnly,11996,4,0
#QRYCUQ9J,× MADITRA x,open,98951,50,10000
#GPCPJLLR,переможня,open,7166,2,5000
#GCL22RQC,گوز کلفت,open,6212,3,0
#GQ0UG22P,めんでぃー教,open,19110,4,0
#R080YVYV,似湯に,open,30286,11,1600
#QCGUJGVQ,# JABORY PR #,open,78754,43,2000
#QJPPGGGG,1%,closed,8248,3,1600
#LYP88PUG,10 Ludzi,inviteOnly,16725,6,0
#GVLGUYUC,2CM DURO,closed,15642,7,0
#GQUYVLCV,aaah Vraimeeent,closed,53304,25,0
#RLPVGLJ8,abcd,open,23691,7,0
#Q8C2V9UP,ABYSS CREW,open,65717,49,2000
#GCR2C2VJ,ahleleahlelas,inviteOnly,20003,7,0
#G9LL8PY9,AIZEEEEE,inviteOnly,65342,37,1000
#P9U80CYR,Amis royale,open,73523,49,2000
#QG0CR0LC,ANDRIANARISOA,closed,49294,15,0
#GVY8JU08,Araceptototy,open,21457,7,2000
#8RJ0UVJ9,ARMADA 2,open,84097,50,0
#G9G9C09V,Arrachera3000,closed,26322,13,0
#Q8GQYQUP,Atwater,inviteOnly,48822,14,0
#Q2QVPVJV,Avocadodabra,inviteOnly,11483,5,0
#G2VGLGRV,bad boy,open,58512,24,0
#GLG09RCP,Bandy menatra,closed,52756,15,1000
#QCGPVJRV,BANDY MLAM,inviteOnly,14787,5,0
#RCG9GQCJ,BBL Rayan,open,40705,15,0
#QVCLYQLL,bend n defend,inviteOnly,45873,23,0
#QV20RR2J,Big long cok,open,11952,7,0
#QU0VUP8L,Binou Family,open,48128,34,1000
#RRL9Y92C,Blackie Fotsy,open,66449,29,4000
#R82VQ2UJ,BLUE FLAME,open,12575,5,3000
#QCQRPP8C,bomboclat,inviteOnly,39945,13,3000
#G8J8J809,Boto be,open,55169,49,0
#QGRGC2R2,Bros'In,inviteOnly,58262,21,4000
#QR22UCYJ,BSB,inviteOnly,39949,15,0
#GCVULUVJ,BTSPMK,open,6718,4,0
#GL0J9GC8,Cat land,open,10524,3,0
#QJJ92Q0Q,charaz,open,49587,20,0
#GY0G89CQ,Chatslave,open,85860,48,5000
#GGGYVGYC,chitoc city,inviteOnly,17981,4,300
#2CUUQ9LG,Choke D Titans2,inviteOnly,76078,29,3000
#R02PYV00,CJNG,inviteOnly,64830,19,1300
#RRVVJV2Q,cla do jogosss,inviteOnly,30413,14,0
#L2JR0GL9,Clan #L2JR0GL9,open,82149,39,1300
#QVQJYUVP,clan zavatra,open,66193,47,300
#QUV8RVJJ,Clan:  #QUV8RVJJ,open,43289,18,0
#G9VV20LU,Cologne Mod,inviteOnly,20510,6,5000
#RVUGUCQ9,coman mada,inviteOnly,13130,8,0
#G28VQ8CL,COMPUTARIA,inviteOnly,19425,5,10000
#G8YUJLJV,cooked af.,inviteOnly,34965,11,0
#LRVV82R2,Coolest Monkeys,closed,82620,47,3000
#RR0GVQPY,cordelius best,open,53393,27,0
#QPLRGLRV,coxatii,open,34988,11,0
#L00JRV0R,dababy fanculb,open,64143,33,0
#GPPG0QUP,dariolachuupa,open,66828,37,0
#Q0QRCY82,deux6un,open,52974,15,0
#G8Y82JVQ,DEVANtNERYFAB,open,87550,44,9000
#RCQGUL2Y,Dino Freaks,inviteOnly,11706,7,0
#GQ98PCPC,EESNAHA SQUAD,open,78281,30,0
#YLLLY29C,Elite Malagasy,open,70924,50,2000
#G228U8CG,Elite à Mada,open,40689,14,0
#82PQ9QL2,ENEAM CR,inviteOnly,58061,25,600
#Y8Q28Q8U,enemy of devil,open,69550,25,7500
#RGQG8UGL,Enjana be,open,36369,16,0
#GYJLGR2C,Exorbitanten,open,21989,8,0
#QQU0VLLP,Fasyfilis Homos,open,85708,47,0
#RL0LVGYJ,FC Galety,open,66468,35,3000
#QVPC89RG,fc marine,open,87075,46,1000
#GQGQUPYY,Fellas In Paris,open,38756,12,0
#YUQYPYLC,Flotownboys,inviteOnly,88984,40,6500
#G29QPY0R,FM,inviteOnly,36681,14,0
#QV280RQR,fory gasy,open,32445,10,2000
#G9LYR0YC,Foza mainty,open,65263,48,600
#QP9LVU02,GamingTime,inviteOnly,19116,4,0
#LYRUY80V,Gascom eSport,inviteOnly,53213,13,4000
#RQYRLGJ9,gasy,inviteOnly,86180,37,6000
#GQ88YCJP,GasY 501,inviteOnly,94688,48,6000
#Q2JRYYUU,gasy Fb,inviteOnly,90414,41,6500
#JU0VJ2J,gasy gasy,open,90662,50,0
