tag,name,type,clanScore,members,requiredTrophies
#R0RU88Q,![ADVANCEDZ™]!,inviteOnly,8833,2,10000
#9LQ82LJ,"""MalaysiaXI""",open,99886,50,10000
#PCRY9CCG,#dilarangkunyit,open,93501,50,5000
#99RV20U,#JDM#,open,96330,47,7000
#PPUU9PJ9,#just for fun@,open,98569,50,8000
#2YL098Q2,#malay army 2.0,open,96189,50,4600
#20YY9CQQ,#MALAYA EMPIRE#,inviteOnly,96224,50,5000
#228GR9R,#PahlawanArmy,inviteOnly,7433,3,4000
#PLLCVLUR,#RoyaleGoals,open,99672,50,9000
#LVQ28JC,#silent killer#,open,100000,50,10000
#CYJVJPU,#ThinkPositive,open,99989,50,10000
#RLPJR9J,#壹柒用事,open,97611,49,10000
#RJQ0GU8L,'13s Cornballs,open,16411,10,0
#9U0V208Q,*Malaysia army*,open,91425,50,3000
#8RQLRY2Y,-DK Evolution-,open,90153,50,7000
#Q9YPYC9P,-Tiada Nama-,closed,30769,8,1300
#9YRP0GC,-WFTL-,inviteOnly,97531,45,8000
#LC0GVYY,.大唐天子·马来西亚II部,open,96793,49,9000
#G9J8Q2VY,1000奖杯军团,open,93341,50,5000
#R220UR22,13579qetuo,inviteOnly,2028,2,0
#R290YV9V,1421,inviteOnly,2715,2,1000
#L0RPYJUL,14K,open,98489,50,7000
#J29PV89P,17世纪交易所,open,14803,7,0
#G0UP8QJQ,1MDB,open,97995,50,10000
#QRR2PYVJ,1mDB 2,open,99790,50,10000
#8PGUY9G2,1马来西亚,open,96445,50,4600
#J0QYPQRQ,2D Sakaiz,inviteOnly,22302,13,0
#G2C998YQ,2v2,open,82501,50,2000
#9QYUYLR,300,open,55682,20,4000
#GUL00LYY,3345UP!,inviteOnly,14434,4,0
#RGJJ8CG8,3rdAsianhokage,inviteOnly,11094,6,1600
#20LU9RJ,3号冰冷茶室~,open,98944,50,7500
#GYUJCL9C,404,closed,10165,3,0
#G20C8VUQ,41 Mas,closed,33549,10,600
#2GJURVCR,4896,open,93387,50,6000
#R8JGQ8LV,4AM KAIFAN,open,93803,50,7000
#P22YYCJV,4everYoung,open,98727,50,8000
#8J2VQ0P,4NoWAR,inviteOnly,97287,43,10000
#RUUU0GYJ,5 BOMBERS,inviteOnly,60542,22,0
#2G8C2VQL,50 ringgit,open,98451,50,7500
#G0PVPV,501st Legion,open,99671,50,9000
#2V2QG98,50ronins,open,92489,50,4000
#9UU0YC9P,50warriors HOME,inviteOnly,99908,50,10000
#92GL9L9,54188杀无赦,open,94048,50,4600
#VJJYJPC,54188来者不拒,open,96696,50,6500
#QUL9P0PV,5OUR MALAYSIA,open,96031,49,8500
#GUVVLVV0,612,open,90762,50,2000
#G99Y0PPG,6741,open,62370,47,5000
#GC0Y9LYP,7 KEPALA NAGA,inviteOnly,34976,14,300
#YGPLLU8,7 KingDom,inviteOnly,97197,49,5000
#QQUPCU0C,7AnakHalal,open,97663,50,8000
#LGUU9GGU,7s,inviteOnly,98745,48,10000
#RGJUYQ,866,open,94259,50,7000
#29R8JJ2,9.9 army,open,97535,50,8000
#GQJJ9Y00,:),open,14504,4,0
#YJG99UCG,<<疯狂的兔子>>,open,98943,50,7500
#2JJ8JYP,<M'sia> Kepong,open,94663,50,5000
#RUUQCPVC,aaron ajuju,open,8722,4,5000
#GLCUCLV8,ABUROI,inviteOnly,5355,2,600
#LVLP9RP2,ACE,open,98119,50,8000
#LP9VG9V9,Ace 团灭,open,97832,49,8000
#YJ099CYV,Aces,open,98070,50,8500
#J0R8Y0JJ,Activation,open,31199,9,4000
#9GQYYCPJ,Active players,open,99951,50,10000
#GPURGG8R,adibooclashclan,open,27922,20,0
#29V2GGG,Adventure Union,open,99002,49,10000
#GYQQ9YP9,AeonVangers,inviteOnly,13982,5,0
#QYP8QC9G,Afk clan,open,90380,49,6000
#GYJQGUUY,Agri Royale,open,5092,3,600
#J2G00299,AH,open,608,2,0
#RJRQLGQL,AHJ,open,94079,50,8000
#RP89CUJ,AiFC,open,93888,50,6000
#G9PY2QQ2,AIKOL 27’,open,36360,14,4000
#QRLJ2VVC,Aimst,inviteOnly,53331,13,300
#GY9V9RLY,AKATSUKI,open,48481,23,3000
#2RYRQPL8,All Brothers???,inviteOnly,75603,36,5000
#9U9PGQ,ALL4ONE,open,92334,50,5000
#GUUJQQC9,AllStarz,open,74423,50,5000
#8VU9VGQ,AllStarZ Empire,open,87906,50,4000
#G2YPGYCQ,Alor Setar Lang,open,91117,50,6000
#LQ9099LV,ALPHA300,open,98890,50,9000
#RGVGCJY0,ALPHAFLY,inviteOnly,9450,8,0
#2VVGUCC,Amaizing Team,open,93646,50,6000
#J00L90U2,Amas Mechanism,open,12845,5,0
#R2JQ0JRU,ammu n shahad,inviteOnly,3026,2,0
#Q8PJC02P,Amway,open,88096,50,5000
#RUGC2JJV,Anonymous clan,open,10568,4,4000
#QV0RQVVR,ANTI SOCIAL,inviteOnly,24036,8,600
#G2VPQ8JU,AntuPala,inviteOnly,9673,4,600
#G2JCRJLY,Apa Lancauuu,open,96541,42,8000
#RCL2G22V,apa saja wah!!!,open,28836,13,0
#RRV9G082,APROWEAK,inviteOnly,40440,13,0
#8UYPY2C,Arc Gaming,open,98859,50,8000
#QQ8L2JG2,Arcadia,open,96188,50,6500
#L0CLUVRC,ARROGANT,open,99504,50,8000
#99RVYPG8,Arzeal K-9,open,97083,50,5000
#9ULGQLC,Asam Laksa,open,97188,50,6500
#98LLCGC,Asgardian,open,98854,50,8500
#RCVYCRGP,ashqf,inviteOnly,8667,2,10000
#9C92CYLL,Asia Legends,open,89685,50,5000
#202PQR2,AT12,inviteOnly,94236,42,10000
#C0CQQYJ,Atuk warrior,open,97482,50,8000
#QCC0RQGU,Auch,inviteOnly,8299,2,0
#9QQRVGG,Aura.Atom,inviteOnly,100000,50,10000
#82QY2GJ0,Aura.Atom1,open,91772,50,4600
#RYPYGJG,Aura.Aurora,inviteOnly,83420,30,10000
#2PLVCGR8,Aura.Aurora3,open,96686,50,6500
#20LPCP9Y,Aura.Galaxy MK2,open,99081,50,9000
#QP8CCP2U,Aura.Galaxy Mk4,open,98921,50,8000
#8GCRU9U,AVANGERS,open,91020,50,5000
#J0J2LY,AVENGERS 战队,open,99879,50,9500
#98QRQL8,AVENGERS 战队3,open,91391,50,4300
#QPVYVC22,Awk Down Ker,open,84918,34,10000
#L00PQLG,AWP 2.0,inviteOnly,81475,29,5600
#RLGPLC9R,ayah clan,inviteOnly,14555,4,0
#LPGCUUJY,ayahlu,open,70869,50,1000
#GU08Q2P2,AYO,open,81328,50,5000
#RGPRUY92,Azure Residence,open,93018,46,8500
#R892UPVV,b2turnleft,inviteOnly,2686,3,300
#G9VLULLP,bababoi1110,inviteOnly,2580,2,0
#PVLJV90,backstreet boys,open,89816,50,5000
#GP8JGCR0,Badut Malaya,open,6385,4,1000
#8UYCJLPC,Bag the Gab,open,98857,50,8000
#GYLG9Y0Y,BAKARRRRR,inviteOnly,665,1,0
#GLLG2LR2,banana,open,28113,10,600
#RPJLLLCR,Banana,open,11540,3,5000
#J29CUY8V,BAnditzzz..,open,5023,3,600
#2RUYJYC0,Bank Negara,open,93681,50,4000
#GCLYQCLY,BaoBei,open,9107,5,0
#Q28C28JC,BarisanNasional,open,98063,48,10000
#2V2GJ9R2,Battle Buddys,inviteOnly,84472,29,8000
#QQGUJQJ,Battle Malaya,open,98674,50,8500
#P8Y9VCYJ,BawangCLasher 2,closed,97524,49,6000
#UP8CR9,Bazinga,open,95182,50,4000
#G2CJ29J0,BBeast,open,89612,48,5500
#R2LVCPLC,BBO SANTERO,open,16768,13,1000
#2YCL98V,beaufort future,open,89687,49,4000
#2QJCP8G,beer garden,open,93527,50,3000
#9RRG2QL,Beginners_Luck,open,91967,50,5000
#YLGGU000,BEIJING,open,95794,50,5500
#20Q8V0U,BENCAQ,open,99220,50,10000
#9YGR2PY,Bersih 5.0,open,99222,50,8500
#82P8JY8,Beseri Jaya,inviteOnly,82613,50,600
#QPYUUCQ2,BG EMPIRE 69,open,91704,50,6000
#8JV2JCU,BiDAYUH CLAN,open,88613,50,4000
#GLCVUC2Y,big mac,open,15051,8,0
#G820VYGQ,biing,open,65293,45,2000
#QRJR2YQC,Bilik B,open,85186,31,10000
#P0P9G0,Bird Clan,open,97951,50,7000
#GPURJ20U,BIRUNI,inviteOnly,5915,2,0
#GQVJQ90G,BJ BROS ROYALE,open,90183,50,5000
#PVRR0C0P,BKYCLASHROYALE,open,99847,50,10000
#GCRCP28R,Black communist,inviteOnly,8795,3,0
#22L29C2,BLACK DRAGON,open,97729,50,7500
#L2VGJL8P,BLACK DRAGONS,open,87445,50,3000
#RUGPG9Q9,black pancakes,inviteOnly,5676,3,0
#LPPYPRRL,Black Panter,open,93529,50,6500
#LVCYPP,BlackJeneral007,open,89726,50,3000
#Q0UU9LRR,bless this mess,open,13657,9,0
#22UL00R9,Blow Water,open,94657,50,4000
#QRP0VC2C,Blue Lock,open,94175,50,7000
#GPL09QPG,Bob,open,12618,6,300
#GY0890RY,BOBOIBOYZZ,inviteOnly,10497,6,0
#R02PYLYC,boi boi,inviteOnly,13619,4,5000
#8LLVUP,Bojio Kaki Club,open,94345,50,4300
#LG9L89Y2,Bomba Fighter,open,99676,50,10000
#GY9VCRJG,BonieBlu67,open,46950,23,1000
#RJL89UGU,BORARA ESPORT,open,4944,2,3000
#8Q9G9Y9,Born 2 Ride,open,93846,50,6000
#8U982RUV,Borneo Sabahans,open,95831,50,7000
#9PQLGYGQ,BoRneoAllStar,open,94864,50,4000
#PY08P9RQ,BOSSKU TEAM,open,99223,49,10000
#RRV0V9Q9,BREW CREW,inviteOnly,28827,10,2000
#99Y8GYV2,BRGH eSports,open,99795,50,8500
#G9LV99VQ,BROMO MADANI,open,67498,50,0
#9PYU20U,Brothers,open,86932,50,3300
#G80QYGG0,BROWNIANS,open,77586,50,4000
#9P9YP02,bsouth,open,91687,44,7000
#RQG0JGJU,BU Basketball,open,74293,32,3000
#GQGPQ8RQ,Bucin Jago,open,382,2,0
#QVJCQ20P,budak bestari,inviteOnly,5233,3,0
#GCVR9YQU,Budak Hytam,inviteOnly,11409,8,0
#GL8V9UJV,BULIAN ARAS 3,inviteOnly,24019,10,0
#G2CY90UU,BuLLying KidZ,open,49213,24,1600
#200PCQ8V,Burong Hantoo,open,99213,49,10000
#88UQP9,ByDie,open,31485,11,4000
#R8QPQ89R,BYON COMBAT,closed,4800,4,1000
#2Y9QYLP,C 2,inviteOnly,91961,39,10000
#Q0YPYL,c.k.s.t royale,inviteOnly,53462,18,5500
#Y9C98GR9,C.O.M.P.A.S.S.,open,99530,50,9000
#PJPY0VVR,CaCO₃,open,94232,50,4000
#2UJVYGP,CAKCIBO JR,open,96567,50,7500
#G9JC0QGU,Cappybara Fam,open,6213,2,1600
#G2LVU8JJ,CAVEIRA,open,10000,2,9000
#RYL0RQLC,CB soul,open,72158,50,2000
#2QQP0YJ,CCB长胜炮团,open,99979,50,10000
#GPGVL9JU,CCL GROUP,inviteOnly,6411,4,0
#QGJGYVVQ,CDCS251-2A,open,40203,16,5000
#QLVUUPP9,Celestial Army,open,97963,50,10000
#LLQUR2JU,CEMPAKA MERAH,open,90711,36,10000
#RRJRU9P0,CHADERK,open,26090,13,0
#2QRQ9VR,ChainsOfDestiny,open,93685,50,7000
#G9GQ2RL9,Champions,open,97341,46,10000
#PP9G8YUY,CHAN WA LEGEND,open,98107,50,7000
#PPRUGYQ,ChaoChiBais,open,95622,50,6500
#20UPUG2U,Chaos Royale V2,open,97769,48,9000
#GUCQJJP9,chill for fun,open,76074,50,5000
#QG8J92YY,Chinasia,open,92845,49,8000
#G9YVLQQQ,Chumpenitos,inviteOnly,7508,4,0
#GPL208P8,CH•Eclipse,inviteOnly,15372,5,3000
#8009YPYQ,CH天下,open,98606,50,8000
#GPV9JJCC,CIKBONG. WARIOR,open,22406,11,600
#YUJCR88P,Cincong Pipol,inviteOnly,51442,21,0
#RPVVPGRY,citysushi,open,19924,5,3600
#G2PQRGPL,Clan #G2PQRGPL,inviteOnly,60230,22,0
#L988LV9C,Clan #L988LV9C,open,91558,50,4000
#28J9YQY8,CLAN MANIA,open,89636,34,10000
#GJVUGPUL,Clancau SWL,inviteOnly,14556,5,0
#Y908890Q,Clansman United,open,93780,50,7000
#P2099R,Clash HQ,open,90003,50,3000
#LCGJ82JQ,Clash Kings,open,97261,50,7000
#8Y9LRLUG,Clash On • Wars,open,99983,50,9000
#8VUVRP2G,Clash On• 何以笙箫默,open,97882,50,9000
#8JQCGL8,Clash27,open,98124,50,7500
#RRVC9JRJ,clhs antarctica,inviteOnly,34274,8,7500
#YU9U98G,ClownLand,open,97346,50,6000
#200GCCR,COF,open,98779,50,9000
#RJCVGLQP,Colourize,open,33083,12,6000
#LPRLLPJJ,ComeL SquaD,open,88539,50,4600
#9GYR00JP,Con9lan7firm,open,91513,50,3000
#RVPYQ9PV,Cool Kids Clan,open,1598,2,0
#G9QQLVGR,CR Admin Team,open,69743,46,2000
#9CRG8R0V,CR Glory,open,92746,50,6500
#YCC289Q8,CR King,open,99010,50,10000
#RRLLUY,CR Malaya,open,94298,50,4000
#GYR0RQ9G,CR Malaysia,open,99315,50,9000
#GULY92U9,CR MALAYSIA,open,37850,13,0
#20P8RVRV,CR Pirate,open,99333,48,9500
#QGGC9L8G,CR7,open,97419,50,8000
#GRJQRVR,Crescent reaper,open,95988,50,7500
#QJ08QY8Q,CRL MALAYSIA,open,99988,50,10000
#G0PC2YLC,CRM,open,77392,50,6000
#CVRV9G,CROW ZERO,open,96599,49,7000
#9QCQPCJ9,Crucible Wrath,open,98306,50,9000
#2JU9C0J9,CRUSHERS,open,95682,50,9500
#2P8JUQLP,Cutie Piggy,open,96566,50,7000
#888VPYC,Cyber Warriors,open,99426,50,9500
#P0GCU8L2,Cyberjaya,open,93720,50,4000
#GQ0L8VJ2,Cyberjaya,open,210,1,4000
#P2PUUUUV,CYBERTRON,open,95638,50,6000
#GJ9U2J,D-M-N-T-B,open,95662,50,7500
#GJJVG2RC,D1,inviteOnly,16172,5,0
#RRYJPYV9,Da Boiz,inviteOnly,91749,47,7000
#GQP9QPJR,da homies,open,89631,50,6000
#8C99U8QC,Daddy,open,98868,47,9000
#GYGLJYQC,DaddynDon,inviteOnly,3270,3,0
#PQGQ0QQ,Dai B Tiong,open,98330,50,8000
#UQLRCVL,darah pahlawan,open,96220,50,7000
#QVL2U2CU,Dark Deadeyes,open,91554,50,6000
#2R00GVV,Dark Dynasty,open,99308,49,9500
#2CR0QP0,Dark Valkyrie,open,96826,50,7000
#8YURG0,Dark-Warrior,open,90615,50,7000
#Q88229PC,Darklite,open,88318,50,5000
#29QQQYJ,DarkNess of BTU,open,97658,50,7500
#82RG0L2,Deadpool,open,94860,50,5000
#G8YJYR0J,degil,open,10389,3,5000
#GLY0G98J,Dekda Mecha,open,45304,19,1000
#GYULCLQ8,Delta Royale,open,39948,15,3000
#GP099J0V,Destruction,closed,4787,3,0
#LLPRCUGJ,Dettol Boys,inviteOnly,18571,8,0
#G08CCVVV,diao,open,96284,49,7000
#R29PYJPL,Dim Sum,open,16084,7,0
#J2YP0PPY,DON FAMILY,open,16416,5,0
#YYGLVPCL,Double Seven,open,92118,50,3600
#CL90GV9,Dragon Malay,open,94959,50,6000
#G2GL0Q9U,dsamg,open,24331,8,0
#G98QCVY0,DUNIA HIDANGAN,open,19597,7,7500
#YQUGG2V,Durian Kampung,open,96186,50,6000
#GQ0JVPLC,E.V.O PEKKA,open,77070,37,5000
#9J0CVCU0,early child,open,86075,36,7000
#LL8UJQGC,eaton,open,98500,49,9500
#QQ09GCQV,EFGHI,open,97978,50,10000
#9CYG2LVP,Elite Empire,open,99900,50,10000
#92GJL90C,Elite Royale,open,98062,50,7000
#G99PGUGR,Elite Spirit,open,48642,18,5000
#RR029RLP,EMBER,inviteOnly,12248,5,1000
#GYGCV8P2,"EMPIRE nifos""NF",open,4810,3,300
#GQ898CRJ,ENIGMA,inviteOnly,3695,3,0
#QL0YQ88P,ENT300,open,31463,12,0
#R2RQVQLL,eraBR,inviteOnly,2514,3,0
#Q09L9RGV,Esen,open,76851,47,0
#GLCPC8L0,EthanTan. Go,inviteOnly,10662,7,0
#GLPQQ9Q2,Ethyl Ethanoate,open,92740,50,10000
#YYQQ9RVU,everything,open,83308,50,3000
#22UCGPP,Exiled,open,95678,50,5000
#G0UCP08G,ez,open,8460,5,0
#GJ2LLJQ2,Ezekiel,open,78749,50,0
#L280Q8CJ,EZGAME,open,90196,43,7000
#G2U2UQ9V,ezpz,open,89263,50,6000
#GUJ00C0L,f4美男子,inviteOnly,31996,8,8000
#G90898GR,FAIQ GANG,open,18422,7,1300
#GQGJGR2L,Family Anggerik,inviteOnly,6965,5,0
#GJJCR890,Family First,open,19965,8,0
#8J0J2VQ2,Family Kak ros,open,93868,50,6500
#YJQCGL0G,FAMILY MALAYSIA,open,96928,49,7000
#VUVYVU,FanTasTic,open,95201,50,7000
#829GYP8Q,FASTER CLAN,open,94029,50,7000
#J2CLYLVG,FC,open,17690,5,300
#J20VRPJV,FCI STUDIO,closed,20655,6,0
#G8QL882U,FEA,inviteOnly,6153,3,0
#GPQVJR20,FEAST OF FROG 2,inviteOnly,91222,45,10000
#RJ9VRRQQ,FEITZ V2,inviteOnly,1943,2,0
#G2PQLC2J,Femboy Island,open,80822,47,6000
#Y22UU8CV,FieryPhoenix,open,93162,49,8000
#2Y0JYQ2,FlashGamings,open,86214,50,3600
#GUGJ0YVP,Flower Town,open,86770,50,2000
#9JRYJVUJ,FnF Clasher ™️,open,96174,50,7000
#R2JY9LJP,forever charlie,inviteOnly,4651,2,0
#GYR8VRJ8,Freshman United,inviteOnly,33781,14,0
#RRUQQ0GV,fridge cleanup,closed,5435,2,0
#2299LLUV,Frozen Horizon,open,92352,50,4600
#RRJV022R,Fumblers,inviteOnly,37253,13,0
#8J0RVQ,Funny Family,inviteOnly,98154,46,8000
#PP02RV,FunnyDarkFamily,open,96681,50,7000
#RULG20,Funnywarfamily,open,92806,50,4000
#RQ2J0RJ8,Furina,inviteOnly,43923,16,0
#GPLLCRUV,gabut clan,open,12904,6,0
#P9QPJR2,Gadis Royale,open,95170,48,9000
#R9JR9C0G,gaelanyyds,open,11265,4,0
#L20J0G9J,gazari,inviteOnly,8658,6,0
#LP8QQQC8,gearless rox,open,41408,18,2600
#GQ8YPQ89,Gempak Clan,open,86860,50,1000
#GPVLPYJY,Geng Bestari,inviteOnly,28602,11,0
#9RRCYP8,geng donate,open,79407,50,2600
#RRRCJ0V0,GENG KAPAK,open,4673,4,300
#GL0P0RG9,geng toceng,inviteOnly,9371,4,1000
#89P8LCG,Genisys,open,17821,8,2000
#LCU8YP0C,Gerard so small,inviteOnly,95690,48,8000
#RJPCPY,GfK,open,90251,50,7000
#2U80LQ9V,GhostArmy,open,94772,50,6500
#R2LQ8LUQ,GloryMY,inviteOnly,3212,2,0
#GYUU82LQ,GMI,inviteOnly,17508,6,0
#GPQGG89R,GMK SAHUR,open,78590,48,2300
#L0QR092G,GNESIS,inviteOnly,5860,3,300
#Q8UG8PRV,GODSPEED,open,83977,50,6000
