tag,name,type,clanScore,members,requiredTrophies
#QVQR998C,84/85,inviteOnly,92368,39,4000
#GVGQYUUY,Ballistics,inviteOnly,20901,11,0
#GG2LLRUR,Clan #GG2LLRUR,open,93226,42,8000
#GY0U8QP9,Clash of Puftas,open,1810,2,1000
#G9JUYU08,class 9.12,closed,5003,2,0
#GU08LGJL,Clinique STJ,inviteOnly,36831,9,3000
#QVYP2CRQ,CR Malta,open,93829,49,7500
#LL9CCGPV,CR Malta,open,93204,50,6500
#GPY0UCJV,CRH2,open,3416,3,0
#RGQQGVQP,Farsons,open,43779,18,1000
#GYRJYQYV,Fc marzouzou,open,21948,6,0
#RCJGP8PJ,FILO,inviteOnly,42460,14,0
#QGV80LC9,FiRE,open,86253,50,5000
#9GUPJVC9,Jien faqa,open,98634,50,7500
#2YQQGY9C,Malta,open,93505,46,4000
#RLCV8,Malta,open,87611,33,8500
#9YGGPUR,malta 1,open,91101,49,3000
#29QRVYC,malta bluestar,open,98719,50,7500
#8QGVQ9P8,Malta CR,inviteOnly,99805,50,5000
#8RPQJPUU,Malta CR 3,open,97124,50,4000
#Y8C9009L,Malta sweats,inviteOnly,55413,16,0
#RJLYL2J0,malte en pls,open,11380,5,0
#2098RPLC,Maltese,open,94571,47,5000
#QRJC9J2R,Maltese Gymrats,open,90054,50,7500
#CVJQGPC,Maltese Knights,open,98517,50,7500
#R2P08UPL,maltin biss,open,1847,2,0
#GUCVGR0J,melanie,inviteOnly,5560,4,0
#LY0P2L9Q,Miss you nannu,open,97661,47,9000
#GCYCJP0V,NYI,inviteOnly,2452,3,600
#RV8GPPP8,Pastizz Patrol,inviteOnly,38545,17,0
#R0C2C022,Pharmakurnuti,open,22208,10,0
#L0V0PUJP,Picnic Defence,open,87157,50,4000
#GQQ9RRUP,Prim,inviteOnly,6269,3,0
#P8Q9LCRY,Rock Solids,open,86469,50,1300
#GY8GJRQC,Sr2,inviteOnly,439,2,0
#GUV0U8JU,SS_1,open,14988,12,0
#RJCGQJQ0,STMF Malta,open,32673,13,0
#R8YVP8J8,Strong boyz,open,21291,6,0
#R2PYLG92,Teuf Corp,inviteOnly,99748,50,9500
#RRLVU0VC,The Boyz,open,79550,48,2000
#RYQQ8C0G,the edgers,inviteOnly,6927,4,0
#G8LVJVLP,the gang,inviteOnly,17586,6,0
#QUQJUP2P,the naggers,closed,13118,4,0
#QVUG9G08,The Regulars,inviteOnly,11883,4,0
#YUUJYY2J,THUNDERSTORM,open,99699,50,10000
#G9QCVCUV,VMB1973,open,2286,3,0
#R2Y22LCC,we ❤️ Goths,open,43633,14,0
#G99Y092U,xaghrautd,inviteOnly,1168,1,0
#QYRRQLPR,zombie carrot,open,99700,49,10000
#GUJ90P8J,Ac swieqi mndy,inviteOnly,89567,50,2000
#R09Q809U,Anarchy mt,inviteOnly,11695,5,0
#G02U9G,Ando Technology,open,88973,47,3600
#G8V9R0GG,AntiCarrotVerse,open,56458,18,3000
#R2RU90C2,B Brigade,open,6362,5,0
#QJPVVU99,bald,closed,5834,4,300
#LQP8088R,bangkok,inviteOnly,76297,45,0
#RQRLL2C0,Batini,open,65133,48,0
#L029GYQL,Beans Bum Boys,open,63994,37,0
#RGP02RC0,Billu's Spades,inviteOnly,62375,30,1000
#GRLULQ9J,BLESS,inviteOnly,56204,20,0
#RL8V00CJ,BOOM!!,open,33088,16,0
#QV8L8CL8,Butcher,open,49031,46,0
#R0RYLRP8,Cannie popper,open,8844,5,0
#RQJ0UULG,cheecks,inviteOnly,60631,37,0
#R0LR2JQU,clan,inviteOnly,2440,3,0
#LUQQVR9J,Clan #LUQQVR9J,open,50212,29,0
#QQCLQCYU,Clan #QQCLQCYU,open,89363,44,8000
#QULCY00L,Clan #QULCY00L,open,74591,42,0
#QVJJQ8L9,Clash Of Titans,inviteOnly,30450,9,0
#GV22JJ2R,Cruzz,open,30209,10,0
#GPC2RCR0,cwelki,open,12529,5,1300
#RC2UP988,Da Boyz,inviteOnly,24565,9,2000
#GYQQPVG2,Dark Deck,inviteOnly,3627,3,0
#QUQC8P9L,davides burrito,open,6612,4,0
#RVU08Q8R,De La Salle MLT,open,12841,11,0
#GPP8JYLJ,didy cage,inviteOnly,5219,5,0
#GUULYPCV,Duda kbira blue,open,89760,50,2000
#GYRGG9QV,Elite Maltesers,inviteOnly,65123,36,2000
#GCQQYJJQ,fatty,open,22289,8,1600
#GGPPC98V,Floriana F.C,open,33723,21,0
#R280V8VU,GARY SIUUU,open,17834,7,0
#P9JLU899,Gbejna biscuits,open,21056,8,0
#RG2QG0JV,glorbo fruto,open,16228,14,0
#QRGCGCQG,Gmiel Ta Pony,open,75960,50,0
#GQ9L2UG8,GNEJNAPOWER,inviteOnly,26522,10,0
#RPGGGRJL,gobl1n g00nerz,inviteOnly,62897,23,1600
#QC2JRGVQ,Goon Squad,open,90967,50,5000
#RY929UQG,Goon Squad,inviteOnly,32363,13,0
#RJQL8RLY,gozoskators,open,31421,26,2000
#QULRR8VR,grumo nevano,open,5769,3,0
#G928PQ2J,Gulp,open,88382,46,8000
#GJG9RR2R,hatehogriderppl,inviteOnly,16848,10,1600
#G002QY2V,Hibs gng,inviteOnly,4715,2,0
#QVRL9J9C,hot peppers,inviteOnly,41648,14,0
#GCCYYCG9,Hram United,open,38396,15,0
#LR228RJC,i forgor,open,63954,50,1600
#RL929VQG,il maltin,open,39161,45,0
#GJ8GVCJU,IL-KINGS MALTIN,inviteOnly,29121,19,0
#Q8QG8LLG,IL-MALTIN,open,87578,50,0
#G2YY8C9V,IX-XWIENI MALTI,open,51747,50,300
#GY2C2GQL,jaden il kretin,inviteOnly,16883,4,0
#GQGVUQJ8,JAKUB LOVERS,inviteOnly,40406,31,0
#R2Y9VVJR,JC_Malta,open,86066,35,3600
#GRRCU0UY,jdham,open,7964,5,0
#RQYLYPR8,Jeews,open,79670,48,0
#R2Q8P0YJ,JzZzs,open,88661,50,5000
