tag,name,type,clanScore,members,requiredTrophies
#GYV0G88U,<50> LA ZONE 93,open,5607,3,0
#RJQRU9JC,chupieconomia,open,17371,4,0
#GL8J8QQ8,i’m not a smurf,open,5227,2,0
#R29L29LQ,los pro,open,3266,2,1000
#GUVYGCYV,RBH,open,92771,50,0
#G09CC9RJ,Xp ex4cution!,open,18034,6,0
#GGYCYQ9Q,&:),open,11272,5,0
#P9RLC8CG,22clan,inviteOnly,72877,43,300
#GYJGQRUP,bombardier,open,23653,11,0
#YJ2PUVYQ,boueni,open,81156,49,0
#GPRCC9LY,CALA GDP,inviteOnly,42378,18,0
#82UCV80,Childos Inc.,inviteOnly,77732,42,4000
#R8Y0QL9U,Claquédefou,open,36178,22,0
#QV92V0YJ,Clenosbl,open,54501,20,300
#G2LGV0UV,DROLPALEIS,open,36013,11,5000
#LULQQG9J,el crustáceo,inviteOnly,55366,32,0
#G2CVGQYL,Elkins Family,inviteOnly,33774,9,0
#GV8CULYG,g5-glorius,closed,4342,4,0
#LRCU9YGV,gigiafunclub,open,52895,18,2000
#R9Q082CG,Kansas12345,open,95192,50,8000
#LUGQYV2G,La Mesnie,open,68274,33,300
#GR8UGPJL,Lakalité16,open,6478,4,0
#R0VLPYPG,les 86,open,43161,25,0
#QJGL2V0G,LES DAKOUS,open,36121,13,0
#LC9UQLY9,les maestros !✨,inviteOnly,15070,7,2000
#L0P90UYP,les morningstar,open,44591,17,300
#QUV299CL,Ma Brésilien,inviteOnly,63005,22,3000
#RPC298L8,Maimutoi,inviteOnly,19929,10,10000
#VJQLP9Q,mayotte,inviteOnly,68346,24,0
#PLQUPQGR,Mayotte,open,48711,12,6000
#LYQLCVG9,Merlito,open,60447,31,0
#RP92VL2G,moliguapa,inviteOnly,48513,13,10000
#GC2QYGQQ,monkes ju,inviteOnly,87818,40,8500
#QR9YPQ80,OG FEDAİLERİ,open,35173,12,5500
#GY8C9VL2,Oklm,open,46400,13,0
#QQ9JGUJY,RATPI,open,46223,15,4000
#8CPJ99G,Taconea bonita!,open,73166,49,0
#G2GUU2UC,whocallinmyfone,open,42641,15,0
#LYCRLVYL,Zerkroox,open,85450,47,4000
#GPUU2G0L,Деревяшки,open,21132,7,300
#QRVCCGP2,мяу_вацок_мяу,open,37651,16,0
#GLJP8YLU,Патриоты,open,35986,13,0
#RQ9LYJUR,тартлс,open,61735,39,300
#GPU2C89R,なひたらおはやさやは,open,30805,13,0
#QJLPJGPL,神風,inviteOnly,81924,44,0
#G22CPRRP,A2f,open,18065,8,0
#QYYGR8Q8,Brazil,open,23204,11,1600
#GY8YCUVG,CLASH GAMERS,open,9270,4,0
#GPJP8L2V,Les amis 976,open,8729,7,0
#LRLUGQU8,Mayotte-_-976,open,32177,17,0
#LGVG0JCC,THE BRAZZERZ,inviteOnly,44633,12,3000
