tag,name,type,clanScore,members,requiredTrophies
#G80PPU9V,67,inviteOnly,7296,5,0
#RUYUYJYY,Bernabeu,open,14331,3,0
#G0J80LJG,BIBLICAL,open,7374,2,0
#G2J8Q9C9,CHIVAS,open,8280,4,300
#RCU9RGCG,Coloc,inviteOnly,15931,4,9500
#GU0YRVQP,dictature,inviteOnly,8134,3,0
#GUUY8R08,El shifu,open,15251,4,0
#QQ9URQVQ,ES/HND/MEX,inviteOnly,79421,26,7000
#R00CQLL9,FAUAEM,inviteOnly,17208,4,0
#GCUCG0QJ,FaZe,inviteOnly,9081,5,1000
#GCUJLR8Y,Filorojal,inviteOnly,20531,5,0
#GYY22RVV,fisio,open,27577,7,1000
#GP22CCVV,gin_tonic,open,6510,6,0
#GPQRLJQQ,hi,inviteOnly,9161,2,2600
#G9G8Y9YY,insanos gamer,inviteOnly,6870,3,300
#G0JR9RVL,Kevytyrittäjät,open,17032,4,0
#RRQQ22LG,Le Clan filou,open,14237,6,0
#QP28Y8JJ,LEGACY,open,9648,2,8500
#RGLLV9G2,Llamarada,inviteOnly,5860,4,0
#R0VCYQC8,los bros,open,6775,3,0
#G8RG8URQ,los esqueleton,open,4829,3,1000
#RYLCLG0J,Los Goats,open,5158,3,300
#RUJVQCCC,los indomables,open,1327,2,0
#GYCPRRRR,los mata's,inviteOnly,1529,2,1000
#Q82PQUVU,Los pekas,open,7469,2,0
#RGLCURPQ,los predics,open,3750,1,4000
#GYGPL8VG,lospnedburro.l.,open,26060,10,600
#RVPUUVJV,mamaberroi,inviteOnly,3766,3,0
#GRPU0829,MAPOGOS,open,82497,30,8500
#G89CP90Y,mjlabanda,open,4602,3,0
#82LR8L2,Monaco fan,open,95636,50,2000
#RPUJJGPU,MYD,open,7424,2,9000
#G8VQ99PU,ola1234,inviteOnly,41068,17,1000
#G90CQ0J8,Oryx,open,87126,44,5000
#R9VLGRRU,PablosKnightz,inviteOnly,16473,4,0
#GGRPYJVQ,papitos chulos,inviteOnly,32024,9,5000
#R89PVCRP,PERRITAS™,open,3750,2,300
#GL2PLCUV,pilotos de F1,inviteOnly,2277,2,600
#R09CQYGP,putsi,inviteOnly,12559,3,0
#QPLVUQR9,R.C.Z.K.,open,41255,15,0
#G28UG0JG,RmY1313,open,61013,18,4300
#QPYCLRG0,saasradio,open,89447,36,7000
#GYQJPRYV,Sexy Clan,inviteOnly,6581,2,4600
#RPL0P9PL,Sigme,inviteOnly,66199,25,0
#R909UYPV,some Clan,open,53363,20,0
#QQGYCL0V,the boys,open,10109,4,1000
#GPCVGJ9U,TOCHITOBOYS,inviteOnly,30150,7,0
#LVJ9Q8PC,TotheMoon,open,10000,2,5000
#GLQQ922L,TUNG TUNG SITOS,open,10838,4,0
#GP9GYU8P,tutantragones,inviteOnly,10586,4,0
#J22J098L,UBBJ TICUL,inviteOnly,47637,12,9000
#YQPGVUPY,WAWA,inviteOnly,97780,50,2000
#GLLP0JQL,yoahyhe,inviteOnly,360,1,0
#L8CUYVVR,!Russian Team!,open,9046,3,600
#QRVUQLJV,09 Family,open,90879,42,9000
#GU0UVY9C,145,open,24444,9,1300
#QVUPV09G,4 uur,open,19032,6,0
#RVPJ9YL2,6/E,open,13126,10,0
#GG0CJ0P9,7Frags,open,44883,17,4000
#QRCQPU9J,aaapeka,closed,9886,10,0
#G8GP2VJC,Agrolive,open,57894,19,0
#GU9RYPYY,AHMH,open,11389,4,0
#GGPJUVQR,AP CALCULUS BC,inviteOnly,16109,5,0
#QVVPLPYU,arribalascopasd,open,78024,33,4000
#2Q8R088,AS MONACO FC,open,96399,49,5000
#G2CGJYVJ,BATICLAN,open,17744,9,0
#LJJ8G2P0,Blaireaux EMC2,open,77976,47,3300
#R9YPCUPL,Boston Boys,open,90004,46,0
#RU9YCY0Y,By OsDa,open,11250,3,0
#Q8V9098R,carrefour,open,59737,26,3000
#LG9Q2LVC,CAZADOR DE BOTS,open,50468,20,4000
#QJQ99UJ0,CFino,open,70176,50,1000
#G2JLJ2V9,chiapanecos,open,32688,16,0
#R2V22G2V,CHILUDOS,open,5531,3,600
#G2QR2GYL,Chimichangas,open,30863,9,0
#R2ULGL9C,chito holero,open,38829,20,10000
#YR0PJY2P,clan,open,60597,18,3300
#2RQ9G2JU,Clan #2RQ9G2JU,inviteOnly,93099,49,6000
#G9J8LLJR,Clan #G9J8LLJR,open,37012,11,0
#Q2ULV2LQ,Clantastic!!!,open,93903,50,5000
#LLLYQ9UC,CLUB AZUR,open,21780,9,0
#GU228GCY,CorazonUdeG,open,36672,14,0
#G202P2,Da Wu Tang Clan,open,80590,35,4600
#RYLR0RVC,DELM,open,72713,34,0
#QLJUY,Demo ;-),open,96585,50,5000
#QC9PVRU9,Equipo Flechas,open,57412,18,0
#RY99RP2U,eredisimatope,open,38542,11,2000
#GQYV02Q8,ESCUELA KABAH,inviteOnly,8222,4,1300
#GUC8V022,esqueletitos,open,14539,5,0
#GGRCGGV0,ETS,inviteOnly,12708,3,0
#YUC20QR8,FANB,open,34171,13,1300
#LQ8V8VL9,FC Aberrant,open,61633,50,0
