tag,name,type,clanScore,members,requiredTrophies
#RC9980U0,10b emr shaana,inviteOnly,3478,2,0
#GLPVU82U,11,inviteOnly,32061,10,0
#RRVG29JL,12b,open,8630,5,0
#G92L2U9C,1v1 me,inviteOnly,99793,50,10000
#J2829V02,7D clr players,inviteOnly,5971,5,300
#GL8UPG02,AimrShdgSdakud,inviteOnly,11676,8,300
#GCQVV8C2,Annabel al pode,open,91336,43,8000
#GPUY2YCV,anti-arwi-verse,open,47770,22,0
#G9CUUPPU,Avengers10k,inviteOnly,93367,49,5000
#G8202290,Best Buh,inviteOnly,4215,2,0
#G2JRC0JY,big dihh,inviteOnly,21685,10,1000
#R2Y8PY9L,blue chickens,open,8715,6,1000
#GYJQ9UPV,Blue king clan,closed,3230,4,0
#RYUR2880,bounce on you,inviteOnly,22509,5,8000
#G9U990GY,BUDA VALLE SOLL,open,15289,6,0
#G2JPVGYY,bugdiin shaa,inviteOnly,9903,4,2000
#GYV9PG9C,C A B R O N E S,open,24485,7,0
#GPCU2LLG,Chiba’s TUTS,open,15311,12,0
#RGRP0PGJ,chilindron,inviteOnly,38166,9,0
#GVPV8CV8,dio get,inviteOnly,47375,13,6000
#GJYJRCVL,DIOR'SK,inviteOnly,29320,13,0
#RUVRQURP,e nois,open,6607,2,2000
#GJUQC202,EnKoders,inviteOnly,7882,4,1000
#GRCRP8Y0,F2P only,inviteOnly,9056,3,0
#G9G2JJQV,flores club,inviteOnly,47023,14,0
#GJ0U989R,Fumble squad,open,89995,50,9000
#G8GL0JRU,Fuzzies,inviteOnly,45513,18,0
#GCCJURCR,gp gang,inviteOnly,26531,9,3000
#LL90LL,Great Empire,open,98774,49,8500
#RJPYYL9G,Güi Quill Al,open,5120,2,0
#QLJ9UYCU,HC Mongolia,open,97007,48,8000
#GYU2GULR,ISM4ツ,inviteOnly,6744,3,0
#RCQPUCR0,Ju8f Fam,open,22687,7,0
#GYGJGGYJ,Koosen,inviteOnly,9174,6,0
#GQ80Y9UU,krikoland,open,9511,3,0
#R9J9PYYJ,lalrjinger,inviteOnly,12344,4,0
#GY0UR0CQ,led zgueue,inviteOnly,45052,15,0
#GC8QYRVQ,lekipdesbovais,open,94195,50,0
#RC880YP0,Les Yuex,open,14193,7,1300
#GVRG0GQ9,los dalma,open,68630,28,0
#GL80YYLP,luivarchid,open,6699,3,2000
#GY00PCR0,Mega nubs,inviteOnly,13721,4,0
#GUULY0CU,Men only,inviteOnly,2818,2,0
#G8Q2V9VR,Moito Longo,inviteOnly,45444,11,0
#2PRQQLJ,MONGOL,open,96800,50,7000
#YPQVQJ,MONGOL,open,96622,50,6000
#GVJYR2JR,MONGOLES DOWNS,closed,9342,3,0
#922JRRJG,mongolian king,inviteOnly,99979,50,10000
#PL8899,Mongols,open,98437,50,8500
#P0CJ8VRL,mongolz,inviteOnly,99863,50,9000
#QC0PY8Q9,MONGOLZ,open,83603,50,0
#QJL2QQL2,Mongolz2,open,90283,50,7000
#GY8JVYPR,Mongooners,inviteOnly,9628,3,0
#L98L29YG,MUST HEROS,open,89611,50,3000
#GQ90JQ8U,NgaHaters,inviteOnly,1800,2,0
#G98QUQ2J,ngl its sus,inviteOnly,26704,11,0
#GPR88PJ9,NoahIsHomo,inviteOnly,5025,2,300
#9RJQJ2YP,Nova I Mongolia,open,89593,50,0
#G02V9JJJ,Nuggr,closed,25991,12,0
#RVYQ8JRQ,nuh uh,open,2523,1,1600
#GL2RLY08,parking lot,inviteOnly,3990,2,0
#QJY2GJ9G,Pericos Biker,open,24630,6,0
#QLUJUG8C,perro sanxe,open,95456,46,9500
#QUU8JGU0,Primines,open,48402,12,0
#90GVVVJQ,ROYAL.MN,open,98763,50,7500
#P88UJQJG,RWSS OT,inviteOnly,75277,33,5000
#GYRYJPQ8,Siblings,open,21225,12,300
#RCL8LYQ8,Sin clan,inviteOnly,12132,5,600
#G2V0PYUU,Soulreapers,inviteOnly,26884,10,3000
#GYV2YCYR,team escanor,open,3849,3,0
#QU99UV,Team Mongols,open,97658,47,8500
#RJYP82L0,Tema,open,45020,14,6000
#GRVPY82U,TRMRM,inviteOnly,22035,17,0
#Q0VVV9VL,wachosmachos,open,8076,3,0
#R2U2JUGQ,YAMI RICONCHA27,open,14870,4,1000
#G0U09GPJ,yes gek,open,7872,3,0
#LPUL9P2J,АрАнШиН,open,11571,4,3600
#RQ9YGG8L,дэб 18+,inviteOnly,34338,12,0
#G0Q8L2UG,القبيلة #G0Q8L2UG,closed,625,1,10000
#92V9GY8P,*mongol*,open,70384,50,600
#GU08QQC0,1 slowak ssie,inviteOnly,81603,39,3000
#G2RVUPQQ,11-6 Shohuz,open,29147,17,0
#GPC9V9C9,11Б Гоблинууд,open,30545,26,0
#L9JYYVU9,123,open,40725,21,1600
#GLRU8822,12V,inviteOnly,64586,22,7000
#LPPJPJQC,2vs2,open,91056,49,2300
#G8YJ2L9R,31 uurd,open,26356,17,0
#G0GLC9QJ,67 41 kids,open,51086,46,1000
#GYGL0PRY,69Xboyz,open,81527,50,0
#G9RY8GJJ,7b tuff goon,inviteOnly,18039,10,0
#G9RLPRPP,7v clashers,open,1827,4,0
#RJPJ8UG8,8a,open,20959,17,0
#GQ0UQ9YL,8a mongol,open,38782,49,0
#G8QG2VYP,8a uhdeluud,inviteOnly,7727,6,0
#GCGVQ0R9,8boys,inviteOnly,15229,11,0
#R8808V00,9-1 clashchid,inviteOnly,15099,8,300
#GR2CJP0U,9E,inviteOnly,24134,13,600
#QQPJVG9Y,Aagiihan,inviteOnly,10853,5,0
#RPPYRJVR,AAM,open,89870,44,6500
#RRYPL2UU,Adrians Friends,open,75913,39,5500
#G9GCU8RG,AgroK,inviteOnly,52222,16,4000
#8JQGGJG,AGX Mongolia,open,62246,49,2400
#RPYCQ82P,aki podrumas,inviteOnly,45374,11,0
#GGGLRU2Y,ALALALALAL12,inviteOnly,14722,7,0
#L2VY2CV,Alphard club,inviteOnly,30846,16,0
#R8QUQ,Altan Urag,open,72839,50,1600
#GJ0QU0RC,AnarNoki,inviteOnly,15687,7,1000
#R9G9RJCG,ANBU_INC,closed,67001,42,4000
#GQYURUJQ,Anti гэе,inviteOnly,26497,15,0
#20LUCJ,APABT(Mongolia),inviteOnly,55856,23,2000
#QRVQYGVU,Arig pzda,open,71353,50,0
#G8VL9GGG,arviiinbeee,inviteOnly,18006,8,300
#L99YG0U0,Autistic royale,open,40064,50,0
#GYRVQG0R,Avejotas,open,51607,17,0
#QV0G0GU8,axez,inviteOnly,25000,13,0
#LQ28RJ9L,bachkaness,inviteOnly,78259,38,5000
#G9RJCCJ9,bah 22,open,41990,18,0
#QVY2QUU8,Balkan rage,open,65349,49,2000
#G9V9VU9U,BBC,inviteOnly,19652,10,0
#GCC8QC98,bbqbaconburger,open,14656,10,0
#GCJVLYUR,Beaaaannnsssss,inviteOnly,6748,4,0
#GLY898QR,bebos unidos fc,open,41516,21,0
#G9LJGRVC,berserker,open,36532,14,0
#QYP2JC2G,Black clashers,inviteOnly,66648,25,0
#RL9YQG28,blatz,inviteOnly,48748,15,0
#RJC9GC9Y,blavgai,inviteOnly,17752,6,0
#G2PVPCPV,Blizzards,inviteOnly,52077,16,0
#QVPGP2CQ,bomb Lincoln,inviteOnly,50801,14,4000
#G90JP209,BOOM esportclan,open,12124,10,0
#QLUY08UC,Boov,open,76573,50,1600
#GCPGGPJQ,boovcdin holbo,open,58523,25,8000
#RJ8PG990,boovnuud,open,16402,7,0
#G0L8229C,boss päiväkerho,inviteOnly,23958,8,0
#QU9QVVYG,brother yammi,open,50487,50,0
#LQC99YRY,Brotherhood,open,59486,50,1000
#RCCLYPPV,bt9,inviteOnly,7290,5,0
#Q2VRCPGJ,callate piero,inviteOnly,78818,39,4000
#R08CJY9R,chi boov,open,20314,21,0
#G98V80PJ,Chinggis Khaan,open,65424,29,5000
#L8GCQ9RP,chingis haan,open,60516,23,5000
#G8Q8Y9QL,Chipichipi,inviteOnly,46304,16,0
#J2PYLUCP,chotomesones,open,20918,10,0
#RY82PCYR,Churro Mafia,closed,45454,14,6000
#LQUVCJJR,Cimbreleros 2.0,open,92145,50,0
#G908V8L0,Clan #G908V8L0,inviteOnly,42085,15,0
#GRRGQUPU,clan mamasita,closed,38505,20,300
#QY2LYC09,Clan of Eternal,inviteOnly,68430,26,3000
#GL9RGGR2,Class V,open,9253,6,600
#QRUP92UL,Commusnism,open,87774,46,5000
#G8JCCYQ2,Container Boys,open,53552,28,300
#QUYU8CJ2,Cool boy boy,open,46969,50,0
#RYVUV29L,Crapulerie,open,17203,6,0
#R80QY8CU,CRCI ma geule,open,52256,18,0
#G89VUQ2L,CSU KINGS,open,10315,3,2300
#L8GUVRJG,D!0 P0RC0,inviteOnly,38250,16,0
#GYGR0U9Q,da boys,open,85922,49,3000
#QJRUUCLY,Dark House,open,87870,50,0
#2GPC9U98,Dark Titans,open,46359,48,1000
#RPGCLURY,Davaagiin boov,open,78245,47,0
#RQ2QLG99,DdorjooD,open,50268,49,0
#RYRUG8J0,Denghis Khan,inviteOnly,61358,19,4000
#G02V9YLU,Diddys Disciple,open,43937,21,0
#G2GGPQ2V,Dingle,open,60181,50,0
#PL0G2,DOMOG,open,50166,50,1000
#RRRYRL8V,Dorjoos child,open,49947,50,0
#YCUPVURL,dota,open,68055,50,0
#R2CPY29U,Down's,open,14258,6,0
#G92YUUL8,DrippyLegs,open,45687,36,300
#G8JLY22R,El Eden,open,51299,14,2300
#GV9GJ882,ELTRIO SUADERIL,closed,10287,4,9000
#QRURPYCV,epic boys,open,50277,48,1000
#Q80P898C,estroncios,open,58081,33,600
#RYUQ02VG,FACEIT,open,46008,38,0
#G9CV99GC,Fam Cardenas NG,inviteOnly,62889,27,0
#PVY8Y88R,fastguys209,inviteOnly,41978,16,0
#GRGPQUQV,Faze,closed,20622,7,2000
#YQC22PYR,fc brüno,open,40135,28,0
#RLCVJVJC,FCB,open,78811,33,5500
#G28YJVJC,FCH,open,55352,43,300
#G82PR00R,FeetFinders09,open,46412,18,3000
#QV982LPP,fernanditokitka,inviteOnly,75223,32,0
#G08PPVPU,FingolianEmpire,open,79841,50,0
#L9PVUPPV,forg,open,63060,48,0
#GP9PQYQ8,Gchyy,closed,68218,36,0
#RJ9JGP8L,gcitumee,inviteOnly,7157,10,0
#RUGYQVQ0,Ghanas Gang,open,79549,46,0
#RGVJ0QYR,Giga Mongol,open,64180,44,4000
#G8VPPR8L,gmit,inviteOnly,62773,30,0
#RPCVVY29,GolBins,open,20320,26,0
#RC2VYVUC,goon squad,open,47460,25,3300
#GYQV920P,goon squad,open,30220,17,0
